Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,Total area actually reporting,1.0,1206.0,11.0,233.0,179.0,783.0,6029.0,864.0,4753.0,412.0
,"Rate per 100,000 inhabitants",,326.9,3.0,63.2,48.5,212.3,1634.3,234.2,1288.4,111.7
"Anniston-Oxford-Jacksonville, AL M.S.A.",,113915.0,,,,,,,,,
,Includes Calhoun County,,,,,,,,,,
,City of Anniston,21955.0,754.0,14.0,47.0,71.0,622.0,1352.0,542.0,700.0,110.0
,City of Oxford,16937.0,48.0,1.0,0.0,7.0,40.0,884.0,94.0,756.0,34.0
,City of Jacksonville,12573.0,113.0,2.0,10.0,12.0,89.0,489.0,137.0,325.0,27.0
,Total area actually reporting,0.993,976.0,17.0,71.0,98.0,790.0,3242.0,955.0,2095.0,192.0
,Estimated total,1.0,980.0,17.0,71.0,99.0,793.0,3267.0,959.0,2114.0,194.0
,"Rate per 100,000 inhabitants",,860.3,14.9,62.3,86.9,696.1,2867.9,841.9,1855.8,170.3
"Appleton, WI M.S.A.",,235528.0,,,,,,,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,74660.0,203.0,1.0,39.0,17.0,146.0,1155.0,136.0,996.0,23.0
,Total area actually reporting,1.0,331.0,2.0,55.0,30.0,244.0,2905.0,340.0,2479.0,86.0
,"Rate per 100,000 inhabitants",,140.5,0.8,23.4,12.7,103.6,1233.4,144.4,1052.5,36.5
"Asheville, NC M.S.A.4",,457928.0,,,,,,,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties4",,,,,,,,,,
,City of Asheville4,90103.0,,7.0,,181.0,363.0,4248.0,733.0,3191.0,324.0
,Total area actually reporting,0.992,,16.0,,275.0,712.0,9645.0,2492.0,6410.0,743.0
,Estimated total,1.0,,16.0,,277.0,718.0,9745.0,2510.0,6488.0,747.0
,"Rate per 100,000 inhabitants",,,3.5,,60.5,156.8,2128.1,548.1,1416.8,163.1
"Athens-Clarke County, GA M.S.A.",,207610.0,,,,,,,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,124903.0,519.0,6.0,57.0,123.0,333.0,3930.0,683.0,3017.0,230.0
,Total area actually reporting,1.0,639.0,7.0,72.0,135.0,425.0,5345.0,922.0,4133.0,290.0
,"Rate per 100,000 inhabitants",,307.8,3.4,34.7,65.0,204.7,2574.5,444.1,1990.8,139.7
"Atlanta-Sandy Springs-Roswell, GA M.S.A.",,5882917.0,,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
,City of Atlanta,481343.0,4504.0,79.0,282.0,1413.0,2730.0,22991.0,3390.0,16304.0,3297.0
,City of Sandy Springs,107740.0,126.0,0.0,12.0,56.0,58.0,2263.0,377.0,1708.0,178.0
,City of Roswell,95602.0,108.0,2.0,15.0,32.0,59.0,1616.0,229.0,1278.0,109.0
,City of Alpharetta,66711.0,34.0,0.0,1.0,22.0,11.0,1187.0,96.0,1056.0,35.0
,City of Marietta,61646.0,215.0,4.0,14.0,102.0,95.0,2209.0,327.0,1700.0,182.0
,Total area actually reporting,0.985,21357.0,392.0,1514.0,6715.0,12736.0,166368.0,27784.0,120804.0,17780.0
,Estimated total,1.0,21627.0,397.0,1534.0,6791.0,12905.0,168586.0,28218.0,122365.0,18003.0
,"Rate per 100,000 inhabitants",,367.6,6.7,26.1,115.4,219.4,2865.7,479.7,2080.0,306.0
"Atlantic City-Hammonton, NJ M.S.A.",,271486.0,,,,,,,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,38601.0,425.0,13.0,24.0,227.0,161.0,1732.0,319.0,1298.0,115.0
,City of Hammonton,14370.0,17.0,0.0,0.0,3.0,14.0,177.0,37.0,134.0,6.0
,Total area actually reporting,1.0,847.0,21.0,54.0,344.0,428.0,6943.0,1230.0,5435.0,278.0
,"Rate per 100,000 inhabitants",,312.0,7.7,19.9,126.7,157.7,2557.4,453.1,2001.9,102.4
"Auburn-Opelika, AL M.S.A",,162152.0,,,,,,,,,
,Includes Lee County,,,,,,,,,,
,City of Auburn,64831.0,217.0,4.0,17.0,30.0,166.0,1711.0,156.0,1454.0,101.0
,City of Opelika,30476.0,223.0,5.0,21.0,47.0,150.0,1399.0,220.0,1091.0,88.0
