State,State/Tribal/Other Agencies,Unit/Office,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,,Mariposa County,1.0,0.0,0.0,0.0,1.0,21.0,0.0,9.0,12.0,0.0
,,Mendocino County,1.0,0.0,0.0,1.0,0.0,156.0,1.0,39.0,116.0,0.0
,,Merced County,0.0,0.0,0.0,0.0,0.0,360.0,0.0,83.0,277.0,0.0
,,Modoc County,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,5.0,0.0
,,Mono County,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,0.0
,,Monterey County,3.0,0.0,0.0,0.0,3.0,441.0,0.0,70.0,371.0,0.0
,,Napa County,1.0,0.0,0.0,0.0,1.0,24.0,0.0,9.0,15.0,0.0
,,Nevada County,3.0,0.0,0.0,0.0,3.0,111.0,0.0,6.0,105.0,0.0
,,Orange County,12.0,0.0,0.0,0.0,12.0,51.0,1.0,21.0,29.0,0.0
,,Placer County,0.0,0.0,0.0,0.0,0.0,175.0,0.0,79.0,96.0,0.0
,,Plumas County,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,5.0,0.0
,,Riverside County,17.0,0.0,0.0,0.0,17.0,124.0,8.0,35.0,81.0,0.0
,,Sacramento County,14.0,0.0,0.0,1.0,13.0,3826.0,12.0,1517.0,2297.0,0.0
,,San Benito County,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,14.0,0.0
,,San Bernardino County,31.0,0.0,1.0,0.0,30.0,163.0,15.0,78.0,70.0,0.0
,,San Diego County,33.0,0.0,1.0,1.0,31.0,114.0,8.0,44.0,62.0,1.0
,,San Francisco County,9.0,0.0,2.0,2.0,5.0,34.0,0.0,9.0,25.0,0.0
,,San Joaquin County,0.0,0.0,0.0,0.0,0.0,745.0,0.0,147.0,598.0,0.0
,,San Luis Obispo County,3.0,0.0,1.0,0.0,2.0,117.0,1.0,12.0,104.0,0.0
,,San Mateo County,6.0,0.0,0.0,0.0,6.0,18.0,0.0,2.0,16.0,0.0
,,Santa Barbara County,6.0,0.0,1.0,0.0,5.0,158.0,1.0,45.0,112.0,0.0
,,Santa Clara County,9.0,0.0,1.0,0.0,8.0,111.0,0.0,24.0,87.0,0.0
,,Santa Cruz County,0.0,0.0,0.0,0.0,0.0,557.0,0.0,193.0,364.0,0.0
,,Shasta County,0.0,0.0,0.0,0.0,0.0,360.0,3.0,73.0,284.0,0.0
,,Sierra County,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0
,,Siskiyou County,4.0,0.0,0.0,1.0,3.0,66.0,5.0,16.0,45.0,1.0
,,Solano County,6.0,0.0,0.0,0.0,6.0,50.0,2.0,12.0,36.0,0.0
,,Sonoma County,2.0,0.0,0.0,1.0,1.0,195.0,0.0,64.0,131.0,0.0
,,Stanislaus County,1.0,0.0,0.0,0.0,1.0,707.0,6.0,155.0,546.0,0.0
,,Sutter County,0.0,0.0,0.0,0.0,0.0,40.0,0.0,2.0,38.0,0.0
,,Tehama County,0.0,0.0,0.0,0.0,0.0,145.0,0.0,44.0,101.0,0.0
,,Trinity County,2.0,0.0,0.0,0.0,2.0,75.0,0.0,12.0,63.0,0.0
,,Tulare County,0.0,0.0,0.0,0.0,0.0,757.0,1.0,77.0,679.0,14.0
,,Tuolumne County,0.0,0.0,0.0,0.0,0.0,178.0,1.0,90.0,87.0,0.0
,,Ventura County,1.0,0.0,0.0,0.0,1.0,60.0,1.0,25.0,34.0,0.0
,,Yolo County,1.0,0.0,0.0,1.0,0.0,59.0,2.0,12.0,45.0,0.0
,,Yuba County,0.0,0.0,0.0,0.0,0.0,368.0,0.0,24.0,344.0,0.0
,Napa State Hospital,,198.0,0.0,5.0,0.0,193.0,4.0,1.0,1.0,2.0,0.0
,Patton State Hospital,,547.0,0.0,5.0,1.0,541.0,7.0,3.0,4.0,0.0,0.0
,Porterville Developmental Center,,20.0,0.0,1.0,1.0,18.0,6.0,1.0,5.0,0.0,0.0
,Sonoma Developmental Center,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
