City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Corcoran,5698.0,,0.0,,0.0,2.0,66.0,11.0,50.0,5.0,0.0
Cottage Grove,33288.0,,0.0,,3.0,23.0,797.0,148.0,611.0,38.0,1.0
Crookston,7752.0,,0.0,,0.0,5.0,37.0,15.0,16.0,6.0,1.0
Crosby,2232.0,,0.0,,0.0,9.0,135.0,11.0,124.0,0.0,0.0
Crystal,21325.0,,1.0,,22.0,15.0,743.0,108.0,576.0,59.0,6.0
Dawson,1405.0,,0.0,,0.0,2.0,35.0,4.0,29.0,2.0,0.0
Dayton,4620.0,,0.0,,1.0,2.0,34.0,7.0,9.0,18.0,0.0
Deephaven-Woodland,4129.0,,0.0,,0.0,0.0,25.0,6.0,16.0,3.0,0.0
Detroit Lakes,8111.0,,0.0,,1.0,14.0,401.0,39.0,339.0,23.0,0.0
Dilworth,3600.0,,0.0,,0.0,4.0,76.0,7.0,66.0,3.0,0.0
Duluth,83932.0,,1.0,,111.0,248.0,4292.0,707.0,3358.0,227.0,10.0
Eagan,63718.0,,0.0,,15.0,28.0,1515.0,188.0,1276.0,51.0,5.0
Eagle Lake,2130.0,,0.0,,0.0,2.0,23.0,4.0,18.0,1.0,1.0
East Grand Forks,7896.0,,1.0,,0.0,12.0,252.0,43.0,204.0,5.0,0.0
Eden Prairie,61910.0,,0.0,,13.0,28.0,1475.0,190.0,1254.0,31.0,10.0
Edina,45007.0,,1.0,,6.0,15.0,1120.0,182.0,901.0,37.0,3.0
Elk River,23224.0,,0.0,,4.0,21.0,913.0,127.0,764.0,22.0,6.0
Elmore,677.0,,0.0,,0.0,1.0,10.0,8.0,1.0,1.0,0.0
Ely,3565.0,,0.0,,2.0,0.0,99.0,11.0,83.0,5.0,0.0
Eveleth,3577.0,,1.0,,2.0,14.0,146.0,34.0,101.0,11.0,2.0
Fairmont,10337.0,,0.0,,2.0,6.0,408.0,57.0,334.0,17.0,0.0
Falcon Heights,5417.0,,0.0,,0.0,1.0,190.0,24.0,163.0,3.0,1.0
Faribault,22408.0,,0.0,,8.0,51.0,851.0,154.0,659.0,38.0,14.0
Farmington,19276.0,,0.0,,4.0,3.0,342.0,60.0,273.0,9.0,0.0
Fergus Falls,13842.0,,0.0,,3.0,21.0,434.0,78.0,342.0,14.0,5.0
Floodwood,493.0,,0.0,,0.0,2.0,6.0,0.0,6.0,0.0,0.0
Forest Lake,17984.0,,0.0,,5.0,4.0,563.0,54.0,460.0,49.0,0.0
Fridley,26124.0,,0.0,,49.0,54.0,1517.0,159.0,1210.0,148.0,13.0
Gilbert,1743.0,,0.0,,0.0,0.0,33.0,3.0,27.0,3.0,1.0
Glencoe,5644.0,,0.0,,0.0,6.0,164.0,14.0,146.0,4.0,0.0
Glenwood,2553.0,,0.0,,1.0,1.0,22.0,3.0,18.0,1.0,0.0
Golden Valley,19865.0,,0.0,,11.0,12.0,682.0,141.0,492.0,49.0,2.0
Goodview,3394.0,,0.0,,0.0,1.0,68.0,13.0,51.0,4.0,1.0
Grand Rapids,8297.0,,0.0,,0.0,10.0,320.0,30.0,279.0,11.0,0.0
Granite Falls,2961.0,,0.0,,0.0,2.0,28.0,3.0,23.0,2.0,0.0
Hallock,1051.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hastings,21839.0,,0.0,,2.0,12.0,716.0,113.0,569.0,34.0,10.0
Hermantown,9247.0,,0.0,,2.0,5.0,324.0,53.0,254.0,17.0,0.0
Hibbing,16198.0,,1.0,,2.0,17.0,135.0,43.0,89.0,3.0,0.0
Hilltop,749.0,,0.0,,7.0,6.0,98.0,15.0,74.0,9.0,0.0
Hokah,582.0,,0.0,,0.0,0.0,14.0,2.0,12.0,0.0,0.0
Hopkins,16613.0,,0.0,,12.0,14.0,481.0,117.0,317.0,47.0,0.0
Houston,991.0,,0.0,,0.0,1.0,13.0,0.0,13.0,0.0,0.0
Hutchinson,14050.0,,0.0,,3.0,17.0,415.0,74.0,328.0,13.0,3.0
International Falls,6108.0,,0.0,,0.0,9.0,189.0,30.0,148.0,11.0,3.0
Inver Grove Heights,34060.0,,0.0,,8.0,24.0,853.0,147.0,651.0,55.0,6.0
Jackson,3429.0,,0.0,,0.0,5.0,75.0,19.0,53.0,3.0,1.0
Janesville,2201.0,,0.0,,0.0,0.0,29.0,11.0,17.0,1.0,0.0
Kimball,691.0,,0.0,,0.0,2.0,7.0,1.0,6.0,0.0,0.0
Lake City,5409.0,,0.0,,0.0,2.0,125.0,20.0,103.0,2.0,0.0
Lake Crystal,2562.0,,0.0,,1.0,2.0,43.0,5.0,32.0,6.0,0.0
Lakefield,1687.0,,0.0,,0.0,2.0,12.0,6.0,6.0,0.0,0.0
Lakes Area,8333.0,,0.0,,1.0,16.0,189.0,30.0,148.0,11.0,1.0
Lakeville,54565.0,,0.0,,4.0,9.0,950.0,153.0,763.0,34.0,2.0
Lauderdale,2169.0,,0.0,,1.0,2.0,62.0,14.0,38.0,10.0,1.0
Lester Prairie,1737.0,,0.0,,0.0,2.0,44.0,6.0,36.0,2.0,0.0
Lewiston,1483.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lino Lakes,20334.0,,0.0,,1.0,6.0,240.0,49.0,183.0,8.0,0.0
Litchfield,6655.0,,0.0,,2.0,3.0,183.0,25.0,149.0,9.0,0.0
Little Falls,8162.0,,0.0,,1.0,14.0,242.0,25.0,192.0,25.0,0.0
Long Prairie,2877.0,,0.0,,0.0,1.0,125.0,13.0,110.0,2.0,0.0
Madison,1605.0,,0.0,,0.0,1.0,9.0,1.0,8.0,0.0,0.0
Mankato,35331.0,,1.0,,25.0,57.0,1911.0,296.0,1535.0,80.0,3.0
Maple Grove,62145.0,,0.0,,21.0,22.0,1548.0,278.0,1238.0,32.0,5.0
Mapleton,1633.0,,0.0,,0.0,1.0,44.0,7.0,37.0,0.0,
Maplewood,35444.0,,1.0,,31.0,70.0,2463.0,326.0,1952.0,185.0,19.0
Medina,5033.0,,0.0,,1.0,2.0,114.0,25.0,86.0,3.0,0.0
Melrose,3146.0,,0.0,,0.0,0.0,31.0,2.0,29.0,0.0,0.0
Mendota Heights,11318.0,,0.0,,1.0,8.0,315.0,48.0,250.0,17.0,1.0
Milaca,3073.0,,0.0,,0.0,7.0,177.0,16.0,158.0,3.0,0.0
Minneapolis,371240.0,5580.0,47.0,452.0,2520.0,2561.0,22543.0,6164.0,13203.0,3176.0,217.0
Minnetonka,49751.0,,0.0,,14.0,21.0,1014.0,196.0,776.0,42.0,6.0
Minnetrista,8350.0,,0.0,,0.0,1.0,118.0,25.0,82.0,11.0,0.0
Montevideo,5305.0,,1.0,,0.0,8.0,148.0,28.0,112.0,8.0,2.0
Montgomery,3308.0,,0.0,,0.0,11.0,128.0,25.0,98.0,5.0,0.0
Moorhead,35052.0,,0.0,,7.0,38.0,814.0,132.0,631.0,51.0,6.0
Moose Lake,2622.0,,0.0,,2.0,3.0,64.0,2.0,57.0,5.0,0.0
Mora,3521.0,,0.0,,1.0,3.0,185.0,20.0,157.0,8.0,0.0
Morris,5057.0,,1.0,,1.0,5.0,150.0,27.0,113.0,10.0,0.0
Mound,9404.0,,0.0,,1.0,8.0,207.0,40.0,159.0,8.0,3.0
Mounds View,11921.0,,0.0,,5.0,18.0,417.0,70.0,310.0,37.0,2.0
