Table 794. Employment and earnings in Science & Engineering (S&E) occupations,,,,,,
by industry: 2006,,,,,,
,,,,,,
See notes,,,,,,
,,,,,,
Industry,NAICS          code \1,Workers employed                   (number),,S&E workers as percent of all employed,Mean earnings           (Dollars),
Iron and steel mills and ferroalloy manufacturing,3311,95350,3290,3.5,69700,42000
Grantmaking and giving services,8132,118940,4080,3.4,53270,45900
Electronic shopping and mail order houses,4541,239920,8210,3.4,58540,33600
Activities related to credit intermediation,5223,346270,11790,3.4,63490,46200
Medical and diagnostic laboratories,6215,199960,6760,3.4,66150,45000
"Accounting, tax preparation, bookkeeping, and payroll services",5412,826340,27840,3.4,67100,50900
"Boiler, tank, and shipping container manufacturing",3324,92570,3100,3.3,63600,38300
Hardware manufacturing,3325,34330,1100,3.2,62170,35200
Business support services,5614,778670,24250,3.1,52220,30600
Depository credit intermediation,5221,1790830,55150,3.1,65360,40700
Grain and oilseed milling,3112,60410,1820,3,66210,37000
Local government,9993,5437200,157910,2.9,60710,40100
Radio and television broadcasting,5151,238500,6720,2.8,64280,47900
"Machinery, equipment, and supplies merchant wholesalers",4238,670230,18650,2.8,69460,43600
Other miscellaneous manufacturing,3399,345560,9610,2.8,62750,35200
Foundries,3315,163450,4530,2.8,63890,36300
Rubber product manufacturing,3262,163390,4520,2.8,63320,35900
Other support services,5619,293790,7940,2.7,63540,35300
Forging and stamping,3321,111470,3010,2.7,61770,37400
Other food manufacturing,3119,159120,4290,2.7,65300,34900
Nonresidential building construction,2362,776590,20840,2.7,70630,47200
Technical and trade schools,6115,129460,3470,2.7,52790,42200
"Museums, historical sites, and similar institutions",7121,120230,3220,2.7,47200,31900
Chemical and allied products merchant wholesalers,4246,130180,3430,2.6,69970,47800
"Water, sewage, and other systems",2213,45340,1170,2.6,73820,38400
Specialty (except psychiatric and substance abuse) hospitals,6223,191620,4840,2.5,62200,47200
Psychiatric and substance abuse hospitals,6222,237250,5870,2.5,66300,40200
Employment services,5613,3657860,90070,2.5,66350,28800
"Deep sea, coastal, and Great Lakes water transportation",4831,39010,940,2.4,81300,48100
Plastics product manufacturing,3261,639290,15350,2.4,65160,33000
"Agencies, brokerages, and other insurance-related activities",5242,888390,20340,2.3,60940,47600
Offices of other health practitioners,6213,570330,12760,2.2,76940,43000
Office furniture (including fixtures) manufacturing,3372,133710,2980,2.2,60510,35400
Travel arrangement and reservation services,5615,226000,4910,2.2,57360,35000
Motor vehicle body and trailer manufacturing,3362,175600,3790,2.2,63160,33600
Glass and glass product manufacturing,3272,105710,2270,2.1,63710,34100
Clay product and refractory manufacturing,3271,60850,1270,2.1,62510,32800
"Hardware, and plumbing and heating equipment",,,,,,
and supplies merchant wholesale,4237,251200,4970,2,66980,43100
Commercial and industrial machinery,,,,,,
and equipment rental and leasing,5324,115420,2280,2,71180,42100
"Machine shops; turned product; and screw, nut,",,,,,,
and bolt manufacturing,3327,349520,6790,1.9,61520,38000
Motor vehicle and motor vehicle parts and,,,,,,
supplies merchant wholesalers,4231,347780,6680,1.9,68600,37000
Land subdivision,2372,97150,1790,1.8,67540,52800
Outpatient care centers,6214,485110,8920,1.8,55250,46000
Architectural and structural metals manufacturing,3323,407270,7330,1.8,59910,35800
Steel product manufacturing from purchased steel,3312,60130,1070,1.8,62970,37300
Spring and wire product manufacturing,3326,58340,1010,1.7,64420,34600
Dairy product manufacturing,3115,130680,2180,1.7,57150,35000
Miscellaneous durable goods merchant wholesalers,4239,287370,4720,1.6,63470,38000
Other heavy and civil engineering construction,2379,110110,1680,1.5,71600,40700
Inland water transportation,4832,22540,340,1.5,63760,45300
"Coating, engraving, heat treating, and allied activities",3328,147680,2110,1.4,60870,33500
"Community food and housing, and emergency and",,,,,,
other relief services,6242,129920,1840,1.4,58370,31400
Support activities for air transportation,4881,152980,2160,1.4,68110,35900
Motion picture and video industries,5121,363000,5060,1.4,65450,40300
Miscellaneous nondurable goods merchant wholesalers,4249,364930,5070,1.4,60950,35200
Lime and gypsum product manufacturing,3274,18770,260,1.4,63790,36700
Beverage manufacturing,3121,169700,2330,1.4,65550,37500
Coal mining,2121,78170,1070,1.4,69140,43200
Paper and paper product merchant wholesalers,4241,151840,1990,1.3,65770,44000
Converted paper product manufacturing,3222,335370,4390,1.3,68240,37100
General medical and surgical hospitals,6221,4887130,63320,1.3,61030,46300
Other nonmetallic mineral product manufacturing,3279,78850,1020,1.3,65250,35300
Offices of real estate agents and brokers,5312,373630,4810,1.3,52910,42200
Footwear manufacturing,3162,17340,220,1.3,58420,28200
Metal and mineral (except petroleum) merchant wholesalers,4235,127120,1610,1.3,67690,43800
"Apparel, piece goods, and notions merchant wholesalers",4243,150230,1900,1.3,57900,43900
Legal services,5411,1174330,14680,1.3,60150,64300
Scheduled air transportation,4811,441800,5520,1.2,66330,60900
Rail transportation,4821,207440,2590,1.2,79960,54200
Furniture and home furnishing merchant wholesalers,4232,115250,1430,1.2,58820,42400
Nonmetallic mineral mining and quarrying,2123,111400,1340,1.2,70020,37900
Fabric mills,3132,93710,1100,1.2,60760,30400
Other furniture-related product manufacturing,3379,51170,600,1.2,63030,31600
Individual and family services,6241,960750,11050,1.2,54350,28700
Sawmills and wood preservation,3211,118530,1350,1.1,56180,30100
Other residential care facilities,6239,164290,1870,1.1,53570,28400
Logging,1133,63100,710,1.1,59120,32700
Elementary and secondary schools,6111,8313570,92920,1.1,54360,40700
"Highway, street, and bridge construction",2373,360640,4000,1.1,68430,41900
Other ambulatory health care services,6219,213430,2360,1.1,61260,34300
Printing and related support activities,3231,638120,7050,1.1,56750,37300
Petroleum and petroleum products merchant wholesalers,4247,101410,1120,1.1,72310,39300
Textile and fabric finishing and fabric coating mills,3133,60110,650,1.1,61880,31700
Sugar and confectionery product manufacturing,3113,75860,820,1.1,65550,31200
"Veneer, plywood, and engineered wood product manufacturing",3212,124000,1340,1.1,57260,31100
Fruit and vegetable preserving and specialty food manufacturing,3114,168750,1820,1.1,58000,30600
"Promoters of performing arts, sports, and similar events",7113,82230,880,1.1,52120,33600
Commercial and industrial machinery and,,,,,,
equipment (except automotive and electronic),8113,174760,1800,1,66150,37900
Utility system construction,2371,423810,4310,1,71230,40500
Leather and hide tanning and finishing,3161,6100,60,1,54770,30900
Other textile product mills,3149,72190,700,1,53500,28300
Activities related to real estate,5313,513590,4970,1,56620,39400
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Source: National Science Foundation, Science and Engineering Indicators 2008, January 2008.",,,,,,
(biennial),,,,,,
