Start,End,Length,Description,Type,OAT
132,132,1,LEP Identified,alpha or blank,Y=Yes
,,,,,Blank=Not Indicated
133,133,1,Eng. Limited Identified,alpha or blank,
,,,(Not used),,
134,145,12,Record Description,alphanumeric or blank,"e.g., SPR08OAT, FAL08OAT"
146,147,2,Writing Performance Level,numeric or blank,11=Advanced
,,,,,12=Accelerated
,,,,,13=Proficient
,,,,,14=Basic
,,,,,15=Limited
,,,,,99=invalidated (INV)
,,,,,blank=DNA/TOG/DNS/Missing
148,150,3,Writing Scale Score,alphanumeric or blank,Range 000-999
,,,,,DNA=Did Not Attempt
,,,,,TOG=Tested Out of Grade
,,,,,DNS=Do Not Score
,,,,,INV=Invalidated
151,152,2,Condition - Prompt 1,alphanumeric or blank,"(OAT & OGT rule)
If Prompt 1 not scored
  -  recorded in left-justified
     alphanumeric format.    
     Holistic score codes (Based on WA only)
       A=Blank paper
       B=Refusal
       C=Illegible/Foreign language
       D=Insufficient text
       E=Off topic or off task
       F=Erased or crossed out
       G=Copies of prompt
       T= Enhanced student responses"
153,154,2,Condition - Prompt 2,alphanumeric or blank,"(OAT & OGT rule)
If Prompt 2 not scored
  -  recorded in left-justified
     alphanumeric format.    
     Holistic score codes (Based on WA only)
       A=Blank paper
       B=Refusal
       C=Illegible/Foreign language
       D=Insufficient text
       E=Off topic or off task
       F=Erased or crossed out
       G=Copies of prompt
       T= Enhanced student responses"
155,157,3,"Writing Content Standard Raw Score 1
ALT: Performance
OTELA: N/A
OAT: Writing Applications
OGT: Writing Applications",numeric,"Numeric - 99.9 - implied decimal
Ex:  045=4.5; 040=4.0"
158,158,1,Indicator 1,alpha,+=higher
,,,,,*=at
,,,,,-=lower than standard
159,161,3,"Writing Content Standard Raw Score 2
ALT: Instructional Context 
OTELA: N/A
OAT: Writing Conventions
OGT: Writing Conventions",numeric,"Numeric - 99.9 - implied decimal
Ex:  045=4.5; 040=4.0"
162,162,1,Indicator 2,alpha,+=higher
,,,,,*=at
,,,,,-=lower than standard
163,165,3,"Writing Content Standard Raw Score 3
ALT: Independence 
OTELA: N/A
OAT:Writing Processes
OGT:Writing Processes",numeric,"Numeric - 99.9 - implied decimal
Ex:  045=4.5; 040=4.0"
166,166,1,Indicator 3,alpha,+=higher
,,,,,*=at
,,,,,-=lower than standard
167,169,3,"Writing Content Standard Raw score 4
ALT: Settings and Interactions
OTELA: N/A
OAT: N/A
OGT: N/A",numeric,
170,170,1,Indicator 4,alpha,
171,171,1,filler,,
172,174,3,Writing Total Raw Score,alphanumeric,"With implied decimal, all tests other than OGT will end with 0"
,,,,,DNA=Did Not Attempt
,,,,,TOG=Tested Out of Grade
,,,,,DNS=Do Not Score
,,,,,INV=Invalidated
175,180,6,filler,,
181,192,12,filler,,
193,194,2,Reading Performance Level,numeric or blank,11=Advanced
,,,,,12=Accelerated
,,,,,13=Proficient
,,,,,14=Basic
,,,,,15=Limited
,,,,,99=invalidated
,,,,,blank=DNA/TOG/DNS/Missing
195,197,3,Reading Scale Score,alphanumeric or blank,Range 000-999
,,,,,DNA=Did Not Attempt
,,,,,TOG=Tested Out of Grade
,,,,,DNS=Do Not Score
,,,,,INV=Invalidated
198,200,3,"Reading Content Standard Raw Score 1
ALT: Performance 
OTELA: N/A
OAT: Acquisition of Vocabulary
OGT: Acquisition of Vocabulary",numeric,"Numeric - 99.9 - implied decimal
Ex:  045=4.5; 040=4.0"
201,201,1,Indicator 1,alpha,+=higher
,,,,,*=at
,,,,,-=lower than standard
202,204,3,"Reading Content Standard Raw Score 2
ALT: Instructional Context 
OTELA: N/A
OAT: Reading Process: Concepts of Print, Comprehension Strategies and Self-Monitoring Strategies
OGT: Reading Process: Concepts of Print, Comprehension Strategies and Self-Monitoring Strategies",numeric,"Numeric - 99.9 - implied decimal
Ex:  045=4.5; 040=4.0"
205,205,1,Indicator 2,alpha,+=higher
,,,,,*=at
,,,,,-=lower than standard
206,208,3,"Reading Content Standard Raw Score 3
ALT: Independence 
OTELA: N/A
OAT: Reading Applications: Informational, Technical and Persuasive Text
OGT: Reading Applications: Informational, Technical and Persuasive Text",numeric,"Numeric - 99.9 - implied decimal
Ex:  045=4.5; 040=4.0"
209,209,1,Indicator 3,alpha,+=higher
,,,,,*=at
,,,,,-=lower than standard
210,212,3,"Reading Content Standard Raw Score 4
ALT: Settings and Interaction
OTELA: N/A
OAT: Reading Applications: Literary Text
OGT: Reading Applications: Literary Text",numeric,"Numeric - 99.9 - implied decimal
Ex:  045=4.5; 040=4.0"
213,213,1,Indicator 4,alpha,+=higher
,,,,,*=at
,,,,,-=lower than standard
214,216,3,"Reading Content Standard Raw Score 5 
ALT: N/A
OTELA: N/A
OAT: N/A
OGT:  N/A",numeric,
217,217,1,Indicator 5,alpha,
218,218,1,filler,,
219,221,3,Reading Total Raw Score,alphanumeric,"Total raw score for Reading
99v9 - implied decimal"
,,,,,DNA=Did Not Attempt
,,,,,TOG=Tested Out of Grade
,,,,,DNS=Do Not Score
,,,,,INV=Invalidated
222,228,7,filler,,
229,240,12,filler,,
241,242,2,Math Performance Level (Listening Performance Level for OTELA/ELDA),numeric or blank,11=Advanced
,,,,,12=Accelerated
,,,,,13=Proficient
,,,,,14=Basic
