,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;
34366.0,13552.0,1162.0,2335.0,17049.0,8803.0,643.0,1534.0,10980.0,6069.0,705.0,1739.0,8513.0,2456.0,198.0,417.0,3071.0,3539.0,507.0,952.0,4998.0,683.0,51.0,201.0,935.0,268.0,62.0,118.0,448.0,971.0,40.0,126.0,1137.0,36341.0,3368.0,7422.0,47131.0,13733.0,1261.0,2578.0,17571.0,9022.0,691.0,1722.0,11435.0,6374.0,777.0,1861.0,9012.0,2438.0,220.0,439.0,3098.0,3646.0,532.0,952.0,5130.0,818.0,59.0,235.0,1112.0,278.0,75.0,131.0,484.0,1016.0,47.0,154.0,1216.0,37325.0,3661.0,8072.0,49059.0,13463.0,1244.0,2679.0,17386.0,8953.0,785.0,1760.0,11497.0,6368.0,794.0,2038.0,9200.0,2392.0,235.0,492.0,3119.0,3531.0,525.0,1002.0,5059.0,767.0,61.0,218.0,1046.0,268.0,73.0,139.0,479.0,913.0,51.0,146.0,1110.0,36654.0,3767.0,8474.0,48895.0
34394.0,15385.0,1621.0,3270.0,20276.0,10120.0,1186.0,2026.0,13332.0,7736.0,981.0,2525.0,11242.0,2857.0,279.0,651.0,3787.0,3777.0,566.0,1227.0,5570.0,645.0,64.0,232.0,941.0,314.0,71.0,186.0,571.0,881.0,65.0,151.0,1097.0,41715.0,4833.0,10268.0,56816.0,13615.0,1251.0,2662.0,17528.0,9046.0,841.0,1771.0,11658.0,6468.0,800.0,2078.0,9346.0,2434.0,244.0,554.0,3231.0,3451.0,501.0,1004.0,4956.0,760.0,57.0,231.0,1049.0,264.0,72.0,141.0,477.0,826.0,53.0,144.0,1023.0,36863.0,3820.0,8585.0,49268.0,13598.0,1251.0,2736.0,17585.0,8999.0,788.0,1804.0,11592.0,6398.0,807.0,2117.0,9322.0,2450.0,234.0,510.0,3193.0,3501.0,517.0,1017.0,5035.0,773.0,59.0,226.0,1058.0,274.0,75.0,142.0,490.0,885.0,50.0,146.0,1080.0,36877.0,3781.0,8697.0,49355.0
34425.0,12265.0,950.0,2487.0,15702.0,7754.0,595.0,1710.0,10059.0,5588.0,625.0,1950.0,8163.0,2114.0,208.0,478.0,2800.0,2983.0,405.0,934.0,4322.0,540.0,31.0,206.0,777.0,312.0,91.0,115.0,518.0,723.0,37.0,142.0,902.0,32279.0,2942.0,8022.0,43243.0,13771.0,1220.0,2887.0,17877.0,9044.0,808.0,1908.0,11760.0,6527.0,798.0,2268.0,9593.0,2502.0,240.0,527.0,3269.0,3385.0,507.0,1135.0,5026.0,732.0,34.0,225.0,992.0,280.0,91.0,144.0,515.0,785.0,44.0,149.0,978.0,37026.0,3742.0,9243.0,50010.0,13751.0,1258.0,2792.0,17801.0,9051.0,789.0,1840.0,11680.0,6429.0,824.0,2191.0,9444.0,2512.0,231.0,527.0,3270.0,3482.0,509.0,1025.0,5015.0,782.0,58.0,232.0,1072.0,282.0,76.0,146.0,504.0,859.0,49.0,144.0,1053.0,37149.0,3794.0,8896.0,49839.0
34455.0,14440.0,1375.0,3310.0,19125.0,9584.0,900.0,2298.0,12782.0,6283.0,898.0,2343.0,9524.0,2527.0,236.0,574.0,3337.0,3561.0,524.0,1063.0,5148.0,681.0,62.0,279.0,1022.0,344.0,78.0,144.0,566.0,960.0,52.0,162.0,1174.0,38380.0,4125.0,10173.0,52678.0,13874.0,1320.0,2914.0,18108.0,9336.0,802.0,1913.0,12051.0,6320.0,852.0,2199.0,9372.0,2576.0,228.0,529.0,3333.0,3498.0,513.0,1015.0,5026.0,763.0,53.0,228.0,1044.0,289.0,68.0,144.0,501.0,870.0,50.0,137.0,1056.0,37525.0,3887.0,9078.0,50490.0,13926.0,1265.0,2838.0,18029.0,9121.0,784.0,1856.0,11761.0,6461.0,843.0,2227.0,9531.0,2570.0,228.0,541.0,3338.0,3484.0,500.0,1020.0,5005.0,796.0,57.0,234.0,1087.0,291.0,77.0,148.0,516.0,840.0,49.0,141.0,1029.0,37489.0,3802.0,9005.0,50297.0
34486.0,16570.0,1560.0,5079.0,23209.0,10058.0,905.0,2840.0,13803.0,7824.0,1140.0,4176.0,13140.0,2937.0,294.0,917.0,4148.0,3844.0,747.0,1953.0,6544.0,788.0,70.0,412.0,1270.0,392.0,120.0,271.0,783.0,1048.0,62.0,182.0,1292.0,43461.0,4898.0,15830.0,64189.0,13823.0,1249.0,3375.0,18448.0,8686.0,744.0,1857.0,11287.0,6334.0,872.0,2567.0,9774.0,2573.0,233.0,563.0,3370.0,3440.0,508.0,1256.0,5204.0,851.0,60.0,273.0,1183.0,296.0,78.0,176.0,550.0,859.0,47.0,144.0,1049.0,36862.0,3791.0,10212.0,50865.0,14171.0,1275.0,2870.0,18316.0,9257.0,773.0,1853.0,11882.0,6512.0,863.0,2227.0,9601.0,2615.0,225.0,550.0,3390.0,3519.0,494.0,1011.0,5024.0,820.0,56.0,234.0,1111.0,303.0,78.0,148.0,530.0,831.0,48.0,134.0,1013.0,38028.0,3811.0,9028.0,50867.0
34516.0,14054.0,1160.0,2466.0,17680.0,9095.0,679.0,1601.0,11375.0,6488.0,810.0,1711.0,9009.0,2668.0,160.0,437.0,3265.0,3530.0,387.0,722.0,4639.0,872.0,54.0,191.0,1117.0,336.0,56.0,109.0,501.0,821.0,47.0,126.0,994.0,37864.0,3353.0,7363.0,48580.0,14711.0,1272.0,2810.0,18794.0,9537.0,764.0,1857.0,12158.0,6886.0,921.0,2211.0,10018.0,2816.0,188.0,557.0,3561.0,3653.0,456.0,899.0,5009.0,910.0,59.0,210.0,1179.0,343.0,74.0,136.0,553.0,819.0,57.0,128.0,1004.0,39676.0,3793.0,8808.0,52276.0,14492.0,1291.0,2892.0,18674.0,9427.0,760.0,1841.0,12028.0,6565.0,877.0,2217.0,9659.0,2639.0,223.0,555.0,3417.0,3578.0,490.0,1008.0,5077.0,848.0,56.0,233.0,1138.0,320.0,79.0,148.0,546.0,833.0,47.0,126.0,1005.0,38701.0,3824.0,9019.0,51543.0
34547.0,15222.0,1354.0,2892.0,19468.0,9847.0,789.0,1807.0,12443.0,6795.0,864.0,1802.0,9461.0,2524.0,228.0,544.0,3296.0,3822.0,483.0,882.0,5187.0,971.0,66.0,234.0,1271.0,273.0,80.0,122.0,475.0,866.0,39.0,121.0,1026.0,40320.0,3903.0,8404.0,52627.0,14617.0,1306.0,2887.0,18809.0,9627.0,765.0,1796.0,12188.0,6431.0,830.0,1835.0,9096.0,2546.0,229.0,575.0,3350.0,3628.0,496.0,997.0,5120.0,810.0,55.0,226.0,1091.0,303.0,86.0,136.0,525.0,820.0,38.0,120.0,977.0,38782.0,3804.0,8572.0,51158.0,14872.0,1306.0,2917.0,19095.0,9580.0,748.0,1832.0,12161.0,6630.0,880.0,2214.0,9724.0,2648.0,222.0,556.0,3427.0,3649.0,490.0,1021.0,5160.0,864.0,56.0,233.0,1153.0,337.0,81.0,147.0,565.0,840.0,46.0,120.0,1006.0,39421.0,3829.0,9040.0,52290.0
34578.0,14974.0,1201.0,2781.0,18956.0,10117.0,635.0,1578.0,12330.0,6603.0,853.0,1946.0,9402.0,2790.0,228.0,462.0,3480.0,3826.0,441.0,906.0,5173.0,947.0,42.0,191.0,1180.0,333.0,76.0,152.0,561.0,793.0,53.0,112.0,958.0,40383.0,3529.0,8128.0,52040.0,15329.0,1287.0,2913.0,19529.0,9824.0,674.0,1649.0,12146.0,6702.0,877.0,2016.0,9595.0,2641.0,234.0,506.0,3381.0,3755.0,492.0,1044.0,5290.0,809.0,51.0,213.0,1073.0,357.0,83.0,146.0,587.0,863.0,49.0,107.0,1019.0,40280.0,3746.0,8595.0,52621.0,15233.0,1309.0,2947.0,19489.0,9684.0,736.0,1834.0,12254.0,6704.0,872.0,2227.0,9803.0,2654.0,222.0,559.0,3435.0,3723.0,492.0,1048.0,5263.0,863.0,55.0,236.0,1154.0,351.0,82.0,147.0,581.0,844.0,45.0,118.0,1008.0,40057.0,3813.0,9116.0,52987.0
34608.0,15090.0,1352.0,3065.0,19507.0,9874.0,686.0,1826.0,12386.0,6398.0,837.0,2255.0,9490.0,2617.0,220.0,501.0,3338.0,3736.0,485.0,1030.0,5251.0,937.0,62.0,246.0,1245.0,339.0,79.0,136.0,554.0,809.0,35.0,107.0,951.0,39800.0,3756.0,9166.0,52722.0,15737.0,1352.0,3478.0,20567.0,10082.0,759.0,1975.0,12816.0,6893.0,889.0,2503.0,10286.0,2643.0,233.0,586.0,3462.0,3800.0,507.0,1107.0,5414.0,993.0,57.0,268.0,1318.0,365.0,78.0,146.0,590.0,849.0,37.0,114.0,1000.0,41363.0,3914.0,10177.0,55454.0,15490.0,1296.0,2982.0,19768.0,9730.0,725.0,1849.0,12303.0,6784.0,857.0,2254.0,9894.0,2665.0,222.0,565.0,3452.0,3783.0,494.0,1078.0,5356.0,848.0,55.0,238.0,1141.0,360.0,83.0,150.0,593.0,845.0,44.0,123.0,1013.0,40504.0,3776.0,9239.0,53520.0
34639.0,16949.0,1532.0,3862.0,22343.0,10699.0,854.0,2047.0,13600.0,7055.0,944.0,2633.0,10632.0,2884.0,247.0,605.0,3736.0,4111.0,522.0,1280.0,5913.0,907.0,69.0,281.0,1257.0,390.0,117.0,199.0,706.0,918.0,52.0,132.0,1102.0,43913.0,4337.0,11039.0,59289.0,15877.0,1344.0,3718.0,20940.0,9856.0,761.0,1985.0,12602.0,6872.0,847.0,2581.0,10300.0,2675.0,221.0,581.0,3477.0,3794.0,495.0,1194.0,5483.0,867.0,65.0,252.0,1183.0,414.0,93.0,164.0,670.0,882.0,47.0,123.0,1053.0,41236.0,3873.0,10598.0,55707.0,15579.0,1274.0,3008.0,19861.0,9711.0,712.0,1862.0,12285.0,6820.0,836.0,2264.0,9921.0,2680.0,220.0,571.0,3471.0,3808.0,497.0,1094.0,5399.0,827.0,55.0,239.0,1122.0,360.0,84.0,153.0,597.0,850.0,44.0,131.0,1025.0,40636.0,3722.0,9323.0,53681.0
34669.0,14648.0,1149.0,2894.0,18691.0,9240.0,712.0,1662.0,11614.0,6710.0,758.0,2055.0,9523.0,2627.0,206.0,578.0,3411.0,3727.0,512.0,1095.0,5334.0,1072.0,39.0,211.0,1322.0,257.0,74.0,140.0,471.0,791.0,43.0,145.0,979.0,39072.0,3493.0,8780.0,51345.0,15198.0,1227.0,3036.0,19462.0,8713.0,705.0,1796.0,11215.0,6350.0,767.0,2134.0,9252.0,2626.0,190.0,553.0,3369.0,3678.0,493.0,1049.0,5219.0,613.0,44.0,219.0,876.0,315.0,82.0,154.0,551.0,816.0,46.0,146.0,1008.0,38309.0,3555.0,9089.0,50952.0,15596.0,1251.0,3025.0,19871.0,9705.0,698.0,1873.0,12276.0,6821.0,814.0,2248.0,9883.0,2689.0,217.0,573.0,3479.0,3809.0,497.0,1091.0,5397.0,813.0,56.0,240.0,1110.0,356.0,85.0,154.0,596.0,861.0,44.0,139.0,1045.0,40651.0,3662.0,9343.0,53656.0
