SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
19-4021,Biological Technicians,BD,38310,26000,44460,40,40,,1
19-4041,Geological & Petroleum Technicians,AD,,,,,,,
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,38160,26390,44050,190,220,0.1579,7
21-1014,Mental Health Counselors,MD,40450,28430,46460,440,510,0.1591,16
21-1015,Rehabilitation Counselors,MD,34280,24710,39060,210,220,0.047599999999999996,5
21-1021,"Child, Family & School Social Workers",BD,34630,22990,40450,980,1030,0.051000000000000004,26
21-1022,Healthcare Social Workers,MD,36110,23180,42570,480,510,0.0625,13
21-1023,Mental Health & Substance Abuse Social Workers,BD,46140,31550,53430,470,530,0.1277,16
23-2011,Paralegals & Legal Assistants,AD,43090,30240,49520,190,200,0.0526,4
25-1011,"Business Teachers, Postsecondary",PhD,,,,440,520,0.1818,16
25-1072,"Nursing Instructors & Teachers, Postsecondary",MD,79460,49260,94560,230,270,0.1739,8
25-1081,"Education Teachers, Postsecondary",PhD,84230,55980,98350,300,360,0.2,11
25-1194,"Vocational Education Teachers, Postsecondary",WK EXP,46270,35130,51840,200,220,0.1,5
25-2011,Preschool Teachers,AD,26560,16940,31380,590,650,0.1017,16
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,59740,43720,67750,170,150,-0.1176,5
25-2053,"Special Education Teachers, Middle School",BD,56690,35970,67050,,,,
25-2054,"Special Education Teachers, Secondary School",BD,57120,43400,63980,,,,
25-9041,Teacher Assistants,ST OJT,29580,16810,35960,2700,2770,0.0259,51
27-2022,Coaches & Scouts,LT OJT,41440,17340,53490,500,510,0.02,14
29-1031,Dietitians & Nutritionists,BD,47070,30290,55460,230,230,,7
29-1051,Pharmacists,PROF,106030,89060,114510,470,570,0.21280000000000002,18
29-1111,Registered Nurses,AD,60480,43440,69000,6240,7220,0.15710000000000002,201
29-1122,Occupational Therapists,MD,62620,42560,72650,180,200,0.11109999999999999,6
29-1126,Respiratory Therapists,AD,57770,45820,63750,180,220,0.22219999999999998,7
29-2011,Medical & Clinical Laboratory Technologists,BD,53330,41410,59290,350,350,,5
29-2012,Medical & Clinical Laboratory Technicians,AD,39870,26020,46800,310,340,0.0968,8
29-2021,Dental Hygienists,AD,52730,47740,55230,340,380,0.1176,10
29-2031,Cardiovascular Technologists & Technicians,AD,47570,31020,55840,120,140,0.16670000000000001,4
29-2032,Diagnostic Medical Sonographers,AD,63090,50280,69500,110,120,0.0909,3
29-2037,Radiologic Technologists & Technicians,AD,53980,41640,60140,,,,
29-2041,Emergency Medical Technicians & Paramedics,PS,28110,18350,33000,690,720,0.043500000000000004,12
29-2052,Pharmacy Technicians,MT OJT,25990,19180,29400,490,650,0.3265,32
29-2055,Surgical Technologists,PS,40350,33600,43720,150,180,0.2,8
29-2056,Veterinary Technologists & Technicians,AD,28610,20520,32660,130,170,0.3077,8
29-2061,Licensed Practical & Licensed Vocational Nurses,PS,40040,32670,43720,1940,2040,0.051500000000000004,63
29-2071,Medical Records & Health Information Technicians,PS,30190,21140,34720,380,410,0.07890000000000001,13
31-1012,"Nursing Aides, Orderlies & Attendants",PS,26460,20420,29480,3760,4130,0.0984,71
31-2011,Occupational Therapy Assistants,AD,40700,30670,45710,80,90,0.125,2
31-2021,Physical Therapist Assistants,AD,40630,30090,45900,120,140,0.16670000000000001,5
31-9091,Dental Assistants,PS,30440,24100,33610,480,540,0.125,14
33-3012,Correctional Officers & Jailers,MT OJT,49350,36120,55960,1520,1460,-0.0395,35
33-3051,Police & Sheriff's Patrol Officers,MT OJT,51060,31560,60800,1340,1350,0.0075,37
37-2021,Pest Control Workers,MT OJT,31020,26250,33400,110,110,,3
39-9021,Personal Care Aides,ST OJT,20130,16720,21830,1280,1500,0.17190000000000003,45
41-1011,Supervisors - Retail Sales Workers,WK EXP,39940,26830,46500,2140,2170,0.014000000000000002,48
41-2022,Parts Salespersons,MT OJT,27550,17620,32510,510,480,-0.0588,6
41-3021,Insurance Sales Agents,MT OJT,72140,29250,93590,960,900,-0.0625,21
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,70740,34790,88710,190,200,0.0526,6
41-4011,"Sales Representatives, Technical & Scientific Products",BD,83540,40310,105160,230,220,-0.043500000000000004,5
41-4012,Sales Representatives,MT OJT,57750,30220,71510,2580,2610,0.0116,60
41-9022,Real Estate Sales Agents,LT OJT,43540,27710,51460,510,470,-0.0784,8
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,45160,29750,52870,1650,1570,-0.04850000000000001,34
43-3011,Bill & Account Collectors,MT OJT,31190,24040,34770,370,400,0.08109999999999999,9
43-3021,Billing & Posting Clerks,ST OJT,31280,24140,34840,870,800,-0.0805,11
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,33050,22150,38510,3050,3100,0.0164,53
43-4051,Customer Service Representatives,ST OJT,29950,21340,34260,3920,4350,0.1097,152
43-4111,Interviewers,ST OJT,31450,22900,35730,410,440,0.0732,14
43-4131,Loan Interviewers & Clerks,ST OJT,28180,20100,32220,250,200,-0.2,4
43-5011,Cargo & Freight Agents,ST OJT,32100,23360,36470,20,20,,1
43-5061,"Production, Planning & Expediting Clerks",MT OJT,43230,29270,50200,510,470,-0.0784,14
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,31640,22040,36440,1030,910,-0.1165,25
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,44480,28910,52270,1790,1860,0.0391,35
43-6012,Legal Secretaries,MT OJT,34080,28540,36840,350,340,-0.0286,6
43-6014,Secretaries,ST OJT,29650,20480,34240,4590,4210,-0.0828,73
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,43270,30240,49790,80,70,-0.125,1
43-9061,"Office Clerks, General",ST OJT,30160,19710,35380,9260,9530,0.0292,197
45-1011,Farm & Forestry Worker Supervisors,WK EXP,58850,46290,65140,180,190,0.055600000000000004,4
45-4011,Forest & Conservation Workers,MT OJT,,,,30,30,,1
45-4022,Logging Equipment Operators,MT OJT,,,,70,60,-0.1429,1
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,51730,35220,59990,930,900,-0.0323,13
47-2021,Brickmasons & Blockmasons,LT OJT,45280,34130,50860,230,230,,5
47-2031,Carpenters,LT OJT,33600,25810,37490,2800,2410,-0.1393,38
47-2051,Cement Masons & Concrete Finishers,MT OJT,35420,20060,43110,220,220,,7
47-2061,Construction Laborers,ST OJT,29080,18720,34270,2230,2170,-0.0269,17
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,37450,29340,41500,900,940,0.0444,22
47-2111,Electricians,LT OJT,42110,31170,47580,950,920,-0.0316,24
47-2132,"Insulation Workers, Mechanical",LT OJT,,,,,,,
47-2141,"Painters, Construction & Maintenance",MT OJT,32970,21020,38950,360,380,0.055600000000000004,8
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,39730,28810,45200,610,640,0.0492,15
47-2181,Roofers,MT OJT,34830,21690,41390,270,280,0.037000000000000005,7
47-2211,Sheet Metal Workers,LT OJT,36710,22910,43610,170,170,,4
47-4011,Construction & Building Inspectors,WK EXP,42560,29590,49040,280,290,0.0357,7
47-5011,"Derrick Operators, Oil & Gas",ST OJT,,,,,,,
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,,,,,,,
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,,,,,,,
47-5071,"Roustabouts, Oil & Gas",MT OJT,,,,10,10,,1
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,56570,40000,64850,590,570,-0.0339,14
49-2022,Telecommunications Equipment Installers & Repairers,PS,53980,36500,62720,110,110,,3
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,,,,,,,
49-2098,Security & Fire Alarm Systems Installers,MT OJT,31150,22360,35540,,,,
49-3021,Automotive Body & Related Repairers,MT OJT,33860,24780,38410,260,260,,6
49-3023,Automotive Service Technicians & Mechanics,LT OJT,31700,22760,36180,1740,1770,0.0172,38
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists,LT OJT,33770,23990,38660,490,530,0.0816,15
49-3042,Mobile Heavy Equipment Mechanics,LT OJT,36890,25470,42600,180,190,0.055600000000000004,5
