Coop,LEA,Placements for Students Age 3 - 5 Majority of Services are in Regular Early Childhood Programs TM,UM,Majority of Services are in Other Programs TL,UL,Children not Attending a Regular Early Childhood Program In a SPED Program SP,SS,Not in a SPED Program HO,PL,3-5 Total,,Placements for Students Age 6 - 21 RC,RR,SC,SS,RF,HH,PP,CF,SRS JJA *,6-21 Total
,346,0.041666666666666664,0.5833333333333334,0.20833333333333334,0,0.125,0,0.041666666666666664,0,1,,0.82,0.16,0.02,0,0,0,0,0,0,1
,362,0.07142857142857142,0.25,0.03571428571428571,0,0.6428571428571429,0,0,0,1,,0.6888888888888889,0.2,0.05185185185185185,0.05185185185185185,0,0,0,0.007407407407407408,0,1
,365,0.02702702702702703,0.5135135135135135,0.05405405405405406,0.02702702702702703,0.3783783783783784,0,0,0,1,,0.8592592592592593,0.05925925925925926,0.022222222222222223,0.014814814814814815,0,0,0.037037037037037035,0,0.007407407407407408,1
,367,0.05,0.4,0,0.03333333333333333,0.5166666666666667,0,0,0,1,,0.7222222222222222,0.17222222222222222,0.05555555555555555,0.05,0,0,0,0,0,1
,368,0.02564102564102564,0.48717948717948717,0.05128205128205128,0.02564102564102564,0.41025641025641024,0,0,0,1,,0.5813148788927336,0.1384083044982699,0.02768166089965398,0.01730103806228374,0,0,0.01384083044982699,0,0.22145328719723184,1
,416,0.037037037037037035,0.1111111111111111,0,0,0.8518518518518519,0,0,0,1,,0.8012820512820513,0.09615384615384616,0.03205128205128205,0.01282051282051282,0,0,0.057692307692307696,0,0,1
368 Total,,0.038135593220338986,0.3855932203389831,0.046610169491525424,0.01694915254237288,0.5,0,0.012711864406779662,0,1,,0.7187206020696143,0.13922859830667922,0.03292568203198495,0.03292568203198495,0.05832549388523048,0,0.016933207902163686,0.0009407337723424271,0,1
372,372,0.23076923076923078,0.19230769230769232,0,0.11538461538461539,0.4230769230769231,0,0,0.038461538461538464,1,,0.6533333333333333,0.25333333333333335,0.08,0.013333333333333334,0,0,0,0,0,1
373,373,0.39285714285714285,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.17857142857142858,0,0,0,1,,0.5784671532846716,0.2116788321167883,0.09306569343065693,0.009124087591240875,0.0036496350364963502,0.0018248175182481751,0.02737226277372263,0,0.07481751824817519,1
,440,0.08333333333333333,0.16666666666666666,0.5,0,0.25,0,0,0,1,,0.5727272727272728,0.3,0.12727272727272726,0,0,0,0,0,0,1
,460,0.3333333333333333,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0,0,0,1,,0.75,0.17105263157894737,0.07894736842105263,0,0,0,0,0,0,1
373 Total,,0.33783783783783783,0.1891891891891892,0.20270270270270271,0.06756756756756757,0.20270270270270271,0,0,0,1,,0.5953678474114441,0.22070844686648503,0.09673024523160763,0.010899182561307902,0.05449591280653951,0.0013623978201634877,0.020435967302452316,0,0,1
379,223,0.05263157894736842,0.3157894736842105,0,0,0.631578947368421,0,0,0,1,,0.6304347826086957,0.08695652173913043,0.06521739130434782,0,0,0,0.21739130434782608,0,0,1
,334,0,1,0,0,0,0,0,0,1,,0.7105263157894737,0.21052631578947367,0.07894736842105263,0,0,0,0,0,0,1
,378,0,0.6470588235294118,0,0,0.35294117647058826,0,0,0,1,,0.7428571428571429,0.2,0.047619047619047616,0,0,0,0.009523809523809525,0,0,1
,379,0.044444444444444446,0.5333333333333333,0.08888888888888889,0,0.3333333333333333,0,0,0,1,,0.6487804878048781,0.2731707317073171,0.06829268292682927,0,0,0,0.00975609756097561,0,0,1
,384,0,0.625,0,0,0.375,0,0,0,1,,0.575,0.375,0.05,0,0,0,0,0,0,1
379 Total,,0.03260869565217391,0.532608695652174,0.043478260869565216,0,0.391304347826087,0,0,0,1,,0.6682027649769585,0.23963133640552994,0.06221198156682028,0,0,0,0.029953917050691243,0,0,1
383,383,0.41025641025641024,0.25,0.01282051282051282,0.12179487179487179,0.1987179487179487,0,0,0.00641025641025641,1,,0.6805896805896806,0.20024570024570024,0.085995085995086,0,0,0.002457002457002457,0.030712530712530713,0,0,1
389,389,0.058823529411764705,0,0,0,0.9411764705882353,0,0,0,1,,0.5813953488372093,0.37209302325581395,0.046511627906976744,0,0,0,0,0,0,1
405,376,0.5714285714285714,0,0,0.35714285714285715,0.07142857142857142,0,0,0,1,,0.6557377049180327,0.32786885245901637,0.01639344262295082,0,0,0,0,0,0,1
,401,0,0.3333333333333333,0,0,0.6666666666666666,0,0,0,1,,0.9545454545454546,0.045454545454545456,0,0,0,0,0,0,0,1
,405,0.4838709677419355,0.12903225806451613,0.06451612903225806,0,0.3225806451612903,0,0,0,1,,0.7230769230769231,0.25384615384615383,0.023076923076923078,0,0,0,0,0,0,1
,444,0,0.3333333333333333,0,0.16666666666666666,0.5,0,0,0,1,,0.7413793103448276,0.2413793103448276,0.017241379310344827,0,0,0,0,0,0,1
405 Total,,0.42592592592592593,0.12962962962962962,0.037037037037037035,0.1111111111111111,0.2962962962962963,0,0,0,1,,0.7306273062730627,0.25092250922509224,0.01845018450184502,0,0,0,0,0,0,1
407,407,0.2,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.2,0,0,0,1,,0.5123456790123457,0.4506172839506173,0.037037037037037035,0,0,0,0,0,0,1
409,409,0.2897196261682243,0.07476635514018691,0.3364485981308411,0.08411214953271028,0.205607476635514,0,0,0.009345794392523364,1,,0.5743243243243243,0.23986486486486486,0.11486486486486487,0,0,0,0.07094594594594594,0,0,1
418,400,0.26666666666666666,0.5333333333333333,0.06666666666666667,0.13333333333333333,0,0,0,0,1,,0.7744360902255639,0.21052631578947367,0.007518796992481203,0,0.007518796992481203,0,0,0,0,1
,418,0.6363636363636364,0.25,0.06818181818181818,0,0.022727272727272728,0,0.022727272727272728,0,1,,0.5884057971014492,0.33043478260869563,0.06376811594202898,0,0,0.002898550724637681,0.014492753623188406,0,0,1
,419,0.125,0.75,0,0.125,0,0,0,0,1,,0.6811594202898551,0.2898550724637681,0.028985507246376812,0,0,0,0,0,0,1
,423,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,1,,0.7543859649122807,0.19298245614035087,0.017543859649122806,0,0,0.017543859649122806,0.017543859649122806,0,0,1
,448,0.7142857142857143,0.14285714285714285,0,0,0.14285714285714285,0,0,0,1,,0.711864406779661,0.1864406779661017,0.06779661016949153,0,0,0,0.03389830508474576,0,0,1
418 Total,,0.5,0.3375,0.0625,0.05,0.0375,0,0.0125,0,1,,0.6606334841628959,0.277526395173454,0.04524886877828054,0,0.0015082956259426848,0.0030165912518853697,0.012066365007541479,0,0,1
428,112,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,1,,0.717948717948718,0.28205128205128205,0,0,0,0,0,0,0,1
,355,0.375,0.375,0,0.125,0.125,0,0,0,1,,0.8421052631578947,0.02631578947368421,0.05263157894736842,0,0,0,0.07894736842105263,0,0,1
,403,0,0.75,0.25,0,0,0,0,0,1,,0.76,0.2,0.04,0,0,0,0,0,0,1
,428,0.5263157894736842,0.21052631578947367,0.06578947368421052,0.06578947368421052,0.13157894736842105,0,0,0,1,,0.5571847507331378,0.2991202346041056,0.09970674486803519,0,0,0,0.04398826979472141,0,0,1
,431,0.11764705882352941,0.5882352941176471,0.058823529411764705,0.11764705882352941,0.11764705882352941,0,0,0,1,,0.7884615384615384,0.17307692307692307,0.038461538461538464,0,0,0,0,0,0,1
428 Total,,0.4351851851851852,0.3055555555555556,0.06481481481481481,0.07407407407407407,0.12037037037037036,0,0,0,1,,0.6416819012797075,0.25045703839122485,0.07495429616087751,0,0,0,0.03290676416819013,0,0,1
437,437,0.27358490566037735,0.10377358490566038,0.09433962264150944,0.1509433962264151,0.29245283018867924,0,0.08490566037735849,0,1,,0.6011080332409973,0.2409972299168975,0.06786703601108034,0.03462603878116344,0.004155124653739612,0.002770083102493075,0.030470914127423823,0,0.018005540166204988,1
442,113,0.2857142857142857,0.2857142857142857,0,0.14285714285714285,0.2857142857142857,0,0,0,1,,0.717948717948718,0.20512820512820512,0,0,0,0,0.07692307692307693,0,0,1
