SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
29-2071,Medical Records & Health Information Technicians,PS,32370,21700,37700,100,110,0.1,4
31-1012,"Nursing Aides, Orderlies & Attendants",PS,27300,21440,30230,2390,2580,0.0795,40
31-1013,Psychiatric Aides,ST OJT,,,,100,100,,1
31-2011,Occupational Therapy Assistants,AD,53540,43500,58560,80,100,0.25,3
31-2021,Physical Therapist Assistants,AD,49460,39120,54630,210,250,0.1905,7
31-9091,Dental Assistants,PS,35950,28960,39450,330,370,0.12120000000000002,10
31-9092,Medical Assistants,MT OJT,27900,22420,30640,470,570,0.21280000000000002,16
33-3051,Police & Sheriff's Patrol Officers,MT OJT,59150,44830,66300,760,760,,20
35-1012,Supervisors - Food Preparation & Serving Workers,WK EXP,35970,25500,41200,880,940,0.0682,13
35-2014,"Cooks, Restaurant",MT OJT,27480,18720,31870,780,850,0.0897,28
37-2021,Pest Control Workers,MT OJT,28670,24610,30700,10,10,,0
39-5012,"Hairdressers, Hairstylists & Cosmetologists",PS,27660,19670,31650,990,1190,0.20199999999999999,33
41-1011,Supervisors - Retail Sales Workers,WK EXP,42080,28030,49110,1610,1610,,34
41-2022,Parts Salespersons,MT OJT,39080,27280,44980,280,250,-0.10710000000000001,3
41-3021,Insurance Sales Agents,MT OJT,65360,40740,77670,380,350,-0.07890000000000001,8
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,85410,32340,111940,200,170,-0.15,5
41-4011,"Sales Representatives, Technical & Scientific Products",BD,89530,52500,108050,250,240,-0.04,6
41-4012,Sales Representatives,MT OJT,61100,35870,73720,2620,2500,-0.0458,58
41-9022,Real Estate Sales Agents,LT OJT,46360,27140,55970,540,470,-0.12960000000000002,9
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,52300,35280,60810,1330,1250,-0.060200000000000004,27
43-3011,Bill & Account Collectors,MT OJT,36100,25420,41440,300,340,0.1333,9
43-3021,Billing & Posting Clerks,ST OJT,33300,24500,37710,660,630,-0.0455,8
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,34710,23680,40230,2240,2280,0.0179,39
43-4051,Customer Service Representatives,ST OJT,32980,23410,37760,2780,2870,0.032400000000000005,86
43-4111,Interviewers,ST OJT,29940,21660,34090,40,40,,1
43-4131,Loan Interviewers & Clerks,ST OJT,29580,22750,33000,120,80,-0.3333,2
43-5011,Cargo & Freight Agents,ST OJT,56890,31400,69640,70,80,0.1429,3
43-5061,"Production, Planning & Expediting Clerks",MT OJT,48380,31380,56880,450,430,-0.0444,12
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,34040,23640,39250,1300,1210,-0.0692,31
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,49380,35330,56400,840,820,-0.023799999999999998,13
43-6012,Legal Secretaries,MT OJT,36470,31480,38970,310,300,-0.0323,5
43-6014,Secretaries,ST OJT,31930,23660,36060,2570,2290,-0.10890000000000001,41
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,38740,31400,42410,460,400,-0.13040000000000002,6
43-9061,"Office Clerks, General",ST OJT,29330,20980,33510,4290,4270,-0.0047,79
45-1011,Farm & Forestry Worker Supervisors,WK EXP,42500,34280,46610,100,100,,2
45-2092,"Farmworkers & Laborers, Crop, Nursery & Greenhouse",ST OJT,24800,16500,28940,1680,1780,0.059500000000000004,52
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,62080,46010,70120,680,700,0.0294,13
47-2021,Brickmasons & Blockmasons,LT OJT,45110,29770,52780,130,140,0.07690000000000001,3
47-2031,Carpenters,LT OJT,40300,27830,46530,1460,1530,0.0479,27
47-2051,Cement Masons & Concrete Finishers,MT OJT,42620,31810,48020,220,230,0.0455,7
47-2061,Construction Laborers,ST OJT,32660,24950,36520,910,940,0.033,10
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,41130,32050,45670,420,430,0.023799999999999998,10
47-2111,Electricians,LT OJT,52900,35700,61490,980,980,,26
47-2132,"Insulation Workers, Mechanical",LT OJT,,,,,,,
47-2141,"Painters, Construction & Maintenance",MT OJT,38570,32670,41520,380,400,0.0526,9
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,46110,31670,53330,410,430,0.048799999999999996,11
47-2181,Roofers,MT OJT,40160,26370,47060,310,330,0.0645,9
47-2211,Sheet Metal Workers,LT OJT,59110,37650,69840,260,260,,6
47-4011,Construction & Building Inspectors,WK EXP,50520,37280,57130,200,200,,4
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,,,,10,10,,0
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,,,,,,,
47-5071,"Roustabouts, Oil & Gas",MT OJT,,,,,,,
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,66300,46170,76370,490,460,-0.061200000000000004,11
49-2022,Telecommunications Equipment Installers & Repairers,PS,55580,52290,57230,150,160,0.0667,5
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,,,,,,,
49-2098,Security & Fire Alarm Systems Installers,MT OJT,47350,31010,55510,110,130,0.1818,4
