SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
29-2011,Medical & Clinical Laboratory Technologists,BD,55350,37180,64430,260,260,,4
29-2012,Medical & Clinical Laboratory Technicians,AD,44210,29300,51660,250,270,0.08,6
29-2021,Dental Hygienists,AD,63650,53570,68700,370,410,0.1081,11
29-2031,Cardiovascular Technologists & Technicians,AD,40230,24900,47890,70,80,0.1429,2
29-2032,Diagnostic Medical Sonographers,AD,63280,52650,68590,60,70,0.16670000000000001,2
29-2037,Radiologic Technologists & Technicians,AD,58150,44420,65020,,,,
29-2041,Emergency Medical Technicians & Paramedics,PS,29520,21130,33720,500,540,0.08,10
29-2052,Pharmacy Technicians,MT OJT,25680,18460,29290,520,670,0.28850000000000003,32
29-2055,Surgical Technologists,PS,44340,35550,48740,100,110,0.1,5
29-2056,Veterinary Technologists & Technicians,AD,29590,22630,33070,130,160,0.2308,6
29-2061,Licensed Practical & Licensed Vocational Nurses,PS,41700,33070,46020,1860,2030,0.09140000000000001,68
29-2071,Medical Records & Health Information Technicians,PS,31160,22540,35480,290,310,0.069,11
31-1012,"Nursing Aides, Orderlies & Attendants",PS,27160,22240,29620,3260,3640,0.1166,67
31-1013,Psychiatric Aides,ST OJT,,,,20,20,,0
31-2011,Occupational Therapy Assistants,AD,46970,37100,51900,40,40,,1
31-2021,Physical Therapist Assistants,AD,48070,36600,53800,90,110,0.22219999999999998,3
31-9091,Dental Assistants,PS,32950,24030,37420,470,520,0.10640000000000001,13
31-9092,Medical Assistants,MT OJT,28600,23880,30960,640,770,0.20309999999999997,21
33-3051,Police & Sheriff's Patrol Officers,MT OJT,64200,49120,71740,890,860,-0.0337,24
35-1012,Supervisors - Food Preparation & Serving Workers,WK EXP,32560,25250,36220,1390,1510,0.0863,23
35-2014,"Cooks, Restaurant",MT OJT,24750,21500,26370,980,1070,0.09179999999999999,36
37-2021,Pest Control Workers,MT OJT,30670,27480,32270,70,70,,2
39-5012,"Hairdressers, Hairstylists & Cosmetologists",PS,24470,17580,27910,1340,1520,0.1343,35
41-1011,Supervisors - Retail Sales Workers,WK EXP,40320,26060,47450,1720,1720,,36
41-2022,Parts Salespersons,MT OJT,37410,25990,43120,470,410,-0.1277,5
41-3021,Insurance Sales Agents,MT OJT,78950,45280,95790,650,680,0.0462,17
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,61690,30900,77090,230,230,,7
41-4011,"Sales Representatives, Technical & Scientific Products",BD,81380,45660,99240,400,400,,10
41-4012,Sales Representatives,MT OJT,62120,34280,76040,3790,3770,-0.0053,84
41-9022,Real Estate Sales Agents,LT OJT,42100,27010,49640,440,390,-0.11359999999999999,7
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,51990,35590,60190,1770,1650,-0.0678,37
43-3011,Bill & Account Collectors,MT OJT,37460,24940,43720,390,400,0.0256,7
43-3021,Billing & Posting Clerks,ST OJT,30260,24390,33200,990,890,-0.10099999999999999,13
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,34570,23300,40210,3290,3330,0.012199999999999999,56
43-4051,Customer Service Representatives,ST OJT,35130,23680,40860,3180,3390,0.066,109
43-4111,Interviewers,ST OJT,,,,160,180,0.125,6
43-4131,Loan Interviewers & Clerks,ST OJT,33430,24780,37760,300,240,-0.2,5
43-5011,Cargo & Freight Agents,ST OJT,42860,27080,50750,20,20,,1
43-5061,"Production, Planning & Expediting Clerks",MT OJT,48530,35550,55030,690,670,-0.028999999999999998,19
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,32210,23450,36590,1720,1630,-0.052300000000000006,41
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,43810,30290,50570,1370,1370,,22
43-6012,Legal Secretaries,MT OJT,33650,27880,36540,300,280,-0.0667,5
43-6014,Secretaries,ST OJT,29960,21560,34160,3200,2900,-0.09380000000000001,51
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,37640,32020,40460,300,270,-0.1,4
43-9061,"Office Clerks, General",ST OJT,28980,19720,33610,5630,5590,-0.0070999999999999995,103
45-1011,Farm & Forestry Worker Supervisors,WK EXP,52710,41890,58120,180,200,0.11109999999999999,5
45-2092,"Farmworkers & Laborers, Crop, Nursery & Greenhouse",ST OJT,25940,17730,30050,3320,3590,0.08130000000000001,111
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,65540,47890,74370,1190,1230,0.0336,21
47-2021,Brickmasons & Blockmasons,LT OJT,46430,35830,51730,680,700,0.0294,16
47-2031,Carpenters,LT OJT,36800,26780,41810,4090,4270,0.044000000000000004,73
47-2051,Cement Masons & Concrete Finishers,MT OJT,40440,29340,45990,570,590,0.0351,19
47-2061,Construction Laborers,ST OJT,31370,20730,36690,1620,1680,0.037000000000000005,18
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,43700,33590,48750,740,770,0.0405,17
47-2111,Electricians,LT OJT,39910,29700,45010,1160,1180,0.0172,33
47-2132,"Insulation Workers, Mechanical",LT OJT,50340,34660,58180,80,80,,2
47-2141,"Painters, Construction & Maintenance",MT OJT,35880,26800,40410,750,790,0.0533,17
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,42310,32260,47340,730,770,0.0548,18
47-2181,Roofers,MT OJT,35620,28920,38970,290,300,0.0345,9
47-2211,Sheet Metal Workers,LT OJT,43720,33880,48640,430,410,-0.04650000000000001,10
47-4011,Construction & Building Inspectors,WK EXP,47470,30740,55830,100,100,,2
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,,,,,,,
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,,,,,,,
47-5071,"Roustabouts, Oil & Gas",MT OJT,,,,,,,
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,63330,47090,71440,640,630,-0.015600000000000001,15
49-2022,Telecommunications Equipment Installers & Repairers,PS,51660,37390,58800,150,150,,4
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,,,,10,10,,0
49-2098,Security & Fire Alarm Systems Installers,MT OJT,43180,31310,49120,130,130,,3
