[To view course data click on Subject Name below] Subject,AY07-08 SU07,FA07,SP08,AY08-09 SU08,FA08,SP09,AY09-10 SU09,FA09,SP10,AY10-11 SU10,FA10,SP11,AY11-12 SU11,FA11,SP12,AY12-13 SU12,FA12,SP13
English,63.58409999999932,285.1146999999982,278.1707999999969,70.0844999999993,302.66550000000046,297.14049999999963,34.86159999999995,282.2246999999969,280.30479999999744,3.427500000000002,253.4544999999941,257.70799999999304,0,240.74489999999378,259.4997999999947,13.045800000000021,220.6652999999967,247.83909999999395
Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0.6,0,3.700700000000002,1.5000000000000002
Environment Science,1.8522,20.11870000000002,20.700000000000024,2.5347999999999997,26.70000000000011,25.100000000000087,5.759600000000003,26.281200000000112,24.678300000000092,0,23.37540000000007,21.69220000000005,0,20.88120000000004,24.389900000000086,0,17.186999999999987,17.967799999999993
Earth Science,,,,,,,,,,,,,,,,,,
English as a Second Language,0,0,0,0,0,7.765000000000008,2.1021999999999994,17.200500000000005,19.201699999999985,0,20.26199999999998,23.105399999999975,0,22.65549999999998,23.28619999999994,0,22.40259999999995,16.01910000000002
Fire Technology,1.9569999999999999,12.599999999999971,10.993899999999996,3.018100000000001,22.110900000000022,12.799499999999998,0,21.996000000000056,13.30729999999998,0,17.410199999999993,19.192800000000013,0,13.778299999999975,23.775200000000037,0,13.381199999999975,16.981699999999982
French,1.0284,15.368900000000014,11.1018,2.0799999999999996,18.3361,8.368099999999995,0,19.80359999999999,12.235000000000007,0,23.03679999999996,20.569999999999983,0,22.436799999999963,19.40309999999999,0,22.66999999999996,23.336799999999958
Geography,2.0637,23.789200000000047,14.535299999999973,0.45699999999999996,20.379800000000028,25.676700000000096,0.0171,31.743900000000092,29.471500000000013,0,25.99959999999999,24.64210000000008,0,28.981200000000044,29.70610000000007,0,15.461399999999983,12.625599999999999
Geology,0,9.194700000000001,7.594700000000002,0,13.143499999999987,13.143499999999989,0,17.89059999999998,16.253199999999968,0,16.37939999999998,13.742699999999992,0,17.882199999999962,12.399999999999988,0,17.879399999999972,17.202199999999976
Gerontology,,,,,,,,,,,,,,,,,,
Guidance,3.6211000000000007,23.573300000000046,16.808199999999992,3.9849000000000006,22.843300000000085,20.26470000000004,0.6517,21.749700000000065,23.07590000000009,0.7202999999999999,19.247500000000027,18.398100000000017,0,16.667100000000005,21.495800000000067,0.44589999999999996,18.954700000000052,19.82280000000003
Honors Enrichment Program,0,1.3,1.9000000000000006,0,2.3000000000000007,1.7000000000000004,0,2.500000000000001,1.5000000000000002,0,2.2000000000000006,3.1000000000000014,0,1.8000000000000005,3.3000000000000016,0,1.6000000000000003,1.5000000000000002
History,12.7589,106.92179999999877,91.46489999999955,16.14450000000002,115.2224999999978,111.91919999999837,8.134600000000008,129.1505999999977,117.58429999999787,9.106800000000007,96.09729999999882,102.89999999999843,0,86.36739999999942,100.30029999999857,4.1756,75.56710000000002,79.99999999999973
Horticulture,0,2.8856999999999995,1.9000000000000006,0,6.4793,4.3149,0,12.517000000000005,7.799999999999988,0,6.720900000000002,14.901299999999983,0,7.8204,12.201099999999988,0,6.8999999999999915,7.300499999999997
Health Science,2.6754000000000002,29.54930000000016,22.200000000000045,3.016200000000001,18.843500000000006,19.34210000000002,0,24.91800000000009,13.144999999999978,0,12.362399999999989,11.999999999999973,0,15.372499999999969,11.899999999999974,0,13.563799999999972,15.624699999999969
Humanities,0,3.600000000000002,5.100299999999998,0,3.5000000000000018,7.267599999999994,0,2.800000000000001,6.867399999999992,0,3.900000000000002,7.400799999999991,0,3.600000000000002,4.5009,0,3.5000000000000018,4.3342
LEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,2.600000000000001,2.500000000000001,0,0,0.0067
Legal Assistant,0,2.9000000000000012,2.794500000000002,0,1.9422999999999997,3.0039000000000016,0,3.700000000000002,4.300000000000001,0,4.000000000000002,3.900000000000002,0,4.5,4.699999999999999,0,4.000000000000002,3.700000000000002
Library Science,0,1.7000000000000004,0.5145,0,0.7624999999999995,0.5794999999999997,0,0.9260999999999999,0,0,0,0,0,0,0,0,0,0
Learning Skills,0.10640000000000001,3.9372000000000016,5.060000000000002,0.4570000000000001,5.7122,6.0722,0,7.608599999999994,7.70019999999999,0,7.212499999999995,7.136199999999993,0,7.209199999999996,7.089599999999994,0,7.167899999999994,7.171599999999992
Mathematics,82.08550000000007,366.1239000000051,350.3513000000008,82.70959999999928,378.6012000000038,353.19980000000106,76.92529999999937,395.1033000000019,352.9625000000007,27.629699999999985,316.59579999999943,319.0900999999973,0,304.31659999999624,362.0163999999983,17.378700000000027,279.55289999999536,345.37510000000066
Management/Supervision,0,5.4999999999999964,4.799999999999999,0,8.599999999999985,9.399999999999983,0,9.199999999999983,9.799999999999981,0,12.299999999999972,9.099999999999984,0,11.999999999999973,12.099999999999973,0,11.299999999999976,4.200000000000001
Multimedia,1.7493,24.405600000000067,34.11720000000016,4.781300000000003,37.7191000000002,36.74410000000021,0,40.564500000000265,46.11860000000024,0,43.00110000000021,43.85230000000027,0,35.07840000000021,30.802300000000116,0.0513,38.18210000000022,34.01280000000021
Music,5.828199999999995,52.58720000000048,51.05930000000047,9.11760000000001,63.63520000000064,75.1333,0,88.1317999999992,75.50059999999999,0,74.47580000000013,77.45179999999988,0,73.73460000000003,79.37789999999988,0,72.99970000000012,65.18290000000056
Networking,0,2.3363,3.4732000000000016,0,6.078800000000005,3.656000000000002,0,3.073700000000001,1.2,0,3.600000000000002,3.3000000000000016,0,1.8000000000000005,2.2000000000000006,0,0,0
Nursing,3.2479000000000036,183.25059999999925,192.37319999999897,5.668900000000002,158.2781999999995,170.24159999999986,6.102300000000004,200.7076999999993,191.99529999999893,4.916799999999999,161.81299999999948,160.97249999999963,0,104.47479999999976,84.54109999999986,0,85.32639999999964,79.8782999999998
Nutrition,4.5276000000000005,18.599999999999994,14.999999999999963,2.7420000000000004,16.699999999999967,11.199999999999976,0,12.69999999999997,13.599999999999968,0,11.799999999999974,7.999999999999988,0,12.499999999999972,8.299999999999986,0,10.29999999999998,10.799999999999978
Occupational Internship,0,0.43450000000000005,0.5084000000000001,0,0.201,0.8019999999999999,0,0,0,0,0,0,0,0,0.1333,0,0,0.1
Office Technology,1.6464,4.801699999999999,5.335699999999998,0,6.414499999999995,5.699999999999996,0,5.799999999999995,6.530699999999993,0,5.699999999999996,5.4999999999999964,0,8.481199999999996,7.86959999999999,0,5.299999999999997,5.599999999999996
Physical Education,5.337700000000002,44.17950000000026,38.9439000000002,6.187900000000005,52.311600000000325,56.45190000000037,4.095099999999998,60.69630000000021,64.76660000000034,7.449900000000007,59.715000000000124,55.73010000000013,0,38.23220000000028,53.73700000000023,0,54.448900000000236,41.21320000000011
PEIC,0,0,0,0,0,0,0,0,0,0,0,0,6.599599999999995,3.966099999999999,5.337399999999999,7.267200000000002,3.0328999999999997,4.899299999999998
Philosophy,5.6595,38.96590000000023,38.198500000000166,6.489400000000006,41.9138000000003,45.99900000000033,0,36.565600000000224,24.098800000000036,0,22.43220000000002,24.299100000000042,0,22.199000000000048,26.83230000000011,0,22.56560000000002,25.831100000000017
Photography,0,10.357999999999986,12.80029999999997,0,16.03329999999996,20.31940000000003,0,18.29999999999999,21.500000000000036,0,24.800000000000082,23.260000000000066,0,30.708000000000133,29.876200000000157,0,28.504000000000122,28.400000000000134
Physics,4.549500000000001,15.199999999999967,5.860900000000001,5.3344000000000005,22.70000000000001,8.399999999999991,3.3818000000000015,21.40000000000001,11.499999999999982,0,24.500000000000007,19.59999999999999,0,23.83330000000001,18.999999999999968,0,22.7,19.499999999999964
Portuguese,0,0,0,0,0,0,0,0,5.501099999999997,0,2.3338000000000005,0.7998,0,0,0,0,0,0
Political Science,10.392900000000001,73.77320000000002,71.75590000000024,12.521800000000015,78.2046999999998,86.49999999999936,4.478600000000003,83.59999999999953,80.29999999999971,4.745,64.00000000000064,62.10000000000061,0,56.30000000000053,62.76670000000062,4.9348,56.20000000000053,55.60000000000052
Psychology,7.7175,84.11460000000007,83.72179999999996,9.87120000000001,89.83199999999921,84.82039999999968,3.747400000000002,93.54839999999933,86.49429999999943,1.2128999999999996,78.6999999999998,76.10019999999994,0,70.50000000000027,75.89999999999996,0,63.000000000000625,60.900000000000595
Real Estate,3.087,19.43400000000001,10.91829999999998,2.2638000000000003,5.899999999999995,11.56019999999998,0,16.096599999999963,20.518300000000025,0,20.151700000000023,20.334200000000024,0,19.252100000000013,15.307400000000017,0,16.83599999999998,13.18409999999997
Reading,0,11.699999999999974,6.799999999999992,0,9.89999999999998,11.799999999999974,0,12.79999999999997,10.999999999999977,0,13.599999999999984,12.799999999999986,0,12.399999999999988,11.59999999999999,0,0,0
Sustainable Energy Management,0,0,0,0,0,0,0,0,0,0,0,3.800000000000002,0,0,2.700000000000001,0,2.2000000000000006,0
Sociology,4.9392000000000005,56.05440000000042,52.88850000000032,7.677600000000008,62.35270000000042,69.55550000000024,3.2904000000000013,83.52730000000034,76.74959999999986,0,69.2313000000002,66.38620000000043,0,62.900000000000624,56.600000000000534,0,57.50000000000055,49.40000000000043
Spanish,15.357000000000017,56.24139999999971,55.59699999999975,16.38960000000001,61.87579999999966,65.14679999999969,5.120000000000002,64.48879999999964,60.27989999999968,0,64.42089999999966,64.39399999999965,0,63.061599999999686,63.08699999999967,0,57.739599999999704,49.76049999999972
Teaching Assistant,0.6174,0.8544999999999999,0.9946999999999999,1.5777999999999999,1.3719999999999999,1.8716999999999993,0,2.1438999999999995,2.001,0,0,2.2827,0,2.800000000000001,3.5000000000000018,2.847,0,0
Theater Arts,0.8232,14.834699999999975,17.833799999999982,0.6398,24.201300000000053,20.590800000000034,0,26.703800000000108,25.70350000000007,0,26.11610000000003,26.219500000000064,0,24.895700000000016,23.867800000000056,0,20.42320000000002,13.173099999999987
Viticulture and Enology,0,0,0,0,0,0,0,1.9000000000000006,4.799999999999999,0,0,0.006,0,0.1666,0.2668,0.0114,0,0
Water Technology,2.7439999999999998,18.068000000000005,17.89929999999999,4.0131,27.796600000000065,19.8951,0,26.43280000000011,14.466399999999979,0,15.337799999999989,17.289800000000014,0,12.573199999999986,11.00010000000001,0,8.799999999999985,8.399999999999986
