Table 1A: FE and Skills Participation by Age and Ethnicity (2008/09 to 2013/14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed/ Multiple Ethnic Group,90,1.9%,"2,790",1.7%,"10,420",1.2%,"13,210",1.3%,"13,300",1.3%,200,2.3%,"3,030",1.9%,"9,760",1.2%,"12,790",1.3%,"12,990",1.3%,190,2.4%,"2,780",2.1%,"7,810",1.3%,"10,590",1.4%,"10,780",1.4%,250,4.0%,"1,400",2.0%,"5,470",1.4%,"6,870",1.5%,"7,120",1.5%,180,3.4%,940,2.1%,"3,210",1.5%,"4,150",1.6%,"4,330",1.6%,120,3.6%,550,2.0%,"1,600",1.5%,"2,140",1.6%,"2,270",1.6%,1.0%,1.2%
Other Ethnic Group,50,1.1%,"2,110",1.3%,"15,080",1.7%,"17,190",1.7%,"17,240",1.7%,90,1.1%,"1,820",1.1%,"13,960",1.7%,"15,790",1.6%,"15,880",1.6%,60,0.8%,"1,550",1.2%,"10,730",1.7%,"12,280",1.6%,"12,340",1.6%,40,0.6%,810,1.1%,"5,980",1.6%,"6,790",1.5%,"6,820",1.5%,40,0.8%,420,0.9%,"3,370",1.5%,"3,790",1.4%,"3,830",1.4%,30,1.0%,180,0.7%,"1,470",1.3%,"1,650",1.2%,"1,690",1.2%,2.0%,2.0%
Total BAME,550,11.8%,"22,160",13.8%,"148,250",17.1%,"170,420",16.6%,"170,960",16.5%,940,11.1%,"20,340",12.8%,"132,770",16.3%,"153,110",15.7%,"154,050",15.7%,820,10.0%,"18,540",13.8%,"109,170",17.6%,"127,700",17.0%,"128,520",16.9%,"1,200",19.1%,"10,320",14.6%,"70,980",18.4%,"81,300",17.9%,"82,500",17.9%,930,17.9%,"6,100",13.5%,"43,370",19.6%,"49,470",18.6%,"50,400",18.5%,490,14.2%,"2,860",10.6%,"18,570",16.9%,"21,440",15.7%,"21,930",15.7%,14.2%,14.5%
White,"3,990",86.1%,"135,370",84.2%,"701,820",80.8%,"837,180",81.3%,"841,170",81.3%,"7,320",86.2%,"136,030",85.6%,"667,470",82.1%,"803,500",82.6%,"810,820",82.7%,"7,090",87.2%,"113,500",84.6%,"500,750",80.9%,"614,260",81.5%,"621,350",81.6%,"5,040",80.1%,"59,390",84.2%,"308,670",80.2%,"368,060",80.8%,"373,100",80.8%,"4,180",80.6%,"38,290",85.0%,"174,280",78.6%,"212,560",79.7%,"216,740",79.7%,"2,570",74.2%,"23,290",86.6%,"88,370",80.6%,"111,660",81.8%,"114,230",81.6%,85.7%,85.4%
Not Known/Not Provided,100,2.2%,"3,260",2.0%,"18,570",2.1%,"21,830",2.1%,"21,930",2.1%,230,2.7%,"2,560",1.6%,"13,040",1.6%,"15,600",1.6%,"15,820",1.6%,220,2.7%,"2,100",1.6%,"9,190",1.5%,"11,290",1.5%,"11,510",1.5%,50,0.8%,790,1.1%,"5,190",1.3%,"5,980",1.3%,"6,030",1.3%,80,1.6%,650,1.5%,"4,000",1.8%,"4,660",1.7%,"4,740",1.7%,400,11.6%,730,2.7%,"2,750",2.5%,"3,480",2.5%,"3,880",2.8%,0.1%,0.1%
Grand Total,"4,600",100.0%,"160,800",100.0%,"868,600",100.0%,"1,029,400",100.0%,"1,034,100",100.0%,"8,500",100.0%,"158,900",100.0%,"813,300",100.0%,"972,200",100.0%,"980,700",100.0%,"8,100",100.0%,"134,100",100.0%,"619,100",100.0%,"753,200",100.0%,"761,400",100.0%,"6,300",100.0%,"70,500",100.0%,"384,800",100.0%,"455,300",100.0%,"461,600",100.0%,"5,200",100.0%,"45,000",100.0%,"221,600",100.0%,"266,700",100.0%,"271,900",100.0%,"3,500",100.0%,"26,900",100.0%,"109,700",100.0%,"136,600",100.0%,"140,000",100.0%,100.0%,100.0%
Table 1D: Education and Training Participation by Age and Ethnicity (2008/09 to 2013/14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Funded Learners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Population
(ages 19-64)",
,2008/09,,,,,,,,,,2009/10,,,,,,,,,,2010/11,,,,,,,,,,2011/12,,,,,,,,,,2012/13,,,,,,,,,,2013/14,,,,,,,,,,2012,2013
,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,,
Ethnicity,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number ,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,,
Asian/ Asian British,"67,540",7.7%,"34,530",9.7%,"120,790",9.0%,"155,330",9.2%,"222,860",8.7%,"69,490",7.8%,"32,570",9.4%,"111,190",9.6%,"143,770",9.5%,"213,250",8.9%,"70,940",8.0%,"30,170",9.9%,"101,640",11.2%,"131,820",10.9%,"202,760",9.7%,"72,220",8.2%,"35,500",9.4%,"121,060",10.6%,"156,560",10.3%,"228,780",9.5%,"71,480",8.2%,"36,660",8.4%,"128,670",9.6%,"165,330",9.3%,"236,820",8.9%,"67,580",8.3%,"32,540",8.3%,"116,710",9.6%,"149,250",9.3%,"216,830",9.0%,7.8%,8.0%
Black/ African/ Caribbean/ Black British,"47,990",5.5%,"29,070",8.1%,"100,230",7.5%,"129,300",7.6%,"177,290",6.9%,"47,530",5.3%,"28,580",8.3%,"96,390",8.3%,"124,970",8.3%,"172,490",7.2%,"48,030",5.4%,"26,550",8.7%,"89,050",9.8%,"115,610",9.5%,"163,640",7.8%,"48,620",5.5%,"32,090",8.5%,"115,000",10.1%,"147,080",9.7%,"195,700",8.2%,"47,550",5.5%,"33,300",7.6%,"127,230",9.5%,"160,530",9.0%,"208,080",7.8%,"44,500",5.5%,"29,470",7.6%,"114,460",9.4%,"143,920",9.0%,"188,420",7.8%,3.3%,3.2%
Mixed/ Multiple Ethnic Group,"28,340",3.3%,"11,770",3.3%,"23,930",1.8%,"35,700",2.1%,"64,040",2.5%,"29,750",3.3%,"12,330",3.6%,"22,890",2.0%,"35,220",2.3%,"64,970",2.7%,"30,000",3.4%,"11,630",3.8%,"21,000",2.3%,"32,630",2.7%,"62,640",3.0%,"31,140",3.5%,"14,580",3.8%,"28,950",2.5%,"43,530",2.9%,"74,660",3.1%,"31,830",3.7%,"16,840",3.8%,"34,710",2.6%,"51,560",2.9%,"83,380",3.1%,"31,310",3.9%,"15,140",3.9%,"32,960",2.7%,"48,100",3.0%,"79,400",3.3%,1.0%,1.2%
Other Ethnic Group,"10,810",1.2%,"9,170",2.6%,"36,460",2.7%,"45,620",2.7%,"56,430",2.2%,"12,090",1.4%,"9,080",2.6%,"35,630",3.1%,"44,710",3.0%,"56,800",2.4%,"11,220",1.3%,"7,400",2.4%,"31,130",3.4%,"38,540",3.2%,"49,750",2.4%,"11,360",1.3%,"8,340",2.2%,"35,820",3.1%,"44,160",2.9%,"55,520",2.3%,"11,690",1.3%,"9,130",2.1%,"39,570",2.9%,"48,700",2.7%,"60,390",2.3%,"11,720",1.4%,"8,110",2.1%,"37,520",3.1%,"45,640",2.8%,"57,350",2.4%,2.0%,2.0%
Total BAME,"154,680",17.7%,"84,540",23.6%,"281,410",21.1%,"365,950",21.6%,"520,630",20.3%,"158,850",17.7%,"82,560",23.9%,"266,100",22.9%,"348,660",23.2%,"507,510",21.1%,"160,200",18.1%,"75,760",24.9%,"242,830",26.7%,"318,590",26.3%,"478,780",22.8%,"163,330",18.5%,"90,510",23.9%,"300,830",26.4%,"391,340",25.8%,"554,670",23.1%,"162,550",18.7%,"95,940",21.9%,"330,180",24.6%,"426,120",23.9%,"588,670",22.2%,"155,100",19.1%,"85,260",21.9%,"301,650",24.9%,"386,910",24.1%,"542,010",22.5%,14.2%,14.5%
White,"703,290",80.7%,"263,730",73.7%,"1,010,620",75.6%,"1,274,350",75.2%,"1,977,640",77.1%,"724,370",80.9%,"254,040",73.5%,"859,160",74.0%,"1,113,190",73.9%,"1,837,570",76.5%,"714,880",80.6%,"221,740",73.0%,"641,810",70.6%,"863,550",71.2%,"1,578,420",75.2%,"709,040",80.3%,"281,390",74.2%,"811,830",71.3%,"1,093,220",72.0%,"1,802,270",75.1%,"696,180",80.1%,"332,810",76.1%,"981,740",73.0%,"1,314,550",73.8%,"2,010,730",75.9%,"642,490",79.3%,"296,220",76.0%,"882,200",72.7%,"1,178,430",73.5%,"1,820,920",75.4%,85.7%,85.4%
Not Known/Not Provided,"13,870",1.6%,"9,480",2.6%,"44,330",3.3%,"53,810",3.2%,"67,670",2.6%,"12,070",1.3%,"8,990",2.6%,"34,980",3.0%,"43,970",2.9%,"56,030",2.3%,"11,570",1.3%,"6,400",2.1%,"24,870",2.7%,"31,270",2.6%,"42,840",2.0%,"10,250",1.2%,"7,220",1.9%,"26,210",2.3%,"33,430",2.2%,"43,680",1.8%,"9,930",1.1%,"8,680",2.0%,"32,880",2.4%,"41,560",2.3%,"51,490",1.9%,"12,460",1.5%,"8,450",2.2%,"29,940",2.5%,"38,390",2.4%,"50,840",2.1%,0.1%,0.1%
Grand Total,"871,800",100.0%,"357,700",100.0%,"1,336,400",100.0%,"1,694,100",100.0%,"2,565,900",100.0%,"895,300",100.0%,"345,600",100.0%,"1,160,200",100.0%,"1,505,800",100.0%,"2,401,100",100.0%,"886,600",100.0%,"303,900",100.0%,"909,500",100.0%,"1,213,400",100.0%,"2,100,000",100.0%,"882,600",100.0%,"379,100",100.0%,"1,138,900",100.0%,"1,518,000",100.0%,"2,400,600",100.0%,"868,700",100.0%,"437,400",100.0%,"1,344,800",100.0%,"1,782,200",100.0%,"2,650,900",100.0%,"810,000",100.0%,"389,900",100.0%,"1,213,800",100.0%,"1,603,700",100.0%,"2,413,800",100.0%,100.0%,100.0%
Table 1E: FE and Skills - English and Maths Participation by Age and Ethnicity (2008/09 to 2013/14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Funded Learners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Population
(ages 19-64)",
,2008/09,,,,,,,,,,2009/10,,,,,,,,,,2010/11,,,,,,,,,,2011/12,,,,,,,,,,2012/13,,,,,,,,,,2013/14,,,,,,,,,,2012,2013
,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,,
Ethnicity,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number ,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,,
