"Table 3.2: Time served by prisoners released from determinate sentences by sentence length, and sex",,,,,,Contents
Extended determinate sentence,38.8,39.2,47.4,41.4,45.2,16%
"Percentage of time served including remand (1,2)",59%,59%,61%,61%,61%,1pp
Less than or equal to 6 months,86%,79%,89%,97%,99%,14pp
Greater than 6 months to less than 12 months,62%,63%,63%,66%,63%,0pp
12 months to less than 4 years,55%,55%,57%,56%,56%,0pp
12 months to less than 2 years,56%,54%,58%,57%,58%,3pp
2 years to less than 4 years,55%,56%,57%,56%,55%,-0pp
4 years or more (excluding indeterminate sentences),58%,59%,58%,58%,58%,-0pp
4 years to less than 5 years,59%,59%,60%,60%,59%,-0pp
5 years to less than 7 years,58%,58%,58%,59%,60%,2pp
7 years to less than 10 years,57%,61%,58%,58%,56%,-1pp
10 years to less than 14 years,58%,56%,56%,55%,56%,-3pp
14 years or more (excluding indeterminate sentences),61%,51%,56%,53%,57%,-4pp
Extended determinate sentence,71%,79%,92%,78%,78%,7pp
,"Jan-Mar
2016","Apr-Jun
2016","Jul-Sep 
2016",Oct-Dec 2016,Jan-Mar 2017,"Percentage change
Jan-Mar
2016 to 2017"
Males,,,,,,
Average sentence length in months,19.2,18.8,19.4,19.4,19.5,1%
Less than or equal to 6 months,3.2,3.2,3.1,3.1,3.1,-1%
Greater than 6 months to less than 12 months,8.6,8.5,8.6,8.4,8.4,-2%
12 months to less than 4 years,24.4,24.3,24.6,25.0,24.7,1%
12 months to less than 2 years,15.8,15.8,15.8,15.9,15.8,0%
2 years to less than 4 years,32.4,32.3,32.4,32.4,32.1,-1%
4 years or more (excluding indeterminate sentences),76.3,75.8,77.2,76.4,77.3,1%
4 years to less than 5 years,50.7,50.9,50.7,50.9,50.9,0%
5 years to less than 7 years,67.9,67.4,67.6,67.5,68.3,1%
7 years to less than 10 years,95.5,95.3,96.8,95.6,96.2,1%
10 years to less than 14 years,132.6,131.5,133.0,132.3,134.6,2%
14 years or more (excluding indeterminate sentences),189.6,198.2,194.9,197.8,194.4,3%
Extended determinate sentence,55.0,49.2,51.3,53.5,58.4,6%
Average time served including remand in months,11.6,11.2,11.9,12.0,12.0,3%
Less than or equal to 6 months,2.9,2.7,3.0,3.3,3.4,16%
Greater than 6 months to less than 12 months,5.5,5.6,5.7,5.7,5.5,-0%
12 months to less than 4 years,13.8,13.7,14.3,14.4,13.9,1%
12 months to less than 2 years,9.0,8.6,9.3,9.2,9.4,4%
2 years to less than 4 years,18.0,18.5,18.7,18.5,17.7,-2%
4 years or more (excluding indeterminate sentences),44.6,44.5,45.3,44.6,45.1,1%
4 years to less than 5 years,30.2,30.2,30.7,30.5,30.2,0%
5 years to less than 7 years,39.6,39.3,39.7,40.2,41.1,4%
7 years to less than 10 years,54.6,57.8,55.8,55.5,53.7,-1%
10 years to less than 14 years,77.5,73.6,74.2,72.5,75.0,-3%
14 years or more (excluding indeterminate sentences),115.0,101.4,110.1,104.0,109.9,-4%
Extended determinate sentence,38.8,39.3,47.4,42.0,45.4,17%
"Percentage of time served including remand (1,2)",60%,60%,61%,62%,61%,1pp
Less than or equal to 6 months,92%,83%,95%,105%,107%,16pp
Greater than 6 months to less than 12 months,64%,65%,66%,68%,65%,1pp
12 months to less than 4 years,56%,56%,58%,57%,56%,0pp
12 months to less than 2 years,57%,55%,59%,58%,60%,2pp
2 years to less than 4 years,56%,57%,58%,57%,55%,-1pp
4 years or more (excluding indeterminate sentences),58%,59%,59%,58%,58%,-0pp
4 years to less than 5 years,60%,59%,61%,60%,59%,-0pp
5 years to less than 7 years,58%,58%,59%,60%,60%,2pp
7 years to less than 10 years,57%,61%,58%,58%,56%,-1pp
10 years to less than 14 years,58%,56%,56%,55%,56%,-3pp
14 years or more (excluding indeterminate sentences),61%,51%,56%,53%,57%,-4pp
Extended determinate sentence,71%,80%,92%,78%,78%,7pp
,"Jan-Mar
2016","Apr-Jun
2016","Jul-Sep 
2016",Oct-Dec 2016,Jan-Mar 2017,"Percentage change
Jan-Mar
2016 to 2017"
Females,,,,,,
Average sentence length in months,11.7,10.7,10.8,10.7,10.4,-11%
Less than or equal to 6 months,3.0,2.9,2.9,2.9,2.9,-4%
Greater than 6 months to less than 12 months,8.5,8.5,8.5,8.2,8.2,-3%
12 months to less than 4 years,23.3,23.5,23.2,22.9,23.4,0%
12 months to less than 2 years,15.7,15.6,15.6,15.6,15.5,-1%
2 years to less than 4 years,30.9,31.3,31.0,31.3,31.1,1%
4 years or more (excluding indeterminate sentences),69.5,66.0,69.8,70.5,69.7,0%
4 years to less than 5 years,51.6,49.6,49.2,50.5,50.2,-3%
5 years to less than 7 years,65.9,64.3,66.1,67.2,65.4,-1%
7 years to less than 10 years,98.6,96.1,95.9,91.0,91.6,-7%
10 years to less than 14 years,132.0,130.1,136.1,128.1,135.6,3%
14 years or more (excluding indeterminate sentences),-,-,260.1,180.1,-,-
Extended determinate sentence,-,55.0,-,48.0,48.0,-
Average time served including remand in months,5.3,4.9,4.9,4.8,4.6,-12%
Less than or equal to 6 months,1.2,1.2,1.2,1.1,1.2,-5%
Greater than 6 months to less than 12 months,3.6,3.5,3.7,3.4,3.2,-12%
12 months to less than 4 years,9.7,9.7,9.6,9.6,10.0,3%
12 months to less than 2 years,6.0,5.6,6.4,6.5,6.3,4%
2 years to less than 4 years,13.5,13.8,13.0,13.2,13.6,1%
4 years or more (excluding indeterminate sentences),37.2,37.7,36.1,36.9,37.2,0%
4 years to less than 5 years,28.8,26.5,24.5,24.8,24.3,-15%
5 years to less than 7 years,36.2,38.3,33.3,35.4,34.8,-4%
7 years to less than 10 years,47.4,59.5,55.5,50.4,52.2,10%
10 years to less than 14 years,69.0,64.0,69.0,61.7,71.6,4%
14 years or more (excluding indeterminate sentences),-,-,129.0,93.0,-,-
Extended determinate sentence,-,37.0,-,32.0,39.5,-
"Percentage of time served including remand (1,2)",45%,46%,45%,44%,44%,-1pp
Less than or equal to 6 months,40%,43%,42%,39%,40%,-1pp
Greater than 6 months to less than 12 months,42%,41%,44%,41%,38%,-4pp
12 months to less than 4 years,42%,41%,41%,42%,43%,1pp
12 months to less than 2 years,38%,36%,41%,42%,41%,2pp
2 years to less than 4 years,44%,44%,42%,42%,44%,0pp
4 years or more (excluding indeterminate sentences),54%,57%,52%,52%,53%,-0pp
4 years to less than 5 years,56%,53%,50%,49%,48%,-7pp
5 years to less than 7 years,55%,60%,50%,53%,53%,-2pp
7 years to less than 10 years,48%,62%,58%,55%,57%,9pp
10 years to less than 14 years,52%,49%,51%,48%,53%,1pp
14 years or more (excluding indeterminate sentences),-,-,50%,52%,-,-
Extended determinate sentence,-,67%,-,67%,82%,-
(1) The change in percentages are given as a percentage point change (pp). ,,,,,,
"(2) The time served including remand is calculated as the difference between the date of initial entry to prison and the date of release. For those offenders that are recalled to custody, the date of entry is taken to be the date of initial entry for the original set of offences committed and not the date in which the offender returned to custody for the breach of their licence. Therefore, for prisoners that have been recalled to custody, the time served measurement will include a period where the offender was actually on licence in the community instead of in prison custody. This is the reason why, on occassion, the average time served figure may be greater than the average sentence length figure.",,,,,,
