Workplace Learning Learners Living in Each Local Authority District 2012/13 - Learners,,,,,,,,,,,,,,
,Workplace Learning,,,,,,,,,,,,,
Central Bedfordshire,830,580,90,360,480,10,160,670,40,740,50,70,740,20
Charnwood,940,660,130,460,480,10,170,770,80,860,10,100,830,10
Chelmsford,460,260,70,210,260,10,80,370,20,430,10,40,420,10
Cheltenham,450,380,50,160,290,10,60,380,20,380,50,60,380,-
Cherwell,560,430,50,170,380,-,80,470,30,510,20,80,470,10
Cheshire East,"1,680","1,240",200,680,"1,010",40,330,"1,320",110,"1,520",60,70,"1,600",20
Cheshire West and Chester,"1,600","1,100",210,770,830,10,330,"1,260",100,"1,460",40,60,"1,520",20
Chesterfield,620,470,70,210,410,20,100,500,30,580,10,40,570,10
Chichester,250,180,40,130,120,-,40,210,10,230,10,20,220,-
Chiltern,170,110,30,70,100,-,30,130,10,140,20,20,140,10
Chorley,510,330,50,200,310,10,100,400,20,490,10,10,500,-
Christchurch,100,80,10,50,50,-,10,90,10,90,-,10,90,-
City of London,10,-,-,-,10,-,-,10,-,10,-,-,10,-
Colchester,790,410,100,270,520,10,150,630,40,740,20,60,720,10
Copeland,200,130,30,70,130,30,40,140,10,180,10,-,200,-
Corby,620,520,30,220,400,10,90,520,10,600,10,30,580,10
Cornwall,"1,730","1,220",200,700,"1,030",20,310,"1,390",130,"1,530",70,20,"1,690",10
Cotswold,200,160,30,90,120,-,30,170,10,180,10,10,190,-
County Durham,"3,590","2,330",330,"1,470","2,120",60,670,"2,850",200,"3,170",220,30,"3,540",20
Coventry,"2,090","1,470",240,"1,000","1,100",70,320,"1,700",160,"1,900",30,490,"1,580",30
Craven,130,70,20,60,70,-,30,100,10,120,10,-,130,-
Crawley,570,490,60,170,400,10,60,500,40,520,10,210,350,10
Croydon,"1,520","1,110",200,620,900,30,180,"1,310",50,"1,400",70,750,730,50
Dacorum,410,270,70,170,230,-,80,320,30,360,20,50,350,10
Darlington,580,370,40,260,320,-,80,490,30,530,20,30,540,10
Dartford,500,330,100,240,260,-,70,420,30,450,10,50,440,10
Daventry,340,260,30,140,210,-,70,270,20,320,-,20,320,10
Derby,"1,840","1,310",250,810,"1,040",40,340,"1,460",120,"1,700",30,430,"1,380",30
Derbyshire Dales,290,200,40,110,180,10,70,220,20,260,20,-,290,-
Doncaster,"1,760","1,310",160,640,"1,120",40,250,"1,480",80,"1,640",50,150,"1,600",10
Dover,590,380,110,290,300,10,130,450,40,540,10,30,550,10
Dudley,"2,090","1,730",190,750,"1,350",110,360,"1,620",90,"1,970",40,240,"1,850",10
Ealing,"2,100","1,600",140,630,"1,470",40,260,"1,800",60,"1,970",70,"1,180",890,30
East Cambridgeshire,350,210,50,160,190,-,60,280,20,320,10,10,330,10
East Devon,310,230,40,160,150,10,70,240,30,260,20,10,300,-
East Dorset,190,140,30,70,120,-,40,150,10,170,10,10,170,10
East Hampshire,350,260,30,140,200,-,50,300,30,300,20,20,310,10
East Hertfordshire,360,270,30,180,180,-,80,280,10,340,10,30,330,-
East Lindsey,670,480,70,270,400,10,120,550,40,630,10,10,650,10
East Northamptonshire,330,250,40,150,190,10,50,270,20,310,10,10,310,10
East Riding of Yorkshire,"1,950","1,240",160,890,"1,060",70,310,"1,580",100,"1,810",40,20,"1,900",20
East Staffordshire,"1,140",840,100,480,660,20,220,910,30,"1,080",40,140,"1,000",10
Eastbourne,410,240,90,250,160,10,90,310,40,370,10,30,380,10
Eastleigh,450,300,90,190,260,10,80,360,30,410,20,20,430,-
Eden,120,90,20,40,80,-,20,100,-,120,-,-,120,-
Elmbridge,200,140,30,70,130,-,30,170,10,180,10,60,140,10
Enfield,"1,740","1,150",200,690,"1,050",10,210,"1,510",40,"1,620",90,730,960,50
Epping Forest,440,270,50,180,250,10,70,360,20,400,20,30,390,20
Epsom and Ewell,160,110,30,60,110,10,20,140,10,150,10,30,130,10
Erewash,650,400,110,270,380,20,110,520,100,550,10,30,610,10
Exeter,320,250,30,120,200,-,60,250,30,280,-,50,260,10
Fareham,290,170,50,100,180,10,50,240,20,250,20,20,260,10
Fenland,700,470,70,300,400,10,110,580,40,650,10,20,680,-
Forest Heath,230,130,60,130,110,-,40,190,10,220,-,10,220,10
Forest of Dean,340,240,30,100,240,-,60,280,30,290,30,20,320,-
Fylde,300,160,30,120,180,-,70,230,20,260,10,-,280,10
Gateshead,"1,570",880,100,590,980,30,200,"1,340",70,"1,180",320,20,"1,310",240
Gedling,590,390,110,300,290,10,100,480,50,530,10,40,540,10
Gloucester,720,570,100,290,430,10,150,560,30,600,90,130,590,10
Gosport,400,220,80,190,210,10,60,330,40,340,20,20,370,10
Gravesham,610,430,100,220,390,-,120,490,30,560,20,180,420,20
Great Yarmouth,370,290,40,190,180,-,70,300,20,350,10,10,370,-
Greenwich,"1,870","1,290",200,740,"1,130",80,290,"1,490",80,"1,720",60,890,920,50
Guildford,340,210,50,130,210,-,70,270,20,300,20,50,280,10
Hackney,"1,210",760,130,480,730,20,150,"1,050",40,"1,100",70,740,420,50
Halton,640,490,60,190,450,10,100,530,30,600,10,10,620,10
Hambleton,300,200,50,120,190,-,60,240,20,280,10,-,300,-
Hammersmith and Fulham,450,320,30,160,290,-,70,370,20,410,20,210,220,20
Harborough,430,330,70,220,220,10,110,310,20,400,-,20,410,10
Haringey,"1,740","1,150",210,620,"1,120",10,250,"1,470",30,"1,650",70,730,960,50
Harlow,440,300,60,190,250,-,60,380,10,410,30,70,360,20
Harrogate,500,310,90,180,330,-,90,410,30,450,30,10,490,-
Harrow,"1,580","1,210",120,390,"1,190",20,230,"1,330",20,"1,510",50,750,800,20
Hart,270,190,20,100,180,-,40,230,20,230,30,30,240,-
Hartlepool,480,340,90,170,310,10,70,400,20,450,10,-,480,-
Hastings,450,300,100,230,230,-,90,360,30,420,10,30,410,10
Havant,420,290,60,170,250,10,60,350,20,380,20,20,370,30
Havering,"1,000",690,120,270,740,10,180,810,20,930,50,160,820,20
Herefordshire  County of,"1,290","1,000",180,650,650,10,240,"1,040",50,"1,190",60,40,"1,250",-
Hertsmere,370,220,50,170,210,-,50,320,20,340,20,70,300,10
High Peak,560,370,80,200,360,10,100,450,20,520,20,10,550,-
Hillingdon,"1,320",890,100,360,970,20,210,"1,090",40,"1,230",50,610,680,40
Hinckley and Bosworth,580,400,90,250,330,-,110,480,30,540,10,20,560,10
Horsham,230,160,40,90,140,-,50,180,10,210,10,10,220,-
Hounslow,"1,480","1,110",100,420,"1,070",20,180,"1,280",40,"1,400",50,760,700,30
Huntingdonshire,930,570,190,480,460,10,130,800,40,860,30,50,860,20
Hyndburn,520,360,80,190,330,-,100,420,20,490,10,70,440,10
Ipswich,620,500,50,220,400,-,70,550,30,600,-,120,490,10
Isle of Wight,360,250,80,130,230,20,70,270,50,310,-,10,350,-
Islington,650,470,50,220,430,10,90,550,20,590,40,300,320,30
Kensington and Chelsea,240,170,30,80,160,-,50,190,10,210,20,110,120,10
Kettering,380,230,50,160,220,-,60,320,20,360,10,30,340,20
Kings Lynn and West Norfolk,700,500,70,290,410,30,110,570,40,650,10,10,690,10
Kingston upon Hull  City of,"2,460","1,840",140,"1,020","1,440",160,400,"1,900",200,"2,240",30,90,"2,150",220
Kingston upon Thames,320,230,40,130,200,10,50,270,10,300,10,100,210,10
Kirklees,"1,890","1,300",190,710,"1,180",70,310,"1,510",100,"1,750",40,300,"1,550",30
Knowsley,"1,430","1,130",130,540,890,40,240,"1,160",70,"1,330",30,20,"1,390",20
Lambeth,"1,440","1,080",130,580,860,20,230,"1,190",70,"1,270",110,810,600,40
Lancaster,510,370,70,240,280,10,120,390,40,460,10,10,500,-
Leeds,"3,220","2,340",240,"1,220","1,990",180,590,"2,450",310,"2,780",130,500,"2,670",50
Leicester,"3,040","2,360",320,"1,370","1,670",60,500,"2,480",190,"2,820",40,"1,510","1,490",30
Lewes,310,200,70,170,140,-,60,250,20,290,-,10,300,-
Lewisham,"1,690","1,170",210,740,950,30,230,"1,420",70,"1,550",70,890,750,60
Lichfield,530,380,40,220,310,20,100,420,20,490,20,10,520,-
Lincoln,720,520,80,300,420,-,130,590,40,670,10,50,670,-
Liverpool,"3,110","2,400",220,"1,030","2,080",120,590,"2,390",180,"2,860",70,270,"2,790",50
Luton,"1,180",850,110,370,810,10,160,"1,010",40,"1,120",20,610,540,20
Maidstone,800,600,120,370,430,10,130,660,30,730,40,100,690,10
Maldon,200,120,30,90,110,-,40,160,10,190,10,10,190,-
Malvern Hills,340,240,40,160,170,-,50,280,20,310,10,10,320,-
Manchester,"3,100","2,490",210,970,"2,130",70,580,"2,450",140,"2,880",80,"1,060","1,960",80
Mansfield,700,500,100,280,430,10,140,560,50,640,20,20,680,-
Medway,"1,410","1,030",230,540,880,20,250,"1,140",90,"1,280",50,180,"1,220",10
Melton,290,210,30,160,130,10,40,250,30,260,-,10,280,-
Mendip,370,250,50,180,190,-,70,300,30,310,40,10,350,-
Merton,840,650,80,240,600,10,100,720,20,780,40,310,510,20
Mid Devon,180,140,30,70,110,-,30,140,20,160,-,-,180,-
Mid Suffolk,270,190,50,130,140,-,50,210,20,240,10,10,250,10
Mid Sussex,390,320,50,170,210,-,60,320,20,360,10,30,350,-
Middlesbrough,740,570,80,250,490,20,140,580,30,690,20,70,670,10
Milton Keynes,"1,020",690,130,380,640,20,140,860,70,910,40,190,810,10
Mole Valley,150,110,20,50,90,-,40,110,10,130,10,10,130,-
New Forest,480,340,60,170,310,20,70,390,30,420,30,30,440,10
Newark and Sherwood,780,580,140,330,450,-,140,640,50,710,10,20,750,10
Newcastle under Lyme,710,490,70,270,440,20,110,580,30,640,30,30,670,10
Newcastle upon Tyne,"1,290",860,130,490,800,50,210,"1,030",50,"1,180",60,200,"1,080",20
Newham,"4,090","3,040",190,990,"3,100",60,570,"3,450",60,"3,850",180,"2,050","1,940",100
North Devon,260,190,50,130,130,-,70,180,40,210,-,10,250,-
North Dorset,190,160,20,90,100,-,40,140,20,160,10,-,180,-
North East Derbyshire,480,380,40,150,330,10,80,390,30,440,10,10,460,10
North East Lincolnshire,"1,120",830,90,420,700,40,190,890,60,970,90,10,"1,100",-
North Hertfordshire,380,270,40,150,230,-,60,320,10,350,10,50,320,-
North Kesteven,550,390,80,200,350,-,90,460,40,500,10,10,540,-
North Lincolnshire,"1,290","1,030",120,400,890,20,170,"1,090",50,"1,210",30,40,"1,240",10
North Norfolk,500,300,90,250,250,-,110,390,20,480,10,20,480,-
North Somerset,580,400,50,280,300,20,100,460,30,480,60,20,540,10
North Tyneside,"1,020",670,110,390,630,40,170,820,60,920,50,20,"1,000",-
North Warwickshire,390,310,30,140,260,-,80,310,20,370,-,10,380,-
North West Leicestershire,570,410,80,240,340,-,100,470,40,530,10,10,550,10
Northampton,"1,940","1,450",160,810,"1,130",10,350,"1,580",130,"1,780",30,350,"1,570",20
Northumberland,"1,410",950,150,540,870,20,220,"1,170",70,"1,270",70,10,"1,380",20
Norwich,610,330,100,290,320,-,110,500,30,570,20,40,570,10
Nottingham,"2,140","1,550",290,940,"1,200",30,340,"1,770",150,"1,890",100,550,"1,550",40
Nuneaton and Bedworth,780,560,70,330,440,20,110,650,60,710,10,110,660,10
Oadby and Wigston,320,230,50,180,150,10,60,260,20,300,10,90,240,-
Oldham,"1,860","1,260",180,790,"1,070",70,360,"1,440",70,"1,780",20,430,"1,390",30
Oxford,580,420,20,230,350,-,80,500,40,510,30,160,420,-
Pendle,700,450,100,320,380,10,90,610,30,660,10,230,460,10
Peterborough,920,630,130,380,540,10,150,760,40,860,20,170,740,20
Plymouth,"1,450",990,190,610,840,40,320,"1,090",170,"1,240",40,50,"1,380",10
Poole,380,300,40,130,250,-,70,310,20,330,30,40,330,-
Portsmouth,850,630,90,300,560,10,100,740,50,760,40,160,640,50
Preston,700,530,60,230,470,10,110,590,30,660,10,110,580,10
Purbeck,160,130,20,60,100,-,20,140,10,140,10,-,150,-
Reading,680,560,70,260,420,10,110,560,30,610,40,230,420,30
Redbridge,"1,840","1,390",140,450,"1,390",20,230,"1,590",30,"1,710",110,"1,000",800,50
Redcar and Cleveland,680,550,70,250,420,20,130,520,40,610,30,10,660,10
Redditch,450,380,40,160,290,-,60,390,20,420,10,90,360,10
Reigate and Banstead,330,230,60,130,200,-,50,280,10,310,10,60,270,10
Ribble Valley,180,120,40,70,110,-,30,150,10,170,-,10,170,-
Richmond upon Thames,320,230,30,100,220,10,50,270,10,290,20,90,220,10
Richmondshire,260,150,20,70,190,-,50,220,10,240,10,20,240,-
Rochdale,"1,360","1,010",130,460,900,20,220,"1,120",50,"1,300",20,290,"1,060",10
Rochford,180,130,30,70,110,-,30,150,10,160,10,-,170,-
Rossendale,420,260,60,200,230,10,70,350,20,400,10,40,370,10
Rother,250,170,50,130,120,-,50,200,10,230,10,10,230,-
Rotherham,"1,420","1,150",160,400,"1,020",20,220,"1,190",50,"1,330",50,140,"1,260",20
Rugby,570,460,60,220,350,-,130,440,30,540,10,50,510,10
Runnymede,180,110,30,90,90,-,30,150,10,160,10,20,160,-
Rushcliffe,400,290,60,190,210,10,60,330,20,360,10,20,370,-
Rushmoor,580,390,50,210,370,-,90,480,30,490,60,140,430,10
Rutland,170,90,30,80,90,-,30,140,10,150,10,10,160,-
Ryedale,320,260,40,130,190,10,60,250,20,300,10,10,310,-
Salford,"1,500","1,100",180,600,890,20,260,"1,220",70,"1,380",40,130,"1,310",50
Sandwell,"3,170","2,650",200,"1,140","2,030",120,500,"2,550",130,"2,990",40,990,"2,150",30
Scarborough,690,370,70,380,310,10,100,580,40,630,30,20,670,-
Sedgemoor,450,310,60,200,250,10,80,370,30,340,80,10,440,10
Sefton,"1,560","1,030",120,620,940,40,280,"1,240",110,"1,420",30,40,"1,500",20
Selby,510,320,40,240,270,10,110,380,20,460,30,10,500,-
Sevenoaks,340,220,50,190,150,-,50,290,10,320,10,30,300,10
Sheffield,"2,880","2,320",210,710,"2,170",20,440,"2,420",110,"2,680",90,690,"2,150",40
Shepway,510,350,100,250,260,10,100,400,30,470,10,70,430,10
Shropshire,"1,900","1,240",310,"1,090",810,20,380,"1,510",120,"1,760",30,50,"1,840",20
Slough,990,870,50,250,740,10,110,870,20,940,30,480,500,10
Solihull,780,590,70,250,530,10,150,620,40,720,20,100,680,10
South Bucks,120,70,30,60,70,-,30,90,10,110,10,20,100,-
South Cambridgeshire,400,280,60,190,200,-,60,340,20,360,20,30,360,10
South Derbyshire,570,420,70,230,340,10,120,440,30,540,10,30,540,10
South Gloucestershire,910,680,80,360,560,20,170,730,50,800,50,60,840,10
South Hams,200,140,30,100,100,-,40,150,30,160,-,10,190,-
South Holland,740,510,50,250,490,10,130,610,10,720,10,10,720,10
South Kesteven,600,370,80,280,320,10,110,480,20,570,10,20,570,-
South Lakeland,230,180,30,80,140,10,60,160,10,220,-,-,220,-
South Norfolk,400,240,70,170,230,10,80,310,20,360,10,10,380,10
South Northamptonshire,270,190,40,130,140,-,40,220,10,250,10,10,250,-
South Oxfordshire,380,290,50,140,240,-,90,300,30,340,10,20,360,10
South Ribble,540,330,70,210,330,10,100,440,30,510,10,20,520,-
South Somerset,570,390,100,300,270,-,90,470,20,480,60,20,540,-
South Staffordshire,520,410,60,190,340,20,90,420,30,490,10,10,510,-
South Tyneside,"1,030",590,100,480,560,20,180,840,40,930,60,20,"1,010",-
Southampton,970,680,130,350,620,30,140,810,60,870,40,130,830,20
Southend on Sea,490,320,80,230,260,20,90,380,30,450,10,70,420,10
Southwark,"1,490","1,010",170,600,890,40,210,"1,250",60,"1,320",110,890,550,60
Spelthorne,290,180,60,130,160,-,60,230,10,270,10,40,250,-
St Edmundsbury,440,260,90,190,250,-,70,370,20,410,10,10,430,-
St. Albans District,320,180,50,140,180,-,50,260,20,290,10,50,260,10
St. Helens,"1,100",810,90,290,810,10,150,940,50,"1,030",20,20,"1,070",10
Stafford,560,360,80,210,350,20,90,450,30,500,30,10,540,10
Staffordshire Moorlands,690,500,90,270,420,10,110,570,30,620,40,10,670,-
Stevenage,340,250,40,120,210,-,50,290,20,300,10,30,310,-
Stockport,"1,180",860,140,430,750,30,200,960,70,"1,080",30,120,"1,050",20
Stockton on Tees,970,670,110,330,640,20,160,790,50,870,40,60,900,10
Stoke on Trent,"2,590","1,840",200,860,"1,720",30,360,"2,190",130,"2,380",80,520,"2,050",10
Stratford on Avon,310,220,40,140,180,-,50,260,20,290,-,10,290,10
Stroud,330,250,60,160,170,10,70,240,20,290,20,10,310,10
Suffolk Coastal,280,190,60,130,150,20,60,200,30,240,10,10,260,-
Sunderland,"2,050","1,270",140,790,"1,270",80,340,"1,630",70,"1,780",210,50,"2,000",10
Surrey Heath,270,170,40,100,170,-,50,220,10,220,40,50,210,10
Sutton,650,490,100,270,390,10,100,540,20,600,40,140,500,10
Swale,890,620,150,450,440,10,170,720,40,810,40,40,850,10
Swindon,840,640,110,400,440,10,160,660,50,770,20,120,710,10
Tameside,"1,370","1,090",100,420,950,30,230,"1,110",60,"1,290",30,210,"1,150",10
Tamworth,510,410,30,200,310,-,90,410,30,480,-,10,490,-
Tandridge,210,140,30,90,130,-,30,180,10,200,10,10,200,-
Taunton Deane,540,370,90,260,270,-,80,450,40,460,40,20,490,30
Teignbridge,390,290,60,190,190,-,90,300,40,330,20,-,380,-
Telford and Wrekin,"1,220",930,120,510,710,10,190,"1,020",90,"1,070",60,120,"1,080",20
Tendring,570,360,120,280,300,-,100,470,40,530,10,10,550,10
Test Valley,"2,360",220,40,270,"2,090",10,300,"2,050",20,"2,330",10,350,"2,000",10
Tewkesbury,490,210,40,150,340,10,100,380,30,290,160,20,320,150
Thanet,710,480,160,390,320,20,140,560,60,640,10,40,650,30
Three Rivers,200,120,20,70,130,-,20,180,10,180,10,20,180,-
Thurrock,780,640,60,230,550,10,110,660,30,730,20,120,640,20
Tonbridge and Malling,410,280,80,190,220,-,70,330,20,370,10,30,370,10
Torbay,550,380,80,250,300,10,130,410,50,480,20,10,530,-
Torridge,190,110,40,110,80,-,50,130,20,160,10,10,170,10
Tower Hamlets,"1,720","1,250",140,520,"1,200",80,360,"1,290",60,"1,630",40,"1,150",530,50
Trafford,920,720,70,330,590,10,120,790,30,850,40,160,740,20
Tunbridge Wells,370,280,60,180,200,10,70,300,20,340,10,40,330,10
Uttlesford,210,140,40,90,110,-,40,160,10,190,10,10,190,-
Vale of White Horse,360,230,20,140,220,-,80,280,40,320,10,40,320,-
Wakefield,"2,220","1,690",160,870,"1,360",90,390,"1,740",110,"2,070",40,90,"2,120",10
Walsall,"2,220","1,830",160,680,"1,540",110,400,"1,710",100,"2,090",30,550,"1,650",20
Waltham Forest,"2,620","1,920",220,610,"2,010",20,360,"2,240",50,"2,490",90,930,"1,630",70
Wandsworth,860,620,90,330,530,10,140,710,30,780,50,370,470,20
Warrington,"1,060",710,160,420,650,10,170,880,50,980,30,50,"1,000",10
Warwick,340,220,50,160,180,-,50,280,20,310,10,40,290,-
Watford,330,230,20,120,210,10,50,280,10,310,20,110,220,10
Waveney,420,260,110,250,170,-,100,320,30,390,10,10,410,-
Waverley,290,200,40,150,140,-,70,220,20,270,10,20,270,-
Wealden,400,260,80,190,210,10,80,320,20,370,10,20,380,-
Wellingborough,530,340,40,250,280,-,70,460,20,500,10,70,450,10
Welwyn Hatfield District,360,240,60,190,180,10,70,290,10,330,20,60,300,10
West Berkshire,490,370,60,200,280,10,70,410,30,440,20,20,460,10
West Devon,130,90,20,60,70,-,20,100,20,110,-,-,130,-
West Dorset,280,200,30,120,160,10,60,220,20,260,10,10,280,-
West Lancashire,560,370,50,240,320,10,80,470,30,520,20,-,540,10
West Lindsey,490,350,70,170,320,10,80,400,30,450,10,10,480,-
West Oxfordshire,380,310,20,130,260,-,80,300,30,340,10,20,360,-
West Somerset,120,100,20,50,70,-,30,90,10,100,10,-,120,-
Westminster,380,290,30,130,250,10,60,310,10,340,30,210,150,20
Weymouth and Portland,250,180,40,110,140,20,50,180,10,230,10,10,240,-
Wigan,"1,770","1,240",220,590,"1,170",20,360,"1,390",80,"1,660",30,40,"1,710",30
Wiltshire,"2,040","1,090",240,700,"1,350",20,390,"1,640",140,"1,830",70,190,"1,840",20
Winchester,270,170,40,110,150,-,50,220,20,240,10,10,250,-
Windsor and Maidenhead,320,220,40,130,200,-,60,270,10,280,30,60,260,10
Wirral,"2,030","1,280",210,950,"1,080",70,340,"1,620",160,"1,820",50,80,"1,930",20
Woking,330,260,30,110,220,-,50,280,10,310,10,160,170,-
Wokingham,330,240,50,150,180,-,60,260,10,290,30,70,250,20
Wolverhampton,"2,220","1,840",170,920,"1,310",60,380,"1,780",100,"2,100",20,710,"1,500",20
Worcester,500,380,50,190,310,10,70,420,30,470,10,60,440,-
Worthing,330,230,50,160,170,-,50,270,20,300,10,40,290,-
Wychavon,510,370,70,190,320,10,70,420,20,470,20,10,490,-
Wycombe,550,430,70,180,370,-,90,460,20,510,20,200,350,-
Wyre,490,360,50,190,290,10,90,380,20,460,-,10,480,-
Wyre Forest,640,510,60,270,370,40,120,490,50,590,10,50,590,-
York,810,550,80,380,420,10,130,670,40,740,30,50,750,20
Other,"3,140","2,040",250,780,"2,360",70,510,"2,560",130,"2,830",180,300,"2,710",130
