Table 1. 14: Self-inflicted deaths in prison custody1: Ligature points used in fatal hangings/self-strangulations,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,Number of Deaths,,,,,
Conduits/piping,0.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,2,0.0,0.0,1.0,0.0,0.0
Door/cell gate,11.0,1.0,6.0,6.0,1.0,3.0,3.0,5.0,5.0,1.0,1,3.0,1.0,3.0,7.0,7.0
Light fitting,2.0,2.0,2.0,8.0,3.0,4.0,7.0,3.0,8.0,2.0,4,4.0,3.0,8.0,6.0,5.0
"Privacy screen, furniture etc.2",0.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,3.0,2.0,1,0.0,4.0,6.0,1.0,5.0
Toilet/sink fittings/recess2,0.0,6.0,2.0,7.0,5.0,6.0,4.0,4.0,3.0,2.0,4,6.0,3.0,8.0,1.0,3.0
Wall fittings/mountings,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,2.0,1,0.0,3.0,4.0,3.0,0.0
Windows,54.0,36.0,35.0,40.0,44.0,50.0,38.0,28.0,39.0,39.0,23,27.0,25.0,18.0,22.0,29.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,4.0,8.0
Not recorded/confirmed,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0,0.0,0.0,0.0,2.0,0.0
Not applicable,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0
FEMALES,,,,,,,,,,,,,,,,
All ligature points,5.0,7.0,6.0,9.0,12.0,12.0,3.0,3.0,7.0,1.0,2,1.0,2.0,1.0,2.0,1.0
Bed,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0
Conduits/piping,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Door/cell gate,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Light fitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Privacy screen, furniture etc.2",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Toilet/sink fittings/recess2,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0
Wall fittings/mountings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
Windows,4.0,4.0,3.0,4.0,5.0,4.0,1.0,1.0,1.0,0.0,0,1.0,1.0,0.0,1.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Not recorded/confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
Not applicable,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
"(1) Deaths in prison custody figures include all deaths of prisoners arising from incidents during prison custody.  They include deaths of prisoners while released on temporary license (ROTL) for medical reasons but exclude other types of ROTL where the state has less direct responsibility. In recent years, approximately one quarter of self-inflicted deaths in prison custody actually occur in hospitals or hospices.",,,,,,,,,,,,,,,,
"(2) The 'Privacy screen furniture etc.' and 'Toilet/sink fittings/recess' categories were added in 2004 and ligature points reclassified.  However, there may be some under reporting against this category in the early years.",,,,,,,,,,,,,,,,
(3) Although there are a number of deaths that remain unclassified in 2010 (awaiting further information) the numbers in this table are not affected.  If any of the unclassified deaths are self-inflcted then it it is likely that the method would be either overdose or poison and not hanging/self-strangulation. ,,,,,,,,,,,,,,,,
"Data Sources and Quality
These figures are derived from the NOMS Deaths in Prison Custody database.  As classification of deaths may change following inquest or as new information emerges numbers may change from time to time.",,,,,,,,,,,,,,,,
