Table 4,,,,,,,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,,,,,,,
"by Region, Geographic Division, and State, 2006–2007",,,,,,,,,,,,,,,,,,,,,,,
Area,Year,Population1,Violent crime,,Murder and nonnegligent manslaughter,,Forcible rape,,Robbery,,Aggravated assault,,Property crime,,Burglary,,Larceny-theft,,Motor vehicle theft,,,,
Georgia,2006.0,9363941.0,44106.0,471.0,600.0,6.4,2173.0,23.2,15509.0,165.6,25824.0,275.8,364183.0,3889.2,85117.0,909.0,235903.0,2519.3,43163.0,460.9,,,
,2007.0,9544750.0,47075.0,493.2,718.0,7.5,2178.0,22.8,17340.0,181.7,26839.0,281.2,372342.0,3901.0,90690.0,950.2,239058.0,2504.6,42594.0,446.3,,,
,Percent change,,6.7,4.7,19.7,17.4,0.2,-1.7,11.8,9.7,3.9,2.0,2.2,0.3,6.5,4.5,1.3,-0.6,-1.3,-3.2,,,
Maryland,2006.0,5615727.0,38110.0,678.6,546.0,9.7,1178.0,21.0,14375.0,256.0,22011.0,392.0,195476.0,3480.9,37457.0,667.0,127497.0,2270.4,30522.0,543.5,,,
,2007.0,5618344.0,36062.0,641.9,553.0,9.8,1179.0,21.0,13258.0,236.0,21072.0,375.1,192796.0,3431.5,37095.0,660.2,127308.0,2265.9,28393.0,505.4,,,
,Percent change,,-5.4,-5.4,1.3,1.2,0.1,*,-7.8,-7.8,-4.3,-4.3,-1.4,-1.4,-1.0,-1.0,-0.1,-0.2,-7.0,-7.0,,,
North Carolina,2006.0,8856505.0,42124.0,475.6,540.0,6.1,2495.0,28.2,13484.0,152.2,25605.0,289.1,364960.0,4120.8,107407.0,1212.7,227427.0,2567.9,30126.0,340.2,,,
,2007.0,9061032.0,42262.0,466.4,585.0,6.5,2385.0,26.3,13548.0,149.5,25744.0,284.1,370354.0,4087.3,108800.0,1200.7,233588.0,2577.9,27966.0,308.6,,,
,Percent change,,0.3,-1.9,8.3,5.9,-4.4,-6.6,0.5,-1.8,0.5,-1.7,1.5,-0.8,1.3,-1.0,2.7,0.4,-7.2,-9.3,,,
South Carolina,2006.0,4321249.0,33078.0,765.5,359.0,8.3,1762.0,40.8,5899.0,136.5,25058.0,579.9,183322.0,4242.3,42772.0,989.8,124148.0,2873.0,16402.0,379.6,,,
,2007.0,4407709.0,34746.0,788.3,352.0,8.0,1739.0,39.5,6346.0,144.0,26309.0,596.9,188282.0,4271.7,45214.0,1025.8,126042.0,2859.6,17026.0,386.3,,,
,Percent change,,5.0,3.0,-1.9,-3.9,-1.3,-3.2,7.6,5.5,5.0,2.9,2.7,0.7,5.7,3.6,1.5,-0.5,3.8,1.8,,,
Virginia,2006.0,7642884.0,21568.0,282.2,399.0,5.2,1792.0,23.4,7749.0,101.4,11628.0,152.1,189406.0,2478.2,31913.0,417.6,142679.0,1866.8,14814.0,193.8,,,
,2007.0,7712091.0,20798.0,269.7,406.0,5.3,1745.0,22.6,7651.0,99.2,10996.0,142.6,190209.0,2466.4,31688.0,410.9,144467.0,1873.3,14054.0,182.2,,,
,Percent change,,-3.6,-4.4,1.8,0.8,-2.6,-3.5,-1.3,-2.2,-5.4,-6.3,0.4,-0.5,-0.7,-1.6,1.3,0.3,-5.1,-6.0,,,
West Virginia,2006.0,1818470.0,5087.0,279.7,75.0,4.1,389.0,21.4,853.0,46.9,3770.0,207.3,47672.0,2621.5,11531.0,634.1,32220.0,1771.8,3921.0,215.6,,,
,2007.0,1812035.0,4987.0,275.2,64.0,3.5,369.0,20.4,852.0,47.0,3702.0,204.3,45753.0,2525.0,10814.0,596.8,31447.0,1735.5,3492.0,192.7,,,
,Percent change,,-2.0,-1.6,-14.7,-14.4,-5.1,-4.8,-0.1,0.2,-1.8,-1.5,-4.0,-3.7,-6.2,-5.9,-2.4,-2.1,-10.9,-10.6,,,
East South Central,2006.0,17754447.0,85218.0,480.0,1182.0,6.7,6088.0,34.3,24932.0,140.4,53016.0,298.6,630734.0,3552.5,161791.0,911.3,413920.0,2331.4,55023.0,309.9,,,
,2007.0,17944829.0,88127.0,491.1,1221.0,6.8,6140.0,34.2,25355.0,141.3,55411.0,308.8,635759.0,3542.9,162688.0,906.6,421127.0,2346.8,51944.0,289.5,,,
,Percent change,,3.4,2.3,3.3,2.2,0.9,-0.2,1.7,0.6,4.5,3.4,0.8,-0.3,0.6,-0.5,1.7,0.7,-5.6,-6.6,,,
Alabama,2006.0,4599030.0,19557.0,425.2,382.0,8.3,1649.0,35.9,7059.0,153.5,10467.0,227.6,181021.0,3936.1,44571.0,969.1,121610.0,2644.3,14840.0,322.7,,,
,2007.0,4627851.0,20732.0,448.0,412.0,8.9,1545.0,33.4,7398.0,159.9,11377.0,245.8,183798.0,3971.6,45331.0,979.5,124237.0,2684.6,14230.0,307.5,,,
,Percent change,,6.0,5.3,7.9,7.2,-6.3,-6.9,4.8,4.1,8.7,8.0,1.5,0.9,1.7,1.1,2.2,1.5,-4.1,-4.7,,,
Kentucky,2006.0,4206074.0,11063.0,263.0,168.0,4.0,1297.0,30.8,3626.0,86.2,5972.0,142.0,107023.0,2544.5,27122.0,644.8,70658.0,1679.9,9243.0,219.8,,,
,2007.0,4241474.0,12513.0,295.0,204.0,4.8,1381.0,32.6,4069.0,95.9,6859.0,161.7,106813.0,2518.3,27683.0,652.7,70455.0,1661.1,8675.0,204.5,,,
,Percent change,,13.1,12.2,21.4,20.4,6.5,5.6,12.2,11.3,14.9,13.9,-0.2,-1.0,2.1,1.2,-0.3,-1.1,-6.1,-6.9,,,
Mississippi,2006.0,2910540.0,8691.0,298.6,223.0,7.7,1000.0,34.4,3118.0,107.1,4350.0,149.5,93393.0,3208.8,27239.0,935.9,57807.0,1986.1,8347.0,286.8,,,
,2007.0,2918785.0,8502.0,291.3,208.0,7.1,1040.0,35.6,2866.0,98.2,4388.0,150.3,93424.0,3200.8,27959.0,957.9,58084.0,1990.0,7381.0,252.9,,,
,Percent change,,-2.2,-2.5,-6.7,-7.0,4.0,3.7,-8.1,-8.3,0.9,0.6,*,-0.2,2.6,2.4,0.5,0.2,-11.6,-11.8,,,
Tennessee,2006.0,6038803.0,45907.0,760.2,409.0,6.8,2142.0,35.5,11129.0,184.3,32227.0,533.7,249297.0,4128.3,62859.0,1040.9,163845.0,2713.2,22593.0,374.1,,,
,2007.0,6156719.0,46380.0,753.3,397.0,6.4,2174.0,35.3,11022.0,179.0,32787.0,532.5,251724.0,4088.6,61715.0,1002.4,168351.0,2734.4,21658.0,351.8,,,
,Percent change,,1.0,-0.9,-2.9,-4.8,1.5,-0.4,-1.0,-2.9,1.7,-0.2,1.0,-1.0,-1.8,-3.7,2.8,0.8,-4.1,-6.0,,,
West South Central2,2006.0,34185635.0,184604.0,540.0,2324.0,6.8,12730.0,37.2,48882.0,143.0,120668.0,353.0,1371222.0,4011.1,327052.0,956.7,912280.0,2668.6,131890.0,385.8,,,
,2007.0,34649697.0,186450.0,538.1,2441.0,7.0,12659.0,36.5,51249.0,147.9,120101.0,346.6,1399756.0,4039.7,339108.0,978.7,931100.0,2687.2,129548.0,373.9,,,
,Percent change,,1.0,-0.4,5.0,3.6,-0.6,-1.9,4.8,3.4,-0.5,-1.8,2.1,0.7,3.7,2.3,2.1,0.7,-1.8,-3.1,,,
Arkansas,2006.0,2810872.0,15506.0,551.6,205.0,7.3,1308.0,46.5,2766.0,98.4,11227.0,399.4,111521.0,3967.5,32042.0,1139.9,72016.0,2562.1,7463.0,265.5,,,
,2007.0,2834797.0,15007.0,529.4,191.0,6.7,1268.0,44.7,3024.0,106.7,10524.0,371.2,112061.0,3953.1,32072.0,1131.4,72979.0,2574.4,7010.0,247.3,,,
