Table 9,,,,,,,,,,,,
CALIFORNIA,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by University and College, 2017",,,,,,,,,,,,
University/College,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape2,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
,Riverside,22715.0,13.0,0.0,6.0,6.0,1.0,296.0,27.0,262.0,7.0,0.0
,San Diego,34979.0,8.0,0.0,2.0,2.0,4.0,608.0,25.0,566.0,17.0,9.0
,San Francisco,3145.0,22.0,0.0,2.0,4.0,16.0,419.0,25.0,389.0,5.0,0.0
,Santa Barbara,24346.0,56.0,0.0,44.0,0.0,12.0,300.0,35.0,263.0,2.0,1.0
,Santa Cruz,18783.0,13.0,0.0,6.0,0.0,7.0,219.0,24.0,189.0,6.0,6.0
Ventura County Community College District,,33976.0,1.0,0.0,1.0,0.0,0.0,64.0,15.0,46.0,3.0,0.0
West Valley-Mission College,,16131.0,3.0,0.0,0.0,0.0,3.0,22.0,8.0,10.0,4.0,0.0
"1 The student enrollment figures provided by the United States Department of Education are for the 2016 school year, the most recent available. The enrollment figures include full-time and part-time students.",,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,
3 Student enrollment figures were not available.,,,,,,,,,,,,
"NOTE:  Caution should be exercised in making any intercampus comparisons or ranking schools because university/college crime statistics are affected by a variety of factors. These include demographic characteristics of the surrounding community, ratio of male to female students, number of on-campus residents, accessibility of the campus to outside visitors, size of enrollment, etc.",,,,,,,,,,,,
