City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Howey-in-the-Hills,1274.0,10.0,0.0,1.0,0.0,9.0,26.0,8.0,18.0,0.0,0.0
Hypoluxo,2680.0,5.0,0.0,1.0,3.0,1.0,38.0,9.0,20.0,9.0,0.0
Indialantic,2997.0,6.0,0.0,1.0,2.0,3.0,88.0,22.0,65.0,1.0,0.0
Indian Creek Village,39.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Indian Harbour Beach,8516.0,20.0,0.0,3.0,5.0,12.0,188.0,54.0,129.0,5.0,2.0
Indian River Shores,3488.0,0.0,0.0,0.0,0.0,0.0,49.0,23.0,26.0,0.0,0.0
Indian Rocks Beach,5227.0,19.0,0.0,6.0,1.0,12.0,148.0,28.0,109.0,11.0,0.0
Indian Shores,4292.0,12.0,0.0,0.0,3.0,9.0,62.0,17.0,39.0,6.0,0.0
Inglis,1658.0,4.0,0.0,0.0,0.0,4.0,21.0,2.0,11.0,8.0,0.0
Jacksonville,797350.0,8146.0,123.0,249.0,3114.0,4660.0,45416.0,11115.0,29484.0,4817.0,187.0
Jacksonville Beach,21801.0,177.0,2.0,8.0,66.0,101.0,1430.0,282.0,1017.0,131.0,10.0
Jennings,841.0,3.0,0.0,0.0,1.0,2.0,9.0,3.0,6.0,0.0,0.0
Juno Beach,3395.0,7.0,0.0,2.0,0.0,5.0,130.0,28.0,100.0,2.0,0.0
Jupiter,50294.0,236.0,3.0,7.0,73.0,153.0,1739.0,463.0,1190.0,86.0,6.0
Jupiter Inlet Colony,392.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
