State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,Faulkner,116.0,2.0,28.0,6.0,80.0,941.0,259.0,576.0,106.0,10.0
,Garland,296.0,0.0,28.0,10.0,258.0,1612.0,676.0,804.0,132.0,0.0
,Grant,46.0,0.0,7.0,0.0,39.0,185.0,55.0,115.0,15.0,4.0
,Jefferson,71.0,4.0,14.0,3.0,50.0,428.0,165.0,208.0,55.0,8.0
,Lincoln,5.0,0.0,1.0,1.0,3.0,66.0,18.0,36.0,12.0,1.0
,Little River,27.0,0.0,2.0,0.0,25.0,122.0,45.0,70.0,7.0,2.0
,Lonoke,85.0,3.0,4.0,3.0,75.0,426.0,83.0,233.0,110.0,4.0
,Madison,39.0,0.0,8.0,4.0,27.0,137.0,56.0,77.0,4.0,1.0
,Miller,24.0,1.0,3.0,2.0,18.0,319.0,112.0,180.0,27.0,2.0
,Perry,41.0,0.0,7.0,1.0,33.0,151.0,28.0,123.0,0.0,0.0
,Pulaski,412.0,3.0,20.0,40.0,349.0,1805.0,460.0,1093.0,252.0,21.0
,Saline,167.0,2.0,30.0,14.0,121.0,838.0,321.0,407.0,110.0,10.0
,Sebastian,62.0,0.0,10.0,1.0,51.0,222.0,77.0,126.0,19.0,3.0
,Washington,198.0,0.0,19.0,1.0,178.0,583.0,186.0,339.0,58.0,10.0
ARKANSAS - Nonmetropolitan Counties,Arkansas,13.0,0.0,1.0,0.0,12.0,108.0,31.0,62.0,15.0,1.0
,Ashley,23.0,1.0,1.0,1.0,20.0,235.0,65.0,158.0,12.0,0.0
,Baxter,73.0,2.0,12.0,1.0,58.0,632.0,80.0,495.0,57.0,10.0
,Boone,199.0,0.0,52.0,1.0,146.0,320.0,81.0,199.0,40.0,6.0
,Bradley,8.0,1.0,1.0,0.0,6.0,32.0,18.0,11.0,3.0,0.0
,Calhoun,15.0,0.0,4.0,0.0,11.0,40.0,16.0,21.0,3.0,0.0
,Carroll,44.0,8.0,3.0,0.0,33.0,191.0,42.0,119.0,30.0,1.0
,Chicot,3.0,0.0,0.0,0.0,3.0,59.0,21.0,38.0,0.0,1.0
,Clark,12.0,0.0,1.0,0.0,11.0,76.0,28.0,41.0,7.0,0.0
,Clay,9.0,0.0,1.0,0.0,8.0,67.0,19.0,45.0,3.0,1.0
,Cleburne,88.0,1.0,18.0,0.0,69.0,336.0,100.0,219.0,17.0,9.0
,Columbia,12.0,0.0,0.0,0.0,12.0,51.0,17.0,25.0,9.0,2.0
,Conway,50.0,0.0,11.0,2.0,37.0,252.0,69.0,159.0,24.0,3.0
,Cross,25.0,0.0,6.0,0.0,19.0,143.0,36.0,98.0,9.0,0.0
,Dallas,2.0,0.0,1.0,0.0,1.0,31.0,16.0,12.0,3.0,0.0
,Drew,21.0,1.0,4.0,1.0,15.0,114.0,35.0,71.0,8.0,3.0
,Franklin,68.0,1.0,11.0,1.0,55.0,203.0,81.0,100.0,22.0,5.0
,Fulton,35.0,0.0,3.0,0.0,32.0,69.0,0.0,65.0,4.0,0.0
,Greene,33.0,0.0,6.0,1.0,26.0,189.0,52.0,115.0,22.0,0.0
,Hempstead,35.0,0.0,2.0,1.0,32.0,189.0,56.0,104.0,29.0,0.0
,Hot Spring,38.0,3.0,2.0,3.0,30.0,205.0,52.0,122.0,31.0,5.0
,Howard,8.0,0.0,3.0,0.0,5.0,42.0,30.0,11.0,1.0,0.0
,Independence,176.0,1.0,29.0,3.0,143.0,477.0,181.0,242.0,54.0,17.0
,Izard,35.0,0.0,9.0,1.0,25.0,260.0,60.0,182.0,18.0,8.0
,Jackson,24.0,1.0,3.0,1.0,19.0,128.0,36.0,74.0,18.0,1.0
,Johnson,37.0,1.0,6.0,2.0,28.0,217.0,56.0,134.0,27.0,6.0
,Lawrence,12.0,0.0,5.0,0.0,7.0,61.0,16.0,42.0,3.0,2.0
,Lee,1.0,0.0,1.0,0.0,0.0,68.0,14.0,42.0,12.0,0.0
,Logan,20.0,0.0,9.0,1.0,10.0,183.0,30.0,128.0,25.0,0.0
