State,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Buffalo Lake,687.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,5.0,1.0,0.0
Burnsville,61442.0,101.0,0.0,11.0,28.0,62.0,1753.0,184.0,1465.0,104.0,6.0
Caledonia,2773.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0
Cambridge,8770.0,5.0,0.0,0.0,0.0,5.0,372.0,28.0,327.0,17.0,1.0
Canby,1708.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
Cannon Falls3,4110.0,4.0,0.0,1.0,0.0,3.0,98.0,15.0,80.0,3.0,1.0
Centennial Lakes,10956.0,10.0,0.0,5.0,1.0,4.0,150.0,25.0,114.0,11.0,1.0
Champlin,24417.0,26.0,0.0,9.0,5.0,12.0,279.0,29.0,242.0,8.0,0.0
Chaska,26383.0,22.0,0.0,9.0,2.0,11.0,255.0,23.0,224.0,8.0,1.0
Chisholm,4935.0,2.0,0.0,0.0,0.0,2.0,42.0,6.0,34.0,2.0,0.0
Clara City,1316.0,2.0,0.0,2.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0
Clearbrook3,522.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,15.0,0.0,0.0
Cleveland,696.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,9.0,0.0,0.0
Cloquet,12108.0,21.0,0.0,1.0,2.0,18.0,510.0,46.0,440.0,24.0,0.0
Cold Spring/Richmond,5565.0,1.0,0.0,0.0,0.0,1.0,46.0,8.0,36.0,2.0,0.0
Coleraine,1993.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0
Columbia Heights,19759.0,51.0,1.0,13.0,19.0,18.0,504.0,77.0,383.0,44.0,0.0
Coon Rapids,62495.0,101.0,0.0,23.0,25.0,53.0,1771.0,216.0,1503.0,52.0,8.0
Corcoran,5735.0,4.0,0.0,0.0,0.0,4.0,38.0,5.0,32.0,1.0,0.0
Cosmos,452.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,
Cottage Grove,36253.0,15.0,0.0,3.0,5.0,7.0,749.0,75.0,634.0,40.0,0.0
Crookston,7789.0,22.0,1.0,12.0,0.0,9.0,164.0,19.0,143.0,2.0,1.0
Crosby,2329.0,4.0,0.0,4.0,0.0,0.0,56.0,4.0,52.0,0.0,0.0
Crosslake,2239.0,4.0,0.0,2.0,0.0,2.0,15.0,3.0,12.0,0.0,0.0
Crystal,23173.0,50.0,3.0,12.0,15.0,20.0,465.0,54.0,389.0,22.0,3.0
Danube,454.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,2.0,0.0
Dawson/Boyd,1564.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,13.0,1.0,0.0
Dayton,5515.0,3.0,0.0,0.0,2.0,1.0,65.0,17.0,40.0,8.0,0.0
Deephaven,3878.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,37.0,0.0,0.0
Deer River,932.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,19.0,1.0,0.0
Detroit Lakes3,9242.0,14.0,0.0,2.0,2.0,10.0,323.0,37.0,262.0,24.0,1.0
Dilworth,4462.0,3.0,0.0,0.0,0.0,3.0,145.0,9.0,128.0,8.0,0.0
Duluth,86306.0,279.0,1.0,31.0,66.0,181.0,3819.0,506.0,3091.0,222.0,10.0
Dundas,1513.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
Eagan,66805.0,58.0,2.0,18.0,14.0,24.0,1270.0,100.0,1128.0,42.0,6.0
Eagle Lake,3099.0,2.0,0.0,2.0,0.0,0.0,31.0,18.0,11.0,2.0,0.0
East Grand Forks,8713.0,13.0,0.0,1.0,0.0,12.0,158.0,18.0,134.0,6.0,1.0
East Range,3635.0,3.0,0.0,2.0,0.0,1.0,43.0,15.0,27.0,1.0,0.0
Eden Prairie,64429.0,32.0,2.0,7.0,9.0,14.0,824.0,56.0,739.0,29.0,0.0
Eden Valley,1034.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Edina,51923.0,23.0,0.0,13.0,5.0,5.0,1061.0,166.0,865.0,30.0,0.0
Elko New Market,4714.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
Elk River,24593.0,24.0,0.0,9.0,2.0,13.0,429.0,70.0,342.0,17.0,3.0
Elmore,626.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Ely,3379.0,1.0,0.0,0.0,0.0,1.0,40.0,7.0,31.0,2.0,0.0
Eveleth,3636.0,9.0,0.0,3.0,0.0,6.0,138.0,20.0,111.0,7.0,0.0
Fairfax,1142.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,19.0,1.0,0.0
Fairmont,10027.0,11.0,0.0,4.0,0.0,7.0,256.0,47.0,207.0,2.0,1.0
Falcon Heights,5619.0,6.0,0.0,0.0,3.0,3.0,82.0,13.0,62.0,7.0,0.0
Faribault,23713.0,69.0,0.0,17.0,7.0,45.0,541.0,94.0,415.0,32.0,9.0
Farmington,22917.0,13.0,0.0,4.0,0.0,9.0,209.0,35.0,163.0,11.0,3.0
Fergus Falls3,13468.0,21.0,1.0,1.0,2.0,17.0,533.0,66.0,451.0,16.0,1.0
Floodwood,515.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,1.0,0.0
Foley,2656.0,4.0,0.0,2.0,0.0,2.0,12.0,1.0,11.0,0.0,
Forest Lake,19804.0,30.0,0.0,13.0,5.0,12.0,736.0,90.0,597.0,49.0,1.0
Fridley,27516.0,83.0,2.0,14.0,24.0,43.0,1031.0,118.0,837.0,76.0,1.0
Fulda,1218.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0
Gaylord,2221.0,5.0,0.0,1.0,0.0,4.0,11.0,3.0,8.0,0.0,0.0
Gilbert,1789.0,2.0,0.0,0.0,0.0,2.0,97.0,12.0,82.0,3.0,0.0
Glencoe,5478.0,8.0,0.0,2.0,0.0,6.0,73.0,5.0,65.0,3.0,0.0
Glenwood,2563.0,1.0,0.0,0.0,0.0,1.0,39.0,8.0,31.0,0.0,0.0
Golden Valley,21545.0,18.0,0.0,3.0,8.0,7.0,452.0,73.0,358.0,21.0,0.0
Goodhue3,1186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodview,4116.0,0.0,0.0,0.0,0.0,0.0,50.0,15.0,33.0,2.0,0.0
Grand Rapids,11270.0,19.0,0.0,9.0,1.0,9.0,137.0,7.0,125.0,5.0,0.0
Granite Falls,2735.0,9.0,0.0,1.0,0.0,8.0,54.0,3.0,48.0,3.0,0.0
Hallock,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hancock,743.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Hastings,22671.0,36.0,0.0,9.0,3.0,24.0,494.0,53.0,416.0,25.0,0.0
Hawley,2215.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Hector,1047.0,3.0,0.0,1.0,0.0,2.0,33.0,5.0,27.0,1.0,0.0
Henning3,799.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Hermantown,9455.0,11.0,0.0,3.0,1.0,7.0,412.0,49.0,351.0,12.0,1.0
Hibbing,16051.0,28.0,2.0,7.0,1.0,18.0,112.0,16.0,86.0,10.0,0.0
Hill City,581.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,13.0,6.0,0.0
Hilltop,733.0,6.0,0.0,3.0,2.0,1.0,71.0,5.0,57.0,9.0,0.0
Hokah,556.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
Hopkins,18189.0,33.0,1.0,5.0,10.0,17.0,253.0,46.0,176.0,31.0,2.0
Houston,979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Howard Lake,2057.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
Hutchinson,13846.0,22.0,0.0,6.0,1.0,15.0,280.0,27.0,251.0,2.0,0.0
International Falls,6009.0,12.0,0.0,3.0,1.0,8.0,82.0,9.0,67.0,6.0,0.0
