City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Glenpool,9251.0,18.0,0.0,2.0,1.0,15.0,173.0,44.0,111.0,18.0,0.0
Goodwell,1127.0,2.0,0.0,1.0,0.0,1.0,15.0,7.0,8.0,0.0,0.0
Grove,6141.0,15.0,0.0,1.0,0.0,14.0,161.0,32.0,128.0,1.0,0.0
Guthrie,11074.0,26.0,1.0,5.0,5.0,15.0,277.0,73.0,186.0,18.0,2.0
Guymon,10721.0,47.0,1.0,5.0,6.0,35.0,370.0,69.0,285.0,16.0,2.0
Harrah,5010.0,7.0,0.0,1.0,0.0,6.0,120.0,41.0,77.0,2.0,0.0
Hartshorne,2072.0,5.0,0.0,0.0,0.0,5.0,46.0,17.0,27.0,2.0,0.0
Haskell,1781.0,2.0,1.0,0.0,0.0,1.0,8.0,4.0,3.0,1.0,0.0
Healdton,2772.0,3.0,0.0,1.0,0.0,2.0,73.0,13.0,59.0,1.0,0.0
Heavener2,3274.0,,0.0,3.0,0.0,,67.0,23.0,40.0,4.0,1.0
Henryetta,6090.0,16.0,0.0,3.0,1.0,12.0,175.0,51.0,95.0,29.0,1.0
Hinton,2172.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,13.0,4.0,0.0
Hobart,3741.0,11.0,0.0,1.0,0.0,10.0,51.0,12.0,35.0,4.0,0.0
Holdenville,5546.0,13.0,1.0,2.0,0.0,10.0,140.0,38.0,85.0,17.0,0.0
Hollis,2072.0,5.0,1.0,2.0,0.0,2.0,35.0,9.0,25.0,1.0,1.0
Hominy,3701.0,20.0,0.0,0.0,1.0,19.0,28.0,13.0,9.0,6.0,4.0
Hooker,1725.0,1.0,0.0,0.0,0.0,1.0,18.0,9.0,5.0,4.0,0.0
Hugo,5573.0,12.0,0.0,0.0,4.0,8.0,168.0,52.0,110.0,6.0,1.0
Hulbert,530.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0
Hydro,1034.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,13.0,2.0,1.0
Idabel,6906.0,47.0,3.0,11.0,4.0,29.0,309.0,44.0,249.0,16.0,6.0
Jay,3020.0,5.0,0.0,3.0,0.0,2.0,46.0,15.0,31.0,0.0,0.0
Jenks,14906.0,15.0,0.0,2.0,0.0,13.0,236.0,48.0,170.0,18.0,2.0
Jones,2674.0,2.0,0.0,1.0,0.0,1.0,11.0,2.0,9.0,0.0,0.0
Kingfisher,4515.0,5.0,0.0,1.0,1.0,3.0,88.0,14.0,72.0,2.0,1.0
Kingston,1561.0,2.0,0.0,0.0,1.0,1.0,16.0,10.0,4.0,2.0,0.0
Konawa,1417.0,2.0,0.0,0.0,0.0,2.0,26.0,9.0,13.0,4.0,0.0
Krebs,2137.0,6.0,0.0,0.0,0.0,6.0,42.0,7.0,29.0,6.0,1.0
Lawton,86864.0,1075.0,9.0,75.0,184.0,807.0,4638.0,1555.0,2813.0,270.0,49.0
Lexington,2071.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,33.0,1.0,0.0
Lindsay,2918.0,3.0,0.0,0.0,0.0,3.0,47.0,16.0,25.0,6.0,1.0
Locust Grove,1589.0,6.0,0.0,0.0,0.0,6.0,46.0,8.0,34.0,4.0,0.0
Lone Grove,5239.0,11.0,1.0,0.0,1.0,9.0,123.0,30.0,88.0,5.0,0.0
Luther,1098.0,2.0,0.0,1.0,0.0,1.0,10.0,5.0,3.0,2.0,0.0
Madill,3735.0,13.0,0.0,1.0,2.0,10.0,145.0,33.0,99.0,13.0,1.0
Mangum,2695.0,14.0,0.0,0.0,0.0,14.0,78.0,18.0,58.0,2.0,1.0
Mannford,2787.0,6.0,0.0,1.0,0.0,5.0,41.0,10.0,28.0,3.0,0.0
Marietta,2568.0,16.0,0.0,3.0,2.0,11.0,93.0,25.0,62.0,6.0,0.0
Marlow,4564.0,10.0,0.0,5.0,0.0,5.0,84.0,14.0,66.0,4.0,0.0
Maysville,1304.0,4.0,0.0,1.0,0.0,3.0,18.0,2.0,12.0,4.0,0.0
McAlester,18414.0,52.0,0.0,7.0,11.0,34.0,1111.0,194.0,881.0,36.0,1.0
McLoud,4250.0,12.0,0.0,1.0,2.0,9.0,69.0,25.0,38.0,6.0,0.0
Meeker,1000.0,3.0,0.0,1.0,0.0,2.0,25.0,8.0,15.0,2.0,0.0
Miami,13622.0,72.0,0.0,5.0,3.0,64.0,603.0,151.0,435.0,17.0,4.0
Midwest City,55315.0,257.0,1.0,19.0,54.0,183.0,2365.0,554.0,1645.0,166.0,10.0
Minco,1805.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0
Moore,50548.0,70.0,1.0,9.0,15.0,45.0,1950.0,393.0,1397.0,160.0,5.0
Mooreland,1229.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,14.0,1.0,0.0
Morris,1323.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,7.0,4.0,0.0
Mountain View,816.0,1.0,0.0,0.0,0.0,1.0,10.0,3.0,7.0,0.0,0.0
Muldrow,3216.0,5.0,0.0,0.0,0.0,5.0,72.0,16.0,55.0,1.0,1.0
Muskogee,40113.0,379.0,3.0,39.0,57.0,280.0,1675.0,604.0,981.0,90.0,14.0
Mustang,16960.0,49.0,1.0,2.0,5.0,41.0,537.0,78.0,433.0,26.0,6.0
Newcastle,6880.0,9.0,0.0,0.0,2.0,7.0,183.0,32.0,140.0,11.0,1.0
Newkirk,2128.0,8.0,0.0,0.0,0.0,8.0,83.0,20.0,60.0,3.0,0.0
Nichols Hills,3981.0,1.0,0.0,0.0,0.0,1.0,48.0,8.0,37.0,3.0,0.0
Nicoma Park,2371.0,10.0,0.0,0.0,1.0,9.0,53.0,16.0,33.0,4.0,0.0
Noble,5638.0,3.0,0.0,1.0,0.0,2.0,91.0,34.0,53.0,4.0,2.0
Norman,103721.0,177.0,4.0,35.0,52.0,86.0,3615.0,795.0,2549.0,271.0,2.0
