City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Bluff City,1629.0,9.0,0.0,0.0,1.0,8.0,59.0,10.0,46.0,3.0,0.0
Bradford,1063.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,5.0,1.0,0.0
Brentwood,35019.0,27.0,0.0,4.0,5.0,18.0,511.0,82.0,420.0,9.0,1.0
Brighton,2664.0,16.0,0.0,0.0,0.0,16.0,48.0,13.0,33.0,2.0,0.0
Bristol,25346.0,117.0,0.0,16.0,9.0,92.0,1436.0,207.0,1129.0,100.0,6.0
Brownsville,10539.0,148.0,0.0,5.0,20.0,123.0,610.0,214.0,363.0,33.0,3.0
Bruceton,1469.0,7.0,0.0,0.0,2.0,5.0,24.0,9.0,14.0,1.0,0.0
Burns,1411.0,3.0,0.0,0.0,0.0,3.0,40.0,16.0,19.0,5.0,0.0
Calhoun,522.0,6.0,0.0,0.0,0.0,6.0,28.0,7.0,18.0,3.0,0.0
Camden,3693.0,26.0,0.0,1.0,0.0,25.0,189.0,27.0,160.0,2.0,2.0
Carthage,2234.0,18.0,1.0,0.0,1.0,16.0,81.0,19.0,57.0,5.0,0.0
Caryville,2400.0,16.0,0.0,2.0,2.0,12.0,103.0,29.0,64.0,10.0,0.0
Celina,1380.0,8.0,0.0,0.0,0.0,8.0,31.0,7.0,23.0,1.0,0.0
Centerville,4018.0,5.0,0.0,1.0,0.0,4.0,99.0,34.0,62.0,3.0,0.0
Chapel Hill,1285.0,4.0,0.0,0.0,0.0,4.0,27.0,9.0,18.0,0.0,0.0
Charleston,654.0,4.0,0.0,0.0,0.0,4.0,8.0,1.0,6.0,1.0,0.0
Chattanooga,155043.0,2009.0,11.0,102.0,524.0,1372.0,12484.0,2384.0,9072.0,1028.0,14.0
Church Hill,6644.0,14.0,0.0,0.0,1.0,13.0,155.0,44.0,97.0,14.0,1.0
Clarksburg,374.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Clarksville,114582.0,992.0,9.0,65.0,159.0,759.0,4751.0,1520.0,2907.0,324.0,22.0
Cleveland,38808.0,430.0,1.0,24.0,48.0,357.0,2356.0,465.0,1769.0,122.0,13.0
Clifton,2684.0,7.0,0.0,0.0,0.0,7.0,15.0,8.0,6.0,1.0,0.0
Clinton,9516.0,54.0,0.0,1.0,8.0,45.0,463.0,101.0,330.0,32.0,3.0
Collegedale,7423.0,19.0,0.0,2.0,3.0,14.0,242.0,20.0,218.0,4.0,0.0
Collierville,39569.0,59.0,0.0,1.0,12.0,46.0,821.0,129.0,654.0,38.0,4.0
Collinwood,1038.0,2.0,0.0,0.0,0.0,2.0,12.0,2.0,9.0,1.0,2.0
Columbia,33897.0,486.0,5.0,20.0,78.0,383.0,1820.0,384.0,1316.0,120.0,11.0
Cookeville,28691.0,127.0,1.0,13.0,28.0,85.0,1715.0,335.0,1281.0,99.0,2.0
Coopertown,3324.0,6.0,0.0,1.0,0.0,5.0,51.0,19.0,23.0,9.0,0.0
Copperhill,465.0,2.0,0.0,0.0,2.0,0.0,14.0,3.0,10.0,1.0,0.0
Cornersville,948.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0
Covington,9193.0,127.0,1.0,3.0,16.0,107.0,502.0,114.0,367.0,21.0,0.0
Cowan,1758.0,5.0,0.0,0.0,0.0,5.0,42.0,13.0,24.0,5.0,1.0
Cross Plains,1602.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,26.0,4.0,0.0
Crossville,11111.0,123.0,0.0,15.0,11.0,97.0,940.0,228.0,656.0,56.0,6.0
Crump,1457.0,22.0,0.0,0.0,2.0,20.0,85.0,30.0,52.0,3.0,2.0
Cumberland City,321.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,7.0,1.0,0.0
Cumberland Gap,205.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0
Dandridge,2497.0,13.0,0.0,1.0,0.0,12.0,160.0,8.0,151.0,1.0,0.0
Dayton,6686.0,32.0,0.0,1.0,7.0,24.0,325.0,50.0,265.0,10.0,1.0
Decatur,1468.0,5.0,0.0,0.0,2.0,3.0,64.0,9.0,53.0,2.0,0.0
Decaturville,825.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0
Decherd,2164.0,10.0,0.0,0.0,2.0,8.0,99.0,27.0,70.0,2.0,0.0
Dickson,13171.0,117.0,1.0,9.0,19.0,88.0,791.0,146.0,554.0,91.0,2.0
Dover,1550.0,2.0,0.0,0.0,0.0,2.0,18.0,2.0,15.0,1.0,0.0
Dresden,2629.0,6.0,0.0,0.0,0.0,6.0,76.0,16.0,50.0,10.0,1.0
Dunlap,4891.0,14.0,0.0,1.0,1.0,12.0,140.0,18.0,109.0,13.0,0.0
Dyer,2422.0,3.0,1.0,0.0,0.0,2.0,29.0,6.0,20.0,3.0,1.0
Dyersburg,17391.0,203.0,5.0,17.0,28.0,153.0,1454.0,366.0,1012.0,76.0,6.0
Eagleville,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Ridge,19641.0,192.0,1.0,8.0,35.0,148.0,1289.0,333.0,875.0,81.0,4.0
Elizabethton,13917.0,78.0,0.0,5.0,3.0,70.0,866.0,169.0,648.0,49.0,8.0
Elkton,500.0,2.0,0.0,0.0,0.0,2.0,14.0,10.0,3.0,1.0,0.0
Englewood,1722.0,15.0,0.0,0.0,1.0,14.0,73.0,11.0,52.0,10.0,2.0
Erin,1453.0,11.0,0.0,0.0,1.0,10.0,45.0,13.0,26.0,6.0,0.0
Erwin,5802.0,12.0,1.0,1.0,2.0,8.0,154.0,26.0,127.0,1.0,0.0
Estill Springs,2285.0,4.0,0.0,0.0,0.0,4.0,38.0,7.0,26.0,5.0,0.0
Ethridge,555.0,2.0,0.0,0.0,1.0,1.0,13.0,2.0,9.0,2.0,0.0
Etowah,3775.0,26.0,0.0,0.0,2.0,24.0,257.0,47.0,195.0,15.0,0.0
Fairview,7712.0,18.0,0.0,1.0,1.0,16.0,160.0,43.0,104.0,13.0,0.0
Fayetteville,7104.0,93.0,0.0,2.0,9.0,82.0,353.0,72.0,261.0,20.0,5.0
Franklin,57489.0,106.0,2.0,13.0,18.0,73.0,1024.0,125.0,849.0,50.0,5.0
Friendship,602.0,3.0,0.0,0.0,0.0,3.0,6.0,2.0,2.0,2.0,0.0
Gadsden,547.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,0.0,0.0
Gainesboro,845.0,1.0,0.0,0.0,0.0,1.0,41.0,5.0,33.0,3.0,1.0
Gallatin,28419.0,104.0,1.0,5.0,13.0,85.0,576.0,79.0,471.0,26.0,3.0
Gallaway,715.0,13.0,0.0,0.0,1.0,12.0,31.0,5.0,21.0,5.0,0.0
Gates,852.0,2.0,0.0,0.0,0.0,2.0,10.0,6.0,4.0,0.0,0.0
Gatlinburg,5165.0,25.0,0.0,3.0,2.0,20.0,451.0,176.0,258.0,17.0,4.0
Gibson,406.0,4.0,0.0,0.0,0.0,4.0,16.0,1.0,12.0,3.0,0.0
Gleason,1402.0,11.0,0.0,0.0,0.0,11.0,33.0,12.0,20.0,1.0,0.0
Goodlettsville,15854.0,124.0,1.0,5.0,36.0,82.0,962.0,145.0,741.0,76.0,1.0
Gordonsville,1320.0,10.0,0.0,1.0,0.0,9.0,33.0,5.0,28.0,0.0,0.0
Grand Junction,312.0,5.0,0.0,0.0,2.0,3.0,15.0,3.0,11.0,1.0,0.0
Graysville,1438.0,10.0,0.0,0.0,0.0,10.0,37.0,5.0,27.0,5.0,0.0
Greenbrier,6434.0,29.0,0.0,0.0,3.0,26.0,142.0,39.0,94.0,9.0,1.0
Greeneville,15558.0,70.0,0.0,5.0,22.0,43.0,855.0,172.0,637.0,46.0,4.0
Greenfield,2028.0,6.0,0.0,0.0,0.0,6.0,30.0,2.0,24.0,4.0,0.0
Halls,2201.0,13.0,0.0,0.0,2.0,11.0,46.0,27.0,15.0,4.0,0.0
Harriman,6714.0,35.0,0.0,1.0,7.0,27.0,362.0,60.0,281.0,21.0,8.0
Henderson,6290.0,29.0,1.0,1.0,1.0,26.0,233.0,38.0,179.0,16.0,1.0
Hendersonville,46989.0,163.0,1.0,14.0,19.0,129.0,1236.0,197.0,955.0,84.0,6.0
Henning,1290.0,13.0,0.0,1.0,0.0,12.0,35.0,18.0,12.0,5.0,1.0
Henry,545.0,4.0,0.0,0.0,1.0,3.0,15.0,3.0,12.0,0.0,0.0
Hohenwald,3832.0,14.0,0.0,0.0,1.0,13.0,92.0,40.0,50.0,2.0,2.0
Hollow Rock,943.0,1.0,0.0,0.0,0.0,1.0,19.0,4.0,15.0,0.0,0.0
Hornbeak,425.0,2.0,0.0,0.0,1.0,1.0,5.0,1.0,4.0,0.0,0.0
Humboldt,9213.0,122.0,2.0,3.0,14.0,103.0,486.0,135.0,314.0,37.0,6.0
Huntingdon,4163.0,12.0,0.0,0.0,0.0,12.0,105.0,26.0,76.0,3.0,0.0
Huntland,882.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,1.0,1.0
Jacksboro,2055.0,14.0,0.0,0.0,2.0,12.0,209.0,19.0,180.0,10.0,1.0
Jackson,63125.0,681.0,9.0,27.0,266.0,379.0,4606.0,1106.0,2930.0,570.0,22.0
Jamestown,1907.0,16.0,0.0,1.0,0.0,15.0,110.0,22.0,85.0,3.0,2.0
Jasper,3086.0,4.0,0.0,0.0,0.0,4.0,94.0,31.0,57.0,6.0,0.0
Jefferson City,8055.0,33.0,0.0,2.0,3.0,28.0,454.0,67.0,367.0,20.0,0.0
Jellico,2546.0,3.0,0.0,0.0,0.0,3.0,154.0,17.0,128.0,9.0,1.0
Johnson City,60488.0,343.0,1.0,22.0,57.0,263.0,3023.0,566.0,2295.0,162.0,12.0
Jonesborough,4803.0,22.0,0.0,1.0,2.0,19.0,96.0,25.0,65.0,6.0,1.0
Kenton,1306.0,2.0,0.0,0.0,0.0,2.0,12.0,4.0,8.0,0.0,0.0
Kimball,1380.0,4.0,0.0,0.0,2.0,2.0,73.0,2.0,62.0,9.0,1.0
Kingsport,44079.0,335.0,2.0,21.0,57.0,255.0,3064.0,521.0,2395.0,148.0,20.0
