Area,Year,Population1,Violent crime Number,"Rate per 100,000",Murder and nonnegligent manslaughter Number,"Rate per 100,000",Forcible rape Number,"Rate per 100,000",Robbery Number,"Rate per 100,000",Aggravated assault Number,"Rate per 100,000",Property crime Number,"Rate per 100,000",Burglary Number,"Rate per 100,000",Larceny-theft Number,"Rate per 100,000",Motor vehicle theft Number,"Rate per 100,000",,,
New Hampshire,2006.0,1314895.0,1824.0,138.7,13.0,1.0,344.0,26.2,423.0,32.2,1044.0,79.4,24642.0,1874.1,4358.0,331.4,18862.0,1434.5,1422.0,108.1,,,
,2007.0,1315828.0,1807.0,137.3,15.0,1.1,333.0,25.3,432.0,32.8,1027.0,78.0,24896.0,1892.0,4986.0,378.9,18611.0,1414.4,1299.0,98.7,,,
,Percent change,,-0.9,-1.0,15.4,15.3,-3.2,-3.3,2.1,2.1,-1.6,-1.7,1.0,1.0,14.4,14.3,-1.3,-1.4,-8.6,-8.7,,,
Rhode Island,2006.0,1067610.0,2429.0,227.5,28.0,2.6,285.0,26.7,735.0,68.8,1381.0,129.4,27618.0,2586.9,5415.0,507.2,18621.0,1744.2,3582.0,335.5,,,
,2007.0,1057832.0,2404.0,227.3,19.0,1.8,256.0,24.2,751.0,71.0,1378.0,130.3,27743.0,2622.6,5236.0,495.0,19281.0,1822.7,3226.0,305.0,,,
,Percent change,,-1.0,-0.1,-32.1,-31.5,-10.2,-9.3,2.2,3.1,-0.2,0.7,0.5,1.4,-3.3,-2.4,3.5,4.5,-9.9,-9.1,,,
Vermont,2006.0,623908.0,852.0,136.6,12.0,1.9,150.0,24.0,110.0,17.6,580.0,93.0,14379.0,2304.7,3300.0,528.9,10493.0,1681.8,586.0,93.9,,,
,2007.0,621254.0,772.0,124.3,12.0,1.9,123.0,19.8,80.0,12.9,557.0,89.7,14430.0,2322.7,3106.0,500.0,10683.0,1719.6,641.0,103.2,,,
,Percent change,,-9.4,-9.0,0.0,0.4,-18.0,-17.6,-27.3,-27.0,-4.0,-3.6,0.4,0.8,-5.9,-5.5,1.8,2.2,9.4,9.9,,,
Middle Atlantic2,2006.0,40471364.0,169302.0,418.3,2084.0,5.1,7807.0,19.3,68820.0,170.0,90591.0,223.8,900250.0,2224.4,165621.0,409.2,648231.0,1601.7,86398.0,213.5,,,
,2007.0,40416441.0,160298.0,396.6,1904.0,4.7,7426.0,18.4,63101.0,156.1,87867.0,217.4,867619.0,2146.7,158359.0,391.8,632816.0,1565.7,76444.0,189.1,,,
,Percent change,,-5.3,-5.2,-8.6,-8.5,-4.9,-4.8,-8.3,-8.2,-3.0,-2.9,-3.6,-3.5,-4.4,-4.3,-2.4,-2.2,-11.5,-11.4,,,
New Jersey2,2006.0,8724560.0,30671.0,351.5,427.0,4.9,1237.0,14.2,13357.0,153.1,15650.0,179.4,199958.0,2291.9,39433.0,452.0,135801.0,1556.5,24724.0,283.4,,,
,2007.0,8685920.0,28601.0,329.3,380.0,4.4,1050.0,12.1,12549.0,144.5,14622.0,168.3,192226.0,2213.1,37482.0,431.5,132791.0,1528.8,21953.0,252.7,,,
,Percent change,,-6.7,-6.3,-11.0,-10.6,-15.1,-14.7,-6.0,-5.6,-6.6,-6.2,-3.9,-3.4,-4.9,-4.5,-2.2,-1.8,-11.2,-10.8,,,
New York,2006.0,19306183.0,83966.0,434.9,921.0,4.8,3169.0,16.4,34489.0,178.6,45387.0,235.1,396304.0,2052.7,68565.0,355.1,295605.0,1531.1,32134.0,166.4,,,
,2007.0,19297729.0,79915.0,414.1,801.0,4.2,2926.0,15.2,31094.0,161.1,45094.0,233.7,381816.0,1978.6,64857.0,336.1,288929.0,1497.2,28030.0,145.3,,,
,Percent change,,-4.8,-4.8,-13.0,-13.0,-7.7,-7.6,-9.8,-9.8,-0.6,-0.6,-3.7,-3.6,-5.4,-5.4,-2.3,-2.2,-12.8,-12.7,,,
Pennsylvania,2006.0,12440621.0,54665.0,439.4,736.0,5.9,3401.0,27.3,20974.0,168.6,29554.0,237.6,303988.0,2443.5,57623.0,463.2,216825.0,1742.9,29540.0,237.4,,,
,2007.0,12432792.0,51782.0,416.5,723.0,5.8,3450.0,27.7,19458.0,156.5,28151.0,226.4,293577.0,2361.3,56020.0,450.6,211096.0,1697.9,26461.0,212.8,,,
,Percent change,,-5.3,-5.2,-1.8,-1.7,1.4,1.5,-7.2,-7.2,-4.7,-4.7,-3.4,-3.4,-2.8,-2.7,-2.6,-2.6,-10.4,-10.4,,,
"East North Central3, 4",2006.0,46275645.0,202144.0,436.8,2565.0,5.5,16861.0,36.4,69949.0,151.2,112769.0,243.7,1511762.0,3266.9,330954.0,715.2,1019828.0,2203.8,160980.0,347.9,,,
,2007.0,46338216.0,199337.0,430.2,2483.0,5.4,16099.0,34.7,68120.0,147.0,112635.0,243.1,1456791.0,3143.8,324218.0,699.7,989766.0,2136.0,142807.0,308.2,,,
,Percent change,,-1.4,-1.5,-3.2,-3.3,-4.5,-4.6,-2.6,-2.7,-0.1,-0.3,-3.6,-3.8,-2.0,-2.2,-2.9,-3.1,-11.3,-11.4,,,
"Illinois3, 4",2006.0,12831970.0,69498.0,541.6,780.0,6.1,4078.0,31.8,23782.0,185.3,40858.0,318.4,387478.0,3019.6,77259.0,602.1,272578.0,2124.2,37641.0,293.3,,,
,2007.0,12852548.0,68528.0,533.2,752.0,5.9,4103.0,31.9,23100.0,179.7,40573.0,315.7,377322.0,2935.8,75524.0,587.6,267911.0,2084.5,33887.0,263.7,,,
,Percent change,,-1.4,-1.6,-3.6,-3.7,0.6,0.5,-2.9,-3.0,-0.7,-0.9,-2.6,-2.8,-2.2,-2.4,-1.7,-1.9,-10.0,-10.1,,,
Indiana,2006.0,6313520.0,19876.0,314.8,369.0,5.8,1835.0,29.1,7243.0,114.7,10429.0,165.2,221127.0,3502.4,46168.0,731.3,153093.0,2424.8,21866.0,346.3,,,
,2007.0,6345289.0,21165.0,333.6,356.0,5.6,1742.0,27.5,7872.0,124.1,11195.0,176.4,215526.0,3396.6,46919.0,739.4,149050.0,2349.0,19557.0,308.2,,,
,Percent change,,6.5,6.0,-3.5,-4.0,-5.1,-5.5,8.7,8.1,7.3,6.8,-2.5,-3.0,1.6,1.1,-2.6,-3.1,-10.6,-11.0,,,
Michigan,2006.0,10095643.0,56778.0,562.4,713.0,7.1,5269.0,52.2,14208.0,140.7,36588.0,362.4,324351.0,3212.8,76107.0,753.9,198227.0,1963.5,50017.0,495.4,,,
,2007.0,10071822.0,53988.0,536.0,676.0,6.7,4579.0,45.5,13414.0,133.2,35319.0,350.7,308775.0,3065.7,75428.0,748.9,191196.0,1898.3,42151.0,418.5,,,
,Percent change,,-4.9,-4.7,-5.2,-5.0,-13.1,-12.9,-5.6,-5.4,-3.5,-3.2,-4.8,-4.6,-0.9,-0.7,-3.5,-3.3,-15.7,-15.5,,,
Ohio,2006.0,11478006.0,40209.0,350.3,539.0,4.7,4548.0,39.6,19149.0,166.8,15973.0,139.2,422235.0,3678.6,104426.0,909.8,280384.0,2442.8,37425.0,326.1,,,
,2007.0,11466917.0,39360.0,343.2,516.0,4.5,4452.0,38.8,18260.0,159.2,16132.0,140.7,396209.0,3455.2,98508.0,859.1,263922.0,2301.6,33779.0,294.6,,,
,Percent change,,-2.1,-2.0,-4.3,-4.2,-2.1,-2.0,-4.6,-4.6,1.0,1.1,-6.2,-6.1,-5.7,-5.6,-5.9,-5.8,-9.7,-9.7,,,
Wisconsin,2006.0,5556506.0,15783.0,284.0,164.0,3.0,1131.0,20.4,5567.0,100.2,8921.0,160.6,156571.0,2817.8,26994.0,485.8,115546.0,2079.5,14031.0,252.5,,,
,2007.0,5601640.0,16296.0,290.9,183.0,3.3,1223.0,21.8,5474.0,97.7,9416.0,168.1,158959.0,2837.7,27839.0,497.0,117687.0,2100.9,13433.0,239.8,,,
,Percent change,,3.3,2.4,11.6,10.7,8.1,7.3,-1.7,-2.5,5.5,4.7,1.5,0.7,3.1,2.3,1.9,1.0,-4.3,-5.0,,,
West North Central 4,2006.0,19942091.0,75644.0,379.3,742.0,3.7,6854.0,34.4,17515.0,87.8,50533.0,253.4,654384.0,3281.4,127324.0,638.5,467771.0,2345.6,59289.0,297.3,,,
,2007.0,20050579.0,73681.0,367.5,742.0,3.7,6764.0,33.7,16554.0,82.6,49621.0,247.5,639208.0,3188.0,123908.0,618.0,458691.0,2287.7,56609.0,282.3,,,
,Percent change,,-2.6,-3.1,0.0,-0.5,-1.3,-1.8,-5.5,-6.0,-1.8,-2.3,-2.3,-2.8,-2.7,-3.2,-1.9,-2.5,-4.5,-5.0,,,
Iowa,2006.0,2982085.0,8455.0,283.5,55.0,1.8,828.0,27.8,1298.0,43.5,6274.0,210.4,83579.0,2802.7,18017.0,604.2,60556.0,2030.7,5006.0,167.9,,,
,2007.0,2988046.0,8805.0,294.7,37.0,1.2,904.0,30.3,1313.0,43.9,6551.0,219.2,78154.0,2615.6,16941.0,567.0,56328.0,1885.1,4885.0,163.5,,,
,Percent change,,4.1,3.9,-32.7,-32.9,9.2,9.0,1.2,1.0,4.4,4.2,-6.5,-6.7,-6.0,-6.2,-7.0,-7.2,-2.4,-2.6,,,
Kansas,2006.0,2764075.0,11748.0,425.0,127.0,4.6,1238.0,44.8,1877.0,67.9,8506.0,307.7,103658.0,3750.2,19992.0,723.3,74963.0,2712.0,8703.0,314.9,,,
,2007.0,2775997.0,12566.0,452.7,107.0,3.9,1231.0,44.3,2016.0,72.6,9212.0,331.8,102120.0,3678.7,20263.0,729.9,73293.0,2640.2,8564.0,308.5,,,
,Percent change,,7.0,6.5,-15.7,-16.1,-0.6,-1.0,7.4,6.9,8.3,7.8,-1.5,-1.9,1.4,0.9,-2.2,-2.6,-1.6,-2.0,,,
Minnesota4,2006.0,5167101.0,16425.0,317.9,125.0,2.4,1947.0,37.7,5433.0,105.1,8920.0,172.6,159119.0,3079.5,30173.0,583.9,115567.0,2236.6,13379.0,258.9,,,
,2007.0,5197621.0,15003.0,288.7,116.0,2.2,1873.0,36.0,4770.0,91.8,8244.0,158.6,157829.0,3036.6,29670.0,570.8,115633.0,2224.7,12526.0,241.0,,,
,Percent change,,-8.7,-9.2,-7.2,-7.7,-3.8,-4.4,-12.2,-12.7,-7.6,-8.1,-0.8,-1.4,-1.7,-2.2,0.1,-0.5,-6.4,-6.9,,,
Missouri,2006.0,5842713.0,31880.0,545.6,368.0,6.3,1764.0,30.2,7587.0,129.9,22161.0,379.3,223570.0,3826.5,44647.0,764.1,153490.0,2627.0,25433.0,435.3,,,
,2007.0,5878415.0,29682.0,504.9,385.0,6.5,1714.0,29.2,7165.0,121.9,20418.0,347.3,219759.0,3738.4,43446.0,739.1,152529.0,2594.7,23784.0,404.6,,,
,Percent change,,-6.9,-7.5,4.6,4.0,-2.8,-3.4,-5.6,-6.1,-7.9,-8.4,-1.7,-2.3,-2.7,-3.3,-0.6,-1.2,-6.5,-7.1,,,
Nebraska,2006.0,1768331.0,4983.0,281.8,50.0,2.8,548.0,31.0,1129.0,63.8,3256.0,184.1,59075.0,3340.7,9452.0,534.5,44585.0,2521.3,5038.0,284.9,,,
,2007.0,1774571.0,5367.0,302.4,68.0,3.8,527.0,29.7,1108.0,62.4,3664.0,206.5,56102.0,3161.4,9046.0,509.8,41855.0,2358.6,5201.0,293.1,,,
,Percent change,,7.7,7.3,36.0,35.5,-3.8,-4.2,-1.9,-2.2,12.5,12.1,-5.0,-5.4,-4.3,-4.6,-6.1,-6.5,3.2,2.9,,,
North Dakota,2006.0,635867.0,813.0,127.9,8.0,1.3,193.0,30.4,72.0,11.3,540.0,84.9,12719.0,2000.3,2393.0,376.3,9314.0,1464.8,1012.0,159.2,,,
,2007.0,639715.0,911.0,142.4,12.0,1.9,207.0,32.4,70.0,10.9,622.0,97.2,12088.0,1889.6,2164.0,338.3,9010.0,1408.4,914.0,142.9,,,
,Percent change,,12.1,11.4,50.0,49.1,7.3,6.6,-2.8,-3.4,15.2,14.5,-5.0,-5.5,-9.6,-10.1,-3.3,-3.8,-9.7,-10.2,,,
South Dakota,2006.0,781919.0,1340.0,171.4,9.0,1.2,336.0,43.0,119.0,15.2,876.0,112.0,12664.0,1619.6,2650.0,338.9,9296.0,1188.9,718.0,91.8,,,
,2007.0,796214.0,1347.0,169.2,17.0,2.1,308.0,38.7,112.0,14.1,910.0,114.3,13156.0,1652.3,2378.0,298.7,10043.0,1261.3,735.0,92.3,,,
,Percent change,,0.5,-1.3,88.9,85.5,-8.3,-10.0,-5.9,-7.6,3.9,2.0,3.9,2.0,-10.3,-11.9,8.0,6.1,2.4,0.5,,,
South Atlantic5,2006.0,57143670.0,327457.0,573.0,3859.0,6.8,16849.0,29.5,97580.0,170.8,209169.0,366.0,2122337.0,3714.0,497094.0,869.9,1399721.0,2449.5,225522.0,394.7,,,
,2007.0,57860260.0,332090.0,574.0,4097.0,7.1,16274.0,28.1,103124.0,178.2,208595.0,360.5,2164134.0,3740.3,516401.0,892.5,1430636.0,2472.6,217097.0,375.2,,,
,Percent change,,1.4,0.2,6.2,4.9,-3.4,-4.6,5.7,4.4,-0.3,-1.5,2.0,0.7,3.9,2.6,2.2,0.9,-3.7,-4.9,,,
Delaware,2006.0,853476.0,5817.0,681.6,42.0,4.9,400.0,46.9,1735.0,203.3,3640.0,426.5,29171.0,3417.9,6189.0,725.2,20166.0,2362.8,2816.0,329.9,,,
,2007.0,864764.0,5960.0,689.2,37.0,4.3,336.0,38.9,1706.0,197.3,3881.0,448.8,29143.0,3370.1,6341.0,733.3,20486.0,2369.0,2316.0,267.8,,,
,Percent change,,2.5,1.1,-11.9,-13.1,-16.0,-17.1,-1.7,-3.0,6.6,5.2,-0.1,-1.4,2.5,1.1,1.6,0.3,-17.8,-18.8,,,
District of Columbia5,2006.0,581530.0,8772.0,1508.4,169.0,29.1,185.0,31.8,3829.0,658.4,4589.0,789.1,27063.0,4653.8,3835.0,659.5,15907.0,2735.4,7321.0,1258.9,,,
,2007.0,588292.0,8320.0,1414.3,181.0,30.8,192.0,32.6,4261.0,724.3,3686.0,626.6,28908.0,4913.9,3926.0,667.4,17382.0,2954.7,7600.0,1291.9,,,
,Percent change,,-5.2,-6.2,7.1,5.9,3.8,2.6,11.3,10.0,-19.7,-20.6,6.8,5.6,2.4,1.2,9.3,8.0,3.8,2.6,,,
Florida,2006.0,18089888.0,128795.0,712.0,1129.0,6.2,6475.0,35.8,34147.0,188.8,87044.0,481.2,721084.0,3986.1,170873.0,944.6,473774.0,2619.0,76437.0,422.5,,,
,2007.0,18251243.0,131880.0,722.6,1201.0,6.6,6151.0,33.7,38162.0,209.1,86366.0,473.2,746347.0,4089.3,181833.0,996.3,490858.0,2689.4,73656.0,403.6,,,
,Percent change,,2.4,1.5,6.4,5.4,-5.0,-5.8,11.8,10.8,-0.8,-1.7,3.5,2.6,6.4,5.5,3.6,2.7,-3.6,-4.5,,,
Georgia,2006.0,9363941.0,44106.0,471.0,600.0,6.4,2173.0,23.2,15509.0,165.6,25824.0,275.8,364183.0,3889.2,85117.0,909.0,235903.0,2519.3,43163.0,460.9,,,
,2007.0,9544750.0,47075.0,493.2,718.0,7.5,2178.0,22.8,17340.0,181.7,26839.0,281.2,372342.0,3901.0,90690.0,950.2,239058.0,2504.6,42594.0,446.3,,,
,Percent change,,6.7,4.7,19.7,17.4,0.2,-1.7,11.8,9.7,3.9,2.0,2.2,0.3,6.5,4.5,1.3,-0.6,-1.3,-3.2,,,
Maryland,2006.0,5615727.0,38110.0,678.6,546.0,9.7,1178.0,21.0,14375.0,256.0,22011.0,392.0,195476.0,3480.9,37457.0,667.0,127497.0,2270.4,30522.0,543.5,,,
,2007.0,5618344.0,36062.0,641.9,553.0,9.8,1179.0,21.0,13258.0,236.0,21072.0,375.1,192796.0,3431.5,37095.0,660.2,127308.0,2265.9,28393.0,505.4,,,
,Percent change,,-5.4,-5.4,1.3,1.2,0.1,*,-7.8,-7.8,-4.3,-4.3,-1.4,-1.4,-1.0,-1.0,-0.1,-0.2,-7.0,-7.0,,,
North Carolina,2006.0,8856505.0,42124.0,475.6,540.0,6.1,2495.0,28.2,13484.0,152.2,25605.0,289.1,364960.0,4120.8,107407.0,1212.7,227427.0,2567.9,30126.0,340.2,,,
,2007.0,9061032.0,42262.0,466.4,585.0,6.5,2385.0,26.3,13548.0,149.5,25744.0,284.1,370354.0,4087.3,108800.0,1200.7,233588.0,2577.9,27966.0,308.6,,,
,Percent change,,0.3,-1.9,8.3,5.9,-4.4,-6.6,0.5,-1.8,0.5,-1.7,1.5,-0.8,1.3,-1.0,2.7,0.4,-7.2,-9.3,,,
South Carolina,2006.0,4321249.0,33078.0,765.5,359.0,8.3,1762.0,40.8,5899.0,136.5,25058.0,579.9,183322.0,4242.3,42772.0,989.8,124148.0,2873.0,16402.0,379.6,,,
,2007.0,4407709.0,34746.0,788.3,352.0,8.0,1739.0,39.5,6346.0,144.0,26309.0,596.9,188282.0,4271.7,45214.0,1025.8,126042.0,2859.6,17026.0,386.3,,,
,Percent change,,5.0,3.0,-1.9,-3.9,-1.3,-3.2,7.6,5.5,5.0,2.9,2.7,0.7,5.7,3.6,1.5,-0.5,3.8,1.8,,,
Virginia,2006.0,7642884.0,21568.0,282.2,399.0,5.2,1792.0,23.4,7749.0,101.4,11628.0,152.1,189406.0,2478.2,31913.0,417.6,142679.0,1866.8,14814.0,193.8,,,
,2007.0,7712091.0,20798.0,269.7,406.0,5.3,1745.0,22.6,7651.0,99.2,10996.0,142.6,190209.0,2466.4,31688.0,410.9,144467.0,1873.3,14054.0,182.2,,,
