State,City,Population,Total law enforcement employees,Total officers,Total civilians
,Columbus,993.0,6.0,6.0,0.0
,Concord,63284.0,162.0,144.0,18.0
,Conover,7183.0,23.0,22.0,1.0
,Conway,686.0,1.0,1.0,0.0
,Cooleemee,976.0,3.0,3.0,0.0
,Cornelius,21563.0,52.0,38.0,14.0
,Cramerton,3050.0,12.0,12.0,0.0
,Creedmoor,3472.0,17.0,13.0,4.0
,Dallas,3433.0,15.0,11.0,4.0
,Davidson,9023.0,19.0,18.0,1.0
,Denton,1483.0,5.0,5.0,0.0
,Dobson,1506.0,5.0,5.0,0.0
,Drexel,1900.0,5.0,5.0,0.0
,Dunn,10072.0,53.0,38.0,15.0
,Durham,211873.0,608.0,474.0,134.0
,East Bend,672.0,2.0,2.0,0.0
,East Spencer,1770.0,5.0,5.0,0.0
,Eden,15608.0,55.0,45.0,10.0
,Edenton,4988.0,14.0,12.0,2.0
,Elizabeth City,19279.0,63.0,48.0,15.0
,Elizabethtown,3841.0,16.0,15.0,1.0
,Elkin,4314.0,20.0,17.0,3.0
,Elon,7173.0,16.0,15.0,1.0
,Emerald Isle,3752.0,21.0,16.0,5.0
,Enfield,2345.0,10.0,9.0,1.0
,Erwin,4843.0,10.0,9.0,1.0
,Fair Bluff,1164.0,3.0,3.0,0.0
,Fairmont,2737.0,15.0,12.0,3.0
,Farmville,4553.0,21.0,16.0,5.0
,Fayetteville,167157.0,510.0,342.0,168.0
,Fletcher,4662.0,15.0,14.0,1.0
,Forest City,7277.0,37.0,31.0,6.0
,Four Oaks,1881.0,6.0,6.0,0.0
,Foxfire Village,477.0,3.0,3.0,0.0
,Franklin,3633.0,19.0,17.0,2.0
,Franklinton,1948.0,10.0,9.0,1.0
,Fremont,1428.0,5.0,3.0,2.0
,Fuquay-Varina,14661.0,34.0,29.0,5.0
,Garland,841.0,2.0,2.0,0.0
,Garner,24547.0,61.0,55.0,6.0
,Garysburg,1171.0,2.0,2.0,0.0
,Gaston,910.0,2.0,2.0,0.0
,Gastonia,70127.0,185.0,161.0,24.0
,Gibsonville,4627.0,15.0,14.0,1.0
,Glen Alpine,1074.0,2.0,2.0,0.0
,Goldsboro,38053.0,107.0,97.0,10.0
,Graham,14275.0,35.0,32.0,3.0
,Granite Falls,4597.0,15.0,13.0,2.0
,Granite Quarry,2243.0,7.0,7.0,0.0
,Greensboro,238122.0,645.0,534.0,111.0
,Greenville,73319.0,206.0,164.0,42.0
,Grifton,2174.0,5.0,5.0,0.0
,Hamlet,5715.0,23.0,19.0,4.0
,Havelock,21839.0,34.0,27.0,7.0
,Henderson,16165.0,56.0,47.0,9.0
,Hendersonville,11863.0,47.0,35.0,12.0
,Hertford,2135.0,7.0,6.0,1.0
,Hickory,41008.0,140.0,114.0,26.0
,Highlands,948.0,12.0,11.0,1.0
,High Point,99297.0,252.0,216.0,36.0
,Hillsborough,5380.0,29.0,26.0,3.0
