Timestamp,Bear 1 m/d,Bear 2 m/d,Bear 4 m/d,Bear 6 m/d,Bear 7 m/d,Bear 8 m/d
42164.49954,0.32816848,0.431097564,0.303234494,0.307138485,0.307138485,0.328246412
42165.49954,0.341995247,0.428252896,0.321109451,0.325013442,0.325013442,0.34207318
42166.49954,0.401254076,0.390040155,0.381301566,0.385205557,0.385205557,0.401332009
42167.49954,0.351394328,0.368854275,0.332255393,0.336159385,0.336159385,0.351472261
42168.49954,0.310795433,0.320619837,0.291588003,0.295491994,0.295491994,0.310873365
42169.49954,0.290822297,0.282995238,0.271739072,0.275643063,0.275643063,0.29090023
42170.49954,0.289409718,0.266659882,0.264792541,0.268696532,0.268696532,0.289487651
42171.49954,0.296445413,0.273872628,0.273474412,0.277378404,0.277378404,0.296523345
42172.49954,0.249516406,0.243280053,0.245193957,0.25445816,0.25445816,0.265269126
42173.49954,0.238149715,0.227369275,0.227514424,0.236104633,0.236104633,0.246381221
42174.49954,0.22352891,0.211442127,0.207658805,0.215017271,0.215017271,0.233584279
42175.49954,0.194790511,0.178247569,0.179167845,0.186920417,0.173184058,0.19841357
42176.49954,0.175322747,0.159618711,0.162278318,0.16765215,0.153318567,0.182589055
42177.49954,0.162982329,0.147889498,0.151567323,0.150287509,0.141079242,0.172887
42178.49954,0.150802402,0.137689145,0.141538688,0.128828994,0.12992159,0.152137855
42179.49954,0.138522068,0.131759881,0.13028761,0.118745128,0.124069389,0.138543435
42180.49954,0.132680861,0.128706728,0.125091389,0.114445255,0.123190887,0.137053237
42181.49954,0.121163329,0.118364183,0.116554088,0.116106633,0.111830401,0.133721382
42182.49954,0.110922098,0.110162503,0.109923713,0.107615514,0.103373441,0.127766931
42183.49954,0.143914141,0.137287668,0.134599135,0.135513334,0.129024669,0.14080419
42184.49954,0.108342731,0.109603,0.108743862,0.106347676,0.097080478,0.115629322
42185.49954,0.099332115,0.103322837,0.101339049,0.097583231,0.087293138,0.135147443
42186.49954,0.087539152,0.092522129,0.092519778,0.086081966,0.077200641,0.136400839
42187.49954,0.083424324,0.087897829,0.087327685,0.079933187,0.070900981,0.12821696
42188.49954,0.089855471,0.093667479,0.092515116,0.083825897,0.075275569,0.134555805
42189.49954,0.071717211,0.08022752,0.080196325,0.07451395,0.061655068,0.114916522
42190.49954,0.06924523,0.077774146,0.078977554,0.071817331,0.061157802,0.10011599
42191.49954,0.077598792,0.090534142,0.089341536,0.084063882,0.072316005,0.111183955
42192.49954,0.081323473,0.100602909,0.103107303,0.102594528,0.091390179,0.126323797
42193.49954,0.125051296,0.127891611,0.123907508,0.128450621,0.116901965,0.147045733
42194.49954,0.138840128,0.13371518,0.132804447,0.140560685,0.126485236,0.143052284
42195.49954,0.1594342,0.158889141,0.155681036,0.157863239,0.14662339,0.151739626
42196.49954,0.133864808,0.131786659,0.128380885,0.133130443,0.120171177,0.145885105
42197.49954,0.099371029,0.102890075,0.103688529,0.108806682,0.09047444,0.137147039
42198.49954,0.080415071,0.088969792,0.091338748,0.090046295,0.074040661,0.124772666
42199.49954,0.073727393,0.083236745,0.086757066,0.079834454,0.066041492,0.116782725
42200.49954,0.065637697,0.079132653,0.081932139,0.076577005,0.061036776,0.10867894
42201.49954,0.058280857,0.073529423,0.074895663,0.069579938,0.054449111,0.100514502
42202.49954,0.04465897,0.064212658,0.061802479,0.059503493,0.045584366,0.090697365
42203.49954,0.044844331,0.060450502,0.06477567,0.059772449,0.047045686,0.093078953
42204.49954,0.052057922,0.067294663,0.069983465,0.065131757,0.051420614,0.097514402
42205.49954,0.039997205,0.059505982,0.060488911,0.0543277,0.042732418,0.068705738
42206.49954,0.039224793,0.055049459,0.056731445,0.050884067,0.039800657,0.065475852
42207.49954,0.04298053,0.056467735,0.058864332,0.052186806,0.041318169,0.065658959
42208.49954,0.033671957,0.050576306,0.050351126,0.04594962,0.034854469,0.056527346
42209.49954,0.028803668,0.047450037,0.045574368,0.042117526,0.031127314,0.054665384
42210.49954,0.024690504,0.043479277,0.042584422,0.039312231,0.028369796,0.0515237
42211.49954,0.024155949,0.039859721,0.039545443,0.03630296,0.02517769,0.04879797
42212.49954,0.023662541,0.035831783,0.035713942,0.036345423,0.023685012,0.049895021
42213.49954,0.02345306,0.038300396,0.038841961,0.036103554,0.023727565,0.050385975
42214.49954,0.023399434,0.035508278,0.035076122,0.03348402,0.023649527,0.044956852
42215.49954,0.023101187,0.030545027,0.029356875,0.029096102,0.023597212,0.040846066
42216.49954,0.022693461,0.027220598,0.026769043,0.026803496,0.0235793,0.038119156
42217.49954,0.022243769,0.023707868,0.019808543,0.020299394,0.023430699,0.033902019
42218.49954,0.02179284,0.02095308,0.013245164,0.012283051,0.02314406,0.027264542
42219.49954,0.020981941,0.019507374,0.011486655,0.013891926,0.023038859,0.026815362
42220.49954,0.020109327,0.020085381,0.014343578,0.023089091,0.022963094,0.029104605
42221.49954,0.018954865,0.020033031,0.012232365,0.0173869,0.0228085,0.025756252
42222.49954,0.016742972,0.013135239,0.010129189,0.014962888,0.021649579,0.027949843
42223.49954,0.023888167,0.021350779,0.018573905,0.042720571,0.038987013,0.038728663
42224.49954,0.037393236,0.042211761,0.039466027,0.069666992,0.062396131,0.050652907
42225.49954,0.033952261,0.036566473,0.033661238,0.061787904,0.054384447,0.043689146
42226.49954,0.031719252,0.033160213,0.029401791,0.056255156,0.04983141,0.039787385
42227.49954,0.026367599,0.024936029,0.022767067,0.041024711,0.035735467,0.037526575
42228.49954,0.020241763,0.014417829,0.012696291,0.017787509,0.019737222,0.036834038
42229.49954,0.020480823,0.013146189,0.013652988,0.016592361,0.019914693,0.035798842
42230.49954,0.017682502,0.011101212,0.013304696,0.015668419,0.01914306,0.035208847
42231.49954,0.015088578,0.009265331,0.013221226,0.014538111,0.018090286,0.034018888
42232.49954,0.014094819,0.006444189,0.012863646,0.009671761,0.015178863,0.030340299
42233.49954,0.014012775,0.006942275,0.012608988,0.007782471,0.014214759,0.029583572
42234.49954,0.014200977,0.009819093,0.012403583,0.008912639,0.014964624,0.030425029
42235.49954,0.015503779,0.011516517,0.01229165,0.009609478,0.015095732,0.030885746
42236.49954,0.014338261,0.010871249,0.012109924,0.006753447,0.01361359,0.028794276
42237.49954,0.013942303,0.010381229,0.011879973,0.005336647,0.012681663,0.027035139
42238.49954,0.013826329,0.010179394,0.011616392,0.003309042,0.011783102,0.025497981
42239.49954,0.013849163,0.011040911,0.011333588,0.004203459,0.01218183,0.025272192
42240.49954,0.013618192,0.010978312,0.011187423,0.002959849,0.012020044,0.024861499
42241.49954,0.014446749,0.010656779,0.011099696,0.004576419,0.012470061,0.024913742
42242.49954,0.015735316,0.011087924,0.010978793,0.007836336,0.014133062,0.026950268
