Amount,Ex-date,Record Date,Pay Date,Type,Frequency
0.25,1999-12-13,1999-12-15,1999-12-31,Cash Dividend,quarterly
0.25,1999-09-13,1999-09-15,1999-09-30,Cash Dividend,quarterly
0.25,1999-06-11,1999-06-15,1999-06-30,Cash Dividend,quarterly
0.25,1999-03-11,1999-03-15,1999-03-31,Cash Dividend,quarterly
0.25,1998-12-11,1998-12-15,1998-12-31,Cash Dividend,quarterly
0.25,1998-09-11,1998-09-15,1998-09-30,Cash Dividend,quarterly
0.25,1998-06-11,1998-06-15,1998-06-30,Cash Dividend,quarterly
0.34,1998-03-11,1998-03-13,1998-04-15,Cash Dividend,quarterly
0.34,1997-12-29,1997-12-31,1998-01-15,Cash Dividend,quarterly
0.34,1997-09-26,1997-09-30,1997-10-15,Cash Dividend,quarterly
0.34,1997-06-26,1997-06-30,1997-07-15,Cash Dividend,quarterly
0.34,1997-03-26,1997-03-31,1997-04-15,Cash Dividend,quarterly
0.34,1996-12-27,1996-12-31,1997-01-15,Cash Dividend,quarterly
0.34,1996-09-26,1996-09-30,1996-10-15,Cash Dividend,quarterly
0.34,1996-06-26,1996-06-28,1996-07-15,Cash Dividend,quarterly
0.34,1996-03-27,1996-03-29,1996-04-15,Cash Dividend,quarterly
0.34,1995-12-27,1995-12-29,1996-01-12,Cash Dividend,quarterly
0.34,1995-09-27,1995-09-29,1995-10-13,Cash Dividend,quarterly
0.34,1995-06-28,1995-06-30,1995-07-14,Cash Dividend,quarterly
0.34,1995-03-27,1995-03-31,1995-04-14,Cash Dividend,quarterly
0.34,1994-12-23,1994-12-30,1995-01-13,Cash Dividend,quarterly
0.34,1994-09-26,1994-09-30,1994-10-14,Cash Dividend,quarterly
0.34,1994-06-24,1994-06-30,1994-07-15,Cash Dividend,quarterly
0.34,1994-03-25,1994-03-31,1994-04-15,Cash Dividend,quarterly
0.34,1993-12-27,1993-12-31,1994-01-14,Cash Dividend,quarterly
0.34,1993-09-24,1993-09-30,1993-10-15,Cash Dividend,quarterly
0.34,1993-06-24,1993-06-30,1993-07-15,Cash Dividend,quarterly
0.34,1993-03-25,1993-03-31,1993-04-15,Cash Dividend,quarterly
0.34,1992-12-24,1992-12-31,1993-01-15,Cash Dividend,quarterly
0.34,1992-09-24,1992-09-30,1992-10-15,Cash Dividend,quarterly
0.34,1992-06-24,1992-06-30,1992-07-15,Cash Dividend,quarterly
0.34,1992-03-25,1992-03-31,1992-04-15,Cash Dividend,quarterly
0.34,1991-12-24,1991-12-31,1992-01-15,Cash Dividend,quarterly
0.34,1991-09-24,1991-09-30,1991-10-15,Cash Dividend,0.0
0.34,1991-06-24,1991-06-28,1991-07-15,Cash Dividend,0.0
