Counterparty,Deal Num,Phy/ Fin,Pub Code,Period,Monthly Quantity,PV Quantity,Discount Factor,Mid Price,Fixed Price,Cash,Mid Value,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-08-01 00:00:00,240000,219020.8863,0.912587026109115,4.185,3.2925,0,195476.141,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-09-01 00:00:00,240000,217969.2441,0.908205183762814,4.175,3.2925,0,192357.8579,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-10-01 00:00:00,240000,216951.3202,0.903963834123756,4.18,3.2925,0,192544.2967,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-11-01 00:00:00,240000,215895.5783,0.89956490965832,4.268,3.2925,0,210606.1366,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-12-01 00:00:00,240000,214878.8745,0.895328643657745,4.362,3.2925,0,229812.9563,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-01-01 00:00:00,130000,122547.425,0.942672499683217,5.49,3.2925,0,269297.9663,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-02-01 00:00:00,130000,121966.7615,0.938205857692989,5.235,3.2925,0,236920.4342,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-03-01 00:00:00,130000,121448.2865,0.934217588181538,4.905,3.2925,0,195835.3619,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-04-01 00:00:00,130000,120876.7971,0.929821516354604,4.365,3.2925,0,129640.3649,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-05-01 00:00:00,130000,120324.006,0.925569277240723,4.21,3.2925,0,110397.2755,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-06-01 00:00:00,130000,119758.2681,0.921217446858351,4.18,3.2925,0,106285.4629,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-07-01 00:00:00,130000,119209.6194,0.916997072250159,4.183,3.2925,0,106156.1661,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-08-01 00:00:00,130000,118636.3134,0.912587026109115,4.185,3.2925,0,105882.9097,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-09-01 00:00:00,130000,118066.6739,0.908205183762814,4.175,3.2925,0,104193.8397,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-10-01 00:00:00,130000,117515.2984,0.903963834123756,4.18,3.2925,0,104294.8274,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-11-01 00:00:00,130000,116943.4383,0.89956490965832,4.268,3.2925,0,114078.324,,,,
TUDORPROTRA,NR5935.2,F,NX1,2002-12-01 00:00:00,130000,116392.7237,0.895328643657745,4.362,3.2925,0,124482.018,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-01-01 00:00:00,130000,122547.425,0.942672499683217,5.49,3.2925,0,269297.9663,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-02-01 00:00:00,130000,121966.7615,0.938205857692989,5.235,3.2925,0,236920.4342,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-03-01 00:00:00,130000,121448.2865,0.934217588181538,4.905,3.2925,0,195835.3619,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-04-01 00:00:00,130000,120876.7971,0.929821516354604,4.365,3.2925,0,129640.3649,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-05-01 00:00:00,130000,120324.006,0.925569277240723,4.21,3.2925,0,110397.2755,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-06-01 00:00:00,130000,119758.2681,0.921217446858351,4.18,3.2925,0,106285.4629,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-07-01 00:00:00,130000,119209.6194,0.916997072250159,4.183,3.2925,0,106156.1661,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-08-01 00:00:00,130000,118636.3134,0.912587026109115,4.185,3.2925,0,105882.9097,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-09-01 00:00:00,130000,118066.6739,0.908205183762814,4.175,3.2925,0,104193.8397,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-10-01 00:00:00,130000,117515.2984,0.903963834123756,4.18,3.2925,0,104294.8274,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-11-01 00:00:00,130000,116943.4383,0.89956490965832,4.268,3.2925,0,114078.324,,,,
OSPRAIEPORLTD,NR5935.3,F,NX1,2002-12-01 00:00:00,130000,116392.7237,0.895328643657745,4.362,3.2925,0,124482.018,,,,
TUDORPROTRA,NR7719.1,F,NX1,2000-12-01 00:00:00,-330000,0,1,6.016,4,0,-665280,,,,
TUDORPROTRA,NR7719.2,F,NX1,2001-01-01 00:00:00,330000,0,0.99945867541011,9.98,3.9875,0,1976454.5171,,,,
TUDORPROTRA,NR7719.3,F,NX1,2000-12-01 00:00:00,-330000,0,1,6.016,3.99,0,-668580,,,,
TUDORPROTRA,NR7719.4,F,NX1,2001-01-01 00:00:00,330000,0,0.99945867541011,9.98,3.9785,0,1979422.9094,,,,
TUDORBVIGLO1,NR7755.1,F,NX1,2000-12-01 00:00:00,-590000,0,1,6.016,4,0,-1189440,,,,
TUDORBVIGLO1,NR7755.2,F,NX1,2001-01-01 00:00:00,590000,0,0.99945867541011,9.98,3.9875,0,3533661.1063,,,,
TUDORBVIGLO1,NR7755.3,F,NX1,2000-12-01 00:00:00,-590000,0,1,6.016,3.99,0,-1195340,,,,
TUDORBVIGLO1,NR7755.4,F,NX1,2001-01-01 00:00:00,590000,0,0.99945867541011,9.98,3.9785,0,3538968.2319,,,,
OSPRAIEPORLTD,NR7757.1,F,NX1,2000-12-01 00:00:00,-330000,0,1,6.016,4,0,-665280,,,,
OSPRAIEPORLTD,NR7757.2,F,NX1,2001-01-01 00:00:00,330000,0,0.99945867541011,9.98,3.9875,0,1976454.5171,,,,
OSPRAIEPORLTD,NR7757.3,F,NX1,2000-12-01 00:00:00,-330000,0,1,6.016,3.99,0,-668580,,,,
OSPRAIEPORLTD,NR7757.4,F,NX1,2001-01-01 00:00:00,330000,0,0.99945867541011,9.98,3.9785,0,1979422.9094,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-01-01 00:00:00,60000,56560.35,0.942672499683217,5.49,3.295,0,124149.9682,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-02-01 00:00:00,60000,56292.3515,0.938205857692989,5.235,3.295,0,109207.1618,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-03-01 00:00:00,60000,56053.0553,0.934217588181538,4.905,3.295,0,90245.419,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-04-01 00:00:00,60000,55789.291,0.929821516354604,4.365,3.295,0,59694.5413,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-05-01 00:00:00,60000,55534.1566,0.925569277240723,4.21,3.295,0,50813.7533,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-06-01 00:00:00,60000,55273.0468,0.921217446858351,4.18,3.295,0,48916.6464,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-07-01 00:00:00,60000,55019.8243,0.916997072250159,4.183,3.295,0,48857.604,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-08-01 00:00:00,60000,54755.2216,0.912587026109115,4.185,3.295,0,48732.1472,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-09-01 00:00:00,60000,54492.311,0.908205183762814,4.175,3.295,0,47953.2337,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-10-01 00:00:00,60000,54237.83,0.903963834123756,4.18,3.295,0,48000.4796,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-11-01 00:00:00,60000,53973.8946,0.89956490965832,4.268,3.295,0,52516.5994,,,,
OSPRAIEPORLTD,NS0939.1,F,NX1,2002-12-01 00:00:00,60000,53719.7186,0.895328643657745,4.362,3.295,0,57318.9398,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-01-01 00:00:00,120000,113120.7,0.942672499683217,5.49,3.295,0,248299.9364,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-02-01 00:00:00,120000,112584.7029,0.938205857692989,5.235,3.295,0,218414.3237,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-03-01 00:00:00,120000,112106.1106,0.934217588181538,4.905,3.295,0,180490.838,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-04-01 00:00:00,120000,111578.582,0.929821516354604,4.365,3.295,0,119389.0827,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-05-01 00:00:00,120000,111068.3133,0.925569277240723,4.21,3.295,0,101627.5066,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-06-01 00:00:00,120000,110546.0936,0.921217446858351,4.18,3.295,0,97833.2929,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-07-01 00:00:00,120000,110039.6487,0.916997072250159,4.183,3.295,0,97715.208,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-08-01 00:00:00,120000,109510.4431,0.912587026109115,4.185,3.295,0,97464.2944,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-09-01 00:00:00,120000,108984.6221,0.908205183762814,4.175,3.295,0,95906.4674,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-10-01 00:00:00,120000,108475.6601,0.903963834123756,4.18,3.295,0,96000.9592,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-11-01 00:00:00,120000,107947.7892,0.89956490965832,4.268,3.295,0,105033.1989,,,,
TUDORBVIGLO1,NS0939.2,F,NX1,2002-12-01 00:00:00,120000,107439.4372,0.895328643657745,4.362,3.295,0,114637.8795,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-01-01 00:00:00,70000,65987.075,0.942672499683217,5.49,3.295,0,144841.6296,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-02-01 00:00:00,70000,65674.41,0.938205857692989,5.235,3.295,0,127408.3555,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-03-01 00:00:00,70000,65395.2312,0.934217588181538,4.905,3.295,0,105286.3222,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-04-01 00:00:00,70000,65087.5061,0.929821516354604,4.365,3.295,0,69643.6316,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-05-01 00:00:00,70000,64789.8494,0.925569277240723,4.21,3.295,0,59282.7122,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-06-01 00:00:00,70000,64485.2213,0.921217446858351,4.18,3.295,0,57069.4208,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-07-01 00:00:00,70000,64189.7951,0.916997072250159,4.183,3.295,0,57000.538,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-08-01 00:00:00,70000,63881.0918,0.912587026109115,4.185,3.295,0,56854.1717,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-09-01 00:00:00,70000,63574.3629,0.908205183762814,4.175,3.295,0,55945.4393,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-10-01 00:00:00,70000,63277.4684,0.903963834123756,4.18,3.295,0,56000.5595,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-11-01 00:00:00,70000,62969.5437,0.89956490965832,4.268,3.295,0,61269.366,,,,
TUDORPROTRA,NS0939.3,F,NX1,2002-12-01 00:00:00,70000,62673.0051,0.895328643657745,4.362,3.295,0,66872.0964,,,,
OSPRAIEPORLTD,NS9917.1,F,NX1,2000-12-01 00:00:00,-670000,0,1,6.016,4.09,0,-1290420,,,,
OSPRAIEPORLTD,NS9917.2,F,NX1,2001-01-01 00:00:00,670000,0,0.99945867541011,9.98,4.085,0,3947511.9573,,,,
TUDORBVIGLO1,NS9919.1,F,NX1,2000-12-01 00:00:00,-1180000,0,1,6.016,4.09,0,-2272680,,,,
TUDORBVIGLO1,NS9919.2,F,NX1,2001-01-01 00:00:00,1180000,0,0.99945867541011,9.98,4.085,0,6952334.492,,,,
TUDORPROTRA,NS9920.1,F,NX1,2000-12-01 00:00:00,-650000,0,1,6.016,4.09,0,-1251900,,,,
TUDORPROTRA,NS9920.2,F,NX1,2001-01-01 00:00:00,650000,0,0.99945867541011,9.98,4.085,0,3829675.7795,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-01-01 00:00:00,60000,56560.35,0.942672499683217,5.49,3.45,0,115383.114,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-02-01 00:00:00,60000,56292.3515,0.938205857692989,5.235,3.45,0,100481.8474,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-03-01 00:00:00,60000,56053.0553,0.934217588181538,4.905,3.45,0,81557.1954,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-04-01 00:00:00,60000,55789.291,0.929821516354604,4.365,3.45,0,51047.2012,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-05-01 00:00:00,60000,55534.1566,0.925569277240723,4.21,3.45,0,42205.959,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-06-01 00:00:00,60000,55273.0468,0.921217446858351,4.18,3.45,0,40349.3242,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-07-01 00:00:00,60000,55019.8243,0.916997072250159,4.183,3.45,0,40329.5312,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-08-01 00:00:00,60000,54755.2216,0.912587026109115,4.185,3.45,0,40245.0879,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-09-01 00:00:00,60000,54492.311,0.908205183762814,4.175,3.45,0,39506.9255,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-10-01 00:00:00,60000,54237.83,0.903963834123756,4.18,3.45,0,39593.6159,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-11-01 00:00:00,60000,53973.8946,0.89956490965832,4.268,3.45,0,44150.6458,,,,
OSPRAIEPORLTD,NT1235.1,F,NX1,2002-12-01 00:00:00,60000,53719.7186,0.895328643657745,4.362,3.45,0,48992.3834,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-01-01 00:00:00,120000,113120.7,0.942672499683217,5.49,3.45,0,230766.2279,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-02-01 00:00:00,120000,112584.7029,0.938205857692989,5.235,3.45,0,200963.6947,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-03-01 00:00:00,120000,112106.1106,0.934217588181538,4.905,3.45,0,163114.3909,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-04-01 00:00:00,120000,111578.582,0.929821516354604,4.365,3.45,0,102094.4025,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-05-01 00:00:00,120000,111068.3133,0.925569277240723,4.21,3.45,0,84411.9181,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-06-01 00:00:00,120000,110546.0936,0.921217446858351,4.18,3.45,0,80698.6483,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-07-01 00:00:00,120000,110039.6487,0.916997072250159,4.183,3.45,0,80659.0625,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-08-01 00:00:00,120000,109510.4431,0.912587026109115,4.185,3.45,0,80490.1757,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-09-01 00:00:00,120000,108984.6221,0.908205183762814,4.175,3.45,0,79013.851,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-10-01 00:00:00,120000,108475.6601,0.903963834123756,4.18,3.45,0,79187.2319,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-11-01 00:00:00,120000,107947.7892,0.89956490965832,4.268,3.45,0,88301.2915,,,,
TUDORBVIGLO1,NT1254.1,F,NX1,2002-12-01 00:00:00,120000,107439.4372,0.895328643657745,4.362,3.45,0,97984.7668,,,,
TUDORPROTRA,NT1265.1,F,NX1,2002-01-01 00:00:00,70000,65987.075,0.942672499683217,5.49,3.45,0,134613.633,,,,
TUDORPROTRA,NT1265.1,F,NX1,2002-02-01 00:00:00,70000,65674.41,0.938205857692989,5.235,3.45,0,117228.8219,,,,
TUDORPROTRA,NT1265.1,F,NX1,2002-03-01 00:00:00,70000,65395.2312,0.934217588181538,4.905,3.45,0,95150.0614,,,,
TUDORPROTRA,NT1265.1,F,NX1,2002-04-01 00:00:00,70000,65087.5061,0.929821516354604,4.365,3.45,0,59555.0681,,,,
TUDORPROTRA,NT1265.1,F,NX1,2002-05-01 00:00:00,70000,64789.8494,0.925569277240723,4.21,3.45,0,49240.2855,,,,
