Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Retail and wholesale trade buildings ;,,,Original,A557710T,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Religion buildings ;,,,Original,A612627R,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Aged care facilities ;,,,Original,A572209V,2000-10-01 00:00:00,2013-11-01 00:00:00,158,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Health buildings ;,,,Original,A573553X,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Entertainment and recreation buildings ;,,,Original,A574951X,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Short term accommodation buildings ;,,,Original,A576190C,2000-08-01 00:00:00,2013-11-01 00:00:00,160,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Other non-residential n.e.c. ;,,,Original,A577528V,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Other Non-residential - Total ;,,,Original,A585904L,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Total Non-residential ;,,,Original,A420941T,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Retail and wholesale trade buildings ;,,,Original,A558001V,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Transport buildings ;,,,Original,A559264R,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Offices ;,,,Original,A560692J,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Commercial buildings n.e.c. ;,,,Original,A561793L,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Commercial Buildings - Total ;,,,Original,A583237J,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Factories and other secondary production buildings ;,,,Original,A564259T,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Warehouses ;,,,Original,A565588X,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Agricultural and aquacultural buildings ;,,,Original,A566584J,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Other industrial buildings n.e.c. ;,,,Original,A567562L,2000-08-01 00:00:00,2013-11-01 00:00:00,160,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Industrial Buildings - Total ;,,,Original,A584608A,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Education buildings ;,,,Original,A570310A,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Religion buildings ;,,,Original,A571186W,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Aged care facilities ;,,,Original,A572359A,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Health buildings ;,,,Original,A573712W,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Entertainment and recreation buildings ;,,,Original,A575113F,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Short term accommodation buildings ;,,,Original,A576349V,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Other non-residential n.e.c. ;,,,Original,A577687C,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Other Non-residential - Total ;,,,Original,A586066F,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Total Sectors ;  Total Non-residential ;,,,Original,A420965K,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
