SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists,LT OJT,37200,27230,42190,510,530,0.0392,13
49-9021,"Heating, A/C & Refrigeration Mechanics & Installers",PS,38200,24720,44940,490,530,0.0816,12
49-9041,Industrial Machinery Mechanics,LT OJT,42800,31880,48260,560,590,0.0536,12
49-9043,"Maintenance Workers, Machinery",MT OJT,34180,25950,38300,80,70,-0.125,1
49-9051,Electrical Power-Line Installers & Repairers,LT OJT,50520,33250,59160,150,150,,5
49-9052,Telecommunications Line Installers & Repairers,LT OJT,58710,40440,67840,280,290,0.0357,8
49-9071,"Maintenance & Repair Workers, General",MT OJT,32440,20870,38220,,,,
51-1011,Supervisors - Production & Operating Workers,PS,50770,30300,61010,1150,1000,-0.13040000000000002,19
51-3021,Butchers & Meat Cutters,LT OJT,26900,17220,31750,300,310,0.0333,10
51-4011,"Computer-Controlled Machine Tool Operators, Metal & Plastic",MT OJT,38820,27720,44380,240,230,-0.0417,3
51-4012,Computer Numerically Controlled Machine Tool Programmers,MT OJT,39540,31560,43520,110,80,-0.2727,1
51-4021,"Extruding & Drawing Machine Setters, Oprs & Tenders, Metal & Plastic",MT OJT,35630,20490,43200,210,170,-0.1905,6
51-4041,Machinists,LT OJT,37150,28430,41510,950,850,-0.10529999999999999,15
