COLLEGE,STATE,COST OF ATTENDANCE,NUMBER of INTER'L STDS,NUMBER AIDED,AVERAGE AWARD,COST  of  these  AWARDS
Illinois Institue of Technology,IL,30813.0,314.0,291.0,9254.0,2692914.0
Franklin and Marshall College,PA,37330.0,130.0,108.0,24441.0,2639628.0
Brandeis University,MA,39898.0,186.0,110.0,23905.0,2629550.0
Bates College,ME,39600.0,111.0,76.0,33278.0,2529128.0
Berea College,KY,6693.0,101.0,101.0,24900.0,2514900.0
Washington University,MO,40783.0,281.0,131.0,19082.0,2499742.0
St. Lawrence University,NY,37745.0,80.0,77.0,32301.0,2487177.0
Ithaca College,NY,33806.0,156.0,145.0,16720.0,2424400.0
Bryn Mawr College,PA,38640.0,103.0,81.0,29484.0,2388204.0
Iowa State University,IO,24052.0,914.0,235.0,10087.0,2370445.0
Columbia U.-Columbia College,NY,40650.0,202.0,70.0,33300.0,2331000.0
Lawrence University,WI,32847.0,120.0,132.0,17503.0,2310396.0
Connecticut College,CT,37900.0,140.0,68.0,33747.0,2294796.0
Southern Methodist University,TX,33184.0,284.0,140.0,15577.0,2180780.0
College of Wooster,OH,33100.0,133.0,129.0,16836.0,2171844.0
St. John's University,NY,33430.0,424.0,188.0,11181.0,2102028.0
Texas Christian University,TX,26650.0,272.0,217.0,9331.0,2024827.0
University of Arkansas,AR,17955.0,335.0,221.0,8871.0,1960491.0
George Washington University,DC,41190.0,464.0,122.0,15990.0,1950780.0
Barry University,FL,27759.0,293.0,192.0,9961.0,1912512.0
Parsons School of Design,NY,44248.0,733.0,362.0,5223.0,1890726.0
St. Louis University,MO,43490.0,193.0,106.0,17380.0,1842280.0
Florida Institute of Technology,FL,32740.0,487.0,222.0,8034.0,1783548.0
Amherst College,MA,40514.0,73.0,52.0,33675.0,1751100.0
Northeastern University,MA,38350.0,4.0,100.0,16833.0,1683300.0
Lake Forest College,IL,31890.0,107.0,102.0,16424.0,1675248.0
American University,DC,36655.0,490.0,101.0,16111.0,1627211.0
Swarthmore College,PA,39616.0,86.0,48.0,33090.0,1588320.0
Wesleyan University,CT,40206.0,154.0,47.0,33040.0,1552880.0
Western Michigan University,MI,22610.0,880.0,197.0,7862.0,1548814.0
Randolph-Macon Women's College,VA,31130.0,87.0,84.0,18438.0,1548792.0
Juilliard School,NY,31250.0,114.0,107.0,14376.0,1538232.0
Hamilton College,NY,37560.0,62.0,56.0,27467.0,1538152.0
Harding University,AR,17716.0,241.0,175.0,8691.0,1520925.0
Elmira College,NY,35820.0,67.0,67.0,22650.0,1517550.0
Canisius College,NY,30309.0,94.0,99.0,14914.0,1476486.0
Rowan University,NJ,20354.0,,181.0,8132.0,1471892.0
Texas A&M University,TX,21256.0,464.0,245.0,5894.0,1444030.0
University of Denver,CO,33528.0,200.0,117.0,12341.0,1443897.0
Florida Atlantic University,FL,21077.0,1088.0,261.0,5526.0,1442286.0
Wesleyan College,GA,19970.0,28.0,112.0,12877.0,1442224.0
Denison University,OH,35250.0,105.0,95.0,14815.0,1407425.0
California Inst. of Technology,CA,36627.0,72.0,46.0,29832.0,1372272.0
U. of Wisconsin-Superior,WI,21342.0,141.0,137.0,9967.0,1365479.0
Luther College,IO,29015.0,149.0,143.0,9502.0,1358786.0
University of the Ozarks,AR,20239.0,118.0,118.0,11333.0,1337294.0
University of Richmond,VA,31000.0,132.0,61.0,21897.0,1335717.0
Drake University,IO,28335.0,141.0,132.0,9848.0,1299936.0
Cornell University,NY,40699.0,969.0,47.0,27021.0,1269987.0
Polytechnic University,NY,37309.0,113.0,90.0,13935.0,1254150.0
Washington and Lee University,VA,31350.0,67.0,55.0,22768.0,1252240.0
Bowdin College,ME,39800.0,54.0,41.0,30475.0,1249475.0
Knox College,IL,31936.0,86.0,76.0,16144.0,1226944.0
Concorida College-Moorhead,MN,23020.0,154.0,146.0,8373.0,1222458.0
Tulane University,LA,40301.0,241.0,88.0,13704.0,1205952.0
Graceland University,IO,23575.0,103.0,101.0,11854.0,1197254.0
Virginia Commonwealth U.,VA,25522.0,206.0,92.0,12958.0,1192136.0
Columbia U-Engineering College,NY,40745.0,134.0,35.0,33935.0,1187725.0
Trinity College,CT,39947.0,46.0,39.0,29224.0,1139736.0
Providence College,RI,30679.0,27.0,40.0,28000.0,1120000.0
Kenyon College,OH,36410.0,35.0,35.0,31938.0,1117830.0
Clark University,MA,33815.0,152.0,83.0,13403.0,1112449.0
Gettysburg College,PA,37096.0,46.0,40.0,27500.0,1100000.0
Manchester College,IN,27890.0,,83.0,13201.0,1095683.0
University of Hartford,CT,37000.0,155.0,76.0,14362.0,1091512.0
Duquesne University,PA,28607.0,145.0,89.0,12067.0,1073963.0
Hartwick College,NY,35750.0,50.0,49.0,21450.0,1051050.0
Occidental College,CA,38818.0,58.0,32.0,32841.0,1050912.0
Union College,NY,38491.0,46.0,36.0,28965.0,1042740.0
Michigan State University,MI,24307.0,850.0,181.0,5757.0,1042017.0
Eastern Michigan University,MI,21257.0,358.0,69.0,15049.0,1038381.0
Michigan Technological Univ.,MI,21235.0,331.0,147.0,7051.0,1036497.0
Mercer University,GA,29381.0,201.0,103.0,9795.0,1008885.0
University of Central Florida,FL,21128.0,200.0,191.0,5240.0,1000840.0
Beloit College,WI,31234.0,97.0,80.0,12459.0,996720.0
Bennington College,VT,39210.0,52.0,48.0,20705.0,993840.0
U. of CA-Los Angeles,CA,27699.0,702.0,95.0,10461.0,993795.0
Abilene Christian University,TX,21885.0,144.0,143.0,6898.0,986414.0
St. Mary's University,TX,25721.0,106.0,86.0,11332.0,974552.0
Pace University,NY,31572.0,941.0,173.0,5568.0,963264.0
Maharishi U. of Management,IO,33510.0,43.0,53.0,18157.0,962321.0
John Brown University,AR,23836.0,123.0,56.0,17032.0,953792.0
Davidson College,NC,35818.0,48.0,38.0,24819.0,943122.0
U. of the Incarnate Word,TX,23795.0,,47.0,19079.0,896713.0
Marquette University,WI,30116.0,143.0,87.0,10266.0,893142.0
Carleton College,MN,36195.0,64.0,42.0,21146.0,888132.0
Earlham College,IN,33626.0,55.0,55.0,15656.0,861080.0
Northern Arizona University,AZ,21404.0,241.0,122.0,6994.0,853268.0
St. John's University,MN,28172.0,55.0,55.0,15457.0,850135.0
Bard College,NY,40332.0,94.0,45.0,18888.0,849960.0
Georgia Southern U.,GA,17758.0,162.0,132.0,6427.0,848364.0
Messiah College,PA,28310.0,70.0,66.0,12668.0,836088.0
Reed College,OR,40200.0,42.0,32.0,25614.0,819648.0
Hampshire College,MA,37931.0,37.0,27.0,29629.0,799983.0
Bethune-Cookman College,FL,20120.0,173.0,76.0,10353.0,786828.0
Mercyhurst College,PA,27944.0,86.0,60.0,13006.0,780360.0
