Country Name,Country Code,Region,IncomeGroup,SpecialNotes
Channel Islands,CHI,Europe & Central Asia,High income: nonOECD,
Chile,CHL,Latin America & Caribbean,High income: OECD,
China,CHN,East Asia & Pacific,Upper middle income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Based on data from the National Bureau of Statistics, the methodology for national accounts exports and imports of goods and services in constant prices have been revised from 2000 onward."
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,
Latin America and the Caribbean (IFC classification),CLA,,,Latin America and the Caribbean (IFC classification) aggregate.
Middle East and North Africa (IFC classification),CME,,,Middle East and North Africa (IFC classification) aggregate.
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,"Based on INS (2000-09) and IMF (2010-13) data, national accounts data were revised for 2000 onward; the base year changed to 2005."
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,"April 2013 database update: Based on IMF data, national accounts data were revised for 1990 onward; the base year changed to 1990."
Colombia,COL,Latin America & Caribbean,Upper middle income,
Comoros,COM,Sub-Saharan Africa,Low income,
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,"Cabo Verde is the new name for the country previously listed as Cape Verde. Based on official government statistics and IMF data, national accounts data have been revised from 1990 onward; the new base year is 2007."
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,
South Asia (IFC classification),CSA,,,South Asia (IFC classification) aggregate.
Caribbean small states,CSS,,,"Caribbean small states aggregate. Includes Antigua and Barbuda, The Bahamas, Barbados, Belize, Guyana, Suriname, Dominica, Grenada, Jamaica, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, and Trinidad and Tobago."
Cuba,CUB,Latin America & Caribbean,Upper middle income,
Curaçao,CUW,Latin America & Caribbean,High income: nonOECD,
Cayman Islands,CYM,Latin America & Caribbean,High income: nonOECD,
Cyprus,CYP,Europe & Central Asia,High income: nonOECD,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
Czech Republic,CZE,Europe & Central Asia,High income: OECD,
Germany,DEU,Europe & Central Asia,High income: OECD,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Djibouti,DJI,Middle East & North Africa,Lower middle income,
Dominica,DMA,Latin America & Caribbean,Upper middle income,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006."
Denmark,DNK,Europe & Central Asia,High income: OECD,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,
Algeria,DZA,Middle East & North Africa,Upper middle income,
East Asia & Pacific,EAP,,,East Asia and Pacific regional aggregate (does not include high-income economies).
East Asia & Pacific (all income levels),EAS,,,East Asia and Pacific regional aggregate (including high-income economies).
Europe & Central Asia,ECA,,,Europe and Central Asia regional aggregate (does not include high-income economies).
Europe & Central Asia (all income levels),ECS,,,Europe and Central Asia regional aggregate (including high-income economies).
Ecuador,ECU,Latin America & Caribbean,Upper middle income,National accounts have been revised from 1965 onward based on official government data; the new base year is 2007. The large upward changes are due to an improved calculation method for nominal GDP.
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: FY.
Euro area,EMU,,,Euro area aggregate.
Eritrea,ERI,Sub-Saharan Africa,Low income,"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000."
Spain,ESP,Europe & Central Asia,High income: OECD,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Estonia,EST,Europe & Central Asia,High income: OECD,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
Ethiopia,ETH,Sub-Saharan Africa,Low income,"Fiscal year end: July 7; reporting period for national accounts data: FY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2011."
European Union,EUU,,,European Union aggregate.
Fragile and conflict affected situations,FCS,,,"Fragile situations aggregate. Note:  Countries with fragile situations are primarily International Development Association-eligible countries and nonmember or inactive countries and territories with a 3.2 or lower harmonized average of the World Bank's Country Policy and Institutional Assessment rating and the corresponding rating by a regional development bank, or that have had a UN or regional peacebuilding and political mission (for example by the African Union, European Union, or Organization of American States) or peacekeeping mission (for example, by the African Union, European Union, North Atlantic Treaty Organization, or Organization of American States) during the last three years.  This definition is pursuant to an agreement between the World Bank and other multilateral development banks at the start of the International Development Association 15 round in 2007. The list of countries and territories with fragile situations  is imperfect and used here to reflect a complex concept. The World Bank continues to work with partners and client countries to refine the concept."
Finland,FIN,Europe & Central Asia,High income: OECD,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Fiji,FJI,East Asia & Pacific,Upper middle income,"Based on data from the Bureau of Statistics, national accounts data on the expenditure side have been revised from 2005 onward; the new base year is 2005."
France,FRA,Europe & Central Asia,High income: OECD,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Faeroe Islands,FRO,Europe & Central Asia,High income: nonOECD,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. 2013 estimates are based on the IMF Small States Monitor, Issue 1.2014. In 2010, the government statistical office revised national accounts data for 1995-2008."
Gabon,GAB,Sub-Saharan Africa,Upper middle income,
United Kingdom,GBR,Europe & Central Asia,High income: OECD,
Georgia,GEO,Europe & Central Asia,Lower middle income,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,"In 2010, the Ghana Statistical Service revised the base year for Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology."
Guinea,GIN,Sub-Saharan Africa,Low income,
"Gambia, The",GMB,Sub-Saharan Africa,Low income,"Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 2004 onward; the base year changed to 2004."
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,"In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates."
Equatorial Guinea,GNQ,Sub-Saharan Africa,High income: nonOECD,National accounts have been revised from 1980 onward based on official government data; the new base year is 2006.
Greece,GRC,Europe & Central Asia,High income: OECD,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Grenada,GRD,Latin America & Caribbean,Upper middle income,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006."
Greenland,GRL,Europe & Central Asia,High income: nonOECD,
Guatemala,GTM,Latin America & Caribbean,Lower middle income,
Guam,GUM,East Asia & Pacific,High income: nonOECD,
Guyana,GUY,Latin America & Caribbean,Lower middle income,"In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates."
High income,HIC,,,"High income group aggregate. High-income economies are those in which 2013 GNI per capita was $12,746 or more."
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income: nonOECD,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying."
Honduras,HND,Latin America & Caribbean,Lower middle income,
Heavily indebted poor countries (HIPC),HPC,,,Heavily indebted poor countries aggregate.
Croatia,HRV,Europe & Central Asia,High income: nonOECD,"April 2013 database update: Based on official government statistics, the base year for constant price series changed to 2005."
Haiti,HTI,Latin America & Caribbean,Low income,"Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised."
Hungary,HUN,Europe & Central Asia,Upper middle income,"April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward."
Indonesia,IDN,East Asia & Pacific,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.
Isle of Man,IMN,Europe & Central Asia,High income: nonOECD,
India,IND,South Asia,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: FY. April 2013 database update: The India Central Statistical Office revised historical data series both current and constant going back to 1960 with 2004–05 as the base.
Ireland,IRL,Europe & Central Asia,High income: OECD,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,Fiscal year end: March 20; reporting period for national accounts data: FY.
Iraq,IRQ,Middle East & North Africa,Upper middle income,National accounts have been revised from 2000 onward based on official government data; the new base year is 1988. The new series raises GDP significantly from previous estimates.
Iceland,ISL,Europe & Central Asia,High income: OECD,
Israel,ISR,Middle East & North Africa,High income: OECD,
Italy,ITA,Europe & Central Asia,High income: OECD,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Jamaica,JAM,Latin America & Caribbean,Upper middle income,"April 2013 database update: Based on official government statistics, national accounts data were revised for 2002 onward; the base year changed to 2007."
Jordan,JOR,Middle East & North Africa,Upper middle income,
Japan,JPN,East Asia & Pacific,High income: OECD,Fiscal year end: March 31; reporting period for national accounts data: CY.
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,
Kenya,KEN,Sub-Saharan Africa,Low income,Fiscal year end: June 30; reporting period for national accounts data: CY.
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,
Cambodia,KHM,East Asia & Pacific,Low income,
Kiribati,KIR,East Asia & Pacific,Lower middle income,"Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank."
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income: nonOECD,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006."
"Korea, Rep.",KOR,East Asia & Pacific,High income: OECD,New base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.
Kosovo,KSV,Europe & Central Asia,Lower middle income,"Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999)."
Kuwait,KWT,Middle East & North Africa,High income: nonOECD,Fiscal year end: June 30; reporting period for national accounts data: CY.
Latin America & Caribbean,LAC,,,Latin America and Caribbean regional aggregate (does not include high-income economies).
Lao PDR,LAO,East Asia & Pacific,Lower middle income,
