Sponsoring USD (1=yes coop),CO No.,USD    USD No.,,,FTE Enroll exc4yr at risk 2007-09-20 00:00:00,FTE Enroll exc4yr at risk 2008-02-20 00:00:00,2a  2010-06-21 00:00:00 FTE Enroll exc4yr at risk 2007-09-20 00:00:00 2008-02-20 00:00:00,FTE Enroll exc4yr at risk 2008-09-20 00:00:00,FTE Enroll exc4yr at risk 2009-02-20 00:00:00,Virtual FTE 2008-09-20 00:00:00,2b   FTE Enroll exc4yr at risk 2008-09-20 00:00:00 2009-02-20 00:00:00 exc Virtual,FTE Enroll exc4yr at risk 2009-09-20 00:00:00  incl Virtual,2c   FTE Enroll exc4yr at risk 2009-09-20 00:00:00  exc Virtual,2d   Declining Enrollment Provision,2e   FTE Enroll exc4yr at risk 2010-02-20 00:00:00,2f   Adjusted Enrollment (incl 2/20)  exc Virtual,3a    4YR AR (incl 9/20) (incl 2/20),Virtual FTE 2009-09-20 00:00:00,FTE Enroll inc4yr at risk 2009-09-20 00:00:00  exc Virtual,FTE Enroll inc4yr at risk 2009-09-20 00:00:00  incl Virtual,2009-10 FTE Enroll (inc MILT)  incl Virtual,3b   Total Adj. Enrollment inc 2/20  exc Virtual,4   Low & High Weighted FTE,Low Enroll,High Enroll,5   Vocational Contact Hrs.,6   Vocational Weighted FTE,7   Bilingual Contact Hrs.,8   Bilingual Weighted FTE,9   At-Risk Students,10   At-Risk Weighted FTE,High At-Risk Weighted FTE,2008-09 Non-Proficient Headcount,Non-Proficient Weighted FTE,11   New Fac. FTE,12   New Fac. Weighted FTE,13   Over 2.5 Current Yr,13a   Trans. Weighted FTE,14   Ancillary Weighting FTE,Declining Weighting FTE,Cost of Living FTE,Virtual Weighted FTE,FHSU M&SA FTE,14a   Spec Ed St Aid FY10,14b   Spec Ed Weighting FTE,2009-10 Sub Total Wtd FTE exc spec ed,15a  2009-10 Sub Total Wtd FTE exc COL,15b  2009-10 Total Weighted FTE,AH=Aud Hrs 1=Chng A=Audit R=Republished  #,A,R,Computed General Fund (exc spec ed),16   Computed General Fund (inc spec ed),17   Adopted General Fund,18   2009-10 General Fund (before red.),18a   Budget Law Violation,2008-09 Trans Audit Adj,2008-09 At-Risk Bilingual Audit Adj,2008-09 Juv Det Audit Adj,2008-09 Total Reductions,18b   2009-10 Adjusted Legal General Fund,2009 SB84 LOB Base General Fund,19   2009-10 LOB Authorized Percent,20   Max Computed L O B Authorized,21   Adopted L O B,22   Legal L O B,96-97 INFO LOB expire 0 = no lob 1= 96-97 2=97-98 3=98-99 4=99-00
0,,208,Trego,WaKeeney,420,0,420,443,0,0,443,411.2,411.2,443,0,443,0,0,411.2,411.2,411.2,443,193,193,0,70.2,5.9,0,0,110,50.2,0,23,1.1,0,0,119,41.6,0,0,0,0,0,477583,119,734.8,853.8,853.8,8,A,,2948018,3425446,3612717,3425446,,,,,0,3425446,3767366,0.3,1130210,708000,708000,1
0,,209,Stevens,Moscow,207.3,0,207.3,204.7,0,0,204.7,182.8,182.8,204.7,0,204.7,5,0,187.8,187.8,187.8,209.7,151.7,151.7,0,0,0,363.6,23.9,102,46.5,6.1,14,0.7,0,0,58.5,18.7,0,0,0,0,0,107261,26.7,457.3,484,484,1,A,,1834688,1941808,2019157,1941808,,,,,0,1941808,2165372,0.31,671265,661921,661921,1
0,,210,Stevens,Hugoton,971.9,0,971.9,926.2,0,0.5,925.7,966.2,965.4,965.4,0,965.4,19.5,0.8,984.9,985.7,985.7,984.9,247.7,247.7,0,102.1,8.5,728.9,48,492,224.4,49.2,67,3.1,0,0,183,55.9,0,0,0,0.8,0,497960,124.1,1622.5,1746.6,1746.6,12,A,RP,6509470,7007359,7064330,7007359,,,,,0,7007359,7815322,0.3,2344597,2219586,2219586,1
0,,211,Norton,Norton,660.6,0,660.6,684,0,0,684,688.9,688.9,688.9,0,688.9,0,0,688.9,688.9,688.9,688.9,242.5,242.5,0,149.5,12.5,0,0,212,96.7,0,53,2.5,0,0,105.5,33.1,0,0,0,0,0,714638,178.1,1076.2,1254.3,1254.3,4,A,,4317714,5032252,5191936,5032252,,,,,0,5032252,5575617,0.3,1672685,1403600,1403600,1
0,,212,Norton,Northern Valley,189,0,189,205,0,0,205,192.5,192.5,205,0,205,2.5,0,195,195,195,207.5,151.3,151.3,0,10.7,0.9,0,0,97,44.2,5.8,18,0.8,0,0,85,26,0,0,0,0,0,218570,54.5,436.5,491,491,10,A,,1751238,1969892,2072725,1969892,,,,,0,1969892,2182105,0.2903,633465,547000,547000,2
0,,213,Norton,West Solomon,46.5,0,46.5,37.7,0,0,37.7,38,38,40.7,0,40.7,0,0,38,38,38,40.7,41.3,41.3,0,7.4,0.6,0,0,14,6.4,0,5,0.2,0,0,27,10.8,0,0,0,0,0,37880,9.4,100,109.4,109.4,4,A,,401200,438913,485070,438913,,,,,0,438913,505012,0.3,151504,153764,151504,1
0,,214,Grant,Ulysses,1589.8,0,1589.8,1564,0,8,1556,1583.9,1567.2,1571,0,1571,26.5,16.7,1593.7,1610.4,1610.4,1597.5,69.3,69.3,0,296.8,24.7,1382.7,91,799,364.3,79.9,122,5.7,0,0,221,63.3,0,0,0,17.5,0,808305,201.5,2313.2,2514.7,2514.7,6,A,,9280558,10088976,10221479,10088976,,,,,0,10088976,11248646,0.3,3374594,3236151,3236151,3
0,,215,Kearny,Lakin,609.5,0,609.5,631,0,0,631,622,622,631,0,631,6.5,0,628.5,628.5,628.5,637.5,235.6,235.6,0,53.6,4.5,693.8,45.7,293,133.6,17.6,56,2.6,0,0,118,40.7,0,0,0,0,0,335078,83.5,1117.8,1201.3,1201.3,1,A,,4484614,4819616,5064974,4819616,,,,,0,4819616,5351758,0.3,1605527,1450474,1450474,1
0,,216,Kearny,Deerfield,285.5,0,285.5,272.5,0,0,272.5,240.9,240.9,272.5,0,272.5,6,0,246.9,246.9,246.9,278.5,150.7,150.7,0,118.9,9.9,452.6,29.8,161,73.4,16.1,3,0.1,0,0,23,8.8,0,0,0,0,0,155392,38.7,567.3,606,606,2,A,,2276008,2431272,2894813,2431272,,,,,0,2431272,2720730,0.3,816219,809180,809180,2
0,,217,Morton,Rolla,201,0,201,200,0,0,200,199.5,199.5,200.2,0,200.2,0,0,199.5,199.5,199.5,200.2,149.9,149.9,0,74.2,6.2,128.4,8.5,81,36.9,4.9,20,0.9,0,0,55,18.2,0,0,0,0,0,119180,29.7,425.7,455.4,455.4,2,A,,1707908,1827065,1976504,1827065,,,,,0,1827065,2033468,0.3,610040,616956,610040,1
0,,218,Morton,Elkhart,653,0,653,668.8,0,125.7,543.1,625.4,521.1,572.4,0,572.4,8.5,104.3,529.6,633.9,633.9,580.9,225.8,225.8,0,134.2,11.2,511.4,33.7,278,126.8,16.7,46,2.1,0,0,42,16.1,0,0,0,109.5,0,329125,82,1122.8,1204.8,1204.8,4,A,,4504674,4833658,5225258,4833658,,,,,0,4833658,5368161,0.3,1610448,1648085,1610448,1
0,,219,Clark,Minneola,277,0,277,271,0,0,271,261.1,261.1,271,0,271,0,0,261.1,261.1,261.1,271,152,152,0,0,0,0,0,81,36.9,0,9,0.4,0,0,64,21.2,0,0,0,0,0,193809,48.3,481.5,529.8,529.8,11,A,,1931778,2125558,2246507,2125558,,,,,0,2125558,2382313,0.3,714694,640300,640300,2
0,,220,Clark,Ashland,208.6,0,208.6,215.7,0,0,215.7,220,220,220,0,220,1,0,221,221,221,221,153.3,153.3,0,33.6,2.8,19.8,1.3,69,31.5,0,19,0.9,0,0,62,24.8,0,0,0,0,0,158089,39.4,435.6,475,475,11,A,,1747627,1905700,2041090,1905700,,,,,0,1905700,2129696,0.3,638909,530000,530000,1
0,,223,Washington,Barnes,356.1,0,356.1,336.6,0,0,336.6,329.7,329.7,340.8,0,340.8,0,0,329.7,329.7,329.7,340.8,160.3,160.3,0,174.4,14.5,23.8,1.6,81,36.9,0,3,0.1,0,0,135.6,40.4,0,0,0,0,0,395117,98.5,594.6,693.1,693.1,4,A,,2385535,2780717,2902828,2780717,,,,,0,2780717,3063021,0.3,918906,921965,918906,1
0,,224,Washington,Clifton-Clyde,302.9,0,302.9,285.5,0,0,285.5,276,276,288.1,0,288.1,2.5,0,278.5,278.5,278.5,290.6,147.9,147.9,0,104.7,8.7,0,0,63,28.7,0,7,0.3,0,0,174,45.2,0,0,0,0,0,296286,73.8,521.4,595.2,595.2,5,A,,2091857,2387942,2497478,2387942,,,,,0,2387942,2659224,0.2806,746178,658750,658750,1
0,,225,Meade,Fowler,172.5,0,172.5,160,0,0,160,157.5,157.5,163.3,0,163.3,3.5,0,161,161,161,166.8,139.7,139.7,0,0,0,39.3,2.6,75,34.2,4.5,19,0.9,0,0,26,10.4,0,0,0,0,0,107435,26.8,359.1,385.9,385.9,11,A,,1440709,1548231,1702385,1548231,,,,,0,1548231,1744677,0.3,523403,544283,523403,1
0,,226,Meade,Meade,476.5,0,476.5,457.4,0,0,457.4,471.2,471.2,471.2,0,471.2,4.5,0,475.7,475.7,475.7,475.7,201.9,201.9,0,61.5,5.1,72,4.7,164,74.8,0,29,1.3,0,0,101,33.1,0,0,0,0,0,315996,78.8,796.6,875.4,875.4,3,A,,3195959,3512105,3609764,3512105,,,,,0,3512105,3924922,0.3,1177477,1139574,1139574,1
0,,227,Hodgeman,Jetmore,276,0,276,251.5,0,0,251.5,264.5,264.5,264.5,0,264.5,0,0,264.5,264.5,264.5,264.5,153,153,0,40.6,3.4,36.4,2.4,80,36.5,0,23,1.1,0,0,74,27.4,0,0,0,0,0,167295,41.7,488.3,530,530,1,A,,1959060,2126360,2236805,2126360,,,,,0,2126360,2398085,0.3,719426,697881,697881,1
0,,228,Hodgeman,Hanston,72,0,72,72.5,0,0,72.5,74.5,74.5,74.5,0,74.5,0,0,74.5,74.5,74.5,74.5,75.6,75.6,0,1.6,0.1,9.3,0.6,25,11.4,0,5,0.2,0,0,59,19.2,0,0,0,0,0,72444,18.1,181.6,199.7,199.7,8,A,,728579,801196,821666,801196,,,,,0,801196,892234,0.3,267670,255834,255834,0
0,,229,Johnson,Blue Valley,19809.8,0,19809.8,19939.4,0,0,19939.4,20308,20307.6,20307.6,0,20307.6,0,0.4,20307.6,20308,20308,20307.6,711.6,0,711.6,4016.8,334.7,382.2,25.2,876,399.5,0,764,35.5,937.3,234.3,4750,617,1200.3,0,1386.4,0.4,0,15490343,3861,25252.5,27727.1,29113.5,12,A,,101313030,116803362,122260417,116803362,,,,,0,116803362,131879366,0.31,40882603,40381147,40381147,1
0,,230,Johnson,Spring Hill,1788.1,0,1788.1,2219.7,0,385.7,1834,2821.8,1921.8,1921.8,0,1921.8,6.5,900,1928.3,2828.3,2828.3,1928.3,67.6,0,67.6,347.3,28.9,6.4,0.4,352,160.5,0,146,6.8,0,0,943,129.8,87.2,0,0,945.8,0,1435446,357.8,3355.3,3713.1,3713.1,12,A,,13461464,14896957,17597496,14896957,,,,,0,14896957,16495342,0.3,4948603,5582167,4948603,1
0,,231,Johnson,Gardner-Edgerton,4121.5,0,4121.5,4323.4,0,0,4323.4,4540.9,4540.9,4540.9,0,4540.9,9,0,4549.9,4549.9,4549.9,4549.9,159.4,0,159.4,648.7,54.1,214.2,14.1,1094,498.9,0,177,8.2,10.1,2.5,1307,181.5,0,0,0,0,0,4089953,1019.4,5468.6,6488,6488,12,A,,21940023,26029856,26690660,26029856,,-4789,,,-4789,26025067,28765422,0.3,8629627,8466980,8466980,1
0,,232,Johnson,DeSoto,5704.9,0,5704.9,6058.5,0,0,6058.5,6203.2,6203.2,6203.2,0,6203.2,11.5,0,6214.7,6214.7,6214.7,6214.7,217.8,0,217.8,1241,103.4,711.3,46.8,621,283.2,0,489,22.7,125,31.3,1853,240.7,510.8,0,0,0,0,4089673,1019.4,7671.4,8690.8,8690.8,6,A,,30777657,34867490,37210352,34867490,,,,,0,34867490,38444970,0.3,11533491,11845619,11533491,1
0,,233,Johnson,Olathe,24721.3,0,24721.3,25160.1,0,2.5,25157.6,25448.4,25447.5,25447.5,0,25447.5,30,0.9,25477.5,25478.4,25478.4,25477.5,892.7,0,892.7,4541.4,378.5,3538.1,232.9,4684,2135.9,0,1462,68,1000.9,250.2,3901,506.7,1690.6,0,533.4,0.9,1,20781433,5179.8,32168.3,36814.7,37348.1,13,A,,129059220,149840577,159567362,149840577,,,,,0,149840577,170119813,0.31,52737142,52956744,52737142,1
0,,234,Bourbon,Ft. Scott,1897.4,0,1897.4,1933.5,0,0,1933.5,1872.8,1872.8,1933.5,0,1933.5,18,0,1890.8,1890.8,1890.8,1951.5,68.4,0,68.4,325.3,27.1,11,0.7,981,447.3,98.1,136,6.3,0,0,581,120.6,0,0,0,0,1,1012454,252.4,2721,2973.4,2973.4,2,A,,10916652,11929281,12106504,11929281,,,,,0,11929281,13207689,0.3,3962307,2500000,2500000,0
0,,235,Bourbon,Uniontown,445.5,0,445.5,426.4,0,0,426.4,430.6,430.6,434.2,0,434.2,7,0,437.6,437.6,437.6,441.2,192.5,192.5,0,186,15.5,1.2,0.1,190,86.6,11.4,29,1.3,0,0,349,81.3,0,0,0,0,0,316922,79,829.9,908.9,908.9,12,A,,3329559,3646507,3775110,3646507,,,,,0,3646507,4050616,0.2806,1136603,719000,719000,0
0,,237,Smith,Smith Center,472.4,0,472.4,446,0,0,446,433,433,450.5,0,450.5,0,0,433,433,433,450.5,195.1,195.1,0,175,14.6,0,0,133,60.6,0,20,0.9,0,0,139,45.5,0,0,0,0,0,482909,120.4,767.2,887.6,887.6,1,A,,3078006,3561051,3707622,3561051,,,,,0,3561051,3987033,0.3,1196110,1181082,1181082,0
,,238,Smith,West Smith Co.,162.5,,162.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,239,Ottawa,North Ottawa Co.,590.2,0,590.2,602.9,0,0,602.9,619.2,619.2,619.2,0,619.2,0,0,619.2,619.2,619.2,619.2,232.7,232.7,0,130.6,10.9,0,0,166,75.7,0,47,2.2,98.2,24.6,191,54,0,0,0,0,0,560195,139.6,1019.3,1158.9,1158.9,9,A,,4089432,4649507,4958681,4649507,,,,,0,4649507,5132999,0.3,1539900,1515000,1515000,
0,,240,Ottawa,Twin Valley,620.5,0,620.5,599.5,0,0,599.5,594.5,594.5,604.8,0,604.8,12,0,606.5,606.5,606.5,616.8,232.3,232.3,0,128.3,10.7,0,0,178,81.2,0,38,1.8,94.1,23.5,204,51.8,0,0,0,0,0,500085,124.6,1018.1,1142.7,1142.7,5,A,,4084617,4584512,4690416,4584512,,,,,0,4584512,5107321,0.3,1532196,1492832,1492832,0
0,,241,Wallace,Wallace,212.5,0,212.5,193.5,0,0,193.5,198.5,198.5,201.5,0,201.5,0,0,198.5,198.5,198.5,201.5,150.2,150.2,0,0,0,0,0,61,27.8,0,7,0.3,0,0,63,25.2,0,0,0,0,0,133336,33.2,405,438.2,438.2,3,A,,1624860,1758058,1788010,1758058,,,,,0,1758058,1952139,0.3,585642,385000,385000,0
0,,242,Wallace,Weskan,113,0,113,98,0,0,98,103,103,104.7,0,104.7,0,0,103,103,103,104.7,104.9,104.9,0,13.2,1.1,42.1,2.8,30,13.7,0,2,0.1,0,0,49,16.5,0,0,0,0,0,81813,20.4,243.8,264.2,264.2,1,A,,978126,1059970,1090775,1059970,,,,,0,1059970,1179022,0.3,353707,347456,347456,0
0,,243,Coffey,Lebo-Waverly,557.9,0,557.9,547,0,0,547,526,526,547,0,547,0,0,526,526,526,547,218.9,218.9,0,64.8,5.4,0,0,153,69.8,0,61,2.8,0,0,155,40.9,0,0,0,0,0,467189,116.4,884.8,1001.2,1001.2,11,A,,3549818,4016814,4196910,4016814,,,,,0,4016814,4363144,0.3,1308943,1106647,1106647,2
1,,244,Coffey,Burlington,819.8,0,819.8,814.4,0,0,814.4,816.5,816.5,816.9,0,816.9,6.5,0,823,823,823,823.4,252.3,252.3,0,175.2,14.6,0,0,254,115.8,0,52,2.4,0,0,231,50.2,0,0,0,0,0,1130959,281.9,1258.7,1540.6,1540.6,6,A,,5049904,6180887,6496142,6180887,,,,,0,6180887,6880167,0.3,2064050,2071631,2064050,0
0,,245,Coffey,LeRoy-Gridley,262,0,262,259.5,0,0,259.5,246.5,246.5,259.5,0,259.5,0,0,246.5,246.5,246.5,259.5,153.5,153.5,0,29.1,2.4,0,0,81,36.9,0,31,1.4,0,0,103.5,28.7,0,0,0,0,0,286281,71.4,482.4,553.8,553.8,11,A,,1935389,2221846,2337194,2221846,,,,,0,2221846,2439030,0.3,731709,550000,550000,0
0,,246,Crawford,Northeast,548.5,0,548.5,521.5,0,0,521.5,555.5,555.5,555.5,0,555.5,6,0,561.5,561.5,561.5,561.5,222,222,0,0,0,0,0,334,152.3,33.4,41,1.9,0,0,264,52,0,0,0,0,0,439949,109.7,1023.1,1132.8,1132.8,1,A,,4104677,4544794,4684511,4544794,,-823,,,-823,4543971,5056398,0.2806,1418825,1340000,1340000,3
0,,247,Crawford,Cherokee,732.5,0,732.5,700.5,0,0,700.5,651.5,651.5,700.5,0,700.5,5.5,0,657,657,657,706,244.5,244.5,0,79.6,6.6,0,0,315,143.6,18.9,54,2.5,0,0,322,75.9,0,0,0,0,0,565452,140.9,1198,1338.9,1338.9,1,A,,4806376,5371667,5624703,5371667,,,,,0,5371667,5967374,0.3,1790212,1715000,1715000,1
0,,248,Crawford,Girard,1000.9,0,1000.9,989.5,0,0,989.5,1001.8,1001.8,1001.8,0,1001.8,7,0,1008.8,1008.8,1008.8,1008.8,245.5,245.5,0,283.5,23.6,0.3,0,407,185.6,24.4,58,2.7,0,0,337.5,76.6,0,0,0,0,0,743182,185.2,1567.2,1752.4,1752.4,10,A,,6287606,7030629,7283642,7030629,,-927,,,-927,7029702,7793948,0.3,2338184,1995000,1995000,0
0,,249,Crawford,Frontenac,782.5,0,782.5,822,0,0,822,843,843,843,0,843,7,0,850,850,850,850,252.7,252.7,0,190.7,15.9,0,0,287,130.9,0,80,3.7,0,0,79.5,14.5,0,0,0,0,0,601729,150,1267.7,1417.7,1417.7,1,A,,5086012,5687812,5764741,5687812,,,,,0,5687812,6262844,0.3,1878853,1500000,1500000,0
