Title,URL,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,TOTAL
Forensic Nursing: Death Investigation,http://digitalcommons.uri.edu/srhonorsprog/14,17,22,32,19,60,21,24,22,38,34,42,20,351
Ethical Judgments of Sexual Appeals in Advertising Image - Based Products to Teens,http://digitalcommons.uri.edu/srhonorsprog/5,23,8,32,33,44,19,17,24,52,35,21,13,321
South Goes South: American Perspectives on Southern Immigrants to Brazil,http://digitalcommons.uri.edu/srhonorsprog/16,25,36,24,33,23,25,26,20,24,19,22,22,299
The Evolution and Impact of Documentary Films,http://digitalcommons.uri.edu/srhonorsprog/42,23,9,24,20,38,23,15,27,25,41,30,8,283
"Greenpeace, Earth First! and The Earth Liberation Front: The Progression of the Radical Environmental Movement in America",http://digitalcommons.uri.edu/srhonorsprog/93,0,3,14,23,46,29,27,29,40,33,15,19,278
Darfur: Genocide in the 21st Century,http://digitalcommons.uri.edu/srhonorsprog/54,11,6,13,35,51,33,12,16,28,32,29,11,277
Corporate Ethics and CEO Compensation,http://digitalcommons.uri.edu/srhonorsprog/88,0,1,7,10,40,36,18,30,34,41,22,10,249
Roosevelt Hall,http://digitalcommons.uri.edu/photographs/9,25,46,40,10,4,7,92,6,12,0,6,0,248
"Supplement to W. T. O’Malley’s Anglo-Irish Literature: a bibliography of dissertations, 1873-1989 (New York, 1990).",http://digitalcommons.uri.edu/lib_ts_pubs/1,24,18,37,41,37,10,13,3,14,15,19,5,236
Anne Lucy Bosworth Focke,http://digitalcommons.uri.edu/photographs/1,10,13,19,30,21,23,14,18,81,1,0,1,231
Seeking an Aesthetics of Metafiction,http://digitalcommons.uri.edu/srhonorsprog/1,3,3,7,8,9,17,17,20,39,49,31,17,220
"Native American Flute Meditation: Musical Instrument Design, Construction and Playing as Contemplative Practice",http://digitalcommons.uri.edu/srhonorsprog/104,0,0,17,19,24,23,28,13,23,43,20,7,217
"Shifting Experiences:  The Changing Roles of Women in the Italian, Lowland, and German Regions of Western Europe from the Middle Ages to the Early Modern Period",http://digitalcommons.uri.edu/srhonorsprog/10,2,6,31,16,20,22,13,7,37,24,20,8,206
Taft Hall,http://digitalcommons.uri.edu/photographs/8,14,20,37,24,20,15,22,16,33,1,0,0,202
Modern Leonidas: Spartan Military Culture in a Modern American Context,http://digitalcommons.uri.edu/srhonorsprog/105,0,0,8,23,37,26,12,19,32,23,12,7,199
AIDS Art: Activism on Canvas,http://digitalcommons.uri.edu/srhonorsprog/77,0,0,4,5,16,17,5,10,17,28,56,38,196
Hao Bu Hao: A Survival Guide for Zhejiang University,http://digitalcommons.uri.edu/srhonorsprog/59,6,5,5,5,7,5,7,16,28,37,54,16,191
Numerical Aspects of the SAFT Equation of State,http://digitalcommons.uri.edu/srhonorsprog/13,16,5,10,14,10,19,12,14,19,22,28,19,188
Scientific Research in a Foreign Language,http://digitalcommons.uri.edu/srhonorsprog/24,16,11,11,14,23,16,7,14,20,20,17,12,181
Are Television News Programs Becoming Nothing More Than Infotainment?,http://digitalcommons.uri.edu/srhonorsprog/51,6,7,1,8,11,4,6,13,28,42,22,26,174
Engineering the Future:  Staying Competitive in the Global Economy,http://digitalcommons.uri.edu/ojgee/vol1/iss1/2,8,11,9,11,16,11,17,16,6,21,21,15,162
Sigma Alpha Epsilon House,http://digitalcommons.uri.edu/photographs/21,16,16,19,20,12,15,22,15,24,1,0,2,162
In a Short Time There Were None Almost Left: The Success and Failure of the Tudor Conquest in Ireland,http://digitalcommons.uri.edu/srhonorsprog/3,2,2,4,4,13,16,7,42,29,6,16,17,158
Construction of Davis Hall,http://digitalcommons.uri.edu/photographs/30,4,8,30,9,9,16,19,32,27,1,0,2,157
An Analysis Of Sea Shipping As Global And Regional Industry,http://digitalcommons.uri.edu/srhonorsprog/4,21,3,18,13,21,11,11,9,16,10,6,3,142
"Cross-Cultural ""Soft Skills"" and the Global Engineer:  Corporate Best Practices and Trainer Methodologies",http://digitalcommons.uri.edu/ojgee/vol3/iss1/1,16,7,8,12,12,10,4,8,13,11,21,17,139
A Hike Through the Forest: The Knapsack Problem in Graph Theory,http://digitalcommons.uri.edu/srhonorsprog/95,0,2,7,6,10,7,11,9,6,25,35,20,138
La Mondialisation qui Menace L’identité Française et ses Relations avec le Commerce,http://digitalcommons.uri.edu/srhonorsprog/57,3,2,11,7,17,13,6,21,21,9,8,14,132
Students Sharing Feelings of Grief: An Elementary Curriculum on Loss,http://digitalcommons.uri.edu/srhonorsprog/46,1,1,3,5,16,13,22,33,21,9,6,2,132
"THE DEVELOPMENTAL PROCESS FOR SUCCESSFUL MARKET PENETRATION INTO THE BAR INDUSTRY IN SOUTH COUNTY, RHODE ISLAND",http://digitalcommons.uri.edu/srhonorsprog/19,18,3,10,11,11,6,9,5,15,29,0,4,121
Diagnosing David Foster Wallace,http://digitalcommons.uri.edu/srhonorsprog/79,0,3,15,11,9,14,6,17,6,18,14,8,121
Healthy Habits: An Exploration of Family Eating Choices and Practices,http://digitalcommons.uri.edu/srhonorsprog/120,0,0,0,3,19,19,5,16,23,21,9,5,120
Carlotti Administration Building,http://digitalcommons.uri.edu/photographs/28,3,5,13,16,13,9,15,10,29,2,0,2,117
La Théorie de Weber et la Mentalité du Travail en France et aux États-Unis,http://digitalcommons.uri.edu/srhonorsprog/119,0,1,5,3,4,11,3,18,21,18,18,15,117
Building a Non-Profit Organization: Project Venue,http://digitalcommons.uri.edu/srhonorsprog/75,0,2,2,21,20,6,10,10,18,7,14,7,117
The Campus Shuttle,http://digitalcommons.uri.edu/photographs/32,4,5,19,8,4,7,6,12,43,5,1,2,116
Lowering Cholesterol: through the use of Plant Sterols and Stanols,http://digitalcommons.uri.edu/srhonorsprog/82,0,3,15,7,9,16,11,13,14,14,12,0,114
Hip Hop is Dead: The Rhetoric of Hip Hop,http://digitalcommons.uri.edu/srhonorsprog/109,0,0,6,15,18,16,6,13,15,9,10,6,114
Washburn Hall,http://digitalcommons.uri.edu/photographs/15,9,6,29,14,3,6,23,8,11,1,0,2,112
College Hall after the fire.,http://digitalcommons.uri.edu/photographs/29,8,8,16,11,9,9,19,9,21,0,0,2,112
"Engineering Study Abroad Programs: Formats, Challenges, Best Practices",http://digitalcommons.uri.edu/ojgee/vol2/iss2/2,9,5,8,5,10,6,7,7,8,16,15,14,110
"Give The People What They Want, When They Want It, And They Won’t Sit All The Time: Consumer Behavior in the Online Music Market",http://digitalcommons.uri.edu/srhonorsprog/90,0,0,7,10,11,5,4,10,21,15,16,10,109
"Cowboys and Shoguns: The American Western, Japanese Jidaigeki, and Cross-Cultural Exchange",http://digitalcommons.uri.edu/srhonorsprog/106,0,0,4,11,12,11,7,9,22,25,4,4,109
Toward Salvation: Italo Calvino’s Wakeful Phenomenology,http://digitalcommons.uri.edu/srhonorsprog/39,6,4,6,2,10,11,4,9,13,14,15,14,108
Nietzsche’s Doctrine of Eternal Return,http://digitalcommons.uri.edu/srhonorsprog/47,4,2,3,2,8,15,4,10,23,15,19,2,107
Quinn Hall,http://digitalcommons.uri.edu/photographs/16,9,7,37,15,5,3,9,6,10,0,1,2,104
Engineering the World,http://digitalcommons.uri.edu/ojgee/vol3/iss2/2,0,1,10,10,9,12,6,7,3,21,13,11,103
China and Latin America: A Match Made in Trade Heaven or Dependency Reloaded?,http://digitalcommons.uri.edu/srhonorsprog/37,12,4,7,6,10,9,4,12,12,9,9,8,102
The SAT: Sine qua Non or Negligible for College Admissions?,http://digitalcommons.uri.edu/srhonorsprog/22,6,2,4,9,6,11,6,4,22,9,11,11,101
Rebuilding College Hall,http://digitalcommons.uri.edu/photographs/31,4,5,14,8,4,8,9,18,24,1,2,2,99
A Critical Analysis of the International Business Degree at the University of Rhode Island 2002-2006,http://digitalcommons.uri.edu/srhonorsprog/7,16,5,10,15,13,6,7,6,7,3,3,6,97
A Comparison of Pyronin Y-Methyl Green Stain and Methylene Blue Stain for Somatic Cell Count in Sheep Milk,http://digitalcommons.uri.edu/srhonorsprog/49,5,8,1,10,11,6,12,8,13,8,7,7,96
Preparing Engineers for the Global Workplace,http://digitalcommons.uri.edu/ojgee/vol1/iss1/3,12,6,7,1,7,6,7,4,6,12,11,16,95
Sparkle: What Every Teenage Girl Should Know,http://digitalcommons.uri.edu/srhonorsprog/91,0,1,2,13,20,7,8,17,11,10,3,3,95
"Challenges in Building an Incremental, Multi-Year Information Literacy Plan",http://digitalcommons.uri.edu/lib_ts_pubs/2,3,4,8,15,10,12,7,10,5,7,6,5,92
URI Student Bridge,http://digitalcommons.uri.edu/srhonorsprog/98,0,0,3,4,6,4,16,7,13,11,6,10,80
Gender Minority Elder Care,http://digitalcommons.uri.edu/srhonorsprog/99,0,0,1,11,4,14,10,4,6,15,3,7,75
"Making the Case for Global Engineering: Building Foreign Language Collaborations for Designing, Implementing, and Assessing Programs",http://digitalcommons.uri.edu/ojgee/vol2/iss2/1,7,3,4,2,6,4,4,7,7,9,11,10,74
Watson House,http://digitalcommons.uri.edu/photographs/18,5,5,14,12,5,2,10,4,13,0,0,2,72
Chicken House,http://digitalcommons.uri.edu/photographs/24,4,4,17,7,4,4,9,6,14,0,0,2,71
"Music, the Non-Governmental Actor Changing Political Policy: Have We Failed the Power of Music?",http://digitalcommons.uri.edu/srhonorsprog/44,10,10,5,9,8,5,1,3,6,7,4,3,71
Edwards Hall,http://digitalcommons.uri.edu/photographs/14,4,5,13,11,9,1,9,5,10,0,2,2,71
"Our Lady of Constantinople, Wally, Bob and the Sannicandrese Jews",http://digitalcommons.uri.edu/lib_ts_pubs/15,8,2,5,5,2,4,3,4,10,11,6,10,70
Agricultural Laboratory at Salt Pond,http://digitalcommons.uri.edu/photographs/23,4,2,15,7,4,2,10,6,16,0,0,2,68
"Organizing for Community Benefit: Anti-Gentrification Effort in Providence, RI",http://digitalcommons.uri.edu/srhonorsprog/65,6,4,9,13,8,8,2,1,1,9,3,3,67
Serials Unit Annual Report 2007-2008,http://digitalcommons.uri.edu/ser_rpts/4,0,0,2,9,7,8,4,9,6,7,8,7,67
Novice Coach’s Guide to Coaching Novice,http://digitalcommons.uri.edu/srhonorsprog/115,0,0,2,1,7,7,0,6,11,11,10,11,66
South Hall Demolition,http://digitalcommons.uri.edu/photographs/27,3,3,12,6,3,4,6,7,18,0,0,3,65
Dairy Barns,http://digitalcommons.uri.edu/photographs/20,5,4,14,9,4,2,9,6,9,0,0,2,64
Bliss Hall,http://digitalcommons.uri.edu/photographs/6,6,9,20,5,6,1,4,3,7,0,0,2,63
International Dual Degrees at the Graduate Levels: The University of Rhode Island and the Technische Universität Braunschweig,http://digitalcommons.uri.edu/ojgee/vol3/iss1/2,14,3,0,4,7,1,2,1,2,8,10,11,63
Differential Equations:  A Universal Language,http://digitalcommons.uri.edu/srhonorsprog/96,0,1,0,5,10,9,9,5,2,11,3,7,62
Synthesis of Polythiophenes using Oxidative Coupling,http://digitalcommons.uri.edu/srhonorsprog/70,6,3,3,3,8,5,5,11,8,6,3,1,62
Engineering Students in a Global World: Lehigh University's Global Citizenship Program,http://digitalcommons.uri.edu/ojgee/vol2/iss1/1,8,5,4,3,8,1,4,2,3,7,11,5,61
Analysis of Students' Misconceptions of Research Methods in Relations to Thinking Style,http://digitalcommons.uri.edu/srhonorsprog/102,0,1,0,3,2,6,5,7,3,11,12,10,60
Genocide: A Humanities Prospective,http://digitalcommons.uri.edu/srhonorsprog/25,3,6,4,7,7,2,4,4,4,7,5,6,59
"Taft, College, and South Halls",http://digitalcommons.uri.edu/photographs/26,5,2,12,7,3,2,7,5,14,0,0,2,59
College Hall Library,http://digitalcommons.uri.edu/photographs/25,3,2,14,7,4,2,6,5,14,0,0,2,59
Watson House Restored,http://digitalcommons.uri.edu/photographs/19,4,4,13,8,4,1,7,4,10,0,0,2,57
Opening the Aperture: Examining Images of War in the Press,http://digitalcommons.uri.edu/srhonorsprog/110,0,1,1,7,5,6,4,13,7,4,6,3,57
Traditional Natural Resource Use and Development in Northeast Thailand,http://digitalcommons.uri.edu/srhonorsprog/107,0,0,2,2,8,9,6,8,7,4,6,4,56
Explorations of Self: A Philosophical Inquiry,http://digitalcommons.uri.edu/srhonorsprog/15,1,1,2,15,4,3,0,6,6,12,4,2,56
International Development Education,http://digitalcommons.uri.edu/srhonorsprog/38,8,5,1,10,3,1,0,3,4,3,8,8,54
Lippitt Hall,http://digitalcommons.uri.edu/photographs/7,4,9,13,2,4,6,3,3,7,0,1,0,52
College Hall,http://digitalcommons.uri.edu/photographs/10,4,5,7,4,3,1,12,4,10,0,0,2,52
Teaching English in the Dominican Republic,http://digitalcommons.uri.edu/srhonorsprog/71,4,6,7,5,9,2,1,0,7,3,5,2,51
A Comparison of the  Imapct of Environmental Stressors on Blood Parameters of Captive Harbor Seals (Phoca Vitulina),http://digitalcommons.uri.edu/srhonorsprog/23,7,6,6,4,2,3,4,2,3,4,3,7,51
"The Convenient Alliance: President Reagan and Pope John Paul II, Cold Warriors",http://digitalcommons.uri.edu/srhonorsprog/48,2,3,3,3,8,8,7,4,3,3,5,1,50
"Dwight Eisenhower,  W. Alton Jones, & George Wheatley",http://digitalcommons.uri.edu/photographs/3,3,3,17,4,3,6,4,2,5,2,1,0,50
International Research and Engineering Education: Impacts and Best Practices,http://digitalcommons.uri.edu/ojgee/vol4/iss2/1,0,0,0,0,0,0,0,0,0,0,8,41,49
Time Post-Hatch Caloric Value of Artemia salina,http://digitalcommons.uri.edu/srhonorsprog/83,0,1,2,3,6,3,4,10,5,2,3,9,48
Indian Names of Places in Rhode Island,http://digitalcommons.uri.edu/sc_pubs/1,7,6,7,4,6,6,2,1,1,1,2,5,48
Evaluating Long Term Political Consequences of Economic Restructuring Programs,http://digitalcommons.uri.edu/srhonorsprog/89,0,0,0,2,4,3,3,5,12,4,7,7,47
College Hall on Fire,http://digitalcommons.uri.edu/photographs/11,4,4,10,3,2,1,6,4,10,0,0,2,46
A Winding Rhode: An Event Planning Manual for Every Rhody Ram,http://digitalcommons.uri.edu/srhonorsprog/76,0,1,9,11,2,1,3,1,4,3,7,4,46
A Cello Anthology,http://digitalcommons.uri.edu/srhonorsprog/108,0,0,0,2,6,1,4,3,8,11,7,3,45
Developing an International Engineering Experience for Undergraduate Students at a Small Institution,http://digitalcommons.uri.edu/ojgee/vol2/iss1/2,8,0,4,1,8,2,4,4,2,5,4,3,45
Wind Turbine Project at the University of Rhode Island,http://digitalcommons.uri.edu/srhonorsprog/2,1,1,3,5,9,6,3,2,5,4,2,2,43
From Script to Stage: A Costume Designer’s Perspective,http://digitalcommons.uri.edu/srhonorsprog/61,2,2,5,2,4,4,6,4,7,2,3,2,43
The Paper Trail: Paper Use and Disposal at the University of Rhode Island,http://digitalcommons.uri.edu/srhonorsprog/55,2,0,0,9,5,0,3,6,4,4,5,4,42
LIVING PROOF: The decline in Northeast Arts Education - and what can be done about it.,http://digitalcommons.uri.edu/srhonorsprog/41,0,1,2,4,5,6,1,2,4,9,7,1,42
Rhode Island Family Court and the Best Interests of Children,http://digitalcommons.uri.edu/srhonorsprog/66,6,5,4,3,4,1,4,5,3,2,1,4,42
Beta Phi Fraternity House,http://digitalcommons.uri.edu/photographs/13,4,2,8,3,2,1,8,4,8,0,2,0,42
Ladd Laboratory,http://digitalcommons.uri.edu/photographs/12,4,2,8,3,3,1,6,4,9,0,0,2,42
How Have Teachers Affected the Disinterest Towards Mathematics?,http://digitalcommons.uri.edu/srhonorsprog/27,2,3,2,1,4,3,2,4,6,4,4,6,41
“Do you not know what happens to Mothers in America?”,http://digitalcommons.uri.edu/srhonorsprog/118,0,6,3,2,7,1,1,2,5,9,3,2,41
Forensics: Crime Scene Investigation Case Closed,http://digitalcommons.uri.edu/srhonorsprog/64,1,2,3,4,5,11,2,3,5,2,1,0,39
Importance of Early Successional Forest for Wildlife in Southern New England,http://digitalcommons.uri.edu/srhonorsprog/50,2,3,3,3,5,2,3,1,7,4,2,4,39
The Rhode Map to Success: the Exploratory Student’s Guide to Choosing an Undergraduate Major,http://digitalcommons.uri.edu/srhonorsprog/36,0,1,1,1,4,5,2,7,6,4,3,5,39
A Pre-Apocalyptic Masterpiece,http://digitalcommons.uri.edu/srhonorsprog/60,1,0,3,17,5,1,1,1,3,1,3,3,39
East Hall,http://digitalcommons.uri.edu/photographs/5,3,3,11,2,4,1,4,3,5,0,0,2,38
Mirror of Culture: the Study of a Nineteenth-century Sewing Diary,http://digitalcommons.uri.edu/srhonorsprog/35,3,1,2,5,4,0,4,2,6,3,3,5,38
