,n,Below Poverty**  % (95% CI),,"White only,         non-Hispanic††  % (95% CI)","Black only,          non-Hispanic††  % (95% CI)",Hispanic§§  % (95% CI),,MSA Central City¶¶  % (95% CI),,With an 11-12 year old provider visit ***  % (95% CI),,Uninsured  % (95% CI),,Insured Private††† % (95% CI),Public§§§ % (95% CI),
Iowa,325,15.1(±5.6),,87.0(±5.4),,,,25.9(±6.3),,39.1(±6.6),,,,66.7(±6.8),31.3(±6.7),
Kansas,340,19.4(±6.6),,70.4(±7.0),,15.1(±5.8),,32.1(±7.1),,33.6(±6.4),,12.6(±6.2),,57.0(±7.4),30.4(±6.8),
Kentucky,333,31.5(±7.2),,79.7(±5.9),9.1(±4.3),,,24.3(±6.0),,43.0(±6.8),,6.6(±3.8),,49.2(±7.1),44.3(±7.3),
Louisiana,370,26.6(±6.3),,53.1(±6.7),37.5(±6.8),4.4(±2.1),,35.1(±6.5),,41.3(±6.4),,,,43.6(±6.3),53.2(±6.5),
Maine,319,22.4(±6.2),,88.8(±4.3),,,,10.4(±3.9),,53.1(±6.8),,,,50.6(±6.8),46.3(±6.9),
Maryland,325,15.5(±6.0),,47.9(±7.5),32.5(±7.7),9.5(±5.0),,26.2(±6.6),,44.9(±7.4),,,,56.8(±7.9),40.8(±7.9),
Massachusetts,347,14.6(±5.3),,71.0(±6.3),8.1(±4.6),13.9(±5.0),,19.2(±5.4),,68.8(±6.2),,,,66.3(±6.6),31.7(±6.5),
Michigan,368,20.9(±6.2),,67.5(±6.6),16.3(±5.4),,,41.0(±6.8),,44.8(±6.7),,,,56.6(±6.9),40.9(±6.9),
Minnesota,322,14.2(±5.9),,80.3(±6.8),,,,35.1(±7.2),,41.6(±7.3),,7.0(±3.9),,71.9(±7.3),21.1(±6.9),
Mississippi,321,38.9(±7.4),,50.8(±7.3),43.7(±7.4),,,17.3(±6.4),,16.8(±6.0),,7.6(±4.0),,39.3(±6.9),53.1(±7.3),
Missouri,292,19.9(±7.0),,73.4(±7.7),13.9(±6.5),,,31.0(±7.3),,33.7(±7.2),,,,58.0(±7.9),36.4(±7.9),
Montana,325,18.0(±6.0),,72.9(±6.6),,,,26.1(±5.9),,26.4(±5.6),,4.8(±2.7),,54.2(±6.8),41.0(±6.8),
Nebraska,328,17.5(±6.3),,73.7(±6.9),,13.6(±5.6),,45.4(±7.1),,40.4(±6.8),,,,64.8(±7.3),30.8(±7.3),
Nevada,329,31.3(±6.9),,42.5(±6.3),10.8(±5.6),38.2(±6.8),,70.8(±5.9),,28.3(±5.8),,13.9(±4.7),,49.5(±6.7),36.6(±6.8),
New Hampshire,278,8.4(±4.2),,86.7(±5.5),,,,11.0(±4.4),,60.2(±6.8),,,,64.7(±7.1),31.4(±7.0),
New Jersey,330,19.4(±6.1),,54.5(±6.8),14.7(±5.4),20.7(±5.9),,8.0(±3.5),,68.9(±6.5),,,,69.0(±6.7),26.2(±6.4),
New Mexico,331,32.5(±7.0),,34.2(±6.2),,57.3(±6.7),,40.7(±7.0),,37.8(±6.5),,8.9(±4.9),,35.4(±6.3),55.7(±6.9),
New York,627,25.8(±4.4),,53.5(±4.6),16.6(±3.6),21.3(±4.2),,51.3(±3.9),,51.7(±4.8),,4.2(±2.3),,55.8(±4.9),40.0(±4.9),
NY-City of New York,312,38.9(±6.7),,25.3(±5.1),27.2(±5.7),36.2(±6.6),,100(±0.0),,39.8(±6.3),,,,41.0(±6.3),56.7(±6.4),
NY-Rest of State,315,17.6(±5.7),,71.1(±6.8),9.9(±4.7),12.0(±5.3),,20.8(±5.9),,59.2(±6.7),,,,64.6(±7.0),30.1(±6.9),
North Carolina,347,25.9(±6.3),,57.6(±6.9),24.6(±6.3),11.2(±5.0),,40.2(±6.6),,37.6(±6.3),,8.8(±4.5),,47.6(±6.6),43.7(±6.7),
North Dakota,324,13.0(±5.6),,81.9(±6.2),,,,30.2(±6.7),,24.3(±5.8),,,,66.3(±7.1),29.4(±6.9),
Ohio,327,26.1(±6.9),,76.3(±6.5),14.2(±5.8),,,37.2(±7.1),,38.6(±6.8),,,,62.3(±7.3),34.2(±7.3),
Oklahoma,322,33.1(±6.8),,56.1(±6.9),7.9(±4.3),12.4(±5.5),,24.2(±6.0),,20.4(±5.1),,9.3(±4.2),,33.5(±6.0),57.2(±6.6),
Oregon,381,21.0(±5.7),,67.0(±6.4),,19.1(±5.4),,51.7(±6.3),,39.1(±6.0),,4.1(±2.4),,61.0(±6.4),34.9(±6.4),
Pennsylvania,741,19.6(±4.5),,71.7(±4.8),12.9(±3.5),8.5(±2.6),,26.0(±4.3),,54.8(±5.6),,4.6(±2.3),,60.3(±5.7),35.0(±5.6),
PA-Philadelphia,348,41.0(±7.3),,20.7(±4.8),52.8(±7.1),17.8(±6.1),,100(±0.0),,48.9(±7.1),,,,34.5(±6.4),62.6(±6.6),
PA-Rest of State,393,16.8(±5.0),,78.2(±5.4),7.8(±3.8),7.3(±2.8),,16.5(±4.7),,55.5(±6.3),,4.8(±2.5),,63.5(±6.3),31.7(±6.2),
Rhode Island,327,21.8(±6.5),,64.3(±6.9),,19.5(±6.0),,33.2(±7.0),,71.0(±6.2),,8.6(±4.5),,60.8(±7.0),30.6(±6.7),
South Carolina,310,32.8(±7.3),,55.6(±7.5),32.2(±7.4),6.8(±3.6),,33.1(±7.1),,35.6(±6.9),,8.6(±4.8),,44.4(±7.2),47.0(±7.5),
South Dakota,298,13.4(±5.3),,80.6(±6.2),,,,25.3(±6.2),,27.1(±6.4),,,,62.7(±7.2),32.7(±7.1),
Tennessee,331,25.7(±6.6),,65.4(±7.5),20.4(±6.8),7.5(±4.3),,43.9(±7.3),,35.0(±6.8),,,,52.0(±7.4),41.8(±7.4),
Texas,1594,35.7(±4.0),,33.3(±3.7),12.2(±3.2),46.7(±4.1),,53.0(±4.1),,36.9(±3.9),,13.4(±3.0),,41.9(±3.9),44.7(±4.2),
TX-Bexar County,346,34.3(±7.5),,22.0(±5.5),7.1(±3.5),68.3(±6.5),,94.6(±2.4),,29.5(±6.7),,17.6(±6.7),,34.4(±7.0),48.0(±7.9),
TX-City of Houston,393,46.2(±7.1),,16.7(±3.3),23.5(±6.2),54.5(±6.7),,97.0(±1.7),,33.3(±6.6),,12.9(±5.0),,35.2(±6.1),52.0(±7.0),
TX-Rest of State,855,34.9(±4.6),,35.7(±4.3),11.6(±3.6),44.3(±4.7),,45.8(±4.7),,37.8(±4.5),,13.1(±3.4),,43.1(±4.5),43.8(±4.8),
Utah,345,20.5(±6.7),,78.0(±6.6),,16.0(±6.3),,36.7(±7.1),,30.7(±5.9),,11.2(±4.9),,66.5(±7.2),22.4(±6.7),
Vermont,322,10.8(±4.8),,90.8(±4.2),,,,6.4(±3.6),,58.8(±6.6),,,,55.0(±6.8),43.0(±6.8),
Virginia,334,16.8(±6.1),,58.6(±7.5),21.3(±6.9),9.8(±4.8),,31.3(±6.7),,42.0(±7.1),,,,62.1(±7.5),32.5(±7.2),
Washington,353,13.9(±4.9),,61.8(±7.1),,17.2(±5.8),,49.5(±7.0),,41.0(±6.7),,,,63.6(±7.1),30.5(±6.9),
West Virginia,282,25.2(±7.0),,90.8(±3.7),,,,20.9(±6.2),,35.1(±7.2),,,,45.1(±7.4),53.8(±7.4),
Wisconsin,307,16.9(±6.5),,76.4(±6.7),,8.8(±4.1),,41.0(±7.4),,36.6(±7.0),,,,59.8(±7.6),37.1(±7.6),
Wyoming,333,13.0(±5.0),,81.0(±5.3),,12.4(±4.7),,27.7(±6.3),,25.1(±5.5),,6.2(±3.6),,65.1(±6.8),28.7(±6.6),
U.S. Virgin Islands****,547,36.2(±4.8),,5.6(±2.9),76.1(±4.5),15.4(±3.5),,,,14.6(±3.4),,37.2(±5.0),,57.6(±5.1),5.2(±2.0),
