SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
17-3026,Industrial Engineering Technicians,AD,48910,35670,55520,80,90,0.125,3
19-1012,Food Scientists & Technologists,BD,,,,,,,
19-4021,Biological Technicians,BD,39840,31630,43940,150,160,0.0666,6
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,34280,27280,37770,280,370,0.3214,15
21-1014,Mental Health Counselors,MD,30370,22080,34510,650,780,0.2,25
21-1015,Rehabilitation Counselors,MD,33210,24470,37580,140,150,0.07139999999999999,4
21-1021,"Child, Family & School Social Workers",BD,49390,27600,60290,630,690,0.09519999999999999,19
21-1022,Healthcare Social Workers,MD,54530,39310,62140,500,580,0.16,19
21-1023,Mental Health & Substance Abuse Social Workers,BD,45150,34460,50490,290,340,0.1724,12
23-2011,Paralegals & Legal Assistants,AD,58650,49360,63300,320,360,0.125,7
25-1011,"Business Teachers, Postsecondary",PhD,64430,43150,75060,110,130,0.1818,4
25-1072,"Nursing Instructors & Teachers, Postsecondary",MD,64250,37310,77720,80,100,0.25,3
25-1081,"Education Teachers, Postsecondary",PhD,71330,43910,85040,30,40,0.3333,2
25-1194,"Vocational Education Teachers, Postsecondary",WK EXP,,,,200,230,0.15,6
25-2011,Preschool Teachers,AD,34440,18920,42200,500,540,0.08,12
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,,,,100,90,-0.1,3
25-2053,"Special Education Teachers, Middle School",BD,71270,51560,81130,,,,
25-2054,"Special Education Teachers, Secondary School",BD,70210,49620,80500,,,,
27-1024,Graphic Designers,BD,52350,30080,63490,830,820,-0.012,22
27-2012,Producers & Directors,BD+,67750,41650,80790,60,70,0.1666,3
27-2022,Coaches & Scouts,LT OJT,32890,21290,38690,490,530,0.0816,16
27-4021,Photographers,LT OJT,31190,25910,33840,420,450,0.07139999999999999,13
27-4031,"Camera Operators: TV, Video & Motion Picture",BD,,,,,,,
27-4032,Film & Video Editors,BD+,,,,,,,
29-1031,Dietitians & Nutritionists,BD,61090,52060,65600,80,90,0.125,2
29-1051,Pharmacists,PROF,102560,79960,113860,350,420,0.2,13
29-1111,Registered Nurses,AD,68390,47510,78830,4860,5690,0.1707,163
29-1122,Occupational Therapists,MD,71800,43590,85910,210,240,0.14279999999999998,7
29-1126,Respiratory Therapists,AD,55950,50930,58460,240,280,0.1666,8
29-1127,Speech-Language Pathologists,MD,74650,54560,84690,140,140,,3
29-2011,Medical & Clinical Laboratory Technologists,BD,50760,34570,58860,230,230,,4
29-2012,Medical & Clinical Laboratory Technicians,AD,38830,27190,44650,210,230,0.09519999999999999,5
29-2021,Dental Hygienists,AD,64970,53500,70700,620,700,0.129,21
29-2031,Cardiovascular Technologists & Technicians,AD,57580,38850,66940,90,110,0.22219999999999998,3
29-2032,Diagnostic Medical Sonographers,AD,47020,42220,49420,90,100,0.11109999999999999,2
29-2037,Radiologic Technologists & Technicians,AD,65050,50290,72420,,,,
29-2041,Emergency Medical Technicians & Paramedics,PS,34750,27870,38190,520,560,0.07690000000000001,10
29-2052,Pharmacy Technicians,MT OJT,24630,17150,28370,500,680,0.36,33
29-2055,Surgical Technologists,PS,46170,41040,48730,90,110,0.22219999999999998,5
29-2056,Veterinary Technologists & Technicians,AD,34780,27110,38620,230,330,0.4347,18
29-2061,Licensed Practical & Licensed Vocational Nurses,PS,49750,37970,55640,1270,1400,0.1023,48
29-2071,Medical Records & Health Information Technicians,PS,37830,27580,42960,340,360,0.0588,12
31-1012,"Nursing Aides, Orderlies & Attendants",PS,29320,24740,31610,3200,3580,0.11869999999999999,67
31-1013,Psychiatric Aides,ST OJT,35550,26810,39920,160,160,,1
31-2011,Occupational Therapy Assistants,AD,55430,41160,62560,150,190,0.2666,7
31-2021,Physical Therapist Assistants,AD,46270,34630,52090,160,190,0.1875,5
31-9091,Dental Assistants,PS,37230,26720,42490,740,840,0.1351,24
31-9092,Medical Assistants,MT OJT,30970,25850,33530,1080,1280,0.18510000000000001,33
33-3051,Police & Sheriff's Patrol Officers,MT OJT,72340,55580,80730,870,930,0.0689,28
35-1012,Supervisors - Food Preparation & Serving Workers,WK EXP,43050,33630,47760,1530,1630,0.0653,23
35-2014,"Cooks, Restaurant",MT OJT,32480,21440,38000,1610,1740,0.08070000000000001,58
37-2021,Pest Control Workers,MT OJT,,,,200,200,,5
39-5012,"Hairdressers, Hairstylists & Cosmetologists",PS,32700,18160,39960,2750,3190,0.16,77
41-1011,Supervisors - Retail Sales Workers,WK EXP,53170,32190,63670,2730,2730,,57
41-2022,Parts Salespersons,MT OJT,36400,21450,43870,500,450,-0.1,6
41-3021,Insurance Sales Agents,MT OJT,91990,43440,116270,850,850,,19
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,111150,50960,141250,520,500,-0.0384,13
41-4011,"Sales Representatives, Technical & Scientific Products",BD,89080,56300,105470,810,780,-0.037000000000000005,18
41-4012,Sales Representatives,MT OJT,69940,39260,85280,5620,5480,-0.024900000000000002,124
41-9022,Real Estate Sales Agents,LT OJT,72150,24770,95850,1300,1270,-0.023,21
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,55820,37590,64930,2170,2090,-0.0368,45
43-3011,Bill & Account Collectors,MT OJT,38400,24960,45110,1030,1220,0.1844,35
43-3021,Billing & Posting Clerks,ST OJT,36630,27400,41240,980,920,-0.061200000000000004,13
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,38100,26740,43790,4350,4450,0.0229,78
43-4051,Customer Service Representatives,ST OJT,39880,27680,45970,4890,5330,0.08990000000000001,180
43-4111,Interviewers,ST OJT,35600,29060,38870,280,290,0.035699999999999996,9
43-4131,Loan Interviewers & Clerks,ST OJT,38360,27640,43710,330,270,-0.1818,6
43-5011,Cargo & Freight Agents,ST OJT,40100,26580,46870,30,30,,1
43-5061,"Production, Planning & Expediting Clerks",MT OJT,49420,33670,57300,790,780,-0.0126,22
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,34720,24180,39990,1860,1810,-0.0268,45
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,50820,40200,56130,1380,1420,0.028900000000000002,26
43-6012,Legal Secretaries,MT OJT,41290,34700,44580,400,400,,6
43-6014,Secretaries,ST OJT,32890,22870,37900,4410,4100,-0.0702,70
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,39470,29700,44350,340,300,-0.1176,4
43-9061,"Office Clerks, General",ST OJT,30880,19160,36750,7610,7830,0.028900000000000002,162
45-1011,Farm & Forestry Worker Supervisors,WK EXP,,,,30,30,,1
45-2092,"Farmworkers & Laborers, Crop, Nursery & Greenhouse",ST OJT,,,,420,460,0.09519999999999999,15
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,72200,49880,83350,1040,1080,0.0384,19
47-2021,Brickmasons & Blockmasons,LT OJT,55380,45780,60190,230,230,,5
47-2031,Carpenters,LT OJT,40260,27170,46810,3290,3400,0.0334,56
47-2051,Cement Masons & Concrete Finishers,MT OJT,42490,29230,49120,300,300,,9
47-2061,Construction Laborers,ST OJT,36200,19860,44370,1980,2070,0.0454,24
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,54560,39230,62230,600,630,0.05,15
47-2111,Electricians,LT OJT,65370,43120,76490,1860,1890,0.0161,51
47-2132,"Insulation Workers, Mechanical",LT OJT,,,,50,60,0.2,1
47-2141,"Painters, Construction & Maintenance",MT OJT,28150,18240,33100,350,370,0.0571,7
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,57410,33460,69390,1210,1260,0.041299999999999996,31
47-2181,Roofers,MT OJT,46470,30460,54470,580,600,0.0344,15
47-2211,Sheet Metal Workers,LT OJT,44400,34560,49320,160,160,,4
47-4011,Construction & Building Inspectors,WK EXP,54700,39150,62470,320,350,0.09369999999999999,9
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,,,,,,,
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,,,,,,,
47-5071,"Roustabouts, Oil & Gas",MT OJT,,,,,,,
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,70350,50490,80290,770,770,,19
49-2022,Telecommunications Equipment Installers & Repairers,PS,47470,42020,50190,320,300,-0.0625,8
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,,,,,,,
49-2098,Security & Fire Alarm Systems Installers,MT OJT,,,,140,140,,2
