EXPORTER EXPORTATEUR,EXPORT PT. POINT D'EXPORTATION,LIC/ORD,MONTH/MOIS:  VOLUME 1000 M3,AUTHORIZED VOLUME VOLUME AUTHORISÉ 1000 M3,2000-11-01 00:00:00  % ACTUAL OF AUTHORIZED % REEL DU VOLUME AUTORISÉ,ENERGY ÉNERGIE GJ,EXPORT VALUE RECETTES A L'EXPORTATION $,AVERAGE PRICE PRIX MOYEN $/GJ,,VOLUME 1000 M3,AUTHORIZED VOLUME VOLUME AUTHORISÉ 1000 M3,% ACTUAL OF AUTHORIZED % REEL DU VOLUME AUTORISÉ,MONTH/MOIS: ENERGY ÉNERGIE GJ,EXPORT VALUE RECETTES A L'EXPORTATION $,NOVEMBER 2000 - NOVEMBER 2000 AVERAGE PRICE PRIX MOYEN $/GJ,,,,
ENRON,IROQUOIS,GL-258,1679.3,1734,96.84544405997693,63276.02451248169,410292,6.4841621002764915,,1679.3,1734,96.84544405997693,63276.02451248169,410292,6.4841621002764915,,,,
ENRON,MONCHY,GL-277,33524.2,35556,94.28563392957588,1265538.55,8392802,6.631802721457992,,33524.2,35556,94.28563392957588,1265538.55,8392802,6.631802721457992,,,,
ENRON,NIAGARA FALLS,GL-279,7585.7,7692,98.61804472178888,286360.175,2002505,6.992959129180585,,7585.7,7692,98.61804472178888,286360.175,2002505,6.992959129180585,,,,
ENRON,ST CLAIR,GL-293,16991,16980,100.06478209658422,640900.5407409668,4404946,6.8730570813800425,,16991,16980,100.06478209658422,640900.5407409668,4404946,6.8730570813800425,,,,
FORTY MILE GAS,MONCHY,GO-21-98,0.4,0,0,14.491999816894532,201.75,13.921474092540576,,0.4,0,0,14.491999816894532,201.75,13.921474092540576,,,,
HUSKY/CANTERRA,EMERSON,GL-114,12803.2,12747,100.4408880520907,481016.22009277344,1465030,3.0456977099804248,,12803.2,12747,100.4408880520907,481016.22009277344,1465030,3.0456977099804248,,,,
IMPERIAL/BOSTON GAS,ST STEPHEN (M&NE),GL-294,32925.3,36150,91.07966804979255,1320633.8030960085,9377511,7.100765540012659,,32925.3,36150,91.07966804979255,1320633.8030960085,9377511,7.100765540012659,,,,
INDECK/YERKES,NIAGARA FALLS,GL-215,4769.2,5430,87.8305709023941,178797.31600494383,721342,4.0344117916180275,,4769.2,5430,87.8305709023941,178797.31600494383,721342,4.0344117916180275,,,,
MEAD CORPORATION,CORNWALL,GO-16-00,594,0,0,22453.199546813965,154166.86,6.866142158429076,,594,0,0,22453.199546813965,154166.86,6.866142158429076,,,,
NYSEG,CHIPPAWA,GL-220,8443.1,8499,99.3422755618308,316531.83317146305,2763183,8.729558011004864,,8443.1,8499,99.3422755618308,316531.83317146305,2763183,8.729558011004864,,,,
NYSEG,IROQUOIS,GL-195,3518.5,6750,52.125925925925934,132577.081073761,654363,4.935717355520421,,3518.5,6750,52.125925925925934,132577.081073761,654363,4.935717355520421,,,,
NYSEG,NAPIERVILLE,GL-195,3312.8,6750,49.07851851851852,124826.30501098634,998033,7.995374051263955,,3312.8,6750,49.07851851851852,124826.30501098634,998033,7.995374051263955,,,,
PAN-ALBERTA,KINGSGATE,GL-106,196913.6,224358,87.76758573351519,7482716.8,42992447,5.745566503332052,,196913.6,224358,87.76758573351519,7482716.8,42992447,5.745566503332052,,,,
PANCANADIAN,KINGSGATE,GL-285,89282,81810,109.13335778022247,3400751.393623352,22269413,6.5483801732042854,,89282,81810,109.13335778022247,3400751.393623352,22269413,6.5483801732042854,,,,
PANCANADIAN,MONCHY,GL-284,124039,128325,96.66004285992597,4683712.431804657,33099808,7.0670026142588105,,124039,128325,96.66004285992597,4683712.431804657,33099808,7.0670026142588105,,,,
PAWTUCKET,IROQUOIS,GL-149,9866.8,10875,90.72919540229884,369906.3485610962,2422294,6.548398018640434,,9866.8,10875,90.72919540229884,369906.3485610962,2422294,6.548398018640434,,,,
PROGAS,EMERSON,GL-179,6331.2,6375,99.31294117647059,238559.6179321289,1695307,7.106429054066985,,6331.2,6375,99.31294117647059,238559.6179321289,1695307,7.106429054066985,,,,
PROGAS,EMERSON,GL-231,72237,72237,100,2721890.182044983,8994539,3.3045194326107286,,72237,72237,100,2721890.182044983,8994539,3.3045194326107286,,,,
PROGAS,EMERSON,GL-234,2545.2,2544,100.04716981132076,95903.13677673339,663233,6.915654923196463,,2545.2,2544,100.04716981132076,95903.13677673339,663233,6.915654923196463,,,,
PROGAS,EMERSON,GL-236,9120,9120,100,343641.6027832031,2360399,6.8687812560609265,,9120,9120,100,343641.6027832031,2360399,6.8687812560609265,,,,
PROGAS,EMERSON,GL-237,2868.6,2877,99.70802919708028,108088.84887542724,739502,6.841612318882945,,2868.6,2877,99.70802919708028,108088.84887542724,739502,6.841612318882945,,,,
PROGAS,EMERSON,GL-238,8788.8,9414,93.35882727852135,331161.98668212886,2305580,6.962091341157003,,8788.8,9414,93.35882727852135,331161.98668212886,2305580,6.962091341157003,,,,
PROGAS,EMERSON,GL-240,5548.3,5622,98.6890786197083,209059.9456932068,1438353,6.8800984101984195,,5548.3,5622,98.6890786197083,209059.9456932068,1438353,6.8800984101984195,,,,
PROGAS,EMERSON,GL-270,6720.9,6750,99.56888888888888,253243.51405105588,1743272,6.883777484024892,,6720.9,6750,99.56888888888888,253243.51405105588,1743272,6.883777484024892,,,,
PROGAS,EMERSON,GL-271,2138.3,2010,106.38308457711443,80571.14465255738,567874,7.048106396512207,,2138.3,2010,106.38308457711443,80571.14465255738,567874,7.048106396512207,,,,
PROGAS,EMERSON,GL-286,22419.6,50976,43.980696798493405,844770.534841919,5572434,6.5963877410127285,,22419.6,50976,43.980696798493405,844770.534841919,5572434,6.5963877410127285,,,,
PROGAS,EMERSON,GL-295,5350.2,5142,104.049008168028,201595.53763275145,1392282,6.9063135838667895,,5350.2,5142,104.049008168028,201595.53763275145,1392282,6.9063135838667895,,,,
PROGAS,IROQUOIS,GL-161,21245.6,21246,99.99811729266685,800534.2144836425,4034334,5.039552247747725,,21245.6,21246,99.99811729266685,800534.2144836425,4034334,5.039552247747725,,,,
PROGAS,IROQUOIS,GL-272,15114,13740,110,569646.6392440796,6048584,10.618133388843413,,15114,13740,110,569646.6392440796,6048584,10.618133388843413,,,,
PROGAS,KINGSGATE,GL-288,6135.5,6669,92.00029989503675,234682.875,1623084,6.9160734459214375,,6135.5,6669,92.00029989503675,234682.875,1623084,6.9160734459214375,,,,
PROGAS,MONCHY,GL-287,12639.1,25488,49.588433772755806,483445.575,2849718,5.894599407596191,,12639.1,25488,49.588433772755806,483445.575,2849718,5.894599407596191,,,,
PROGAS,MONCHY,GL-98,42300.2,287322,14.722228022915058,1617982.65,8966917,5.542035324049984,,42300.2,287322,14.722228022915058,1617982.65,8966917,5.542035324049984,,,,
PROGAS,NIAGARA FALLS,GL-101,42492.1,42600,99.74671361502348,1604076.775,8712773,5.43164338253074,,42492.1,42600,99.74671361502348,1604076.775,8712773,5.43164338253074,,,,
PROGAS,NIAGARA FALLS,GL-109,21245.6,21246,99.99811729266685,802021.4,4356322,5.431678007594312,,21245.6,21246,99.99811729266685,802021.4,4356322,5.431678007594312,,,,
PROGAS,NIAGARA FALLS,GL-129,61115,151266,40.40233760395594,2307091.25,12095105,5.242577639701074,,61115,151266,40.40233760395594,2307091.25,12095105,5.242577639701074,,,,
PROGAS,NIAGARA FALLS,GL-178,10192.3,10197,99.95390801216043,384759.32499999995,2398245,6.233104291884285,,10192.3,10197,99.95390801216043,384759.32499999995,2398245,6.233104291884285,,,,
RENAISSANCE,MONCHY,GL-251,4258.8,4200,101.4,159406.88529968262,1027973,6.448736502613584,,4258.8,4200,101.4,159406.88529968262,1027973,6.448736502613584,,,,
RENAISSANCE,NIAGARA FALLS,GL-252,5203.7,5400,96.36481481481482,194774.4925880432,1477192,7.584114225492182,,5203.7,5400,96.36481481481482,194774.4925880432,1477192,7.584114225492182,,,,
RENAISSANCE,NIAGARA FALLS,GL-253,802.1,840,95.48809523809524,30022.603244781494,227685,7.5837860609098255,,802.1,840,95.48809523809524,30022.603244781494,227685,7.5837860609098255,,,,
RENAISSANCE,NIAGARA FALLS,GL-255,2346.7,2379,98.64228667507355,87836.981716156,664866,7.569317467538961,,2346.7,2379,98.64228667507355,87836.981716156,664866,7.569317467538961,,,,
RENAISSANCE,NIAGARA FALLS,GL-292,562.2,19890,2.8265460030165914,21043.146171569824,198716,9.443264727613482,,562.2,19890,2.8265460030165914,21043.146171569824,198716,9.443264727613482,,,,
SARANAC/SHELL,NAPIERVILLE,GL-197,41321.6,43350,95.32087658592849,1558237.4981689453,8926690,5.728709526301081,,41321.6,43350,95.32087658592849,1558237.4981689453,8926690,5.728709526301081,,,,
SDG&E/HUSKY,KINGSGATE,GL-208,4196.1,18297,22.933267748811282,159534.95559196474,1005922,6.305339141929501,,4196.1,18297,22.933267748811282,159534.95559196474,1005922,6.305339141929501,,,,
SELKIRK,IROQUOIS,GL-157,12885,19545,65.9247889485802,484089.44606781006,3730510.59,7.706242349017126,,12885,19545,65.9247889485802,484089.44606781006,3730510.59,7.706242349017126,,,,
SELKIRK/IM.OIL,IROQUOIS,GL-193,16124.9,16146,99.86931747801312,605812.488079071,3337877.26,5.509753142567008,,16124.9,16146,99.86931747801312,605812.488079071,3337877.26,5.509753142567008,,,,
SELKIRK/PANCDN,IROQUOIS,GL-194,16124.9,16146,99.86931747801312,605812.488079071,3371857.77,5.5658439473434935,,16124.9,16146,99.86931747801312,605812.488079071,3371857.77,5.5658439473434935,,,,
SELKRK/PROMARK,IROQUOIS,GL-192,14355.2,14370,99.89700765483647,539324.8596191406,2903726.4,5.384002513903305,,14355.2,14370,99.89700765483647,539324.8596191406,2903726.4,5.384002513903305,,,,
SITHE/INDEPEND,CHIPPAWA,GL-219,23802,24150,98.55900621118012,899001.5508956909,4973984.07,5.53278697355342,,23802,24150,98.55900621118012,899001.5508956909,4973984.07,5.53278697355342,,,,
ST.LAWRENCE,CORNWALL,GL-264,7355,15954,46.10129121223518,277136.4022445679,2482707,8.958429783645153,,7355,15954,46.10129121223518,277136.4022445679,2482707,8.958429783645153,,,,
TALISMAN,HUNTINGDON,GL-265,2241,2241,100,85897.53410339355,349926,4.073760715631248,,2241,2241,100,85897.53410339355,349926,4.073760715631248,,,,
TALISMAN,HUNTINGDON,GL-266,2032.7,2367,85.87663709336714,77913.39472198486,317405,4.073818130150574,,2032.7,2367,85.87663709336714,77913.39472198486,317405,4.073818130150574,,,,
TCGS/CNSTS/TMC,NIAGARA FALLS,GL-137,41129.8,41133,99.99222035834975,1552649.95,11846731,7.6300076524009794,,41129.8,41133,99.99222035834975,1552649.95,11846731,7.6300076524009794,,,,
TCPL,EMERSON,GL-122,12747,25494,50,480306.9638900757,1089665,2.2686845744951216,,12747,25494,50,480306.9638900757,1089665,2.2686845744951216,,,,
TCPL,EMERSON,GL-187,34535.6,83550,41.335248354278875,1295085,7297803.98,5.635000003860751,,34535.6,83550,41.335248354278875,1295085,7297803.98,5.635000003860751,,,,
TCPL,NIAGARA FALLS,GL-110,21246,21246,100,802036.5,4360815,5.437177734429792,,21246,21246,100,802036.5,4360815,5.437177734429792,,,,
TCPL,NIAGARA FALLS,GL-83,68414.6,78609,87.03151038685138,2582651.15,18114835,7.014046399568907,,68414.6,78609,87.03151038685138,2582651.15,18114835,7.014046399568907,,,,
TRSCDA GAS MKT,EMERSON,GL-141,12765,12747,100.14120969639914,480985.20389556885,3219317,6.693172625532522,,12765,12747,100.14120969639914,480985.20389556885,3219317,6.693172625532522,,,,
TRSCDA GAS MKT,EMERSON,GL-170,1422.1,8490,16.75029446407538,53584.72843399047,515497,9.620222310821754,,1422.1,8490,16.75029446407538,53584.72843399047,515497,9.620222310821754,,,,
TRSCDA GAS MKT,IROQUOIS,GL-175,43341,43350,99.97923875432527,1633088.8932266235,12086990,7.40130561791941,,43341,43350,99.97923875432527,1633088.8932266235,12086990,7.40130561791941,,,,
TRSCDA GAS MKT,NIAGARA FALLS,GL-163,8499,8490,100.10600706713781,320837.25,2094691,6.528827310419847,,8499,8490,100.10600706713781,320837.25,2094691,6.528827310419847,,,,
TRSCDA GAS MKT,PHILIPSBURG,GL-172,9441,27180,34.735099337748345,355736.88288116455,2371115,6.665361715647801,,9441,27180,34.735099337748345,355736.88288116455,2371115,6.665361715647801,,,,
VERMONT GAS,PHILIPSBURG,GL-289,6797.6,6798,99.99411591644602,256133.5700744629,2049580.59,8.001999071828607,,6797.6,6798,99.99411591644602,256133.5700744629,2049580.59,8.001999071828607,,,,
WASCANA ENERGY,NIAGARA FALLS,GL-229,22191.2,21246,104.4488374282218,837717.8,7668899,9.15451360828193,,22191.2,21246,104.4488374282218,837717.8,7668899,9.15451360828193,,,,
WASCANA/ROCK,PHILIPSBURG,GL-290,1836,1836,100,69180.48056030273,519866,7.5146341249660304,,1836,1836,100,69180.48056030273,519866,7.5146341249660304,,,,
AEC MARKETING,KINGSGATE,GO-98-99,58868.9,0,0,2231131.399826813,,,,58868.9,0,0,2231131.399826813,,,,,,
AEC MARKETING,MONCHY,GO-98-99,89030,0,0,3364443.7815093994,,,,89030,0,0,3364443.7815093994,,,,,,
ALCOA,CORNWALL,GO-28-00,4684.2,0,0,176547.49156723023,,,,4684.2,0,0,176547.49156723023,,,,,,
ALCOA,MONCHY,GO-28-00,8612.7,0,0,325387.7954864502,,,,8612.7,0,0,325387.7954864502,,,,,,
ALLIANCE PIPELINE,ELMORE (ALLIANCE),GO-4-00,522825.5,0,0,20337912.747768402,,,,522825.5,0,0,20337912.747768402,,,,,,
AMOCO,EMERSON,GO-91-99,70996.7,0,0,2683675.2058338164,,,,70996.7,0,0,2683675.2058338164,,,,,,
AMOCO,HUNTINGDON,GO-91-99,48832.2,0,0,1844264.1318592073,,,,48832.2,0,0,1844264.1318592073,,,,,,
AMOCO,IROQUOIS,GO-91-99,496.2,0,0,18756.359621429445,,,,496.2,0,0,18756.359621429445,,,,,,
AMOCO,KINGSGATE,GO-91-99,50996.5,0,0,1927667.6610927582,,,,50996.5,0,0,1927667.6610927582,,,,,,
AMOCO,MONCHY,GO-91-99,418.5,0,0,15834.210021972656,,,,418.5,0,0,15834.210021972656,,,,,,
AMOCO,SPRAGUE,GO-91-99,10565.2,0,0,395138.49612121587,,,,10565.2,0,0,395138.49612121587,,,,,,
AMOCO,ST CLAIR,GO-91-99,2008.9,0,0,75835.09904708862,,,,2008.9,0,0,75835.09904708862,,,,,,
AMOCO,ST STEPHEN (M&NE),GO-91-99,32498.2,0,0,1228431.935205841,,,,32498.2,0,0,1228431.935205841,,,,,,
ANADARKO CDA,EMERSON,GO-82-99,8579.8,0,0,323458.4665458679,,,,8579.8,0,0,323458.4665458679,,,,,,
ANDROSCOGGIN,EAST HEREFORD,GO-68-99,6311.5,0,0,236744.3544063568,,,,6311.5,0,0,236744.3544063568,,,,,,
ANDROSCOGGIN,IROQUOIS,GO-68-99,1716.8,0,0,64362.83488159179,,,,1716.8,0,0,64362.83488159179,,,,,,
ANDROSCOGGIN,NIAGARA FALLS,GO-68-99,665.2,0,0,25004.868101501466,,,,665.2,0,0,25004.868101501466,,,,,,
ANE,CHIPPAWA,GO-30-99,8499,0,0,320837.25,,,,8499,0,0,320837.25,,,,,,
APACHE,KINGSGATE,GO-27-99,9895.9,0,0,375054.62509994506,,,,9895.9,0,0,375054.62509994506,,,,,,
AQUILA CANADA,KINGSGATE,GO-67-00,1286.21,0,0,48747.36096260071,,,,1286.21,0,0,48747.36096260071,,,,,,
AQUILA CANADA,MONCHY,GO-67-00,8517.86,0,0,321549.215,,,,8517.86,0,0,321549.215,,,,,,
AQUILA CANADA,NIAGARA FALLS,GO-67-00,4315.87,0,0,162233.55395854948,,,,4315.87,0,0,162233.55395854948,,,,,,
AVISTA CORP,KINGSGATE,GO-41-00,98382,0,0,3718839.5249404907,,,,98382,0,0,3718839.5249404907,,,,,,
AVISTA ENERGY,HUNTINGDON,GO-57-99,31934.1,0,0,1210302.4387275695,,,,31934.1,0,0,1210302.4387275695,,,,,,
AVISTA ENERGY,KINGSGATE,GO-57-99,21654.6,0,0,820709.3730422973,,,,21654.6,0,0,820709.3730422973,,,,,,
B.C. GAS,HUNTINGDON,GO-37-99,3012.3,0,0,119648.55967712402,,,,3012.3,0,0,119648.55967712402,,,,,,
B.C. GAS,HUNTINGDON,GO-91-00,17.2,0,0,683.1840209960938,,,,17.2,0,0,683.1840209960938,,,,,,
