col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57
2000-07-01 00:00:00,7281,,10858,619,18758,9682,2935,66,,12683,11393,770,3400,971,584,531,881,18530,49968,730,52,1109,80,1971,,,,,,733,0,,408,44962,,900,47003,48975,8011,52,11966,699,20728,9682,2935,66,,12683,12127,770,3400,1379,45546,531,1781,65534,98943
2000-08-01 00:00:00,55849,1100,6071,1811,64831,5927,3385,69,150,9531,1465,0,67,2418,1640,2658,89,8337,82698,0,0,678,0,678,,,,95,95,1973,0,,864,3122,241,0,6200,6972,55849,1100,6749,1811,65509,5927,3385,69,245,9626,3438,0,67,3282,4762,2899,89,14537,89670
2000-09-01 00:00:00,31803,1200,22046,330,55379,7072,9929,1139,430,18570,3985,537,0,300,1257,649,463,7191,81139,524,3798,742,0,5064,,,,0,0,1270,0,,590,1043,0,385,3288,8354,32327,4998,22789,330,60444,7072,9929,1139,430,18570,5255,537,0,890,2300,649,848,10479,89493
2000-10-01 00:00:00,14223,206,3883,820,19132,7577,9269,0,516,17362,23795,450,6774,735,975,2201,162,35092,71585,60,0,4131,0,4191,,,,0,0,1378,0,348,5774,11489,0,11163,30152,34342,14283,206,8014,820,23323,7577,9269,0,516,17362,25173,450,7122,6509,12464,2201,11325,65244,105927
2000-11-01 00:00:00,13164,800,9338,843,24145,5444,6873,2860,89,15266,4697,523,0,80,1280,4450,1961,12991,52401,0,0,559,0,559,,,,0,0,3782,0,0,0,1714,0,5513,11009,11567,13164,800,9897,843,24704,5444,6873,2860,89,15266,8479,523,0,80,2994,4450,7474,24000,63969
2000-12-01 00:00:00,8089,0,4610,0,12699,6137,4185,1766,0,12088,1337,982,0,249,703,2629,1308,7208,31994,125,0,2661,0,2786,2300,,,0,2300,5960,0,0,601,0,0,173,6734,11821,8214,0,7271,0,15485,8437,4185,1766,0,14388,7297,982,0,850,703,2629,1482,13943,43815
2001-01-01 00:00:00,8617,0,6868,732,16217,4815,7597,0,80,12492,6070,462,6433,1784,4085,1582,999,21415,50122,0,0,81,0,81,0,,,0,0,2304,0,0,2718,4631,0,4087,13740,13820,8617,0,6949,732,16298,4815,7597,0,80,12492,8374,462,6433,4502,8715,1582,5086,35154,63942
2001-02-01 00:00:00,8392,0,2555,814,11761,2010,2320,2919,110,7359,697,0,106,948,2916,1302,890,6859,25979,0,350,4385,0,4735,0,408,,346,754,2280,0,123,5944,2621,0,3220,14188,19677,8392,350,6941,814,16497,2010,2728,2919,456,8113,2977,0,229,6892,5537,1302,4110,21047,45656
2001-03-01 00:00:00,21866,76,20122,470,42534,4411,6491,1967,165,13034,1752,0,12500,1900,50815,485,455,67907,123473,0,0,15668,0,15668,0,0,204,0,204,606,0,0,102,407,0,187,1302,17173,21866,76,35789,470,58201,4411,6491,2171,165,13238,2358,0,12500,2002,51222,485,642,69209,140646
2001-04-01 00:00:00,6356,5000,203040,124,214520,2845,10282,224,269,13620,29849,870,4006,3558,1194,55300,1572,96349,324487,0,0,1228,0,1228,81,1156,0,0,1237,6150,0,0,369,1589,0,4688,12796,15262,6356,5000,204268,124,215748,2926,11438,224,269,14857,35999,870,4006,3927,2784,55300,6260,109146,339749
2001-05-01 00:00:00,15437,2000,3992,90,21519,12865,3393,3412,1386,21056,9865,100,1300,6480,4220,7527,15455,44947,87521,0,457,6170,615,7242,0,0,0,0,0,24065,0,0,646,13046,0,6381,44138,51378,15437,2457,10163,705,28762,12865,3393,3412,1386,21056,33930,100,1300,7126,17266,7527,21836,89085,138899
2001-06-01 00:00:00,18317,55,17898,0,36270,5034,4524,1568,1501,12627,3350,589,0,2900,2002,215,317,9373,58270,0,0,4781,0,4781,0,0,0,76,76,1798,0,0,827,257,0,317,3199,8057,18317,55,22680,0,41052,5034,4524,1568,1577,12703,5147,589,0,3727,2259,215,634,12571,66327
2001-07-01 00:00:00,25360,0,6274,341,31975,8753,1950,280,145,11127,176,678,449,209,3025,2119,83,6739,49841,700,110,2560,0,3370,0,125,0,0,125,8005,0,0,395,2339,386,845,11970,15466,26060,110,8835,341,35345,8753,2075,280,145,11252,8181,678,449,604,5364,2505,928,18710,65307
2001-08-01 00:00:00,14816,0,26138,1145,42099,6314,7606,1482,262,15664,11655,309,1287,80,5789,656,2102,21879,79642,0,0,1243,0,1243,0,0,0,0,0,6358,0,0,1361,2616,0,2305,12639,13881,14816,0,27381,1145,43342,6314,7606,1482,262,15664,18012,309,1287,1441,8405,656,4407,34518,93523
2001-09-01 00:00:00,7247,0,5313,651,13211,6147,4459,300,186,11092,6179,1100,3580,2159,636,11759,61,25474,49778,0,0,168,0,168,219,0,477,421,1117,1488,0,0,771,6483,0,350,9092,10377,7247,0,5481,651,13379,6366,4459,777,607,12209,7667,1100,3580,2931,7119,11759,411,34566,60155
2001-10-01 00:00:00,11927,72,4821,0,16820,10426,5982,576,455,17438,10105,594,440,1360,1433,1063,200,15195,49454,495,0,720,0,1215,3700,160,0,0,3860,38323,0,0,301,11638,0,163,50424,55500,12423,72,5541,0,18036,14126,6142,576,455,21298,48428,594,440,1661,13071,1063,363,65620,104954
2001-11-01 00:00:00,12484,10247,6977,0,29707,8682,21411,873,399,31365,2662,3972,0,3528,2170,605,77,13015,74087,0,0,21777,0,21777,0,250,0,0,250,1133,0,0,2211,130,0,491,3964,25992,12484,10247,28754,0,51484,8682,21661,873,399,31615,3795,3972,0,5739,2300,605,567,16979,100078
2001-12-01 00:00:00,4726,0,8308,0,13034,2099,4428,94,120,6740,8441,0,1500,180,22602,607,113,33442,53216,0,0,1745,0,1745,0,241,0,0,241,1118,0,0,228,0,0,616,1963,3949,4726,0,10053,0,14779,2099,4669,94,120,6981,9559,0,1500,408,22602,607,729,35405,57165
2002-01-01 00:00:00,17728,0,14126,328,32182,1783,5346,319,719,8166,2574,245,1900,3343,395,2483,0,10942,51290,0,0,456,0,456,0,0,0,0,0,14606,0,0,1602,19055,0,1347,36610,37066,17728,0,14582,328,32638,1783,5346,319,719,8166,17181,245,1900,4945,19450,2483,1347,47552,88356
2002-02-01 00:00:00,9492,595,8992,785,19864,7718,4422,768,10585,23494,1402,290,7419,198,845,10294,633,21081,64439,150,0,1169,0,1319,0,58,0,0,58,256,0,0,0,747,0,230,1233,2610,9642,595,10161,785,21183,7718,4481,768,10585,23552,1658,290,7419,198,1592,10294,863,22314,67049
2002-03-01 00:00:00,8636,0,8352,0,16987,2206,6452,248,250,9156,3936,105,5600,672,993,903,1253,13462,39605,328,219,1003,0,1550,0,0,0,150,150,3896,0,0,1111,139,150,987,6282,7982,8964,219,9355,0,18537,2206,6452,248,400,9306,7832,105,5600,1783,1131,1053,2240,19745,47588
2002-04-01 00:00:00,10968,536,15503,782,27789,1372,12596,7860,154,21981,1140,0,4811,4497,1275,2048,491,14262,64033,0,0,833,0,833,0,2797,0,0,2797,23162,0,3130,0,0,0,1284,27577,31206,10968,536,16336,782,28622,1372,15393,7860,154,24778,24302,0,7941,4497,1275,2048,1775,41839,95239
2002-05-01 00:00:00,19151,1750,19243,300,40445,6544,7343,14217,904,29008,9774,1776,0,170,12134,18324,277,42455,111907,235,0,725,0,960,50,0,0,0,50,1369,0,0,1226,6386,0,4803,13784,14795,19387,1750,19968,300,41405,6594,7343,14217,904,29058,11143,1776,0,1396,18520,18324,5079,56239,126702
2002-06-01 00:00:00,11381,150,10584,0,22115,5959,2389,7802,678,16829,2920,310,100,200,9723,1032,568,14854,53798,0,0,2491,0,2491,0,0,0,1014,1014,15237,0,0,305,3303,0,2753,21599,25104,11381,150,13076,0,24606,5959,2389,7802,1692,17843,18157,310,100,505,13027,1032,3321,36453,78902
2002-07-01 00:00:00,78141,250,7581,1620,87592,3751,3750,4908,784,13193,6443,1020,3607,5743,3192,1880,275,22160,122945,0,0,6310,0,6310,0,0,16737,0,16737,4987,0,0,908,793,0,161,6849,29896,78141,250,13891,1620,93902,3751,3750,21645,784,29931,11430,1020,3607,6651,3985,1880,435,29008,152841
2002-08-01 00:00:00,31267,0,155512,356,187135,7649,3478,650,472,12248,5457,1755,9003,3969,117572,1492,597,139844,339228,285,0,453,0,738,0,0,0,0,0,445,0,4200,312,652,0,1490,7098,7836,31552,0,155965,356,187873,7649,3478,650,472,12248,5901,1755,13203,4281,118224,1492,2087,146942,347064
2002-09-01 00:00:00,23398,0,6631,300,30329,7222,9012,4881,665,21780,4533,481,1296,590,1084,1777,741,10502,62611,0,0,318,3500,3818,0,0,0,0,0,3358,0,795,928,0,0,162,5244,9062,23398,0,6949,3800,34147,7222,9012,4881,665,21780,7891,481,2091,1518,1084,1777,903,15746,71673
2002-10-01 00:00:00,19753,0,16790,976,37519,17770,4087,769,216,22841,6420,0,80,2777,12566,5413,486,27742,88102,160,0,511,0,671,0,0,1314,0,1314,1470,0,0,1954,471,0,586,4482,6467,19913,0,17302,976,38190,17770,4087,2082,216,24155,7890,0,80,4731,13037,5413,1072,32224,94569
2002-11-01 00:00:00,10950,1050,15239,0,27239,12743,2885,5680,652,21960,3188,1650,2561,776,3736,661,589,13159,62358,0,0,1814,0,1814,0,0,0,0,0,705,0,0,4127,5450,521,646,11449,13263,10950,1050,17053,0,29054,12743,2885,5680,652,21960,3893,1650,2561,4902,9186,1181,1234,24608,75622
2002-12-01 00:00:00,9923,66,10721,1200,21910,3921,12630,317,649,17518,11368,1400,2869,0,1393,372,534,17936,57364,360,0,1158,0,1518,0,0,0,0,0,5553,0,0,785,3024,330,3206,12898,14416,10283,66,11879,1200,23428,3921,12630,317,649,17518,16922,1400,2869,785,4417,702,3740,30834,71780
2003-01-01 00:00:00,45829,650,39969,0,86448,35438,7426,323,485,43673,2298,244,1560,6513,2221,10541,0,23376,153497,150,0,2648,20000,22798,220,0,0,84,304,30424,0,0,11207,281,525,1484,43921,67022,45979,650,42617,20000,109246,35658,7426,323,569,43976,32722,244,1560,17720,2502,11065,1484,67297,220520
2003-02-01 00:00:00,10680,0,4014,200,14894,11342,8118,210,594,20265,2218,120,935,60,1107,300,1236,5977,41136,50,55,2228,51,2384,0,85,0,0,85,50,0,0,96,5830,0,676,6651,9120,10730,55,6242,251,17278,11342,8203,210,594,20350,2268,120,935,156,6937,300,1912,12628,50256
2003-03-01 00:00:00,18179,1417,4469,180,24245,2308,3141,499,1164,7112,4215,0,4690,818,3177,3865,690,17456,48812,0,0,11842,0,11842,0,50,0,68,118,13965,0,0,915,1425,0,11415,27719,39679,18179,1417,16310,180,36086,2308,3191,499,1232,7230,18180,0,4690,1733,4602,3865,12105,45175,88491
2003-04-01 00:00:00,5649,1100,18481,440,25670,5893,5360,4795,530,16577,9006,180,7940,1690,1015,21449,1459,42739,84986,756,0,2677,140,3573,0,629,0,0,629,29775,0,0,28750,0,0,50,58575,62776,6404,1100,21158,580,29242,5893,5989,4795,530,17206,38781,180,7940,30440,1015,21449,1509,101314,147762
2003-05-01 00:00:00,19510,0,4780,294,24584,5233,5052,1539,761,12584,14561,416,4158,1965,391,1472,2048,25010,62178,0,0,4789,0,4789,0,0,0,0,0,23746,0,0,2748,550,0,783,27828,32617,19510,0,9569,294,29373,5233,5052,1539,761,12584,38307,416,4158,4713,941,1472,2831,52838,94795
2003-06-01 00:00:00,35722,50,36692,578,73043,6476,4950,5187,13532,30145,11406,510,10070,170,517,5666,585,28924,132112,0,0,1586,0,1586,0,65,0,0,65,4086,0,0,2212,1239,0,100,7636,9287,35722,50,38278,578,74628,6476,5015,5187,13532,30210,15492,510,10070,2382,1756,5666,685,36561,141399
2003-07-01 00:00:00,28692,150,9197,85,38124,2965,4658,1269,725,9617,13122,1397,13615,500,720,8767,302,38423,86165,0,0,1832,0,1832,77,60,0,0,137,9604,0,654,876,9797,197,938,22066,24035,28692,150,11030,85,39957,3042,4718,1269,725,9754,22726,1397,14269,1376,10517,8965,1240,60489,110200
2003-08-01 00:00:00,15738,0,7966,1564,25268,3836,4621,5974,1003,15433,4314,350,10971,12732,590,975,2396,32328,73028,120,0,663,0,783,0,0,0,0,0,6352,0,1330,2362,0,0,347,10391,11174,15858,0,8629,1564,26051,3836,4621,5974,1003,15433,10666,350,12301,15094,590,975,2743,42719,84202
2003-09-01 00:00:00,16853,237,31141,250,48482,16969,6475,377,715,24536,2980,60,1470,2710,850,40200,426,48696,121714,0,0,31433,0,31433,0,0,0,0,0,11681,0,0,1341,0,1828,943,15792,47225,16853,237,62574,250,79915,16969,6475,377,715,24536,14661,60,1470,4051,850,42028,1369,64489,168939
2003-10-01 00:00:00,22580,0,4750,190,27519,4140,6004,2169,567,12880,4650,70,591,500,507,833,1597,8749,49149,0,0,1319,0,1319,60,944,0,51,1055,5588,0,0,1389,2014,0,0,8991,11365,22580,0,6069,190,28838,4200,6948,2169,618,13935,10238,70,591,1889,2522,833,1597,17741,60514
2003-11-01 00:00:00,32628,0,11228,185,44041,6059,14196,617,1663,22535,1115,1042,25719,539,1478,18470,1313,49677,116253,600,0,1787,0,2387,430,0,0,0,430,3036,0,0,365,4177,0,313,7891,10709,33228,0,13015,185,46428,6489,14196,617,1663,22965,4151,1042,25719,904,5655,18470,1626,57569,126962
2003-12-01 00:00:00,24866,0,8853,3501,37219,5336,82924,4463,3308,96030,3455,50,200,1245,1040,1070,302,7362,140611,0,0,9495,0,9495,0,367,0,0,367,17622,0,3564,43893,1546,2864,718,70206,80068,24866,0,18348,3501,46714,5336,83291,4463,3308,96397,21076,50,3764,45138,2586,3934,1020,77568,220680
2004-01-01 00:00:00,19159,0,24110,0,43269,14584,6720,525,2406,24235,11279,0,10230,1485,2983,3700,1119,30795,98299,500,0,319,0,819,0,428,0,0,428,4210,0,1646,205,4237,0,190,10489,11736,19659,0,24429,0,44089,14584,7147,525,2406,24662,15489,0,11876,1690,7220,3700,1309,41284,110035
2004-02-01 00:00:00,32268,60,14050,898,47277,9490,7734,62,525,17811,5495,290,1800,310,2666,948,750,12260,77347,1448,6639,447,0,8535,0,0,412,0,412,272,0,0,2329,144,0,952,3696,12643,33717,6699,14498,898,55812,9490,7734,474,525,18223,5768,290,1800,2639,2810,948,1702,15956,89991
2004-03-01 00:00:00,8230,10368,6839,0,25436,5005,8143,1090,1990,16228,650,825,0,300,753,6927,1385,10840,52505,0,238,5388,0,5626,2691,0,0,0,2691,18502,0,0,1314,5660,0,14543,40019,48336,8230,10606,12226,0,31062,7696,8143,1090,1990,18919,19152,825,0,1614,6414,6927,15928,50860,100840
2004-04-01 00:00:00,18346,3556,13989,372,36263,7504,6236,9788,5285,28812,430,60,7000,1290,2355,172,2503,13810,78885,140,0,18380,0,18520,150,141,0,0,291,6048,0,0,7474,3932,1100,6634,25189,44000,18486,3556,32369,372,54783,7655,6377,9788,5285,29104,6478,60,7000,8764,6287,1272,9137,38998,122885
2004-05-01 00:00:00,20727,10571,35629,479,67406,8707,5826,771,2160,17464,9882,329,6430,51042,2950,1947,1635,74216,159086,0,0,1127,4950,6077,0,0,0,0,0,32816,0,0,970,1749,0,80,35614,41692,20727,10571,36757,5429,73483,8707,5826,771,2160,17464,42697,329,6430,52013,4699,1947,1715,109830,200777
2004-06-01 00:00:00,10383,0,11390,180,21953,3224,24452,358,135,28168,4517,588,4359,28619,5365,3464,815,47727,97848,0,863,4586,870,6318,0,142,0,750,892,18505,0,0,3189,4355,2686,6761,35496,42706,10383,863,15975,1050,28271,3224,24594,358,885,29060,23023,588,4359,31809,9719,6150,7576,83223,140554
2004-07-01 00:00:00,26201,0,15679,887,42767,7701,10528,80,11891,30200,8684,1862,1500,496,566,19442,2007,34556,107523,0,17421,646,0,18067,130,1571,0,0,1702,6982,0,1669,0,941,0,1076,10669,30437,26201,17421,16325,887,60833,7832,12099,80,11891,31901,15666,1862,3169,496,1507,19442,3083,45225,137960
2004-08-01 00:00:00,34526,0,8910,1049,44485,18434,7808,620,602,27464,8593,808,7452,500,3093,14170,1857,36474,108423,0,1753,5013,0,6767,1943,77,0,0,2020,16911,0,0,0,0,0,6473,23383,32170,34526,1753,13923,1049,51252,20377,7884,620,602,29484,25504,808,7452,500,3093,14170,8330,59857,140593
2004-09-01 00:00:00,51270,95,8200,200,59765,11524,16249,1636,6578,35987,5906,2500,1827,0,660,2270,1041,14204,109955,0,317,1346,0,1662,0,0,0,0,0,23974,0,0,0,3000,0,2356,29331,30993,51270,411,9546,200,61427,11524,16249,1636,6578,35987,29880,2500,1827,0,3660,2270,3397,43534,140948
2004-10-01 00:00:00,17845,0,7694,554,26093,7645,8173,11471,1073,28362,2741,0,1909,220,3913,8410,3226,20418,74873,120,0,11346,0,11466,0,0,0,0,0,4582,0,0,158,12022,0,6856,23617,35083,17966,0,19039,554,37559,7645,8173,11471,1073,28362,7323,0,1909,378,15935,8410,10082,44036,109956
