Month,"Natural Gas in Underground Storage, End of Period, Base Gas (Billion Cubic Feet)","Natural Gas in Underground Storage, End of Period, Working Gas (Billion Cubic Feet)","Natural Gas in Underground Storage, End of Period, Total (Billion Cubic Feet)","Change in Working Gas From Same Period Previous Year, Volume (Billion Cubic Feet)","Change in Working Gas From Same Period Previous Year, Percent (Percent)","Natural Gas Storage Activity, Withdrawals (Billion Cubic Feet)","Natural Gas Storage Activity, Injections (Billion Cubic Feet)","Natural Gas Storage Activity, Net (Billion Cubic Feet)"
28611.0,3379.0,1491.0,4870.0,-240.0,-13.9,30.0,285.0,-255.0
28642.0,3381.0,1836.0,5217.0,-194.0,-9.6,18.0,357.0,-339.0
28672.0,3386.0,2164.0,5550.0,-184.0,-7.8,16.0,341.0,-325.0
28703.0,3403.0,2501.0,5904.0,-98.0,-3.8,12.0,351.0,-339.0
28734.0,3411.0,2813.0,6224.0,-11.0,-0.4,9.0,322.0,-313.0
28764.0,3444.0,2958.0,6402.0,29.0,1.0,28.0,204.0,-176.0
28795.0,3425.0,2927.0,6352.0,106.0,3.8,134.0,80.0,54.0
28825.0,3473.0,2547.0,6020.0,72.0,2.9,381.0,32.0,349.0
28856.0,3458.0,1890.0,5348.0,71.0,3.9,675.0,20.0,655.0
28887.0,3457.0,1349.0,4806.0,39.0,3.0,568.0,22.0,546.0
28915.0,3459.0,1236.0,4695.0,113.0,10.1,206.0,90.0,116.0
28946.0,3427.0,1335.0,4762.0,104.0,8.4,73.0,175.0,-102.0
28976.0,3438.0,1619.0,5057.0,128.0,8.6,13.0,297.0,-284.0
29007.0,3449.0,1950.0,5399.0,114.0,6.2,8.0,337.0,-329.0
29037.0,3459.0,2284.0,5743.0,120.0,5.5,19.0,348.0,-329.0
29068.0,3467.0,2628.0,6095.0,127.0,5.1,12.0,348.0,-336.0
29099.0,3481.0,2920.0,6401.0,107.0,3.8,14.0,314.0,-300.0
29129.0,3484.0,3079.0,6563.0,121.0,4.1,34.0,189.0,-155.0
29160.0,3496.0,3045.0,6541.0,118.0,4.0,132.0,104.0,28.0
29190.0,3553.0,2753.0,6306.0,207.0,8.1,293.0,51.0,242.0
29221.0,3549.0,2324.0,5873.0,434.0,23.0,424.0,21.0,403.0
29252.0,3550.0,1852.0,5402.0,503.0,37.3,451.0,24.0,427.0
29281.0,3556.0,1594.0,5150.0,358.0,29.0,283.0,59.0,224.0
29312.0,3584.0,1691.0,5275.0,356.0,26.7,65.0,167.0,-102.0
29342.0,3590.0,1998.0,5588.0,379.0,23.4,9.0,298.0,-289.0
29373.0,3596.0,2299.0,5895.0,349.0,17.9,14.0,293.0,-279.0
29403.0,3600.0,2587.0,6187.0,303.0,13.3,19.0,286.0,-267.0
29434.0,3608.0,2854.0,6462.0,226.0,8.6,29.0,273.0,-244.0
29465.0,3613.0,3099.0,6712.0,179.0,6.1,11.0,240.0,-229.0
29495.0,3619.0,3187.0,6806.0,108.0,3.5,47.0,138.0,-91.0
29526.0,3637.0,3026.0,6663.0,-19.0,-0.6,188.0,65.0,123.0
29556.0,3642.0,2655.0,6297.0,-99.0,-3.6,371.0,34.0,337.0
29587.0,3642.0,2152.0,5794.0,-172.0,-7.4,558.0,37.0,521.0
29618.0,3648.0,1824.0,5472.0,-28.0,-1.5,376.0,59.0,317.0
29646.0,3654.0,1631.0,5285.0,37.0,2.3,234.0,55.0,179.0
29677.0,3670.0,1764.0,5434.0,73.0,4.3,55.0,208.0,-153.0
29707.0,3684.0,1977.0,5661.0,-21.0,-1.1,26.0,255.0,-229.0
29738.0,3681.0,2252.0,5933.0,-47.0,-2.0,27.0,314.0,-287.0
29768.0,3699.0,2558.0,6257.0,-29.0,-1.1,26.0,335.0,-309.0
29799.0,3713.0,2882.0,6595.0,28.0,1.0,15.0,361.0,-346.0
29830.0,3720.0,3152.0,6872.0,53.0,1.7,9.0,287.0,-278.0
29860.0,3726.0,3248.0,6974.0,61.0,1.9,50.0,155.0,-105.0
29891.0,3731.0,3201.0,6932.0,175.0,5.8,124.0,80.0,44.0
29921.0,3752.0,2817.0,6569.0,162.0,6.1,387.0,34.0,353.0
29952.0,3751.0,2182.0,5933.0,30.0,1.4,673.0,24.0,649.0
29983.0,3750.0,1787.0,5537.0,-37.0,-2.0,446.0,50.0,396.0
30011.0,3766.0,1604.0,5370.0,-27.0,-1.7,265.0,88.0,177.0
30042.0,3778.0,1676.0,5454.0,-88.0,-5.0,108.0,180.0,-72.0
30072.0,3780.0,2034.0,5814.0,57.0,2.9,11.0,382.0,-371.0
30103.0,3778.0,2369.0,6147.0,117.0,5.2,11.0,353.0,-342.0
30133.0,3780.0,2704.0,6484.0,146.0,5.7,12.0,351.0,-339.0
30164.0,3781.0,2998.0,6779.0,116.0,4.0,35.0,332.0,-297.0
30195.0,3782.0,3251.0,7033.0,99.0,3.1,20.0,277.0,-257.0
30225.0,3785.0,3364.0,7149.0,116.0,3.6,60.0,191.0,-131.0
30256.0,3772.0,3309.0,7081.0,108.0,3.4,163.0,83.0,80.0
30286.0,3808.0,3071.0,6879.0,255.0,9.0,289.0,86.0,203.0
