Dimension,,Category,Under 19 Total 2002/03 Number,% of Total,2003/04 Number,% of Total,2004/05 Number,% of Total,2005/06 Number,% of Total,2006/07 Number,% of Total,2007/08 Number,% of Total,2008/09 Number,% of Total,2009/10 Number,% of Total,2010/11 Number,% of Total,2011/12 Number,% of Total,2012/13 Number,% of Total,2013/14 Number,% of Total,2014/15 Number,% of Total,Full Level 2  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,Full Level 3  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,English and maths  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,19 and over Total 2002/03 Number,% of Total,2003/04 Number,% of Total,2004/05 Number,% of Total,2005/06 Number,% of Total,2006/07 Number,% of Total,2007/08 Number,% of Total,2008/09 Number,% of Total,2009/10 Number,% of Total,2010/11 Number,% of Total,2011/12 Number,% of Total,2012/13 Number,% of Total,2013/14 Number,% of Total,2014/15 Number,% of Total,Full Level 2  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,Full Level 3  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,English and maths  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,All ages Total 2002/03 Number,% of Total,2003/04 Number,% of Total,2004/05 Number,% of Total,2005/06 Number,% of Total,2006/07 Number,% of Total,2007/08 Number,% of Total,2008/09 Number,% of Total,2009/10 Number,% of Total,2010/11 Number,% of Total,2011/12 Number,% of Total,2012/13 Number,% of Total,2013/14 Number,% of Total,2014/15 Number,% of Total,Full Level 2  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,20/13/14,2014/15,Full Level 3  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,English and maths  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15
Gender,,Female,"473,780",48.5%,"499,420",48.8%,"517,340",48.7%,"496,230",48.3%,"491,030",47.8%,"501,950",47.5%,"503,310",47.2%,"512,440",46.8%,"516,320",46.9%,"498,750",46.7%,"487,040",46.8%,"463,270",47.1%,"451,900",46.9%,"125,000","141,400","142,340","141,510","141,100","140,120","135,840","145,600","153,000","156,470","151,980","141,320","133,110","135,170","154,540","162,180","168,530","175,420","183,390","190,410","205,630","222,210","220,490","225,340","226,990","224,240","127,770","184,570","223,490","230,300","224,350","224,110","230,590","235,710","229,270","201,080","183,160","177,690","190,930","2,260,110",60.4%,"2,821,380",62.8%,"2,844,940",61.2%,"2,432,950",60.9%,"1,983,820",61.9%,"2,003,410",60.6%,"2,191,890",58.1%,"2,033,770",57.4%,"1,807,390",57.1%,"1,776,940",56.4%,"1,847,310",56.3%,"1,656,910",56.6%,"1,497,650",57.3%,"123,360","154,320","155,040","179,360","245,790","353,100","428,800","450,480","462,170","494,540","494,150","460,010","400,400","111,120","129,590","127,510","153,410","153,490","193,220","251,810","275,290","289,230","290,400","297,390","262,700","245,940","314,390","395,360","546,790","566,790","477,200","486,970","552,690","528,220","570,240","633,290","623,900","557,650","531,320","2,733,890",57.9%,"3,320,800",60.2%,"3,362,280",58.9%,"2,929,180",58.3%,"2,474,850",58.5%,"2,505,360",57.5%,"2,695,200",55.7%,"2,546,210",54.9%,"2,323,710",54.5%,"2,275,690",54.0%,"2,334,360",54.0%,"2,120,180",54.2%,"1,949,550",54.5%,"248,360","295,710","297,380","320,870","386,890","493,220","564,640","596,070","615,180","651,020","646,140","601,330","533,510","246,290","284,130","289,690","321,940","328,910","376,620","442,220","480,920","511,440","510,890","522,720","489,680","470,180","442,170","579,930","770,280","797,100","701,540","711,080","783,280","763,930","799,510","834,370","807,060","735,340","722,250"
,,Male,"502,590",51.5%,"523,040",51.2%,"544,090",51.3%,"530,160",51.7%,"535,160",52.2%,"554,430",52.5%,"562,560",52.8%,"582,570",53.2%,"585,340",53.1%,"568,160",53.3%,"552,600",53.2%,"520,610",52.9%,"511,290",53.1%,"130,860","141,820","145,950","155,410","159,780","162,100","159,510","169,910","177,060","189,530","180,170","169,840","161,100","142,770","156,460","161,020","162,530","168,360","174,400","180,910","192,290","203,590","195,870","219,400","221,820","223,660","132,790","205,920","249,930","267,740","264,130","263,130","274,130","285,760","280,220","254,210","230,050","225,400","248,040","1,466,820",39.2%,"1,593,580",35.4%,"1,656,780",35.6%,"1,434,590",35.9%,"1,192,770",37.2%,"1,300,960",39.4%,"1,579,350",41.9%,"1,506,730",42.6%,"1,355,800",42.9%,"1,372,760",43.6%,"1,433,290",43.7%,"1,272,600",43.4%,"1,116,000",42.7%,"106,020","122,880","124,910","171,040","245,810","386,940","539,760","520,530","520,410","533,570","478,390","403,300","352,930","92,090","101,280","100,920","112,220","114,100","134,910","172,140","193,800","204,780","196,410","197,920","176,600","173,950","206,540","256,050","363,410","390,310","328,100","337,880","392,390","380,930","391,610","449,750","425,700","394,190","374,290","1,969,410",41.7%,"2,116,620",38.4%,"2,200,870",38.5%,"1,964,750",39.1%,"1,727,930",40.8%,"1,855,390",42.5%,"2,141,910",44.3%,"2,089,300",45.1%,"1,941,150",45.5%,"1,940,920",46.0%,"1,985,880",46.0%,"1,793,210",45.8%,"1,627,290",45.5%,"236,880","264,700","270,860","326,450","405,590","549,050","699,270","690,450","697,470","723,100","658,570","573,140","514,040","234,860","257,740","261,950","274,750","282,450","309,320","353,050","386,080","408,370","392,280","417,320","398,420","397,610","339,340","461,980","613,340","658,050","592,240","601,010","666,510","666,690","671,830","703,960","655,750","619,590","622,330"
Learners with Learning Difficulties,,Learning Difficulty,"107,600",11.0%,"132,040",12.9%,"141,750",13.4%,"145,750",14.2%,"155,250",15.1%,"165,570",15.7%,"168,030",15.8%,"182,700",16.7%,"192,690",17.5%,"192,780",18.1%,"193,830",18.6%,"190,610",19.4%,"188,530",19.6%,"27,660","39,060","41,900","43,600","44,910","45,690","45,160","50,610","53,030","55,960","57,170","56,550","54,140","18,040","24,790","26,870","30,690","35,920","38,430","39,730","46,060","54,510","57,740","63,510","66,910","67,990","34,520","54,440","68,620","81,400","85,990","90,600","95,670","105,270","113,340","106,530","102,550","106,940","116,520","264,320",7.1%,"345,050",7.7%,"389,380",8.4%,"365,440",9.1%,"331,420",10.3%,"354,080",10.7%,"387,810",10.3%,"378,160",10.7%,"354,000",11.2%,"370,720",11.8%,"434,670",13.2%,"438,360",15.0%,"418,080",16.0%,"12,090","19,910","22,570","28,140","39,930","57,530","63,140","69,390","71,630","75,760","85,150","88,890","84,970","7,560","11,320","13,290","19,030","21,580","27,500","31,600","36,640","40,280","41,900","45,070","42,630","41,500","71,890","91,540","113,750","118,540","107,230","113,700","120,430","117,980","115,400","127,990","129,950","127,780","129,770","371,920",7.9%,"477,090",8.6%,"531,130",9.3%,"511,190",10.2%,"486,670",11.5%,"519,640",11.9%,"555,840",11.5%,"560,860",12.1%,"546,690",12.8%,"563,500",13.4%,"628,510",14.5%,"628,970",16.1%,"606,600",17.0%,"39,750","58,970","64,470","71,740","84,850","103,210","108,300","120,000","124,670","131,720","142,330","145,440","139,110","25,590","36,120","40,160","49,720","57,500","65,930","71,330","82,700","94,780","99,650","108,570","109,550","109,480","106,410","145,980","182,370","199,940","193,220","204,300","216,100","223,250","228,740","234,530","232,490","234,720","246,280"
and/ or Disabilities,,No Learning Difficulty,"743,060",76.1%,"793,670",77.6%,"831,930",78.4%,"816,590",79.6%,"813,570",79.3%,"839,530",79.5%,"852,210",80.0%,"875,490",80.0%,"878,960",79.8%,"844,570",79.2%,"803,300",77.3%,"747,350",76.0%,"732,780",76.1%,"208,740","229,000","233,890","242,350","246,260","247,450","242,160","257,400","271,150","283,110","264,980","245,020","231,440","224,230","257,110","270,600","279,280","287,900","301,610","316,780","339,290","361,260","348,430","361,490","360,010","358,560","188,150","302,990","374,750","390,440","379,040","377,210","391,450","400,570","384,800","339,020","296,930","281,640","306,760","2,688,240",71.8%,"3,364,560",74.8%,"3,486,690",75.0%,"3,058,060",76.5%,"2,538,040",79.2%,"2,664,640",80.6%,"3,104,720",82.3%,"2,942,580",83.1%,"2,616,490",82.7%,"2,631,230",83.5%,"2,686,160",81.9%,"2,341,710",79.9%,"2,070,670",79.2%,"189,360","231,620","238,540","300,790","425,400","649,050","874,560","881,350","882,530","927,210","861,330","749,670","645,880","171,580","201,180","199,520","230,880","233,470","288,250","379,230","420,880","443,370","435,370","439,050","385,530","365,950","348,160","464,220","691,770","737,950","629,090","654,550","770,680","746,180","794,320","920,240","885,970","792,290","747,010","3,431,300",72.7%,"4,158,220",75.4%,"4,318,620",75.6%,"3,874,650",77.1%,"3,351,610",79.2%,"3,504,170",80.4%,"3,956,930",81.8%,"3,818,080",82.4%,"3,495,450",82.0%,"3,475,800",82.4%,"3,489,450",80.8%,"3,089,060",78.9%,"2,803,440",78.4%,"398,100","460,610","472,430","543,140","671,660","896,500","1,116,720","1,138,750","1,153,680","1,210,320","1,126,320","994,680","877,320","395,810","458,290","470,120","510,150","521,370","589,860","696,000","760,160","804,630","783,800","800,540","745,540","724,510","536,300","767,210","1,066,520","1,128,390","1,008,130","1,031,760","1,162,130","1,146,750","1,179,130","1,259,260","1,182,900","1,073,920","1,053,770"
,,Not Known,"125,710",12.9%,"96,750",9.5%,"87,740",8.3%,"64,050",6.2%,"57,370",5.6%,"51,290",4.9%,"45,620",4.3%,"36,820",3.4%,"30,010",2.7%,"29,560",2.8%,"42,510",4.1%,"45,930",4.7%,"41,880",4.3%,"19,450","15,160","12,500","10,980","9,700","9,090","8,030","7,500","5,880","6,940","10,000","9,600","8,630","35,680","29,090","25,730","21,100","19,950","17,750","14,820","12,570","10,030","10,190","19,740","21,890","21,360","37,900","33,070","30,050","26,200","23,450","19,420","17,600","15,630","11,350","9,740","13,730","14,510","15,690","774,360",20.7%,"705,350",15.7%,"625,660",13.5%,"444,040",11.1%,"307,130",9.6%,"285,650",8.6%,"278,710",7.4%,"219,760",6.2%,"192,700",6.1%,"147,760",4.7%,"159,800",4.9%,"149,560",5.1%,"124,940",4.8%,"27,930","25,670","18,840","21,470","26,270","33,470","30,850","20,270","28,420","25,140","26,060","24,760","22,500","24,070","18,380","15,630","15,720","12,530","12,390","13,110","11,570","10,370","9,530","11,190","11,140","12,440","100,890","95,650","104,680","100,610","68,980","56,610","53,970","44,990","52,120","34,810","33,680","31,780","28,830","900,080",19.1%,"802,110",14.5%,"713,400",12.5%,"508,090",10.1%,"364,500",8.6%,"336,940",7.7%,"324,330",6.7%,"256,570",5.5%,"222,710",5.2%,"177,310",4.2%,"202,310",4.7%,"195,480",5.0%,"166,820",4.7%,"47,380","40,830","31,340","32,450","35,970","42,560","38,880","27,770","34,300","32,080","36,060","34,350","31,130","59,740","47,470","41,360","36,820","32,490","30,140","27,930","24,140","20,400","19,720","30,930","33,030","33,800","138,790","128,720","134,730","126,810","92,430","76,030","71,570","60,630","63,470","44,550","47,410","46,290","44,520"
Ethnicity,Asian or Asian British,Bangladeshi,"10,350",1.1%,"11,540",1.1%,"11,950",1.1%,"11,450",1.1%,"11,840",1.2%,"12,330",1.2%,"12,800",1.2%,"11,950",1.1%,"12,890",1.2%,"13,690",1.3%,"13,270",1.3%,"12,910",1.3%,"13,340",1.4%,"2,060","2,340","2,390","2,270","2,540","2,540","2,850","2,450","2,880","3,520","3,010","3,300","3,370","2,460","2,650","2,930","3,000","3,260","3,520","4,000","3,910","4,750","5,250","5,670","5,720","6,290","3,600","4,770","5,350","5,640","5,870","5,770","6,420","5,960","6,200","5,870","5,260","5,290","6,310","21,480",0.6%,"26,270",0.6%,"29,890",0.6%,"28,770",0.7%,"27,610",0.9%,"31,760",1.0%,"41,310",1.1%,"37,650",1.1%,"36,410",1.2%,"36,810",1.2%,"38,440",1.2%,"35,370",1.2%,"33,070",1.3%,930,"1,240","1,300","1,560","3,370","5,500","9,100","7,910","8,830","9,780","10,460","8,970","7,560",720,870,930,"1,190","1,270","1,760","3,440","2,680","2,810","3,030","3,160","2,880","3,160","11,030","13,110","15,210","15,500","15,880","17,970","21,610","19,360","19,460","18,500","17,870","16,650","16,930","31,830",0.7%,"37,810",0.7%,"41,830",0.7%,"40,220",0.8%,"39,450",0.9%,"44,090",1.0%,"54,110",1.1%,"49,600",1.1%,"49,290",1.2%,"50,500",1.2%,"51,710",1.2%,"48,280",1.2%,"46,410",1.3%,"2,980","3,580","3,680","3,830","5,910","8,040","11,950","10,360","11,720","13,290","13,460","12,280","10,920","3,180","3,520","3,850","4,190","4,520","5,280","7,440","6,590","7,550","8,280","8,820","8,600","9,450","14,630","17,880","20,560","21,130","21,740","23,740","28,030","25,320","25,650","24,370","23,130","21,940","23,240"
,,Chinese,"3,570",*,"3,860",*,"3,770",*,"3,520",*,"3,450",*,"3,460",*,"3,320",*,"3,050",*,"3,000",*,"2,840",*,"2,930",*,"2,800",*,"2,610",*,320,360,350,380,330,340,380,370,400,450,440,410,340,"1,300","1,390","1,400","1,410","1,400","1,490","1,490","1,420","1,460","1,370","1,450","1,430","1,360","1,350","1,710","1,640","1,560","1,440","1,510","1,420","1,270","1,170","1,050","1,090","1,030","1,080","18,110",*,"22,940",0.5%,"23,860",0.5%,"21,710",0.5%,"17,870",0.6%,"16,280",*,"17,370",*,"16,620",*,"14,770",*,"13,290",*,"13,600",*,"12,300",*,"11,510",*,420,620,560,660,900,"1,440","1,820","1,820","1,700","1,760","1,800","1,620","1,410",450,600,600,710,630,760,970,"1,080","1,080","1,000",990,800,720,"8,460","10,240","11,040","10,330","8,860","7,410","7,390","7,070","6,590","5,760","5,400","4,860","4,770","21,680",*,"26,810",*,"27,620",*,"25,220",0.5%,"21,320",0.5%,"19,740",*,"20,690",*,"19,670",*,"17,770",*,"16,130",*,"16,520",*,"15,100",*,"14,120",*,740,980,910,"1,040","1,230","1,780","2,200","2,180","2,100","2,210","2,240","2,030","1,740","1,750","1,990","1,990","2,120","2,020","2,240","2,450","2,500","2,540","2,370","2,440","2,230","2,080","9,810","11,950","12,670","11,890","10,300","8,910","8,800","8,350","7,760","6,810","6,480","5,900","5,850"
,,Indian,"21,000",2.2%,"22,230",2.2%,"21,430",2.0%,"20,180",2.0%,"18,990",1.9%,"18,820",1.8%,"18,070",1.7%,"17,710",1.6%,"17,920",1.6%,"17,270",1.6%,"16,710",1.6%,"16,200",1.6%,"16,200",1.7%,"2,890","3,570","3,280","3,450","3,260","3,320","3,200","3,230","3,600","3,670","3,440","3,440","3,030","8,020","8,220","8,120","8,050","7,950","7,930","7,950","8,390","9,220","8,820","8,590","8,620","9,130","6,640","8,700","8,760","8,510","8,010","7,530","7,600","7,330","7,180","6,380","5,760","5,660","6,430","72,500",1.9%,"86,110",1.9%,"90,920",2.0%,"82,670",2.1%,"68,610",2.1%,"72,890",2.2%,"84,210",2.2%,"78,560",2.2%,"71,200",2.3%,"69,290",2.2%,"67,310",2.1%,"57,980",2.0%,"51,520",2.0%,"3,420","4,270","4,240","6,050","9,200","16,380","21,790","20,960","21,770","22,600","19,320","15,270","13,080","2,710","3,300","3,370","3,810","3,810","4,910","6,540","7,750","8,090","7,860","7,580","6,280","5,800","19,460","23,000","28,770","28,140","23,650","23,950","26,190","24,130","24,830","25,340","23,300","20,080","18,600","93,510",2.0%,"108,340",2.0%,"112,350",2.0%,"102,840",2.0%,"87,600",2.1%,"91,710",2.1%,"102,280",2.1%,"96,260",2.1%,"89,120",2.1%,"86,550",2.1%,"84,030",1.9%,"74,180",1.9%,"67,710",1.9%,"6,310","7,830","7,520","9,500","12,460","19,700","24,990","24,190","25,370","26,270","22,760","18,710","16,110","10,740","11,510","11,500","11,860","11,760","12,840","14,490","16,140","17,310","16,680","16,170","14,890","14,930","26,100","31,700","37,530","36,650","31,660","31,480","33,790","31,460","32,010","31,710","29,050","25,750","25,030"
,,Pakistani,"26,310",2.7%,"27,630",2.7%,"27,860",2.6%,"26,890",2.6%,"26,330",2.6%,"27,290",2.6%,"27,960",2.6%,"29,730",2.7%,"30,880",2.8%,"31,370",2.9%,"30,340",2.9%,"28,500",2.9%,"28,980",3.0%,"4,730","5,410","5,100","5,200","5,430","5,630","5,870","6,600","7,390","8,080","7,670","6,680","6,460","6,480","7,030","7,420","7,590","7,680","8,070","9,070","10,300","12,350","12,550","13,150","13,400","14,270","10,830","12,710","13,430","13,910","13,580","13,810","14,720","15,810","16,010","15,080","13,620","13,230","15,320","65,710",1.8%,"74,520",1.7%,"81,020",1.7%,"76,280",1.9%,"68,020",2.1%,"75,450",2.3%,"97,600",2.6%,"92,190",2.6%,"88,890",2.8%,"87,620",2.8%,"85,000",2.6%,"75,630",2.6%,"70,240",2.7%,"2,740","3,480","3,510","4,560","6,620","13,040","27,110","25,330","26,080","26,220","21,210","16,660","14,470","2,420","2,910","2,940","3,720","3,890","4,680","5,660","6,860","7,690","7,920","8,180","7,500","7,370","28,700","32,120","38,700","38,000","35,510","36,420","41,010","37,340","36,290","35,380","33,650","29,860","28,980","92,020",1.9%,"102,150",1.9%,"108,880",1.9%,"103,170",2.1%,"94,340",2.2%,"102,730",2.4%,"125,560",2.6%,"121,920",2.6%,"119,770",2.8%,"118,990",2.8%,"115,340",2.7%,"104,140",2.7%,"99,210",2.8%,"7,470","8,890","8,610","9,760","12,050","18,670","32,980","31,930","33,470","34,300","28,890","23,340","20,920","8,900","9,930","10,360","11,300","11,560","12,750","14,730","17,170","20,040","20,480","21,330","20,900","21,630","39,540","44,830","52,140","51,910","49,090","50,230","55,730","53,160","52,300","50,460","47,260","43,090","44,300"
,,Any Other Asian Background,"7,390",0.8%,"7,710",0.8%,"8,060",0.8%,"8,530",0.8%,"9,050",0.9%,"10,230",1.0%,"11,480",1.1%,"12,340",1.1%,"13,130",1.2%,"13,790",1.3%,"13,600",1.3%,"12,770",1.3%,"12,460",1.3%,830,"1,030","1,080","1,450","1,610","1,860","2,000","2,300","2,880","3,560","3,200","2,740","2,530","1,710","1,840","1,910","2,210","2,420","2,800","3,170","3,840","4,450","4,900","5,490","5,770","5,940","3,760","4,210","4,540","4,800","5,210","5,690","6,790","7,450","7,800","7,710","7,090","6,470","6,800","41,810",1.1%,"46,070",1.0%,"51,040",1.1%,"51,760",1.3%,"45,770",1.4%,"49,870",1.5%,"59,770",1.6%,"59,500",1.7%,"60,890",1.9%,"60,920",1.9%,"59,010",1.8%,"52,440",1.8%,"49,310",1.9%,"1,150","1,590","1,670","2,950","4,490","7,940","11,300","11,950","14,020","15,790","14,100","11,500","9,780",950,"1,320","1,390","1,990","2,180","3,120","4,450","4,910","5,410","5,840","6,110","5,530","5,590","23,190","23,860","27,260","27,960","25,910","26,640","29,870","30,280","32,770","32,980","30,210","27,670","27,260","49,200",1.0%,"53,770",1.0%,"59,110",1.0%,"60,280",1.2%,"54,820",1.3%,"60,100",1.4%,"71,250",1.5%,"71,840",1.5%,"74,020",1.7%,"74,700",1.8%,"72,610",1.7%,"65,210",1.7%,"61,780",1.7%,"1,990","2,620","2,750","4,400","6,090","9,790","13,300","14,250","16,900","19,350","17,290","14,240","12,320","2,660","3,160","3,310","4,200","4,600","5,920","7,620","8,740","9,860","10,740","11,600","11,300","11,520","26,960","28,070","31,800","32,760","31,130","32,320","36,670","37,730","40,560","40,690","37,300","34,140","34,070"
,Black / African / Caribbean / Black British,African,"18,400",1.9%,"22,760",2.2%,"25,000",2.4%,"25,450",2.5%,"25,390",2.5%,"26,100",2.5%,"25,490",2.4%,"25,670",2.3%,"27,140",2.5%,"27,860",2.6%,"27,540",2.6%,"26,060",2.6%,"26,260",2.7%,"2,440","3,490","3,770","4,150","4,560","4,600","4,730","4,750","5,380","6,080","6,120","5,410","4,990","3,250","4,520","5,450","6,510","7,090","8,040","8,540","9,680","10,650","10,740","11,770","12,370","13,170","9,480","13,170","14,490","14,910","14,090","13,820","14,030","13,910","14,250","13,510","12,760","12,350","14,440","79,580",2.1%,"94,380",2.1%,"111,070",2.4%,"110,080",2.8%,"98,370",3.1%,"108,440",3.3%,"127,280",3.4%,"121,850",3.4%,"120,150",3.8%,"126,000",4.0%,"127,980",3.9%,"113,220",3.9%,"107,100",4.1%,"2,960","4,840","5,180","7,810","13,450","22,830","29,650","27,050","29,990","35,220","33,440","28,250","24,070","2,070","3,460","3,960","8,390","8,820","10,840","14,270","14,440","15,290","17,250","17,310","14,410","14,490","35,600","42,850","51,610","52,920","45,710","48,780","54,140","53,860","58,110","60,780","56,080","52,790","56,420","97,980",2.1%,"117,140",2.1%,"136,070",2.4%,"135,530",2.7%,"123,760",2.9%,"134,540",3.1%,"152,770",3.2%,"147,530",3.2%,"147,290",3.5%,"153,860",3.6%,"155,520",3.6%,"139,280",3.6%,"133,360",3.7%,"5,390","8,320","8,950","11,960","18,010","27,430","34,370","31,800","35,370","41,300","39,570","33,670","29,070","5,320","7,980","9,420","14,890","15,910","18,890","22,810","24,120","25,940","27,990","29,080","26,780","27,670","45,080","56,020","66,100","67,820","59,790","62,590","68,170","67,770","72,360","74,290","68,840","65,140","70,860"
,,Caribbean,"17,380",1.8%,"19,560",1.9%,"20,320",1.9%,"20,230",2.0%,"20,110",2.0%,"20,590",1.9%,"19,600",1.8%,"19,160",1.7%,"19,100",1.7%,"17,990",1.7%,"16,520",1.6%,"15,110",1.5%,"14,400",1.5%,"3,840","4,410","4,400","4,690","4,670","4,600","4,330","4,510","4,840","4,960","4,670","4,100","3,720","3,340","4,430","5,020","5,550","5,900","6,220","6,480","6,780","7,050","6,660","6,710","6,940","6,930","6,300","8,480","9,400","10,170","9,890","9,540","9,650","9,660","9,850","8,390","7,130","6,990","7,830","58,570",1.6%,"65,760",1.5%,"71,540",1.5%,"66,410",1.7%,"59,050",1.8%,"63,920",1.9%,"70,790",1.9%,"68,870",1.9%,"62,080",2.0%,"59,730",1.9%,"62,740",1.9%,"56,400",1.9%,"49,950",1.9%,"3,720","4,740","4,540","6,050","7,750","11,850","15,070","15,010","16,820","17,390","17,710","15,930","13,390","2,510","3,360","3,500","5,290","5,280","6,760","8,420","8,890","8,920","8,460","8,160","6,930","6,510","10,710","12,860","17,340","18,900","16,620","18,320","20,740","20,140","20,470","20,410","17,570","16,150","16,120","75,950",1.6%,"85,320",1.5%,"91,870",1.6%,"86,640",1.7%,"79,160",1.9%,"84,510",1.9%,"90,390",1.9%,"88,020",1.9%,"81,180",1.9%,"77,710",1.8%,"79,250",1.8%,"71,510",1.8%,"64,360",1.8%,"7,560","9,150","8,950","10,730","12,420","16,440","19,410","19,520","21,660","22,350","22,380","20,030","17,110","5,850","7,790","8,520","10,850","11,180","12,990","14,900","15,670","15,980","15,120","14,870","13,860","13,440","17,020","21,340","26,730","29,070","26,520","27,860","30,390","29,810","30,330","28,800","24,700","23,130","23,950"
,,Any other Black/African/Caribbean,"6,450",0.7%,"6,060",0.6%,"6,190",0.6%,"5,500",0.5%,"5,910",0.6%,"5,560",0.5%,"5,500",0.5%,"5,730",0.5%,"6,030",0.5%,"6,890",0.6%,"6,960",0.7%,"6,400",0.7%,"6,370",0.7%,"1,470","1,350","1,290","1,290","1,400","1,230","1,250","1,380","1,480","2,000","1,970","1,690","1,610","1,240","1,250","1,250","1,260","1,410","1,460","1,550","1,830","1,990","2,280","2,760","2,810","2,900","2,280","2,730","3,100","3,130","3,360","2,880","3,000","3,230","3,330","3,450","3,270","3,180","3,690","17,940",*,"20,030",*,"23,310",0.5%,"22,380",0.6%,"21,180",0.7%,"22,070",0.7%,"25,710",0.7%,"25,060",0.7%,"23,600",0.7%,"29,330",0.9%,"31,140",0.9%,"25,110",0.9%,"24,360",0.9%,"1,350","1,500","1,420","1,840","2,860","4,680","5,990","5,810","6,560","8,780","8,430","6,900","6,190",950,"1,170","1,150","1,690","1,900","2,210","2,840","3,000","3,240","3,920","3,950","3,220","3,360","4,750","5,610","7,860","8,500","7,820","8,030","9,320","9,160","9,440","12,240","10,880","9,170","9,720","24,380",0.5%,"26,090",*,"29,500",0.5%,"27,870",0.6%,"27,090",0.6%,"27,630",0.6%,"31,210",0.6%,"30,780",0.7%,"29,630",0.7%,"36,230",0.9%,"38,100",0.9%,"31,510",0.8%,"30,730",0.9%,"2,820","2,840","2,700","3,130","4,260","5,910","7,240","7,190","8,030","10,770","10,400","8,580","7,800","2,190","2,410","2,390","2,950","3,310","3,670","4,390","4,820","5,220","6,200","6,710","6,020","6,260","7,020","8,340","10,970","11,630","11,180","10,910","12,320","12,390","12,770","15,690","14,140","12,350","13,410"
,Mixed/ Multiple Ethnic Group,White And Asian,"2,980",*,"3,820",*,"4,350",*,"4,730",*,"4,920",*,"5,300",0.5%,"5,670",0.5%,"6,020",0.5%,"6,360",0.6%,"6,660",0.6%,"6,950",0.7%,"7,140",0.7%,"7,270",0.8%,450,700,740,930,910,980,"1,080","1,250","1,420","1,690","1,700","1,660","1,640",930,"1,320","1,490","1,740","1,940","2,080","2,230","2,510","2,820","3,020","3,300","3,680","3,770","1,010","1,480","1,700","2,040","2,010","2,150","2,520","2,580","2,600","2,570","2,530","2,490","2,860","7,750",*,"9,050",*,"10,420",*,"9,740",*,"8,860",*,"9,460",*,"11,000",*,"11,330",*,"10,800",*,"12,270",*,"13,580",*,"13,020",*,"11,730",*,330,520,610,840,"1,070","1,610","2,220","2,370","2,650","3,280","3,500","3,310","2,850",230,380,460,690,810,"1,020","1,260","1,460","1,650","1,700","1,980","1,930","1,850","2,660","2,430","3,260","3,360","3,060","3,200","3,530","3,690","4,000","4,900","4,930","4,800","4,620","10,720",*,"12,870",*,"14,760",*,"14,470",*,"13,780",*,"14,760",*,"16,670",*,"17,350",*,"17,160",*,"18,930",*,"20,530",*,"20,160",0.5%,"19,000",0.5%,780,"1,220","1,350","1,760","1,980","2,590","3,300","3,620","4,070","4,970","5,200","4,960","4,490","1,160","1,690","1,940","2,430","2,750","3,090","3,490","3,980","4,480","4,720","5,280","5,610","5,610","3,670","3,910","4,960","5,400","5,070","5,350","6,050","6,270","6,590","7,470","7,460","7,300","7,480"
