Average number of re-offences per offender (frequency rate),,1.31,1.36,1.25,1.12,1.10,1.06,1.03,1.00,0.90,0.89,,-32.3%,,-1.3%,
Number of re-offences,,"52,959","57,172","54,277","48,147","47,839","50,245","51,274","50,250","45,083","43,414",,-18.0%,,-3.7%,
Number of re-offenders,,"15,232","16,204","16,170","15,073","15,346","16,718","17,760","17,927","17,012","16,321",,7.1%,,-4.1%,
Number of offenders in cohort,,"40,407","42,012","43,414","43,019","43,488","47,336","49,856","50,432","50,125","48,892",,21.0%,,-2.5%,
Proportion of offenders who re-offend (%),,51.3,53.9,52.8,50.3,49.2,48.2,48.5,48.9,47.5,48.2,,-3.1,pp,0.7,pp
Average number of re-offences per re-offender,,4.32,4.53,4.34,4.06,3.86,3.68,3.68,3.65,3.44,3.53,,-18.3%,,2.3%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,44.6,45.5,45.4,47.1,48.2,48.4,48.8,49.4,49.4,49.1,,-,,-,
Average number of re-offences per offender (frequency rate),,2.21,2.44,2.29,2.04,1.90,1.77,1.78,1.78,1.64,1.70,,-23.2%,,3.9%,
Number of re-offences,,"295,867","349,486","344,788","306,724","285,721","279,409","291,899","299,096","271,601","275,478",,-6.9%,,1.4%,
Number of re-offenders,,"68,560","77,165","79,439","75,624","74,001","76,016","79,330","81,988","78,840","78,149",,14.0%,,-0.9%,
Number of offenders in cohort,,"133,700","143,067","150,545","150,468","150,505","157,858","163,548","167,746","165,944","162,047",,21.2%,,-2.3%,
Proportion of offenders who re-offend (%),,27.9,28.9,28.4,27.3,27.0,26.7,26.5,26.9,26.3,26.7,,-1.2,pp,0.4,pp
Average number of re-offences per re-offender,,3.37,3.51,3.38,3.21,3.04,2.93,2.89,2.89,2.79,2.87,,-14.8%,,3.0%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,25.5,25.9,25.7,26.2,25.9,25.9,26.2,26.9,27.1,27.1,,-,,-,
Average number of re-offences per offender (frequency rate),,0.94,1.01,0.96,0.88,0.82,0.78,0.77,0.78,0.73,0.77,,-18.3%,,4.6%,
Number of re-offences,,"579,770","641,321","633,331","580,919","571,002","580,238","587,769","571,469","511,668","497,969",,-14.1%,,-2.7%,
Number of re-offenders,,"171,935","182,485","187,342","180,796","187,539","198,333","203,324","197,958","183,382","173,274",,0.8%,,-5.5%,
Number of offenders in cohort,,"617,024","632,065","659,039","662,052","695,590","742,519","766,474","735,527","697,362","648,822",,5.2%,,-7.0%,
