Organisation name,Organisation code,Effective date,Directorate / service where expenditure incurred,Service category label,Service category URI,Supplier (beneficiary) name,Local supplier(beneficiary) internal reference,Supplier registered company number,Supplier registered charity number,VCSE grant,Payment date,Transaction number,Net amount,Irrecoverable VAT,Purpose of spend,Procurement classification / merchant category:  Council's procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category:  CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,Card transaction,Contract reference,CQC Location ID,Gross amount (where Net not available),P-Card merchant Category
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118189,"£15,200.00",£0.00,BMPP EXTERNAL REDECORATION,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118190,"£3,760.00",£0.00,BMPP EXTERNAL REDECORATION,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116615,£973.44,£0.00,"WOOD DALLING, GUESTWICK AND BOOTON TO REEPHAM PRIMARY SCHOOL ",PASSENGER TRANSPORT.EDUCATION MAINSTREAM,,,,,NO,AMN47577,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1510.52070.20170103.BAN10498,"£7,699.88",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10498,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1520.52070.20170103.BAN10498,£888.91,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10498,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1510.52070.20170103.BAN10151,"£2,510.63",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10151,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1520.52070.20170103.BAN10598,"-£2,720.54",£0.00,ADULTS - CARE HOMES AND CARE HOMES WITH NURSING : 2012 (THE WINDMILL CARE HOME),ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10598,1-112953994,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1520.52070.20170103.BAN10198,£883.03,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10198,1-456354523,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1530.52070.20170103.BAN10198,£535.47,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10198,1-456354523,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118109,"£3,894.50",£0.00,EDUCATION OUT OF COUNTY SCHOOL FEES,CHILDREN'S-RESIDENTIAL HOMES & SCHOOLS.OOC 38 WEEK SCHOOLS,,,,,NO,BAN42211,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116682,£924.75,£0.00,VOLUNTARY DRIVER PAYMENTS,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7117979,£800.00,£0.00,LEGAL COUNSEL,LEGAL.COUNSEL'S FEES,,,,,NO,BPN42938T,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1530.50210.20170103.BAN10257,"£2,196.26",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10257,1-118978395,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1530.52070.20170103.BAN10257,"£2,142.72",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10257,1-118978395,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116652,"£1,081.00",£0.00,ACCREDITATION SCHEME PAYMENTS,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116659,£719.57,£0.00,ACCREDITATION SCHEME PAYMENTS,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7117913,"£1,062.66",£0.00,FM-MANAGEMENT OF LAND & PROPERTY,FM-MANAGEMENT OF LAND & PROPERTY.ESTATE MANAGEMENT,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116646,"-£1,234.29",£0.00,FOSTER PARENTS PAYMENTS,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116647,-£668.57,£0.00,ACCREDITATION SCHEME PAYMENTS,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116648,"£1,769.79",£0.00,SPECIAL GUARDIANSHIP CHILD IN NEED,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116710,"£1,000.00",£0.00,FOSTER PARENTS PAYMENTS,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7117948,"£1,946.12",£0.00,MUSEUMS-EXHIBITS,MUSEUMS-EXHIBITS,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116628,"£1,814.00",£0.00,"NORTH NORFOLK TO  THE DUNTON CENTRE, SHEREFORD ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN49694,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116629,"£1,572.00",£0.00,"NORWICH TO THE DUNTON CENTRE, SHEREFORD, ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN49695,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116818,"£1,081.00",£0.00,ACCREDITATION SCHEME PAYMENTS,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116819,£719.57,£0.00,ACCREDITATION SCHEME PAYMENTS,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7117914,"£2,333.00",£0.00,NORFOLK & SUFFOLK TRAVELLER SITES MAINTENANCE OFFICER,FM-MANAGEMENT OF LAND & PROPERTY.ESTATE MANAGEMENT,,,,,NO,APN49006,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116634,£720.00,£0.00,"NORWICH TO MANOR FIELD INFANT SCHOOL, LONG STRATTON ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AQN48614,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7117087,£756.00,£0.00,SCHOOLS-PROFESSIONAL,SCHOOLS-PROFESSIONAL,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118074,"£1,919.00",£0.00,LEGAL,LEGAL.SOLICITORS,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118075,"£1,805.00",£0.00,LEGAL,LEGAL.SOLICITORS,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116799,£635.43,£0.00,SPECIAL GUARDIANSHIP CHILD IN NEED,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116802,£566.86,£0.00,SPECIAL GUARDIANSHIP CHILD IN NEED,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118083,"£2,130.70",£0.00,CORONER'S AND FUNERAL SERVICES,CORONER'S AND FUNERAL SERVICES.PATHOLOGY,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7117236,"£40,900.00",£0.00,DISTURBANCE PAYMENT,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118171,"£40,900.00",£0.00,DISTURBANCE PAYMENT,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116723,"£1,371.43",£0.00,SPECIAL GUARDIANSHIP CHILD IN NEED,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116643,£514.29,£0.00,FOSTER PARENTS PAYMENTS,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,CAREEAST LTD,2280305,,,NO,1/3/17,SE1540.50210.20170103.BAN10139,£888.92,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10139,1-113590281,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,CAREEAST LTD,2280305,,,NO,1/3/17,SE1540.52070.20170103.BAN10139,"-£1,873.33",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10139,1-113590281,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,LINCOLN LODGE,2280296,,,NO,1/3/17,SE1500.52070.20170103.BAN10337,"£1,142.89",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10337,1-110959466,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,CHALKE VALLEY ENGINEERING,2251185,,,NO,1/3/17,7118108,"£3,250.00",£0.00,HIGHWAYS-SUPPLIES & EQUIPMENT,HIGHWAYS-SUPPLIES & EQUIPMENT.MATERIALS,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,STOWLANGTOFT HEALTHCARE (FP) LTD T/A FORD PLACE NH,2248198,,,NO,1/3/17,SE1500.51550.20170103.BAN10035,"£11,592.31",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10035,1-125855931,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,STOWLANGTOFT HEALTHCARE (FP) LTD T/A FORD PLACE NH,2248198,,,NO,1/3/17,SE1500.52070.20170103.BAN10035,£261.69,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10035,1-125855931,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,STOWLANGTOFT HEALTHCARE (FP) LTD T/A FORD PLACE NH,2248198,,,NO,1/3/17,SV4146.55560.20170103.BAN10035,"£7,289.21",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10035,1-125855931,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,OAK FARM (TAVERHAM) LTD,2239163,,,NO,1/3/17,SF1530.51550.20170103.BAN10412,"-£3,524.22",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10412,1-133991381,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116577,"£10,929.36",£0.00,"NR29, NR30 AND  NR31 POSTCODES TO SIDESTRAND HALL SCHOOL ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN46288,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116578,"£2,150.16",£0.00,"BUS 8 CS12-NORTON SUBCOURSE, ROCKLAND ST MARY AND SURLINGHAM TO NORWICH, THE CLARE SCHOOL ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AON33065,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116579,"£1,680.00",£0.00,"GREAT YARMOUTH TO AYLMERTON, ST ANDREWS ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,APN33092,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116580,"£3,060.00",£0.00,"YARMOUTH AREA AND STALHAM, WALCOTT, ANTINGHAM TO CROMER ACADEMY SRB, 2 VEHICLES FROM SEP 15 ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AON42670,,,
