Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,DCLG,02/06/2010,Fixed Maintenance,Communities Group,INTERSERVE PROJECT SERVICES LTD,5106135783,"108,786.49"
Communities & Local Government,DCLG,02/06/2010,Office Machinery Rental,Communities Group,DANWOOD FINANCIAL SERVICES LTD,5106136298,677.99
Communities & Local Government,DCLG,02/06/2010,Current (non AEF) Grants to Local Authorities,Communities Group,BARROW-IN-FURNESS BC,2100190993,"113,877.00"
Communities & Local Government,DCLG,02/06/2010,Current (non AEF) Grants to Local Authorities,Communities Group,PENDLE BC,2100190992,"54,078.00"
Communities & Local Government,DCLG,02/06/2010,Current (non AEF) Grants to Local Authorities,Communities Group,LONDON BOROUGH BARKING & DAGENHAM,2100190995,"170,751.00"
Communities & Local Government,DCLG,02/06/2010,Current (non AEF) Grants to Local Authorities,Communities Group,BARNSLEY MBC,2100190997,"148,725.00"
Communities & Local Government,DCLG,02/06/2010,Current (non AEF) Grants to Local Authorities,Communities Group,BOLTON MBC,2100190988,"201,660.00"
Communities & Local Government,DCLG,02/06/2010,Current (non AEF) Grants to Local Authorities,Communities Group,BRADFORD MBC,2100190987,"167,606.00"
Communities & Local Government,DCLG,02/06/2010,Current (non AEF) Grants to Local Authorities,Communities Group,BRADFORD MBC,2100190994,"28,420.00"
Communities & Local Government,DCLG,02/06/2010,Current (non AEF) Grants to Local Authorities,Communities Group,ROTHERHAM MBC,2100190998,"115,430.00"
Communities & Local Government,DCLG,02/06/2010,Current (non AEF) Grants to Local Authorities,Communities Group,SHEPWAY DC,2100190989,"85,500.61"
Communities & Local Government,DCLG,02/06/2010,Current (non AEF) Grants to Local Authorities,Communities Group,SOUTH TYNESIDE MBC,2100190990,"58,017.00"
Communities & Local Government,DCLG,02/06/2010,Current (non AEF) Grants to Local Authorities,Communities Group,BRISTOL CITY COUNCIL,2100190991,"201,665.56"
Communities & Local Government,DCLG,02/06/2010,Publicity,Communities Group,MEDIA MOGULS,5106136077,"5,287.50"
Communities & Local Government,DCLG,02/06/2010,Rates,Finance and Corporate Services,STEVENAGE BOROUGH COUNCIL,5106136303,"1,873.00"
Communities & Local Government,DCLG,02/06/2010,Rates,Finance and Corporate Services,WESTMINSTER CITY COUNCIL,5106136304,"151,159.22"
Communities & Local Government,DCLG,02/06/2010,Rent,Finance and Corporate Services,PLANNING INSPECTORATE,2100191144,"10,349.61"
Communities & Local Government,DCLG,02/06/2010,Research,Housing and Planning,GREATER LONDON AUTHORITY,5106135668,"9,138.63"
Communities & Local Government,DCLG,02/06/2010,Research,Finance and Corporate Services,EXPERIAN LTD,5106136251,"24,837.55"
Communities & Local Government,DCLG,02/06/2010,Security,Finance and Corporate Services,MITIE SECURITY LTD,5106136106,"4,246.40"
Communities & Local Government,DCLG,02/06/2010,Training,Housing and Planning,NATIONAL SCHOOL OF GOVERNMENT,5106136210,985.00
Communities & Local Government,DCLG,02/06/2010,Training,Human Resources,JOHNSON MATTHEY PLC,2100191683,780.00
Communities & Local Government,DCLG,02/06/2010,Training,Human Resources,JOHNSON MATTHEY PLC,2300001665,-780.00
Communities & Local Government,DCLG,02/06/2010,Licence Fees/Levies,Finance and Corporate Services,ORDNANCE SURVEY,5106136238,"11,336.40"
Communities & Local Government,DCLG,02/06/2010,Electricity,Housing and Planning,BRUNTWOOD ESTATES BETA PORTFOLIO LT,5106136257,812.43
Communities & Local Government,DCLG,02/06/2010,Grant in Aid to NDPBs (non budget),Housing and Planning,HOMES & COMMUNITIES AGENCY,2100190999,"49,015,684.00"
Communities & Local Government,DCLG,02/06/2010,Steady State Service Provision,Housing and Planning,I B M UK LTD,5106136199,"22,325.00"
Communities & Local Government,DCLG,02/06/2010,Steady State Service Provision,Housing and Planning,I B M UK LTD,5106136201,"12,736.24"
Communities & Local Government,DCLG,02/06/2010,Legal Consultancy,Finance and Corporate Services,VEALE WASBROUGH SOLICITOR,5106136109,846.00
Communities & Local Government,DCLG,02/06/2010,Property/Estates Consultancy,Finance and Corporate Services,E C HARRIS LLP,5106136249,"27,042.92"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BARKING & DAGENHAM LB,5000130641,"-2,400,120.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BARNSLEY MBC,5000130645,"-2,174,152.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BIRMINGHAM CITY CNCL,5000130662,"-18,518,504.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BLACKBURN WITH DARWEN BC,5000130667,"-1,916,643.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BLACKPOOL BC,5000130668,"-2,092,410.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BOLTON MBC,5000130672,"-3,981,585.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BRADFORD MBC,5000130681,"-6,195,177.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BRENT LB,5000130686,"-4,513,345.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BRIGHTON & HOVE CITY COUNCIL,5000130690,"-4,485,649.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BURY MBC,5000130709,"-2,094,760.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",CALDERDALE MBC,5000130710,"-2,509,830.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",COVENTRY CITY CNCL,5000130761,"-5,170,430.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",DARLINGTON BC,5000130774,"-1,511,096.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",DERBY CITY CNCL,5000130780,"-3,898,390.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",DONCASTER MBC,5000130790,"-3,770,451.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",DUDLEY MBC,5000130796,"-4,448,904.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",EALING LB,5000130801,"-5,336,124.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",EAST RIDING OF YORKS,5000130817,"-3,754,617.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",ENFIELD LB,5000130830,"-4,475,823.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",GATESHEAD MBC,5000130853,"-3,601,667.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",GREENWICH LB,5000130868,"-2,629,069.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LONDON BOROUGH OF HACKNEY,5000130872,"-3,237,337.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HALTON BC,5000130875,"-2,041,964.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HARINGEY LB,5000130885,"-2,684,028.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HARROW LB,5000130891,"-2,130,848.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HARTLEPOOL BOROUGH COUNCIL,5000130896,"-1,258,517.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HEREFORDSHIRE DISTRICT COUNCIL,5000130905,"-2,012,489.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",ISLE OF WIGHT CNCL,5000130927,"-1,446,965.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",ISLES OF SCILLY COUNCIL,5000130931,"-77,074.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",HULL CITY COUNCIL,5000130943,"-4,140,969.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",KIRKLEES MBC,5000130947,"-4,693,642.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",KNOWSLEY MBC,5000130950,"-1,747,558.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LONDON BOROUGH OF LAMBETH,5000130951,"-4,700,526.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LEICESTER CITY CNCL,5000130960,"-4,799,819.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LEWISHAM LB,5000130967,"-2,206,221.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LIVERPOOL CITY COUNCIL,5000130975,"-8,133,665.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LUTON BC,5000130978,"-2,932,016.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",MANCHESTER CITY CNCL,5000130985,"-13,301,674.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",MEDWAY COUNCIL,5000130991,"-3,292,083.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",MIDDLESBROUGH BC,5000131007,"-1,910,393.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",NEWCASTLE UPON TYNE DC,5000131020,"-6,187,922.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",LONDON BOROUGH OF NEWHAM,5000131023,"-3,830,257.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",NORTH EAST LINCOLN DC,5000131032,"-2,940,628.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",NORTH TYNESIDE MBC,5000131043,"-2,589,971.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",NOTTINGHAM CITY COUNCIL,5000131057,"-5,808,626.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",OLDHAM MBC,5000131068,"-2,609,944.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",PLYMOUTH CITY CNCL,5000131078,"-3,770,389.00"
Communities & Local Government,DCLG,03/06/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",PORTSMOUTH CITY COUNCIL,5000131081,"-3,545,393.00"
