A (M) - Dark,,,4.0,3.0,3.0,1.0,5.0,4.0,6.0,3.0,1.0,10.0,7.0,4.0,3.0,2.0,7.0,8.0,8.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
A - Dark,,,130.0,153.0,137.0,160.0,141.0,146.0,134.0,127.0,131.0,94.0,124.0,129.0,125.0,133.0,123.0,113.0,98.0,105.0,86.0,81.0,64.0,65.0,48.0,44.0
B - Dark,,,33.0,27.0,24.0,34.0,27.0,37.0,31.0,34.0,44.0,40.0,30.0,38.0,27.0,37.0,20.0,29.0,31.0,15.0,23.0,19.0,14.0,11.0,15.0,9.0
C - Dark,,,23.0,24.0,21.0,26.0,17.0,22.0,18.0,24.0,24.0,22.0,16.0,28.0,25.0,21.0,30.0,27.0,31.0,13.0,27.0,22.0,18.0,14.0,11.0,11.0
U - Dark,,,58.0,47.0,58.0,62.0,52.0,53.0,57.0,58.0,60.0,55.0,67.0,42.0,55.0,48.0,55.0,48.0,45.0,35.0,25.0,28.0,13.0,21.0,18.0,14.0
Motorway - Light,,,42.0,31.0,35.0,35.0,32.0,31.0,43.0,65.0,70.0,64.0,58.0,55.0,54.0,58.0,66.0,64.0,52.0,51.0,44.0,49.0,37.0,22.0,26.0,25.0
A (M) - Light,,,10.0,11.0,16.0,13.0,2.0,12.0,13.0,13.0,13.0,31.0,10.0,30.0,12.0,8.0,14.0,15.0,8.0,6.0,11.0,9.0,3.0,3.0,4.0,3.0
A - Light,,,325.0,304.0,337.0,280.0,311.0,331.0,337.0,291.0,268.0,290.0,299.0,280.0,303.0,263.0,263.0,254.0,292.0,195.0,166.0,159.0,155.0,110.0,109.0,107.0
B - Light,,,73.0,70.0,78.0,73.0,93.0,70.0,81.0,88.0,66.0,65.0,74.0,62.0,60.0,69.0,68.0,56.0,53.0,38.0,34.0,55.0,37.0,37.0,24.0,10.0
C - Light,,,39.0,58.0,60.0,49.0,49.0,57.0,49.0,61.0,57.0,69.0,64.0,84.0,82.0,44.0,53.0,45.0,53.0,51.0,50.0,39.0,41.0,33.0,40.0,26.0
U - Light,,,207.0,197.0,214.0,209.0,202.0,225.0,171.0,172.0,174.0,192.0,211.0,197.0,154.0,159.0,162.0,135.0,140.0,99.0,100.0,85.0,76.0,70.0,52.0,46.0
1,,,395.0,414.0,409.0,371.0,331.0,329.0,293.0,310.0,304.0,296.0,308.0,298.0,254.0,271.0,288.0,240.0,232.0,166.0,180.0,196.0,151.0,135.0,114.0,103.0
2,,,493.0,434.0,484.0,502.0,535.0,567.0,578.0,555.0,520.0,570.0,566.0,572.0,567.0,489.0,491.0,497.0,499.0,377.0,328.0,313.0,262.0,220.0,188.0,168.0
3 or more,,,64.0,85.0,103.0,85.0,73.0,106.0,83.0,85.0,95.0,98.0,110.0,102.0,94.0,101.0,103.0,81.0,99.0,99.0,82.0,62.0,68.0,49.0,59.0,38.0
1,,,788.0,735.0,793.0,762.0,743.0,791.0,738.0,727.0,687.0,702.0,756.0,738.0,679.0,621.0,671.0,616.0,598.0,474.0,431.0,423.0,337.0,303.0,271.0,232.0
2,,,112.0,142.0,146.0,133.0,141.0,141.0,144.0,155.0,150.0,173.0,151.0,153.0,153.0,155.0,142.0,132.0,145.0,113.0,108.0,101.0,98.0,57.0,63.0,48.0
3 or more,,,52.0,56.0,57.0,63.0,55.0,69.0,72.0,68.0,82.0,89.0,77.0,81.0,83.0,85.0,69.0,70.0,87.0,55.0,51.0,47.0,46.0,44.0,27.0,29.0
