Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,Amount in Sterling,Supplier VAT Registration Number
Department of Health,NHS Bolton ,16/07/2010,General Surgery,Independent Sector 18 weeks,OAKLANDS HOSPITAL,24288/10,"5,310.98",
Department of Health,NHS Bolton ,16/07/2010,Oral Surgery,Independent Sector 18 weeks,OAKLANDS HOSPITAL,24288/10,"11,809.78",
Department of Health,NHS Bolton ,16/07/2010,Orthopaedics,Independent Sector 18 weeks,OAKLANDS HOSPITAL,24288/10,"11,042.91",
Department of Health,NHS Bolton ,20/07/2010,Agenda for Change,Provider Directorate Reserves,NHS PENSIONS AGENCY,24238/01,"31,066.05",
Department of Health,NHS Bolton ,21/07/2010,South Sefton Secure Commissioning Team,Service Agreements,SPECIALIST COMMISSIONING,97728,"2,832,783.00",
Department of Health,NHS Bolton ,22/07/2010,QOF-Achievement Payments,General Medical Services,DR C R BARUA- PRACTICE A/C #,24210/01,"26,480.07",
Department of Health,NHS Bolton ,22/07/2010,NWAS NHS Trust,GM Collaborative Commissioning,NHS BLACKPOOL,97738,"516,415.00",
Department of Health,NHS Bolton ,23/07/2010,Project Costs - Misc,Public Health Core,"ASHTON,LEIGH & WIGAN PRIMARY CARE TRUST",97660,"118,267.00",
Department of Health,NHS Bolton ,24/07/2010,Wrightington Wigan & Leigh Trust,Service Agreements,"WRIGHTINGTON, WIGAN & LEIGH NHS TRUST",97764,"292,335.00",
Department of Health,NHS Bolton ,26/07/2010,Eating Disorders,Out of Area Treatments,CHESHIRE AND WIRRAL PARTNERSHIP TRUST,97616,"34,320.00",
Department of Health,NHS Bolton ,26/07/2010,Manager Band 8c,Service Provision,NHS PENSIONS AGENCY,24372/10,"37,035.31",
Department of Health,NHS Bolton ,27/07/2010,Uncoded Invoices,Get Active,BOLTON COUNCIL,24418/03,"30,000.00",
Department of Health,NHS Bolton ,27/07/2010,Premises Improvements,Premises Improvements,HEATON MEDICAL CENTRE,24294/20,"35,524.60",
Department of Health,NHS Bolton ,27/07/2010,Choosing Health : Bolton Health Survery,Health Strategy & Improvement,KWEST RESEARCH,98116,"24,985.05",
Department of Health,NHS Bolton ,29/07/2010,Gross Budget,Continuing Care,ABBEY HEALTH CARE (FARNWORTH) LIMITED,24284/02,"81,989.59",
Department of Health,NHS Bolton ,29/07/2010,Out of Area Residents,Free Nursing Care,ABBEY HEALTH CARE (FARNWORTH) LIMITED,24284/02,"2,502.04",
Department of Health,NHS Bolton ,29/07/2010,Free Nursing Care,Free Nursing Care,ABBEY HEALTH CARE (FARNWORTH) LIMITED,24284/02,"5,536.53",
Department of Health,NHS Bolton ,29/07/2010,Gross Budget,Continuing Care,FOUR SEASONS NURSING HOME,24284/03,"108,387.03",
Department of Health,NHS Bolton ,29/07/2010,Out of Area Residents,Free Nursing Care,FOUR SEASONS NURSING HOME,24284/03,507.94,
Department of Health,NHS Bolton ,29/07/2010,Free Nursing Care,Free Nursing Care,FOUR SEASONS NURSING HOME,24284/03,"4,491.84",
Department of Health,NHS Bolton ,29/07/2010,Gross Budget,Continuing Care,HAZELBROOK,24284/04,"29,410.96",
Department of Health,NHS Bolton ,29/07/2010,Lancs Teaching Hosps NHS Trust (Chorley),Service Agreements,LANCASHIRE TEACHING HOSPITALS,24291/12,"143,162.00",
Department of Health,NHS Bolton ,29/07/2010,Gross Budget,Continuing Care,STRATHMORE,24284/11,"28,344.24",
Department of Health,NHS Bolton ,29/07/2010,Out of Area Residents,Free Nursing Care,STRATHMORE,24284/11,678.76,
Department of Health,NHS Bolton ,29/07/2010,Free Nursing Care,Free Nursing Care,STRATHMORE,24284/11,507.95,
Department of Health,NHS Bolton ,29/07/2010,Morcambe Bay,Out of Area Treatments,UNIVERSITY HOSPITAL OF MORECOMBE BAY NHS,97912,"27,849.41",
Department of Health,NHS Bolton ,30/07/2010,Gross Budget,Continuing Care,ASTLEY GRANGE,24284/01,"39,336.32",
Department of Health,NHS Bolton ,30/07/2010,Out of Area Residents,Free Nursing Care,ASTLEY GRANGE,24284/01,326.10,
Department of Health,NHS Bolton ,30/07/2010,Highstreet Dental (Daskinamurthi) (GDS),Personal Dental Services,DENTAL SERVICES ENGLAND,24314/12,"26,788.00",
Department of Health,NHS Bolton ,30/07/2010,Pharmacy Issues,Sexual Health Service,HEALTHCARE AT HOME LIMITED,98034,"102,710.77",
Department of Health,NHS Bolton ,30/07/2010,Gross Budget,Continuing Care,MILLVIEW,24284/08,"88,457.21",
Department of Health,NHS Bolton ,30/07/2010,Free Nursing Care,Free Nursing Care,MILLVIEW,24284/08,"3,012.99",
Department of Health,NHS Bolton ,30/07/2010,Out of Area Residents,Free Nursing Care,MILLVIEW,24284/08,"2,366.87",
