Quarter,Geographical region,Country of nationality,Total enforced removals,Total Refused entry at port and subsequently departed,Total voluntary departures,Total non-asylum enforced removals,Non-asylum cases: Refused entry at port and subsequently departed,Total non-asylum voluntary departures,Non-asylum cases: Assisted Voluntary Returns,Non-asylum cases: Notified voluntary departures,Non-asylum cases:    Other confirmed voluntary departures,Total asylum enforced removals,Total asylum voluntary departures,Asylum cases: Assisted Voluntary Returns,Asylum cases: Notified voluntary departures,Asylum cases:    Other confirmed voluntary departures
2011 Q1,Americas,Virgin Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Virgin Islands (US),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Western Sahara,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2011 Q1,Middle East,Yemen,2,0,2,2,0,2,0,2,0,0,0,0,0,0
2011 Q1,Africa,Zambia,3,3,27,3,3,26,5,6,15,0,1,1,0,0
2011 Q1,Africa,Zimbabwe,7,3,73,3,3,35,1,8,26,4,38,29,6,3
2011 Q2,Total,*Total,"3,456","3,963","5,156","2,130","3,963","4,488",154,"1,525","2,809","1,326",668,301,253,114
2011 Q2,Africa,*Total Africa,703,611,970,377,611,811,28,357,426,326,159,62,64,33
2011 Q2,Americas,*Total Americas,343,"1,367",652,301,"1,367",643,55,194,394,42,9,0,9,0
2011 Q2,Asia,*Total Asia,"1,790",888,"2,892","1,006",888,"2,526",61,812,"1,653",784,366,193,116,57
2011 Q2,Europe,*Total Europe,512,638,356,418,638,318,9,92,217,94,38,7,24,7
2011 Q2,Middle East,*Total Middle East,98,192,240,22,192,144,1,47,96,76,96,39,40,17
2011 Q2,Oceania,*Total Oceania,4,153,38,3,153,38,0,16,22,1,0,0,0,0
2011 Q2,Other,*Total Other,6,114,8,3,114,8,0,7,1,3,0,0,0,0
2011 Q2,Asia,Afghanistan,296,70,69,17,70,4,0,3,1,279,65,34,11,20
2011 Q2,Europe,Albania,100,187,25,53,187,19,0,11,8,47,6,2,4,0
2011 Q2,Africa,Algeria,49,32,42,17,32,21,0,11,10,32,21,3,15,3
2011 Q2,Oceania,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Angola,7,19,12,1,19,4,0,0,4,6,8,4,4,0
2011 Q2,Americas,Anguilla (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Antigua and Barbuda,0,6,1,0,6,1,0,1,0,0,0,0,0,0
2011 Q2,Americas,Argentina,4,30,4,4,30,4,1,2,1,0,0,0,0,0
2011 Q2,Europe,Armenia,2,3,1,1,3,0,0,0,0,1,1,0,1,0
2011 Q2,Americas,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Australia,1,120,24,1,120,24,0,8,16,0,0,0,0,0
2011 Q2,Europe,Austria,2,1,0,2,1,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Azerbaijan,1,0,3,0,0,3,0,3,0,1,0,0,0,0
2011 Q2,Americas,"Bahamas, The",0,4,2,0,4,2,0,1,1,0,0,0,0,0
2011 Q2,Middle East,Bahrain,0,2,7,0,2,5,0,4,1,0,2,0,2,0
2011 Q2,Asia,Bangladesh,156,53,222,102,53,190,6,54,130,54,32,21,4,7
2011 Q2,Americas,Barbados,2,7,3,2,7,3,0,2,1,0,0,0,0,0
2011 Q2,Europe,Belarus,0,11,6,0,11,5,0,2,3,0,1,0,1,0
2011 Q2,Europe,Belgium,2,4,0,2,4,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Belize,0,4,1,0,4,1,0,0,1,0,0,0,0,0
2011 Q2,Africa,Benin,0,4,0,0,4,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Bermuda (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Asia,Bhutan,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Bolivia,39,32,18,38,32,18,6,2,10,1,0,0,0,0
2011 Q2,Americas,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Bosnia and Herzegovina,0,16,2,0,16,1,0,0,1,0,1,0,1,0
2011 Q2,Africa,Botswana,7,1,6,6,1,5,0,3,2,1,1,1,0,0
2011 Q2,Americas,Brazil,141,288,318,136,288,317,37,45,235,5,1,0,1,0
2011 Q2,Other,British overseas citizens,2,3,5,1,3,5,0,4,1,1,0,0,0,0
2011 Q2,Asia,Brunei,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Bulgaria,6,0,2,6,0,2,0,0,2,0,0,0,0,0
2011 Q2,Africa,Burkina,0,3,1,0,3,1,0,1,0,0,0,0,0,0
2011 Q2,Asia,Burma,1,4,9,0,4,9,0,5,4,1,0,0,0,0
2011 Q2,Africa,Burundi,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2011 Q2,Asia,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Cameroon,6,5,14,1,5,13,2,4,7,5,1,0,0,1
2011 Q2,Americas,Canada,7,122,31,3,122,28,0,9,19,4,3,0,3,0
2011 Q2,Africa,Cape Verde,0,9,0,0,9,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Cayman Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
