,Apr 2009 to Mar 2010,Jul 2009 to Jun 2010,Oct 2009 to Sep 2010,Jan 2010 to Dec 2010,Apr 2010 to Mar 2011,Jul 2010 to Jun 2011,Oct 2010 to Sep 2011,Jan 2011 to Dec 2011
Number of offenders in cohort,21,22,20,18,13,16,15,15
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),39.8,38.4,41.4,42.1,45.6,45.9,44.4,40.8
Average number of re-offences per re-offender,2.08,2.05,1.88,2.44,2.57,2.47,2.49,2.27
Average number of re-offences per offender,0.83,0.79,0.78,1.03,1.17,1.13,1.10,0.93
Number of re-offences,133,125,113,149,175,153,137,111
Number of offenders in cohort,161,159,145,145,149,135,124,120
Average number of previous offences per offender,37.7,39.3,41.2,39.0,39.3,42.0,39.5,41.7
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,9,6,3,11,8,8,19,21
Number of offenders in cohort,9,10,8,8,8,8,9,9
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),45.9,43.2,50.0,42.1,35.5,*,36.7,35.5
Average number of re-offences per re-offender,2.41,2.81,2.11,2.75,2.36,*,3.36,4.18
Average number of re-offences per offender,1.11,1.22,1.05,1.16,0.84,*,1.23,1.48
Number of re-offences,41,45,40,44,26,22,37,46
Number of offenders in cohort,37,37,38,38,31,28,30,31
Average number of previous offences per offender,70.0,77.8,80.2,82.9,86.5,*,85.0,86.0
Proportion of offenders who re-offend (%),40.0,34.2,34.7,28.8,22.4,23.0,23.6,26.9
Average number of re-offences per re-offender,2.21,1.70,1.80,1.84,2.77,3.36,3.85,2.50
Average number of re-offences per offender,0.88,0.58,0.63,0.53,0.62,0.77,0.91,0.67
Number of re-offences,75,46,45,35,36,47,50,35
Number of offenders in cohort,85,79,72,66,58,61,55,52
Average number of previous offences per offender,70.0,72.9,78.6,76.8,82.0,79.8,79.9,78.8
Proportion of offenders who re-offend (%),50.0,47.4,43.2,48.6,64.7,52.9,*,*
Average number of re-offences per re-offender,2.10,2.17,2.31,2.12,2.50,2.50,*,*
Average number of re-offences per offender,1.05,1.03,1.00,1.03,1.62,1.32,*,*
Number of re-offences,42,39,37,36,55,45,31,36
Number of offenders in cohort,40,38,37,35,34,34,27,24
Average number of previous offences per offender,59.4,60.8,64.0,60.9,62.4,61.4,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,8,16,15,10,11,8,18,25
Number of offenders in cohort,12,10,12,13,13,13,13,12
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),41.9,*,*,*,*,*,*,*
Average number of re-offences per re-offender,1.69,*,*,*,*,*,*,*
Average number of re-offences per offender,0.71,*,*,*,*,*,*,*
Number of re-offences,22,14,16,11,10,16,26,22
Number of offenders in cohort,31,25,27,29,27,29,25,21
Average number of previous offences per offender,49.0,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,21,25,22,21,17,21,19,15
Number of offenders in cohort,22,23,22,25,17,20,18,17
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,12,8,9,12,4,10,15,22
Number of offenders in cohort,20,19,17,19,14,16,17,14
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),43.7,38.0,36.9,41.7,45.6,51.0,54.6,57.0
Average number of re-offences per re-offender,3.01,2.97,2.35,2.60,2.54,2.53,2.80,2.91
Average number of re-offences per offender,1.32,1.13,0.87,1.08,1.16,1.29,1.53,1.66
Number of re-offences,208,178,129,156,170,192,199,189
Number of offenders in cohort,158,158,149,144,147,149,130,114
Average number of previous offences per offender,60.0,60.8,59.3,58.8,59.9,61.3,59.9,63.5
Proportion of offenders who re-offend (%),44.7,46.9,*,*,*,*,*,*
Average number of re-offences per re-offender,1.82,2.07,*,*,*,*,*,*
Average number of re-offences per offender,0.82,0.97,*,*,*,*,*,*
Number of re-offences,31,31,30,27,24,16,9,14
Number of offenders in cohort,38,32,27,27,25,25,22,21
Average number of previous offences per offender,47.5,50.0,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,15,9,6,14,15,17,26,25
Number of offenders in cohort,17,17,15,20,19,19,22,21
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),59.2,51.2,41.7,72.1,68.3,63.6,63.2,64.0
Average number of re-offences per re-offender,3.03,2.86,3.07,2.74,2.93,2.50,1.96,2.41
Average number of re-offences per offender,1.80,1.47,1.28,1.98,2.00,1.59,1.24,1.54
Number of re-offences,88,63,46,85,82,70,47,77
Number of offenders in cohort,49,43,36,43,41,44,38,50
Average number of previous offences per offender,85.2,87.4,81.5,80.3,87.6,82.8,81.5,80.0
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,22,14,8,10,12,10,1,1
Number of offenders in cohort,14,19,18,15,13,10,11,12
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,31,36,15,10,12,15,28,17
Number of offenders in cohort,24,21,19,16,15,16,20,18
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),40.5,44.3,40.4,47.7,43.2,49.6,50.0,55.1
Average number of re-offences per re-offender,3.00,2.58,2.55,2.38,2.50,2.52,2.93,3.06
Average number of re-offences per offender,1.22,1.14,1.03,1.14,1.08,1.25,1.46,1.69
Number of re-offences,141,111,97,100,95,164,199,214
Number of offenders in cohort,116,97,94,88,88,131,136,127
Average number of previous offences per offender,47.7,51.4,51.3,47.0,44.9,52.9,54.4,56.6
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,10,7,3,1,2,4,8,7
Number of offenders in cohort,18,18,16,14,16,13,14,12
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,33.3,*,*,*,*
Average number of re-offences per re-offender,*,*,*,2.30,*,*,*,*
Average number of re-offences per offender,*,*,*,0.77,*,*,*,*
Number of re-offences,25,30,26,23,36,30,30,30
Number of offenders in cohort,26,26,29,30,29,27,25,23
Average number of previous offences per offender,*,*,*,67.8,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,1,4,4,3,3,2,0,0
Number of offenders in cohort,4,6,7,5,4,4,3,5
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,31,38,48,47,49,31,29,29
Number of offenders in cohort,26,28,25,27,26,24,23,22
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),23.9,18.4,13.9,22.2,*,*,*,38.7
Average number of re-offences per re-offender,1.64,1.71,1.40,1.88,*,*,*,1.92
