Funder,Source File,Rating Year,Star rating guidance Provider,Grant Name,Prime/Sub,Stars,Total %,Delivery,Diversity,Conversion,Self Assessment,Participant Satisfaction,Grant Compliance,Target Group,Primary Outcome,No. of starters,Year of Delivery,Pan London,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City of London,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Funding Round and Spec
ESFA,Prospects 2055,2016/17,Prospects Services,Targeted NEET 16 - 18 PROGRAMME -  NorthEastAREA,Prime,1,53.3,38.7,0.0,0.0,6.4,0.0,8.2,16-18,Starts,222,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,16-18
ESFA,Prospects 2263,2016/17,Prospects Services,CAREER PROGRESSION FOR LOW SKILLED AND LOW PAID PARENTS AND OTHER WORKERS ,Prime,0,15.8,2.6,0.0,0.0,5.8,0.0,7.4,Adults,Starts,126,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,Adults
ESFA,Prospects 2293,2016/17,Prospects Services,CAREER PROGRESSION FOR LOW SKILLED AND LOW PAID PARENTS AND OTHER WORKERS,Prime,0,19.7,6.5,0.0,0.0,5.8,0.0,7.4,Adults,Starts,177,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,Adults
ESFA,REED 2044,2016/17,Reed in Partnership,BAME - Central,Prime,1,61.1,38.2,8.6,0.0,7.5,0.0,6.8,18-24,Starts,235,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,18-24
ESFA,REED 2045,2016/17,Reed in Partnership,BAME North and East,Prime,1,52.8,30.6,6.9,0.0,8.3,0.0,7.0,18-24,Starts,363,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,18-24
ESFA,REED 2046,2016/17,Reed in Partnership,BAME- South,Prime,1,54.3,31.9,8.6,0.0,7.5,0.0,6.4,18-24,Starts,88,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18-24
ESFA,REED 2047,2016/17,Reed in Partnership,BAME -West,Prime,1,48.8,27.2,7.9,0.0,7.5,0.0,6.2,18-24,Starts,91,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1, ,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18-24
ESFA,Reed 2026,2016/17,Reed in Partnership,18-24 TARGETED INTERVENTION NEET ,Prime,1,59.7,37.4,8.2,0.0,7.5,0.0,6.6,18-24,Starts,216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18-24
ESFA,Reed 2027,2016/17,Reed in Partnership,TARGETED INTERVENTION NEET WITH Learning DIFFICULTIES and or DISABILITY,Prime,1,49.7,25.9,10.0,0.0,8.3,0.0,5.6,16-24,Starts,272,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,16-24
ESFA,Reed 2028,2016/17,Reed in Partnership,Targetted Intervention NEET,Prime,1,40.1,21.1,6.3,0.0,7.5,0.0,5.2,18-24,Starts,86,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18-24
ESFA,Reed 2043,2016/17,Reed in Partnership,NEET Outreach Programme,Prime,2,64.6,39.5,9.6,0.0,8.3,0.0,7.2,16-24,Starts,1284,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,16-24
ESFA,Reed 2099,2016/17,Reed in Partnership,Targetted Intervention Mental Health,Prime,1,52.7,32.8,6.4,0.0,7.5,0.0,6.0,18-24,Starts,87,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18-24
ESFA,Central Prime NEW,2016/17,SEETEC,Careers Guidance Central,Prime,0,23.9,7.7,1.7,0.0,6.6,0.0,8.0,16 to 18,Starts,61,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,16 to 18
ESFA,NE Prime NEW,2016/17,SEETEC,Careers Guidance North & East,Prime,0,36.5,14.3,7.7,0.0,6.6,0.0,8.0,16 to 18,Starts,248,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,16 to 18
ESFA,South Prime NEW,2016/17,SEETEC,Careers Guidance South,Prime,1,53.9,35.9,5.1,0.0,6.6,0.0,6.4,16 to 18,Starts,437,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,16 to 18
ESFA,TMH Prime NEW,2016/17,SEETEC,TMH(Support),Prime,0,36.7,19.8,2.0,0.0,6.9,0.0,8.0,,Starts,268,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,
ESFA,West Prime NEW,2016/17,SEETEC,Careers | Guidance West,Prime,0,20.1,3.3,2.2,0.0,6.6,0.0,8.0,16 to 18,Starts,41,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 to 18
ESFA,YT Prime NEW,2016/17,SEETEC,Youth Talent Central,Prime,0,26.2,8.8,2.8,0.0,6.6,0.0,8.0,16 to 24,Starts,277,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,16 to 24
ESFA,Skills Training ESF 2085,2016/17,Skills Training UK ,YOUTH TALENT - WEST AREA,Prime,1,58.2,25.0,10.8,0.0,8.1,6.7,7.6,16-24,Starts,466,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16-24
ESFA,Skills Training ESF 2089,2016/17,Skills Training UK ,YOUTH TALENT - NORTH AND EAST AREA,Prime,1,56.7,25.0,9.6,0.0,8.1,6.4,7.6,16-24,Starts,1035,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,16-24
ESFA,Skills Training ESF 2091,2016/17,Skills Training UK ,YOUTH TALENT - SOUTH AREA,Prime,0,35.6,11.2,8.8,0.0,8.1,0.0,7.6,16-24,Starts,194,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,16-24
ESFA,South Thames College 2033,2016/17,South Thames College,Interventions for NEET 16-24 LLDD; CENTRAL,Prime,1,43.6,24.3,5.9,0.0,7.9,0.0,5.6,16-24,Starts,137,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,16-24
ESFA,South Thames College 2034,2016/17,South Thames College,Interventions for NEET 16-24 LLDD; SOUTH,Prime,0,35.4,16.4,6.5,0.0,7.9,0.0,4.6,16-24,Starts,37,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,16-24
ESFA,WKCIC Group 2264,2016/17,WKCIC Group,"Targeted Not In Education, Employment or Training (NEET) Programme for 18-24",Prime,1,45.6,25.8,7.3,0.0,6.8,0.0,5.8,18-24,Starts,135,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,18-24
ESFA,EPR Calculator 2016-17 V6 for Providers Manley Summers 2262,2016/17,Manley Summers,Career Progression for Low Paid,Prime,1,47.9,19.1,11.4,0.0,9.0,8.4,0.0,18 to any age,Starts,164,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Providers Manley Summers 2294,2016/17,Manley Summers,Career Progression for Low Skilled,Prime,1,48.2,21.7,9.3,0.0,9.0,8.2,0.0,18 to any age,Starts,185,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Adult Training,2016/17,Adult Training Network,Career Progression for Low Paid,Sub,2,71.6,44.6,11.7,0.0,6.7,8.5,0.0,18 to any age,Starts,52,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub All Dimension,2016/17,All Dimension,Career Progression for Low Skilled,Sub,0,30.3,4.3,11.2,0.0,6.7,8.1,0.0,18 to any age,Starts,5,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Burleigh College,2016/17,Burleigh College,Career Progression for Low Paid,Sub,0,6.7,0.0,0.0,0.0,6.7,0.0,0.0,18 to any age,Starts,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Career Wise (2),2016/17,Career Wise,Career Progression for Low Paid,Sub,2,65.4,38.6,11.6,0.0,6.7,8.5,0.0,18 to any age,Starts,45,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Career Wise,2016/17,Career Wise,Career Progression for Low Skilled,Sub,1,49.5,25.7,9.1,0.0,6.7,7.9,0.0,18 to any age,Starts,30,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub CECOS,2016/17,CECOS,Career Progression for Low Paid,Sub,1,46.0,21.4,9.3,0.0,6.7,8.5,0.0,18 to any age,Starts,25,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Construction Skills,2016/17,Construction Skills,Career Progression for Low Skilled,Sub,0,6.7,0.0,0.0,0.0,6.7,0.0,0.0,18 to any age,Starts,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Croydon Borough Council,2016/17,Croydon Borough Council,Career Progression for Low Skilled,Sub,0,6.7,0.0,0.0,0.0,6.7,0.0,0.0,18 to any age,Starts,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Each One Teach One,2016/17,Each One Teach One,Career Progression for Low Paid,Sub,0,35.4,8.6,11.6,0.0,6.7,8.5,0.0,18 to any age,Starts,10,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub London Cactus College,2016/17,London Cactus College,Career Progression for Low Paid,Sub,0,36.2,11.1,9.8,0.0,6.7,8.5,0.0,18 to any age,Starts,13,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub London Vocational College,2016/17,London Vocational College,Career Progression for Low Skilled,Sub,2,72.5,48.0,9.3,0.0,6.7,8.5,0.0,18 to any age,Starts,64,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Manley Summers,2016/17,Manley Summers,Career Progression for Low Skilled,Sub,0,32.8,18.0,8.0,0.0,6.7,0.0,0.0,18 to any age,Starts,21,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Paddington Development Trust,2016/17,Paddington Development Trust,Career Progression for Low Paid,Sub,0,33.3,6.0,12.0,0.0,6.7,8.5,0.0,18 to any age,Starts,7,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Rapid Improvement,2016/17,Rapid Improvement,Career Progression for Low Skilled,Sub,1,46.5,20.6,10.7,0.0,6.7,8.5,0.0,18 to any age,Starts,24,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Stanmore College,2016/17,Stanmore College,Career Progression for Low Paid,Sub,0,6.7,0.0,0.0,0.0,6.7,0.0,0.0,18 to any age,Starts,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Successful Mums,2016/17,Successful Mums,Career Progression for Low Skilled,Sub,0,6.7,0.0,0.0,0.0,6.7,0.0,0.0,18 to any age,Starts,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub Talent Training,2016/17,Talent Training,Career Progression for Low Paid,Sub,0,37.6,10.3,12.0,0.0,6.7,8.5,0.0,18 to any age,Starts,12,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 to any age
ESFA,EPR Calculator 2016-17 V6 for Sub UCRA,2016/17,Uganda Community Relief Association (UCRA),Career Progression for Low Skilled,Sub,1,6.7,0.0,0.0,0.0,6.7,0.0,0.0,18 to any age,Starts,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18 to any age
EPMU Direct Bids,(Affinity Sutton) EPR Calculator 2016-17 .xlsm,2016/17,Affinity Sutton,Love London Working,Prime,1,40.5,14.4,9.7,0.0,7.8,0.0,8.6,Unemployed and economically inactive,Starts,463,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(A2 Dominion) EPR Calculator 2016-17.xlsm,2016/17,A2 Dominion,Love London Working,Sub,2,64.6,40.5,10.4,0.0,8.4,0.0,5.2,Unemployed and economically inactive,Starts,122,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Amicus Horizon) EPR Calculator 2016-17.xlsm,2016/17,Amicus Horizon,Love London Working,Sub,1,46.4,25.9,6.7,0.0,8.0,0.0,5.8,Unemployed and economically inactive,Starts,192,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Catalyst) EPR Calculator 2016-17 .xlsm,2016/17,Catalyst Gateway,Love London Working,Sub,2,67.7,45.9,9.4,0.0,6.5,0.0,5.8,Unemployed and economically inactive,Starts,233,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Charlton Triangle) EPR Calculator 2016-17.xlsm,2016/17,Charlton Triangle ,Love London Working,Sub,2,64.7,40.0,11.4,0.0,6.3,0.0,7.0,Unemployed and economically inactive,Starts,372,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Circle) EPR Calculator 2016-17 .xlsm,2016/17,Circle Housing,Love London Working,Sub,1,42.6,19.8,10.8,0.0,7.0,0.0,5.0,Unemployed and economically inactive,Starts,316,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(East Thames) EPR Calculator 2016-17.xlsm,2016/17,East Thames ,Love London Working,Sub,2,70.9,46.5,11.1,0.0,5.3,0.0,8.0,Unemployed and economically inactive,Starts,308,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Family Mosaic) EPR Calculator 2016-17.xlsm,2016/17,Family Mosaic,Love London Working,Sub,0,36.7,16.3,9.7,0.0,5.7,0.0,5.0,Unemployed and economically inactive,Starts,244,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Hexagon) EPR Calculator 2016-17.xlsm,2016/17,Hexagon,Love London Working,Sub,2,74.5,48.0,10.3,0.0,7.6,0.0,8.6,Unemployed and economically inactive,Starts,133,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Hyde Housing) EPR Calculator 2016-17.xlsm,2016/17,Hyde Housing,Love London Working,Sub,1,53.6,27.4,10.8,0.0,8.4,0.0,7.0,Unemployed and economically inactive,Starts,403,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(London & Quadrant) EPR Calculator 2016-17.xlsm,2016/17,London & Quadrant,Love London Working,Sub,1,41.0,18.1,8.8,0.0,7.6,0.0,6.6,Unemployed and economically inactive,Starts,186,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Orbit) DC EPR Calculator 2016-17.xlsm,2016/17,Orbit South,Love London Working,Sub,0,20.6,0.0,4.2,0.0,9.0,0.0,7.4,Unemployed and economically inactive,Starts,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Peabody) EPR Calculator 2016-17.xlsm,2016/17,Peabody,Love London Working,Sub,2,64.2,39.6,9.0,0.0,7.0,0.0,8.6,Unemployed and economically inactive,Starts,357,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Poplar HARCA) EPR Calculator 2016-17.xlsm,2016/17,Poplar Harca,Love London Working,Sub,1,55.4,30.9,8.7,0.0,8.2,0.0,7.6,Unemployed and economically inactive,Starts,259,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Southern) EPR Calculator 2016-17.xlsm,2016/17,Southern Housing,Love London Working,Sub,1,42.7,20.9,7.4,0.0,7.8,0.0,6.6,Unemployed and economically inactive,Starts,269,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,(Wandle) EPR Calculator 2016-17 V7 for Providers MM.xlsm,2016/17,Wandle Housing,Love London Working,Sub,0,12.6,0.0,0.0,0.0,7.6,0.0,5.0,Unemployed and economically inactive,Starts,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unemployed and economically inactive
EPMU Direct Bids,Working Capital 2015-16,2015/16,City of London Corporation,Working Capital,Prime,0,26.0,4.2,6.0,0.0,8.4,0.0,7.4,Economically Inactive,Starts,157,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,Economically Inactive
EPMU Direct Bids,Working Capital 2015-16,2015/16,APM,Working Capital,Sub,0,24.3,4.2,6.0,0.0,6.3,0.0,7.8,Economically Inactive,Starts,157,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,Economically Inactive
EPMU Direct Bids,Working Capital 2016-17,2016/17,APM,Working Capital ,Sub,0,32.2,7.6,4.6,0.0,6.5,6.5,7.0,Economically inactive,Jobs,435,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,Economically inactive
EPMU Direct Bids,Working Capital 2016-17,2016/17,City of London Corporation ,Working Capital ,Prime,0,32.7,7.6,4.6,0.0,8.6,6.5,5.4,Economically inactive,Jobs,435,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,Economically inactive
