Region,Ethnicity,Funded Learners 2008/09 Under 19 Number,% of Ethnicity,19-24 Number,% of Ethnicity,25+ Number,% of Ethnicity,All Number,2009/10 Under 19 Number,% of Ethnicity,19-24 Number,% of Ethnicity,25+ Number,% of Ethnicity,All Number,2010/11 Under 19 Number,% of Ethnicity,19-24 Number,% of Ethnicity,25+ Number,% of Ethnicity,All Number,2011/12 Under 19 Number,% of Ethnicity,19-24 Number,% of Ethnicity,25+ Number,% of Ethnicity,All Number,2012/13 Under 19 Number,% of Ethnicity,19-24 Number,% of Ethnicity,25+ Number,% of Ethnicity,All Number
,White,"13,810",47.0%,"9,420",32.0%,"6,170",21.0%,"29,400","14,920",44.2%,"13,040",38.6%,"5,820",17.2%,"33,780","15,630",30.4%,"15,660",30.4%,"20,160",39.2%,"51,450","16,680",28.3%,"18,200",30.9%,"24,100",40.9%,"58,990","14,190",25.7%,"17,860",32.3%,"23,250",42.0%,"55,310"
,Not Known/Not Provided,140,35.9%,100,26.3%,150,37.8%,380,50,18.0%,120,41.4%,120,40.7%,300,80,17.6%,110,24.0%,270,58.5%,470,70,17.9%,110,28.3%,200,53.9%,380,40,10.2%,120,32.7%,210,57.1%,370
East Midlands,Asian/ Asian British,280,37.4%,230,30.3%,250,32.3%,760,250,35.3%,280,39.9%,180,24.9%,710,330,20.6%,330,20.5%,950,58.9%,"1,620",280,18.5%,400,26.0%,850,55.5%,"1,540",240,14.9%,430,27.1%,910,58.0%,"1,570"
,Black/ African/ Caribbean/ Black British,70,27.8%,70,27.8%,110,44.3%,240,120,36.7%,120,36.4%,90,26.9%,320,130,20.7%,140,21.1%,380,58.2%,650,110,14.9%,140,18.4%,500,66.7%,740,80,10.2%,140,18.9%,530,70.9%,750
,Mixed/ Multiple Ethnic Group,160,48.2%,120,35.8%,50,16.0%,340,230,48.3%,200,41.8%,50,9.9%,480,250,37.8%,200,30.7%,210,31.5%,660,270,35.7%,250,32.7%,240,31.6%,750,240,30.3%,290,36.8%,260,32.9%,790
,Other Ethnic Group,20,29.0%,30,39.1%,20,31.9%,70,30,30.1%,30,33.7%,30,36.1%,80,30,10.5%,40,17.6%,170,72.0%,240,20,10.7%,50,29.6%,100,59.8%,170,20,9.6%,60,28.8%,120,61.6%,200
,Total BAME,530,38.0%,440,31.6%,430,30.4%,"1,400",620,39.2%,630,39.4%,340,21.4%,"1,590",740,23.4%,710,22.5%,"1,710",54.0%,"3,160",680,21.3%,830,26.0%,"1,690",52.7%,"3,200",570,17.2%,910,27.6%,"1,830",55.2%,"3,310"
,White,"9,030",44.0%,"7,160",34.8%,"4,350",21.2%,"20,540","10,190",44.7%,"9,290",40.7%,"3,330",14.6%,"22,810","11,010",29.5%,"11,570",31.0%,"14,740",39.5%,"37,310","11,320",26.1%,"13,540",31.3%,"18,450",42.6%,"43,310","10,710",23.6%,"14,760",32.5%,"19,940",43.9%,"45,420"
,Not Known/Not Provided,70,31.5%,80,34.0%,80,34.5%,240,40,16.4%,70,31.9%,120,51.8%,230,90,24.6%,80,20.7%,210,54.7%,380,40,14.7%,70,25.2%,170,60.1%,280,50,17.7%,90,30.4%,150,51.9%,280
West Midlands,Asian/ Asian British,650,35.8%,610,33.2%,570,31.0%,"1,830",680,39.5%,640,37.3%,400,23.2%,"1,720","1,040",28.5%,910,24.9%,"1,700",46.6%,"3,660",920,26.0%,990,28.1%,"1,620",45.9%,"3,540",540,15.2%,"1,070",30.2%,"1,940",54.6%,"3,550"
,Black/ African/ Caribbean/ Black British,220,32.3%,220,32.7%,240,35.0%,680,320,36.7%,300,34.1%,250,29.2%,870,470,23.9%,450,23.0%,"1,030",53.0%,"1,950",390,18.5%,380,18.0%,"1,340",63.5%,"2,110",210,9.9%,420,19.9%,"1,480",70.2%,"2,110"
,Mixed/ Multiple Ethnic Group,310,48.5%,220,34.8%,110,16.7%,640,420,51.3%,320,38.3%,90,10.4%,830,620,43.4%,500,34.8%,310,21.8%,"1,430",570,36.7%,520,33.5%,460,29.8%,"1,540",420,26.1%,620,38.5%,570,35.4%,"1,610"
,Other Ethnic Group,30,27.0%,40,35.1%,40,37.8%,110,40,33.9%,40,33.1%,40,33.1%,130,70,20.7%,80,21.2%,210,58.1%,360,30,11.5%,70,27.0%,170,61.5%,270,40,13.3%,80,24.2%,210,62.5%,330
,Total BAME,"1,210",37.3%,"1,090",33.5%,950,29.3%,"3,260","1,470",41.4%,"1,300",36.6%,780,22.0%,"3,540","2,200",29.8%,"1,930",26.1%,"3,260",44.1%,"7,390","1,910",25.6%,"1,960",26.3%,"3,590",48.1%,"7,460","1,210",16.0%,"2,190",28.8%,"4,190",55.2%,"7,590"
,White,"10,000",41.3%,"8,510",35.1%,"5,730",23.6%,"24,250","11,940",43.1%,"11,070",39.9%,"4,720",17.0%,"27,730","13,380",28.8%,"14,800",31.9%,"18,230",39.3%,"46,400","13,670",26.0%,"16,360",31.1%,"22,520",42.9%,"52,550","11,290",20.8%,"17,510",32.2%,"25,540",47.0%,"54,350"
,Not Known/Not Provided,120,34.3%,130,36.8%,100,28.9%,360,180,40.1%,160,34.5%,110,25.4%,450,110,21.6%,160,31.9%,230,46.5%,500,90,19.1%,150,32.5%,220,48.5%,460,90,17.9%,190,38.0%,220,44.1%,490
East of England,Asian/ Asian British,180,33.0%,170,30.4%,200,36.5%,540,160,34.9%,180,39.4%,120,25.7%,470,250,21.8%,260,22.3%,650,56.0%,"1,160",210,19.1%,260,24.2%,610,56.8%,"1,080",130,10.9%,280,23.3%,800,65.9%,"1,220"
,Black/ African/ Caribbean/ Black British,60,22.6%,80,31.5%,120,45.9%,260,80,29.4%,90,34.1%,90,36.5%,260,130,17.2%,130,17.1%,490,65.7%,740,120,14.1%,130,15.8%,590,70.1%,850,100,10.1%,140,14.7%,710,75.2%,940
,Mixed/ Multiple Ethnic Group,140,46.4%,120,39.9%,40,13.7%,310,170,47.4%,150,40.2%,50,12.4%,360,230,37.0%,230,37.7%,150,25.2%,610,250,30.0%,310,37.2%,270,32.9%,830,240,28.0%,290,33.3%,340,38.8%,870
,Other Ethnic Group,10,22.2%,20,36.5%,30,41.3%,60,20,25.8%,50,49.5%,20,24.7%,90,40,15.7%,50,20.9%,150,63.5%,230,40,11.4%,80,26.3%,190,62.3%,310,40,11.7%,130,34.8%,190,53.5%,360
,Total BAME,390,33.6%,390,33.5%,380,32.9%,"1,170",430,36.8%,460,39.3%,280,23.9%,"1,180",640,23.4%,660,24.2%,"1,440",52.4%,"2,740",610,19.8%,780,25.6%,"1,670",54.5%,"3,060",510,15.1%,840,24.7%,"2,040",60.2%,"3,390"
,White,"8,100",40.9%,"7,280",36.7%,"4,450",22.4%,"19,830","9,690",43.2%,"9,450",42.2%,"3,270",14.6%,"22,410","11,450",31.2%,"11,970",32.6%,"13,250",36.1%,"36,670","11,460",27.1%,"13,530",31.9%,"17,360",41.0%,"42,350","10,370",24.5%,"14,250",33.7%,"17,690",41.8%,"42,310"
,Not Known/Not Provided,60,36.4%,60,36.4%,50,27.3%,180,50,33.8%,40,30.9%,50,35.3%,140,60,18.3%,80,22.1%,210,59.6%,350,80,19.8%,110,26.0%,230,54.2%,420,130,24.8%,180,34.0%,220,41.2%,520
London,Asian/ Asian British,610,30.2%,650,32.2%,760,37.6%,"2,020",760,31.8%,980,40.9%,650,27.3%,"2,390","1,350",22.5%,"1,690",28.3%,"2,930",49.1%,"5,970","1,370",21.2%,"1,810",28.0%,"3,290",50.8%,"6,480","1,010",17.4%,"1,790",30.9%,"2,990",51.6%,"5,790"
,Black/ African/ Caribbean/ Black British,560,24.8%,720,31.9%,980,43.3%,"2,250",920,33.5%,"1,110",40.3%,720,26.2%,"2,750","1,620",21.3%,"2,050",26.9%,"3,930",51.8%,"7,600","1,540",16.5%,"2,290",24.5%,"5,520",59.1%,"9,350","1,330",15.7%,"2,120",25.0%,"5,010",59.3%,"8,450"
,Mixed/ Multiple Ethnic Group,350,41.2%,300,35.7%,200,23.0%,850,540,44.3%,530,43.0%,160,12.7%,"1,220",780,34.7%,870,38.9%,590,26.4%,"2,240",810,30.0%,940,34.6%,960,35.4%,"2,710",720,25.4%,"1,120",39.2%,"1,010",35.3%,"2,850"
,Other Ethnic Group,90,20.2%,170,37.7%,190,42.0%,440,140,26.9%,210,41.4%,160,31.7%,520,260,21.5%,340,28.3%,610,50.2%,"1,210",250,19.0%,320,24.3%,740,56.7%,"1,300",210,18.1%,320,28.1%,610,53.8%,"1,140"
,Total BAME,"1,610",28.9%,"1,840",33.0%,"2,120",38.1%,"5,560","2,360",34.3%,"2,820",41.1%,"1,690",24.6%,"6,880","4,000",23.5%,"4,950",29.1%,"8,060",47.4%,"17,020","3,970",20.0%,"5,350",27.0%,"10,510",53.0%,"19,830","3,270",17.9%,"5,350",29.3%,"9,620",52.8%,"18,230"
,White,"4,390",38.8%,"3,850",34.0%,"3,080",27.2%,"11,320","5,400",41.2%,"5,620",42.8%,"2,100",16.0%,"13,120","6,410",27.3%,"7,790",33.2%,"9,290",39.6%,"23,490","6,570",24.7%,"8,180",30.8%,"11,820",44.5%,"26,570","6,110",23.6%,"8,400",32.5%,"11,370",43.9%,"25,880"
,Not Known/Not Provided,100,33.4%,100,31.8%,100,34.8%,300,120,34.8%,130,35.7%,100,29.5%,350,210,23.7%,220,25.1%,460,51.2%,890,130,15.8%,210,24.5%,500,59.7%,840,110,11.7%,280,29.6%,560,58.7%,960
South East,Asian/ Asian British,200,21.9%,330,36.7%,370,41.4%,890,270,27.3%,400,40.1%,330,32.6%,"1,000",470,27.0%,450,26.1%,810,46.9%,"1,730",420,20.5%,510,24.7%,"1,130",54.8%,"2,060",380,17.7%,570,26.9%,"1,180",55.4%,"2,120"
,Black/ African/ Caribbean/ Black British,70,11.6%,180,28.3%,380,60.1%,640,100,12.3%,270,32.5%,470,55.2%,840,140,14.6%,180,19.1%,640,66.3%,960,120,10.2%,180,16.0%,850,73.9%,"1,150",110,8.6%,230,17.0%,990,74.4%,"1,330"
,Mixed/ Multiple Ethnic Group,160,31.8%,230,44.9%,120,23.3%,500,230,38.3%,270,44.2%,110,17.5%,610,300,34.9%,310,35.5%,260,29.7%,860,270,25.8%,360,34.6%,410,39.6%,"1,040",310,26.2%,410,34.9%,450,38.9%,"1,160"
,Other Ethnic Group,20,12.6%,70,45.0%,60,42.4%,150,30,13.0%,90,46.6%,80,40.4%,190,30,9.4%,80,21.7%,240,68.9%,350,90,18.0%,110,22.0%,290,60.0%,480,40,7.4%,100,19.4%,370,73.2%,500
,Total BAME,450,20.5%,800,36.7%,930,42.7%,"2,190",630,24.0%,"1,030",39.1%,980,36.9%,"2,640",940,24.1%,"1,020",26.0%,"1,940",49.8%,"3,900",890,18.9%,"1,160",24.5%,"2,680",56.6%,"4,730",830,16.3%,"1,300",25.4%,"2,990",58.3%,"5,120"
,White,"12,210",37.5%,"13,180",40.5%,"7,190",22.1%,"32,580","13,820",38.1%,"17,050",47.1%,"5,360",14.8%,"36,230","14,670",27.2%,"19,480",36.1%,"19,850",36.8%,"53,990","15,250",24.8%,"21,460",34.9%,"24,810",40.3%,"61,520","14,390",22.7%,"22,850",36.1%,"26,040",41.1%,"63,280"
,Not Known/Not Provided,100,37.5%,90,33.9%,80,28.5%,280,80,31.9%,90,35.9%,80,32.3%,250,120,25.6%,110,23.8%,230,50.6%,450,100,16.2%,150,24.9%,350,58.9%,600,130,22.4%,140,25.3%,290,52.3%,560
South West ,Asian/ Asian British,80,16.3%,180,38.5%,210,45.2%,470,40,13.5%,180,54.1%,110,32.4%,330,50,8.7%,170,30.9%,340,60.5%,560,60,9.4%,220,33.2%,380,57.4%,660,50,8.8%,160,29.8%,320,61.5%,520
,Black/ African/ Caribbean/ Black British,30,9.6%,120,35.6%,180,54.8%,330,40,11.0%,140,35.8%,210,53.1%,400,60,10.3%,140,22.5%,400,67.2%,600,50,8.3%,110,18.8%,430,73.0%,590,50,7.4%,120,19.5%,440,73.1%,610
,Mixed/ Multiple Ethnic Group,100,34.0%,130,45.4%,60,20.6%,280,130,34.9%,160,44.3%,80,20.8%,370,150,25.0%,250,42.0%,200,33.0%,600,130,20.5%,250,39.3%,260,40.2%,640,140,21.2%,240,37.3%,270,41.5%,640
,Other Ethnic Group,20,15.7%,50,37.8%,60,46.5%,130,10,9.6%,70,52.6%,50,37.8%,140,20,5.1%,80,26.1%,220,68.8%,310,20,6.8%,50,19.7%,170,73.5%,230,40,16.3%,50,22.5%,150,61.3%,240
,Total BAME,220,18.5%,480,39.3%,510,42.2%,"1,210",230,18.7%,560,45.1%,450,36.2%,"1,230",280,13.3%,640,30.9%,"1,160",55.7%,"2,080",260,12.1%,630,29.5%,"1,240",58.4%,"2,130",270,13.2%,570,28.2%,"1,180",58.6%,"2,010"
,White,"10,210",38.8%,"10,460",39.8%,"5,630",21.4%,"26,300","12,330",36.7%,"14,800",44.1%,"6,440",19.2%,"33,560","12,490",26.7%,"16,410",35.0%,"17,930",38.3%,"46,830","12,710",23.8%,"18,480",34.6%,"22,190",41.6%,"53,390","12,180",24.4%,"17,670",35.3%,"20,170",40.3%,"50,020"
,Not Known/Not Provided,130,44.6%,80,28.2%,80,27.1%,280,60,26.6%,60,26.2%,110,47.2%,230,90,21.6%,120,27.5%,220,50.8%,430,90,20.4%,120,27.2%,230,52.4%,440,140,27.8%,130,26.0%,240,46.2%,510
Other,Asian/ Asian British,20,26.1%,40,47.8%,20,26.1%,90,20,47.1%,20,33.3%,10,19.6%,50,30,30.3%,20,22.5%,40,47.2%,90,30,23.2%,40,26.1%,70,50.7%,140,20,12.0%,30,24.0%,80,64.0%,130
,Black/ African/ Caribbean/ Black British,10,18.4%,10,36.8%,20,44.7%,40,20,55.2%,10,27.6%,10,17.2%,30,20,19.8%,20,18.9%,70,61.3%,110,10,11.9%,20,16.9%,80,71.2%,120,10,8.0%,30,22.5%,100,69.6%,140
,Mixed/ Multiple Ethnic Group,10,36.8%,20,39.5%,10,23.7%,40,20,50.0%,10,38.9%,-,-,40,30,57.1%,10,25.0%,10,17.9%,60,30,27.7%,30,34.0%,40,38.3%,90,20,22.5%,30,36.3%,30,41.3%,80
,Other Ethnic Group,-,-,-,-,-,-,10,-,-,-,-,-,-,10,-,-,10,22.7%,20,68.2%,20,10,28.3%,10,19.6%,20,52.2%,50,10,16.3%,10,32.6%,20,51.2%,40
,Total BAME,50,25.7%,80,43.4%,50,30.9%,180,60,50.4%,40,33.3%,20,16.3%,120,80,29.9%,60,21.6%,140,48.6%,280,90,21.5%,100,24.5%,210,54.0%,400,50,13.2%,100,26.9%,230,59.8%,390
,White,"1,090",42.4%,920,35.8%,560,21.8%,"2,580","1,250",47.4%,950,35.9%,440,16.7%,"2,640","1,100",28.0%,"1,270",32.4%,"1,540",39.5%,"3,910","1,210",23.7%,"1,590",31.0%,"2,320",45.3%,"5,120","1,440",25.8%,"1,810",32.5%,"2,320",41.7%,"5,570"
,Not Known/Not Provided,20,38.2%,30,45.5%,10,16.4%,60,10,34.8%,10,43.5%,10,21.7%,20,10,16.2%,10,21.6%,20,62.2%,40,10,7.1%,30,32.1%,50,60.7%,80,10,14.8%,20,24.7%,50,60.5%,80
