Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
"Bismarck, ND M.S.A.",,102688.0,,,,,,,,,
,Includes Burleigh and Morton Counties,,,,,,,,,,
,City of Bismarck,58648.0,108.0,1.0,25.0,11.0,71.0,1550.0,255.0,1194.0,101.0
,Total area actually reporting,1.0,172.0,1.0,44.0,14.0,113.0,2197.0,369.0,1673.0,155.0
,"Rate per 100,000 inhabitants",,167.5,1.0,42.8,13.6,110.0,2139.5,359.3,1629.2,150.9
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,151219.0,,,,,,,,,
,"Includes Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,39250.0,63.0,0.0,8.0,10.0,45.0,656.0,120.0,520.0,16.0
,City of Christiansburg,17983.0,53.0,0.0,1.0,7.0,45.0,762.0,111.0,622.0,29.0
,City of Radford,14317.0,40.0,0.0,8.0,5.0,27.0,502.0,120.0,359.0,23.0
,Total area actually reporting,1.0,316.0,32.0,45.0,41.0,198.0,4240.0,838.0,3234.0,168.0
,"Rate per 100,000 inhabitants",,209.0,21.2,29.8,27.1,130.9,2803.9,554.2,2138.6,111.1
"Bloomington, IN M.S.A.",,179055.0,,,,,,,,,
,"Includes Greene, Monroe, and Owen Counties",,,,,,,,,,
,City of Bloomington,68918.0,275.0,1.0,24.0,72.0,178.0,2898.0,666.0,2060.0,172.0
,Total area actually reporting,0.826,389.0,4.0,39.0,91.0,255.0,4373.0,1078.0,3025.0,270.0
,Estimated total,1.0,431.0,4.0,43.0,102.0,282.0,5022.0,1208.0,3492.0,322.0
,"Rate per 100,000 inhabitants",,240.7,2.2,24.0,57.0,157.5,2804.7,674.7,1950.2,179.8
"Boise City-Nampa, ID M.S.A.",,586066.0,,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",,,,,,,,,,
,City of Boise,199104.0,648.0,10.0,122.0,68.0,448.0,6175.0,1018.0,4778.0,379.0
,City of Nampa,80397.0,260.0,5.0,55.0,17.0,183.0,2508.0,613.0,1643.0,252.0
,Total area actually reporting,1.0,1570.0,21.0,278.0,129.0,1142.0,14564.0,3025.0,10433.0,1106.0
,"Rate per 100,000 inhabitants",,267.9,3.6,47.4,22.0,194.9,2485.0,516.2,1780.2,188.7
"Boston-Cambridge-Quincy, MA-NH M.S.A.2",,4460277.0,,,,,,,,,
,"Includes the Metropolitan Divisions of Boston-Quincy, MA; Cambridge-Newton-Framingham, MA; and Peabody, MA and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA",591855.0,6837.0,65.0,263.0,2242.0,4267.0,24579.0,3810.0,17351.0,3418.0
,"City of Cambridge, MA2",101161.0,421.0,0.0,12.0,148.0,261.0,3616.0,662.0,2718.0,236.0
,"City of Quincy, MA",91382.0,253.0,2.0,16.0,70.0,165.0,1877.0,589.0,1147.0,141.0
,"City of Newton, MA",82731.0,78.0,0.0,8.0,13.0,57.0,1306.0,184.0,1079.0,43.0
,"City of Framingham, MA",64482.0,107.0,0.0,3.0,29.0,75.0,1380.0,211.0,1018.0,151.0
,"City of Waltham, MA",59425.0,125.0,0.0,11.0,19.0,95.0,820.0,172.0,594.0,54.0
,"City of Peabody, MA",52194.0,128.0,0.0,7.0,16.0,105.0,1235.0,126.0,1002.0,107.0
,Total area actually reporting,0.979,17096.0,123.0,950.0,4751.0,11272.0,100025.0,20595.0,69908.0,9522.0
,Estimated total,1.0,17261.0,124.0,969.0,4782.0,11386.0,101681.0,20970.0,71081.0,9630.0
,"Rate per 100,000 inhabitants",,387.0,2.8,21.7,107.2,255.3,2279.7,470.2,1593.6,215.9
"Boston-Quincy, MA M.D.",,1839638.0,,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,0.983,10473.0,93.0,482.0,3215.0,6683.0,48682.0,9192.0,34162.0,5328.0
,Estimated total,1.0,10565.0,94.0,488.0,3233.0,6750.0,49322.0,9352.0,34591.0,5379.0
,"Rate per 100,000 inhabitants",,574.3,5.1,26.5,175.7,366.9,2681.1,508.4,1880.3,292.4
"Cambridge-Newton-Framingham, MA M.D.2",,1466454.0,,,,,,,,,
,Includes Middlesex County,,,,,,,,,,
,Total area actually reporting,0.998,3461.0,13.0,229.0,937.0,2282.0,29693.0,6303.0,21079.0,2311.0
,Estimated total,1.0,3471.0,13.0,230.0,939.0,2289.0,29758.0,6319.0,21123.0,2316.0
,"Rate per 100,000 inhabitants",,236.7,0.9,15.7,64.0,156.1,2029.2,430.9,1440.4,157.9
"Peabody, MA M.D.",,737494.0,,,,,,,,,
,Includes Essex County,,,,,,,,,,
,Total area actually reporting,0.995,2725.0,16.0,153.0,527.0,2029.0,15178.0,3951.0,9709.0,1518.0
,Estimated total,1.0,2735.0,16.0,154.0,529.0,2036.0,15245.0,3968.0,9754.0,1523.0
,"Rate per 100,000 inhabitants",,370.9,2.2,20.9,71.7,276.1,2067.1,538.0,1322.6,206.5
"Rockingham County-Strafford County, NH M.D.",,416691.0,,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,0.864,437.0,1.0,86.0,72.0,278.0,6472.0,1149.0,4958.0,365.0
,Estimated total,1.0,490.0,1.0,97.0,81.0,311.0,7356.0,1331.0,5613.0,412.0
,"Rate per 100,000 inhabitants",,117.6,0.2,23.3,19.4,74.6,1765.3,319.4,1347.0,98.9
"Bowling Green, KY M.S.A.",,114815.0,,,,,,,,,
,Includes Edmonson and Warren Counties,,,,,,,,,,
,City of Bowling Green,53663.0,348.0,1.0,49.0,87.0,211.0,2739.0,545.0,2072.0,122.0
,Total area actually reporting,0.991,378.0,1.0,53.0,94.0,230.0,3560.0,782.0,2619.0,159.0
,Estimated total,1.0,381.0,1.0,53.0,95.0,232.0,3596.0,790.0,2645.0,161.0
,"Rate per 100,000 inhabitants",,331.8,0.9,46.2,82.7,202.1,3132.0,688.1,2303.7,140.2
"Bradenton-Sarasota-Venice, FL M.S.A.",,690730.0,,,,,,,,,
,Includes Manatee and Sarasota Counties,,,,,,,,,,
,City of Bradenton,54253.0,530.0,5.0,19.0,156.0,350.0,2476.0,593.0,1674.0,209.0
,City of Sarasota,52986.0,588.0,6.0,28.0,185.0,369.0,3516.0,806.0,2470.0,240.0
,City of Venice,21329.0,56.0,0.0,3.0,5.0,48.0,626.0,82.0,517.0,27.0
,Total area actually reporting,1.0,4571.0,43.0,218.0,1062.0,3248.0,28989.0,6614.0,20452.0,1923.0
,"Rate per 100,000 inhabitants",,661.8,6.2,31.6,153.8,470.2,4196.9,957.5,2960.9,278.4
"Bremerton-Silverdale, WA M.S.A.",,241780.0,,,,,,,,,
,Includes Kitsap County,,,,,,,,,,
,City of Bremerton,35068.0,336.0,0.0,63.0,60.0,213.0,1652.0,368.0,1185.0,99.0
,Total area actually reporting,1.0,1049.0,1.0,200.0,105.0,743.0,6259.0,1567.0,4314.0,378.0
,"Rate per 100,000 inhabitants",,433.9,0.4,82.7,43.4,307.3,2588.7,648.1,1784.3,156.3
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,884290.0,,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,137655.0,1603.0,14.0,77.0,675.0,837.0,6577.0,1201.0,4223.0,1153.0
,City of Stamford,119510.0,336.0,3.0,33.0,129.0,171.0,1882.0,332.0,1316.0,234.0
,City of Norwalk,84343.0,343.0,3.0,13.0,120.0,207.0,1872.0,284.0,1378.0,210.0
,City of Danbury,79893.0,146.0,2.0,20.0,75.0,49.0,1482.0,275.0,1069.0,138.0
,City of Stratford,49440.0,116.0,0.0,3.0,58.0,55.0,1539.0,209.0,1128.0,202.0
,Total area actually reporting,1.0,2712.0,23.0,166.0,1124.0,1399.0,17692.0,3002.0,12479.0,2211.0
,"Rate per 100,000 inhabitants",,306.7,2.6,18.8,127.1,158.2,2000.7,339.5,1411.2,250.0
"Brownsville-Harlingen, TX M.S.A.",,395428.0,,,,,,,,,
,Includes Cameron County,,,,,,,,,,
,City of Brownsville,177090.0,880.0,5.0,21.0,207.0,647.0,9474.0,1442.0,7574.0,458.0
,City of Harlingen,64984.0,334.0,7.0,28.0,63.0,236.0,4546.0,1054.0,3241.0,251.0
,Total area actually reporting,1.0,1616.0,16.0,100.0,317.0,1183.0,19206.0,3965.0,14256.0,985.0
,"Rate per 100,000 inhabitants",,408.7,4.0,25.3,80.2,299.2,4857.0,1002.7,3605.2,249.1
"Brunswick, GA M.S.A.",,101687.0,,,,,,,,,
,"Includes Brantley, Glynn, and McIntosh Counties",,,,,,,,,,
,City of Brunswick,16146.0,458.0,8.0,13.0,104.0,333.0,1312.0,354.0,867.0,91.0
,Total area actually reporting,0.989,830.0,20.0,27.0,165.0,618.0,4585.0,1082.0,3207.0,296.0
,Estimated total,1.0,836.0,20.0,27.0,167.0,622.0,4637.0,1092.0,3244.0,301.0
,"Rate per 100,000 inhabitants",,822.1,19.7,26.6,164.2,611.7,4560.1,1073.9,3190.2,296.0
