State,Area,,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,
,,Estimated total,1.0,2737.0,15.0,314.0,227.0,2181.0,23725.0,4819.0,17850.0,1056.0,
,Nonmetropolitan counties,,411021.0,,,,,,,,,,
,,Area actually reporting,0.987,940.0,10.0,122.0,37.0,771.0,6733.0,2023.0,4275.0,435.0,
,,Estimated total,1.0,952.0,10.0,124.0,37.0,781.0,6823.0,2050.0,4332.0,441.0,
,,"Rate per 100,000 inhabitants",,452.7,3.9,44.3,72.6,331.8,3678.7,729.9,2640.2,308.5,
,,Area actually reporting,0.953,9349.0,123.0,683.0,3457.0,5086.0,71274.0,17037.0,48239.0,5998.0,
,,Estimated total,1.0,9632.0,124.0,714.0,3551.0,5243.0,74138.0,17676.0,50272.0,6190.0,
,Cities outside metropolitan areas,,522435.0,,,,,,,,,,
,,Area actually reporting,0.883,1072.0,10.0,148.0,277.0,637.0,14134.0,3042.0,10343.0,749.0,
,,Estimated total,1.0,1215.0,11.0,168.0,314.0,722.0,16013.0,3446.0,11718.0,849.0,
,Nonmetropolitan counties,,1305686.0,,,,,,,,,,
,,Area actually reporting,0.876,1467.0,68.0,437.0,179.0,783.0,14595.0,5747.0,7415.0,1433.0,
,,Estimated total,1.0,1666.0,69.0,499.0,204.0,894.0,16662.0,6561.0,8465.0,1636.0,
,,"Rate per 100,000 inhabitants",,295.0,4.8,32.6,95.9,161.7,2518.3,652.7,1661.1,204.5,
,,Area actually reporting,0.97,23693.0,526.0,1054.0,5382.0,16731.0,136917.0,34187.0,89571.0,13159.0,
,,Estimated total,1.0,24288.0,534.0,1086.0,5466.0,17202.0,141187.0,35024.0,92736.0,13427.0,
,Cities outside metropolitan areas,,386025.0,,,,,,,,,,
,,Area actually reporting,0.568,1883.0,16.0,68.0,214.0,1585.0,9892.0,2437.0,7052.0,403.0,
,,Estimated total,1.0,3273.0,28.0,118.0,372.0,2755.0,17312.0,4287.0,12324.0,701.0,
,Nonmetropolitan counties,,749534.0,,,,,,,,,,
,,Area actually reporting,0.857,3217.0,39.0,162.0,210.0,2806.0,14126.0,4532.0,8693.0,901.0,
,,Estimated total,1.0,3756.0,46.0,189.0,245.0,3276.0,16492.0,5291.0,10149.0,1052.0,
,,"Rate per 100,000 inhabitants",,729.5,14.2,32.4,141.7,541.2,4076.0,1038.9,2683.5,353.6,
,,Area actually reporting,1.0,943.0,13.0,208.0,280.0,442.0,20107.0,4001.0,15261.0,845.0,
,Cities outside metropolitan areas,,277589.0,,,,,,,,,,
,,Area actually reporting,1.0,451.0,3.0,127.0,57.0,264.0,8172.0,1463.0,6489.0,220.0,
,Nonmetropolitan counties,,272896.0,,,,,,,,,,
,,Area actually reporting,1.0,160.0,5.0,56.0,12.0,87.0,3713.0,1212.0,2307.0,194.0,
,,"Rate per 100,000 inhabitants",,118.0,1.6,29.7,26.5,60.2,2428.8,506.8,1826.4,95.6,
,,Area actually reporting,1.0,34906.0,546.0,1103.0,13044.0,20213.0,184165.0,35066.0,121111.0,27988.0,
,Cities outside metropolitan areas,,77469.0,,,,,,,,,,
,,Area actually reporting,1.0,506.0,3.0,37.0,130.0,336.0,4236.0,739.0,3369.0,128.0,
,Nonmetropolitan counties,,221020.0,,,,,,,,,,
,,Area actually reporting,1.0,650.0,4.0,39.0,84.0,523.0,4395.0,1290.0,2828.0,277.0,
,,"Rate per 100,000 inhabitants",,641.9,9.8,21.0,236.0,375.1,3431.5,660.2,2265.9,505.4,
,,Area actually reporting,0.986,27550.0,183.0,1613.0,6954.0,18800.0,152065.0,35135.0,102096.0,14834.0,
,,Estimated total,1.0,27799.0,184.0,1631.0,7003.0,18981.0,153805.0,35570.0,103262.0,14973.0,
,Cities outside metropolitan areas,,24883.0,,,,,,,,,,
,,Area actually reporting,0.584,20.0,0.0,2.0,2.0,16.0,258.0,54.0,193.0,11.0,
,,Estimated total,1.0,33.0,0.0,3.0,3.0,27.0,441.0,92.0,330.0,19.0,
,Nonmetropolitan counties,,1054.0,,,,,,,,,,
,,Area actually reporting,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,"Rate per 100,000 inhabitants",,431.5,2.9,25.3,108.6,294.7,2391.5,552.9,1606.1,232.4,
,,Area actually reporting,0.989,49735.0,635.0,3397.0,13144.0,32559.0,266389.0,65383.0,160764.0,40242.0,
,,Estimated total,1.0,50027.0,636.0,3427.0,13209.0,32755.0,269119.0,65902.0,162695.0,40522.0,
,Cities outside metropolitan areas,,645093.0,,,,,,,,,,
,,Area actually reporting,0.919,1483.0,10.0,344.0,124.0,1005.0,18140.0,2772.0,14824.0,544.0,
,,Estimated total,1.0,1580.0,11.0,366.0,131.0,1072.0,19436.0,2974.0,15874.0,588.0,
,Nonmetropolitan counties,,1226890.0,,,,,,,,,,
,,Area actually reporting,0.993,2363.0,29.0,780.0,73.0,1481.0,20071.0,6504.0,12534.0,1033.0,
,,Estimated total,1.0,2381.0,29.0,786.0,74.0,1492.0,20220.0,6552.0,12627.0,1041.0,
,,"Rate per 100,000 inhabitants",,536.0,6.7,45.5,133.2,350.7,3065.7,748.9,1898.3,418.5,
,,Area actually reporting,0.964,12106.0,96.0,625.0,4555.0,6830.0,123822.0,22884.0,90385.0,10553.0,
,,Estimated total,1.0,12306.0,98.0,625.0,4623.0,6960.0,128390.0,23555.0,94012.0,10823.0,
,Cities outside metropolitan areas,,565183.0,,,,,,,,,,
,,Area actually reporting,0.993,,6.0,,112.0,688.0,18332.0,2786.0,14736.0,810.0,
,,Estimated total,1.0,,6.0,,113.0,693.0,18462.0,2806.0,14840.0,816.0,
,Nonmetropolitan counties,,850864.0,,,,,,,,,,
,,Area actually reporting,0.993,,12.0,,34.0,587.0,10896.0,3285.0,6731.0,880.0,
,,Estimated total,1.0,,12.0,,34.0,591.0,10977.0,3309.0,6781.0,887.0,
,,"Rate per 100,000 inhabitants",,288.7,2.2,36.0,91.8,158.6,3036.6,570.8,2224.7,241.0,
,,Area actually reporting,0.79,3651.0,89.0,382.0,1630.0,1550.0,42370.0,11583.0,26770.0,4017.0,
,,Estimated total,1.0,4181.0,103.0,446.0,1756.0,1876.0,49868.0,13548.0,31666.0,4654.0,
,Cities outside metropolitan areas,,594355.0,,,,,,,,,,
,,Area actually reporting,0.811,1924.0,48.0,251.0,641.0,984.0,21902.0,6363.0,14455.0,1084.0,
,,Estimated total,1.0,2371.0,59.0,309.0,790.0,1213.0,26990.0,7841.0,17813.0,1336.0,
,Nonmetropolitan counties,,1050004.0,,,,,,,,,,
,,Area actually reporting,0.453,884.0,21.0,129.0,145.0,589.0,7512.0,2979.0,3902.0,631.0,
,,Estimated total,1.0,1950.0,46.0,285.0,320.0,1299.0,16566.0,6570.0,8605.0,1391.0,
,,"Rate per 100,000 inhabitants",,291.3,7.1,35.6,98.2,150.3,3200.8,957.9,1990.0,252.9,
,,Area actually reporting,0.999,24540.0,346.0,1414.0,6833.0,15947.0,178559.0,34641.0,122303.0,21615.0,
,,Estimated total,1.0,24549.0,346.0,1415.0,6835.0,15953.0,178661.0,34657.0,122380.0,21624.0,
,Cities outside metropolitan areas,,687617.0,,,,,,,,,,
,,Area actually reporting,0.987,2954.0,18.0,149.0,285.0,2502.0,28311.0,4722.0,22472.0,1117.0,
,,Estimated total,1.0,2994.0,18.0,151.0,289.0,2536.0,28696.0,4786.0,22778.0,1132.0,
,Nonmetropolitan counties,,884528.0,,,,,,,,,,
,,Area actually reporting,1.0,2139.0,21.0,148.0,41.0,1929.0,12402.0,4003.0,7371.0,1028.0,
,,"Rate per 100,000 inhabitants",,504.9,6.5,29.2,121.9,347.3,3738.4,739.1,2594.7,404.6,
,,Area actually reporting,0.998,881.0,5.0,83.0,125.0,668.0,12078.0,1215.0,10143.0,720.0,
,,Estimated total,1.0,883.0,5.0,83.0,125.0,670.0,12104.0,1216.0,10167.0,721.0,
,Cities outside metropolitan areas,,202745.0,,,,,,,,,,
,,Area actually reporting,0.939,698.0,0.0,88.0,37.0,573.0,7270.0,645.0,6182.0,443.0,
,,Estimated total,1.0,743.0,0.0,94.0,39.0,610.0,7741.0,687.0,6582.0,472.0,
,Nonmetropolitan counties,,421775.0,,,,,,,,,,
,,Area actually reporting,0.964,1088.0,9.0,109.0,26.0,944.0,6404.0,1083.0,4779.0,542.0,
,,Estimated total,1.0,1128.0,9.0,113.0,27.0,979.0,6644.0,1124.0,4958.0,562.0,
,,"Rate per 100,000 inhabitants",,287.5,1.5,30.3,19.9,235.8,2765.4,316.0,2266.2,183.2,
,,Area actually reporting,1.0,4252.0,52.0,343.0,1037.0,2820.0,39278.0,6325.0,28619.0,4334.0,
,Cities outside metropolitan areas,,396873.0,,,,,,,,,,
,,Area actually reporting,0.881,745.0,8.0,124.0,56.0,557.0,11607.0,1672.0,9392.0,543.0,
,,Estimated total,1.0,847.0,9.0,141.0,64.0,633.0,13182.0,1899.0,10666.0,617.0,
,Nonmetropolitan counties,,357413.0,,,,,,,,,,
,,Area actually reporting,0.862,231.0,6.0,37.0,6.0,182.0,3141.0,709.0,2216.0,216.0,
,,Estimated total,1.0,268.0,7.0,43.0,7.0,211.0,3642.0,822.0,2570.0,250.0,
,,"Rate per 100,000 inhabitants",,302.4,3.8,29.7,62.4,206.5,3161.4,509.8,2358.6,293.1,
,,Area actually reporting,1.0,18590.0,180.0,989.0,6872.0,10549.0,92055.0,23375.0,46777.0,21903.0,
,Cities outside metropolitan areas,,46510.0,,,,,,,,,,
,,Area actually reporting,1.0,150.0,2.0,25.0,15.0,108.0,1273.0,275.0,910.0,88.0,
,Nonmetropolitan counties,,220138.0,,,,,,,,,,
,,Area actually reporting,1.0,517.0,10.0,82.0,45.0,380.0,3588.0,1190.0,2058.0,340.0,
,,"Rate per 100,000 inhabitants",,750.6,7.5,42.7,270.2,430.2,3777.8,968.3,1939.1,870.5,
,,Area actually reporting,0.895,1035.0,10.0,143.0,320.0,562.0,14238.0,2998.0,10416.0,824.0,
,,Estimated total,1.0,1109.0,10.0,158.0,333.0,608.0,15472.0,3252.0,11330.0,890.0,
,Cities outside metropolitan areas,,448370.0,,,,,,,,,,
,,Area actually reporting,0.886,582.0,4.0,144.0,88.0,346.0,8115.0,1416.0,6348.0,351.0,
,,Estimated total,1.0,658.0,5.0,163.0,99.0,391.0,9163.0,1599.0,7168.0,396.0,
,Nonmetropolitan counties,,48088.0,,,,,,,,,,
,,Area actually reporting,0.023,13.0,0.0,6.0,0.0,7.0,48.0,11.0,34.0,3.0,
,,Estimated total,1.0,40.0,0.0,12.0,0.0,28.0,261.0,135.0,113.0,13.0,
,,"Rate per 100,000 inhabitants",,137.3,1.1,25.3,32.8,78.0,1892.0,378.9,1414.4,98.7,
,,Area actually reporting,1.0,28601.0,380.0,1050.0,12549.0,14622.0,192226.0,37482.0,132791.0,21953.0,
,,"Rate per 100,000 inhabitants",,329.3,4.4,12.1,144.5,168.3,2213.1,431.5,1528.8,252.7,
,,Area actually reporting,0.996,9234.0,98.0,692.0,1983.0,6461.0,50393.0,11938.0,31109.0,7346.0,
,,Estimated total,1.0,9262.0,98.0,694.0,1985.0,6485.0,50542.0,11976.0,31202.0,7364.0,
,Cities outside metropolitan areas,,399358.0,,,,,,,,,,
,,Area actually reporting,0.881,2377.0,32.0,206.0,243.0,1896.0,15584.0,4160.0,10507.0,917.0,
,,Estimated total,1.0,2697.0,36.0,234.0,276.0,2151.0,17681.0,4720.0,11921.0,1040.0,
,Nonmetropolitan counties,,274821.0,,,,,,,,,,
,,Area actually reporting,0.855,962.0,24.0,89.0,51.0,798.0,4419.0,1962.0,2000.0,457.0,
,,Estimated total,1.0,1126.0,28.0,104.0,60.0,934.0,5171.0,2296.0,2340.0,535.0,
,,"Rate per 100,000 inhabitants",,664.2,8.2,52.4,117.8,485.8,3725.7,964.1,2307.9,453.8,
,,Area actually reporting,0.996,76431.0,781.0,2454.0,30771.0,42425.0,350043.0,57739.0,265282.0,27022.0,
,,Estimated total,1.0,76567.0,782.0,2462.0,30817.0,42506.0,351466.0,57957.0,266422.0,27087.0,
,Cities outside metropolitan areas,,572570.0,,,,,,,,,,
,,Area actually reporting,0.958,1379.0,5.0,136.0,204.0,1034.0,15708.0,2767.0,12507.0,434.0,
,,Estimated total,1.0,1439.0,5.0,142.0,213.0,1079.0,16391.0,2887.0,13051.0,453.0,
,Nonmetropolitan counties,,982934.0,,,,,,,,,,
,,Area actually reporting,1.0,1909.0,14.0,322.0,64.0,1509.0,13959.0,4013.0,9456.0,490.0,
,,"Rate per 100,000 inhabitants",,414.1,4.2,15.2,161.1,233.7,1978.6,336.1,1497.2,145.3,
,,Area actually reporting,0.962,31040.0,428.0,1688.0,11068.0,17856.0,265631.0,74930.0,169440.0,21261.0,
,,Estimated total,1.0,31671.0,437.0,1736.0,11205.0,18293.0,272971.0,77172.0,174050.0,21749.0,
,Cities outside metropolitan areas,,844934.0,,,,,,,,,,
,,Area actually reporting,0.947,5690.0,72.0,267.0,1597.0,3754.0,47673.0,12726.0,32599.0,2348.0,
,,Estimated total,1.0,5992.0,76.0,281.0,1680.0,3955.0,50228.0,13402.0,34355.0,2471.0,
,Nonmetropolitan counties,,1905307.0,,,,,,,,,,
,,Area actually reporting,0.957,4400.0,69.0,352.0,634.0,3345.0,45125.0,17441.0,24099.0,3585.0,
,,Estimated total,1.0,4599.0,72.0,368.0,663.0,3496.0,47155.0,18226.0,25183.0,3746.0,
,,"Rate per 100,000 inhabitants",,466.4,6.5,26.3,149.5,284.1,4087.3,1200.7,2577.9,308.6,
,,Area actually reporting,0.996,583.0,5.0,147.0,55.0,376.0,7773.0,1348.0,5846.0,579.0,
,,Estimated total,1.0,584.0,5.0,147.0,55.0,377.0,7808.0,1353.0,5873.0,582.0,
,Cities outside metropolitan areas,,136301.0,,,,,,,,,,
,,Area actually reporting,0.909,200.0,5.0,38.0,9.0,148.0,2725.0,441.0,2099.0,185.0,
,,Estimated total,1.0,220.0,5.0,42.0,10.0,163.0,2996.0,485.0,2308.0,203.0,
,Nonmetropolitan counties,,200170.0,,,,,,,,,,
,,Area actually reporting,0.881,94.0,2.0,16.0,4.0,72.0,1131.0,287.0,730.0,114.0,
,,Estimated total,1.0,107.0,2.0,18.0,5.0,82.0,1284.0,326.0,829.0,129.0,
,,"Rate per 100,000 inhabitants",,142.4,1.9,32.4,10.9,97.2,1889.6,338.3,1408.4,142.9,
,,Area actually reporting,0.866,34902.0,458.0,3513.0,16984.0,13947.0,309748.0,79197.0,200917.0,29634.0,
,,Estimated total,1.0,36735.0,477.0,3829.0,17647.0,14782.0,341193.0,85587.0,224220.0,31386.0,
,Cities outside metropolitan areas,,919500.0,,,,,,,,,,
,,Area actually reporting,0.797,1276.0,17.0,298.0,396.0,565.0,27180.0,5034.0,21260.0,886.0,
,,Estimated total,1.0,1601.0,21.0,374.0,497.0,709.0,34122.0,6320.0,26690.0,1112.0,
,Nonmetropolitan counties,,1310586.0,,,,,,,,,,
,,Area actually reporting,0.821,840.0,15.0,204.0,95.0,526.0,17159.0,5421.0,10686.0,1052.0,
,,Estimated total,1.0,1024.0,18.0,249.0,116.0,641.0,20894.0,6601.0,13012.0,1281.0,
,,"Rate per 100,000 inhabitants",,343.2,4.5,38.8,159.2,140.7,3455.2,859.1,2301.6,294.6,
,,Area actually reporting,1.0,13667.0,159.0,1111.0,3013.0,9384.0,92267.0,24521.0,56571.0,11175.0,
,Cities outside metropolitan areas,,698837.0,,,,,,,,,,
,,Area actually reporting,1.0,3095.0,33.0,324.0,327.0,2411.0,27298.0,6731.0,19064.0,1503.0,
,Nonmetropolitan counties,,619060.0,,,,,,,,,,
,,Area actually reporting,1.0,1310.0,30.0,124.0,33.0,1123.0,7997.0,2869.0,4347.0,781.0,
,,"Rate per 100,000 inhabitants",,499.6,6.1,43.1,93.2,357.1,3526.4,943.3,2211.1,372.1,
,,Area actually reporting,0.99,8894.0,48.0,987.0,2569.0,5290.0,105864.0,17377.0,75835.0,12652.0,
