State,University/College,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape2,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
,Santa Fe College,,15404.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0
,Tallahassee Community College,,12200.0,2.0,0.0,2.0,0.0,0.0,63.0,1.0,60.0,2.0,0.0
,University of Central Florida,,64088.0,19.0,0.0,7.0,0.0,12.0,268.0,24.0,236.0,8.0,0.0
,University of Florida,,52367.0,13.0,0.0,5.0,1.0,7.0,323.0,25.0,282.0,16.0,0.0
,University of North Florida,,15762.0,9.0,0.0,4.0,2.0,3.0,64.0,0.0,61.0,3.0,0.0
,University of South Florida:,St. Petersburg,4702.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,27.0,0.0,0.0
,,Tampa,42861.0,14.0,0.0,3.0,1.0,10.0,267.0,25.0,221.0,21.0,1.0
,University of West Florida,,12966.0,4.0,0.0,3.0,1.0,0.0,39.0,3.0,36.0,0.0,0.0
GEORGIA,Abraham Baldwin Agricultural College,,3475.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0,0.0
,Agnes Scott College,,927.0,1.0,0.0,1.0,0.0,0.0,18.0,4.0,14.0,0.0,0.0
,Albany State University,,3041.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,1.0,0.0
,Andrew College,,276.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,12.0,0.0,0.0
,Armstrong State University,,7157.0,2.0,0.0,2.0,0.0,0.0,39.0,13.0,24.0,2.0,0.0
,Athens Technical College,,4210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Atlanta Metropolitan State College,,2783.0,3.0,0.0,0.0,1.0,2.0,9.0,0.0,9.0,0.0,0.0
,Augusta Technical College,,4370.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,1.0,0.0
,Augusta University,,7938.0,1.0,0.0,1.0,0.0,0.0,174.0,4.0,155.0,15.0,0.0
,Bainbridge State College,,2468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Berry College,,2174.0,0.0,0.0,0.0,0.0,0.0,57.0,16.0,41.0,0.0,0.0
,Chattahoochee Technical College,,9999.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0
,Clark Atlanta University,,3884.0,11.0,0.0,0.0,11.0,0.0,84.0,7.0,75.0,2.0,0.0
,Clayton State University,,6996.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,24.0,1.0,0.0
,College of Coastal Georgia,,3529.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0
,Columbus State University,,8407.0,7.0,0.0,3.0,1.0,3.0,67.0,5.0,62.0,0.0,0.0
,Dalton State College,,5188.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0
,East Georgia College,,3152.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,14.0,0.0,0.0
,Emory University,,14067.0,15.0,0.0,9.0,1.0,5.0,415.0,38.0,373.0,4.0,0.0
,Fort Valley State University,,2679.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,19.0,2.0,0.0
,Georgia College and State University,,6915.0,4.0,0.0,4.0,0.0,0.0,34.0,1.0,26.0,7.0,0.0
,Georgia Gwinnett College,,12052.0,4.0,0.0,1.0,0.0,3.0,61.0,2.0,59.0,0.0,0.0
,Georgia Institute of Technology,,26839.0,16.0,0.0,5.0,2.0,9.0,298.0,26.0,262.0,10.0,1.0
,Georgia Military College,,8234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Georgia Southern University,,20673.0,10.0,0.0,6.0,3.0,1.0,119.0,3.0,116.0,0.0,0.0
,Georgia Southwestern State University,,2954.0,4.0,0.0,0.0,0.0,4.0,27.0,0.0,27.0,0.0,0.0
,Georgia State University,,32237.0,21.0,0.0,2.0,14.0,5.0,259.0,4.0,245.0,10.0,0.0
,Gordon State College,,3901.0,1.0,0.0,0.0,1.0,0.0,23.0,3.0,20.0,0.0,0.0
,Gwinnett Technical College,,7479.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0
,Kennesaw State University,,35018.0,12.0,0.0,8.0,3.0,1.0,136.0,17.0,117.0,2.0,1.0
,Mercer University,,8615.0,3.0,0.0,2.0,0.0,1.0,68.0,1.0,63.0,4.0,0.0
,Middle Georgia State University,,7714.0,2.0,0.0,1.0,0.0,1.0,16.0,1.0,14.0,1.0,0.0
,Morehouse College,,2108.0,2.0,0.0,0.0,2.0,0.0,130.0,56.0,70.0,4.0,0.0
,Piedmont College,,2266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Southern Crescent Technical College,,4703.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0
,South Georgia State College,,2542.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
,Spelman College,,2125.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,18.0,0.0,0.0
,University of Georgia,,36574.0,15.0,0.0,12.0,1.0,2.0,316.0,31.0,281.0,4.0,1.0
,University of North Georgia,,18219.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0
,University of West Georgia,,13308.0,3.0,0.0,2.0,0.0,1.0,103.0,20.0,83.0,0.0,
,Valdosta State University,,11375.0,4.0,0.0,1.0,1.0,2.0,139.0,11.0,122.0,6.0,1.0
,Wesleyan College,,676.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,
,West Georgia Technical College,,6743.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,
,Young Harris College,,1200.0,3.0,0.0,2.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0
ILLINOIS,Black Hawk College:,Kewanee4,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,,Moline,5613.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
,Chicago State University,,3578.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,32.0,0.0,0.0
,College of DuPage,,26901.0,1.0,0.0,0.0,1.0,0.0,23.0,0.0,21.0,2.0,0.0
,College of Lake County,,14768.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,35.0,0.0,0.0
,Eastern Illinois University,,7415.0,5.0,0.0,3.0,0.0,2.0,33.0,0.0,33.0,0.0,0.0
,Elgin Community College,,9918.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0
,Illinois Central College,,9290.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,22.0,0.0,0.0
,Illinois State University,,21039.0,13.0,0.0,8.0,0.0,5.0,97.0,11.0,84.0,2.0,1.0
,John Wood Community College,,1968.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,Joliet Junior College,,15383.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0
,Kankakee Community College,,3078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Lake Land College,,5107.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
,Lewis University,,6544.0,4.0,0.0,2.0,2.0,0.0,12.0,2.0,10.0,0.0,0.0
,Lincoln Land Community College,,5744.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,1.0,0.0
,Loyola University of Chicago,,16422.0,20.0,0.0,2.0,13.0,5.0,127.0,1.0,123.0,3.0,0.0
,McHenry County College,,6371.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0
,Millikin University,,2055.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,32.0,0.0,0.0
,Moraine Valley Community College,,15021.0,1.0,0.0,0.0,0.0,1.0,22.0,0.0,22.0,0.0,0.0
,Morton College,,4397.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0
,Northeastern Illinois University,,9538.0,2.0,0.0,0.0,0.0,2.0,14.0,0.0,13.0,1.0,0.0
,Northern Illinois University,,19015.0,11.0,0.0,5.0,0.0,6.0,147.0,26.0,121.0,0.0,0.0
,Northwestern University,Evanston,21823.0,12.0,0.0,6.0,5.0,1.0,193.0,26.0,165.0,2.0,1.0
,Oakton Community College,,9443.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0
,Parkland College,,7569.0,2.0,0.0,0.0,0.0,2.0,23.0,0.0,23.0,0.0,0.0
,Prairie State College,,4484.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0
,Rend Lake College,,2489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Southern Illinois University:,Carbondale,15987.0,5.0,0.0,1.0,2.0,2.0,117.0,6.0,109.0,2.0,0.0
,,Edwardsville,14142.0,5.0,0.0,3.0,0.0,2.0,53.0,3.0,50.0,0.0,0.0
,,School of Medicine4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,South Suburban College,,3703.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0
,Southwestern Illinois College,,9515.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,23.0,1.0,0.0
,Triton College,,11386.0,2.0,0.0,0.0,1.0,1.0,20.0,0.0,20.0,0.0,0.0
,University of Chicago,Cook County,15775.0,19.0,0.0,0.0,8.0,11.0,214.0,21.0,189.0,4.0,0.0
,University of Illinois:,Springfield,5428.0,2.0,0.0,0.0,0.0,2.0,30.0,5.0,25.0,0.0,0.0
,,Urbana,46951.0,22.0,0.0,12.0,4.0,6.0,316.0,10.0,305.0,1.0,1.0
,Waubonsee Community College,,10081.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0
,Western Illinois University,,10373.0,11.0,0.0,9.0,0.0,2.0,83.0,6.0,77.0,0.0,1.0
INDIANA,Ball State University,,21998.0,11.0,0.0,9.0,1.0,1.0,204.0,22.0,177.0,5.0,0.0
,Indiana State University,,13565.0,15.0,0.0,1.0,0.0,14.0,53.0,0.0,51.0,2.0,
,Indiana University:,Bloomington,49695.0,18.0,0.0,7.0,2.0,9.0,433.0,55.0,371.0,7.0,
,,Indianapolis,29804.0,14.0,0.0,6.0,5.0,3.0,252.0,18.0,223.0,11.0,2.0
,,Northwest,5591.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,
,,Southeast,5874.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0
,Marian University,,3165.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0,17.0,2.0,0.0
,Purdue University,,41513.0,18.0,0.0,6.0,1.0,11.0,308.0,18.0,284.0,6.0,0.0
IOWA,Iowa State University,,36350.0,19.0,0.0,9.0,1.0,9.0,225.0,9.0,211.0,5.0,0.0
,University of Iowa,,32011.0,25.0,0.0,16.0,1.0,8.0,312.0,24.0,277.0,11.0,1.0
,University of Northern Iowa,,11905.0,9.0,0.0,6.0,0.0,3.0,85.0,6.0,78.0,1.0,0.0
KANSAS,Emporia State University,,5887.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,16.0,0.0,0.0
,Garden City Community College,,2053.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0
,Kansas City Kansas Community College,,5726.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,15.0,2.0,0.0
,Kansas State University,,23779.0,1.0,0.0,1.0,0.0,0.0,116.0,13.0,101.0,2.0,0.0
,University of Kansas:,Main Campus,27565.0,5.0,0.0,2.0,2.0,1.0,152.0,13.0,138.0,1.0,0.0
,,Medical Center4,,17.0,0.0,1.0,2.0,14.0,119.0,0.0,116.0,3.0,0.0
,Washburn University,,6636.0,3.0,0.0,2.0,1.0,0.0,69.0,2.0,66.0,1.0,1.0
,Wichita State University,,14166.0,4.0,0.0,1.0,1.0,2.0,74.0,5.0,67.0,2.0,0.0
KENTUCKY,Eastern Kentucky University,,16881.0,7.0,0.0,5.0,0.0,2.0,185.0,27.0,147.0,11.0,0.0
,Morehead State University,,10746.0,3.0,0.0,3.0,0.0,0.0,44.0,3.0,41.0,0.0,0.0
,Murray State University,,10486.0,2.0,0.0,2.0,0.0,0.0,72.0,6.0,66.0,0.0,1.0
,Northern Kentucky University,,14542.0,4.0,0.0,3.0,0.0,1.0,60.0,0.0,59.0,1.0,0.0
,University of Kentucky5,,29781.0,12.0,0.0,4.0,1.0,7.0,,30.0,,22.0,3.0
,University of Louisville,,21578.0,10.0,0.0,0.0,10.0,0.0,316.0,26.0,278.0,12.0,0.0
,Western Kentucky University,,20271.0,5.0,0.0,4.0,0.0,1.0,96.0,6.0,88.0,2.0,0.0
LOUISIANA,Delgado Community College,,15110.0,3.0,0.0,0.0,0.0,3.0,22.0,2.0,20.0,0.0,0.0
,Dillard University,,1261.0,1.0,0.0,1.0,0.0,0.0,25.0,9.0,16.0,0.0,0.0
,Grambling State University,,4863.0,13.0,2.0,4.0,2.0,5.0,99.0,34.0,62.0,3.0,0.0
,Louisiana State University:,Baton Rouge,31409.0,15.0,1.0,4.0,2.0,8.0,287.0,40.0,238.0,9.0,0.0
,,"Health Sciences Center, New Orleans",2758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,"Health Sciences Center, Shreveport",874.0,2.0,0.0,0.0,0.0,2.0,26.0,2.0,24.0,0.0,0.0
,,Shreveport,4746.0,2.0,0.0,0.0,1.0,1.0,21.0,15.0,6.0,0.0,0.0
,Louisiana Tech University,,12672.0,3.0,0.0,2.0,0.0,1.0,73.0,7.0,66.0,0.0,0.0
,McNeese State University6,,7621.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,18.0,0.0,0.0
,Nicholls State University,,6255.0,3.0,0.0,0.0,0.0,3.0,24.0,3.0,21.0,0.0,0.0
,Southern University and A&M College:,Baton Rouge,5877.0,6.0,0.0,0.0,2.0,4.0,113.0,4.0,108.0,1.0,0.0
,,New Orleans,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Shreveport,3240.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,Tulane University,,12581.0,1.0,0.0,0.0,1.0,0.0,214.0,31.0,182.0,1.0,0.0
,University of Louisiana:,Lafayette,17519.0,19.0,0.0,3.0,2.0,14.0,202.0,40.0,159.0,3.0,1.0
,,Monroe,9038.0,4.0,0.0,1.0,1.0,2.0,53.0,4.0,49.0,0.0,1.0
,University of New Orleans,,8037.0,4.0,0.0,2.0,0.0,2.0,95.0,6.0,89.0,0.0,0.0
MAINE,University of Maine:,Farmington,2000.0,5.0,0.0,5.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0
,,Orono,11219.0,10.0,0.0,9.0,0.0,1.0,104.0,7.0,96.0,1.0,1.0
,University of Southern Maine,,7855.0,2.0,0.0,1.0,0.0,1.0,21.0,0.0,21.0,0.0,0.0
MARYLAND,Bowie State University,,5669.0,8.0,0.0,0.0,0.0,8.0,39.0,13.0,26.0,0.0,0.0
,Coppin State University,,2939.0,3.0,0.0,0.0,1.0,2.0,38.0,9.0,26.0,3.0,0.0
,Frostburg State University,,5676.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,23.0,0.0,0.0
,Hagerstown Community College,,4061.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0
