Metropolitan/Nonmetropolitan,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
,Marion,66.0,0.0,3.0,2.0,61.0,256.0,85.0,131.0,40.0,1.0
,Maury,171.0,1.0,16.0,4.0,150.0,458.0,83.0,310.0,65.0,0.0
,Montgomery,81.0,0.0,8.0,4.0,69.0,801.0,216.0,515.0,70.0,1.0
,Morgan,54.0,0.0,1.0,1.0,52.0,307.0,99.0,155.0,53.0,0.0
,Polk,32.0,2.0,0.0,4.0,26.0,373.0,80.0,213.0,80.0,2.0
,Roane,78.0,1.0,6.0,0.0,71.0,372.0,124.0,202.0,46.0,0.0
,Robertson,55.0,2.0,6.0,1.0,46.0,271.0,100.0,150.0,21.0,0.0
,Rutherford,263.0,2.0,18.0,15.0,228.0,771.0,193.0,495.0,83.0,6.0
,Sequatchie,24.0,1.0,3.0,0.0,20.0,126.0,32.0,64.0,30.0,2.0
,Shelby,579.0,4.0,36.0,75.0,464.0,2675.0,590.0,1855.0,230.0,20.0
,Smith,26.0,0.0,3.0,3.0,20.0,196.0,79.0,100.0,17.0,0.0
,Sullivan,315.0,3.0,42.0,6.0,264.0,1185.0,266.0,764.0,155.0,15.0
,Sumner,127.0,1.0,20.0,8.0,98.0,470.0,123.0,300.0,47.0,4.0
,Tipton,140.0,2.0,22.0,4.0,112.0,580.0,154.0,357.0,69.0,4.0
,Unicoi,50.0,3.0,2.0,2.0,43.0,218.0,47.0,155.0,16.0,1.0
,Union,46.0,3.0,2.0,2.0,39.0,236.0,74.0,137.0,25.0,1.0
,Washington,184.0,2.0,14.0,9.0,159.0,907.0,204.0,631.0,72.0,8.0
,Williamson,75.0,1.0,5.0,3.0,66.0,367.0,98.0,242.0,27.0,3.0
,Wilson,94.0,1.0,0.0,5.0,88.0,791.0,236.0,457.0,98.0,4.0
Nonmetropolitan Counties,Bedford,81.0,0.0,14.0,1.0,66.0,230.0,57.0,148.0,25.0,3.0
,Benton,24.0,1.0,2.0,1.0,20.0,162.0,55.0,84.0,23.0,1.0
,Bledsoe,1.0,0.0,0.0,0.0,1.0,50.0,11.0,24.0,15.0,0.0
,Carroll,47.0,0.0,2.0,1.0,44.0,161.0,87.0,58.0,16.0,0.0
,Claiborne,71.0,2.0,2.0,5.0,62.0,391.0,161.0,183.0,47.0,5.0
,Clay,19.0,0.0,2.0,0.0,17.0,50.0,4.0,37.0,9.0,0.0
,Cocke,146.0,0.0,6.0,8.0,132.0,565.0,219.0,268.0,78.0,8.0
,Coffee,77.0,0.0,6.0,2.0,69.0,371.0,131.0,210.0,30.0,1.0
,Cumberland,26.0,0.0,1.0,0.0,25.0,719.0,213.0,413.0,93.0,2.0
,Decatur,15.0,0.0,4.0,0.0,11.0,120.0,48.0,58.0,14.0,1.0
,Dyer,41.0,0.0,5.0,4.0,32.0,290.0,59.0,209.0,22.0,0.0
,Fentress,24.0,1.0,9.0,0.0,14.0,164.0,37.0,112.0,15.0,2.0
,Franklin,97.0,0.0,6.0,1.0,90.0,245.0,40.0,173.0,32.0,2.0
,Gibson,75.0,0.0,10.0,11.0,54.0,224.0,60.0,136.0,28.0,1.0
,Giles,54.0,1.0,6.0,2.0,45.0,241.0,71.0,149.0,21.0,0.0
,Greene,174.0,1.0,13.0,12.0,148.0,980.0,321.0,511.0,148.0,7.0
,Grundy,95.0,2.0,5.0,2.0,86.0,176.0,57.0,82.0,37.0,3.0
,Hancock,5.0,0.0,0.0,0.0,5.0,61.0,3.0,51.0,7.0,0.0
,Hardeman,72.0,0.0,3.0,1.0,68.0,177.0,71.0,81.0,25.0,5.0
,Hardin,57.0,0.0,7.0,6.0,44.0,369.0,138.0,178.0,53.0,6.0
,Haywood,24.0,2.0,3.0,2.0,17.0,125.0,38.0,66.0,21.0,1.0
,Henderson,76.0,2.0,7.0,2.0,65.0,297.0,98.0,164.0,35.0,3.0
,Henry,53.0,0.0,2.0,1.0,50.0,405.0,160.0,201.0,44.0,0.0
,Houston,12.0,0.0,0.0,0.0,12.0,42.0,12.0,26.0,4.0,1.0
,Humphreys,35.0,0.0,4.0,2.0,29.0,205.0,91.0,98.0,16.0,1.0
,Jackson,23.0,0.0,5.0,0.0,18.0,98.0,28.0,63.0,7.0,0.0
,Johnson,40.0,0.0,0.0,1.0,39.0,210.0,64.0,126.0,20.0,2.0
,Lake,4.0,0.0,1.0,1.0,2.0,23.0,1.0,20.0,2.0,0.0
,Lauderdale,61.0,1.0,4.0,3.0,53.0,264.0,107.0,131.0,26.0,5.0
,Lewis,30.0,1.0,1.0,1.0,27.0,151.0,32.0,90.0,29.0,2.0
,Lincoln,139.0,0.0,2.0,7.0,130.0,348.0,103.0,201.0,44.0,6.0
,Marshall,26.0,0.0,0.0,0.0,26.0,99.0,24.0,59.0,16.0,0.0
,McMinn,95.0,0.0,1.0,3.0,91.0,650.0,182.0,342.0,126.0,0.0
,McNairy,100.0,1.0,10.0,3.0,86.0,338.0,99.0,186.0,53.0,4.0
,Meigs,49.0,0.0,6.0,0.0,43.0,295.0,97.0,160.0,38.0,2.0
,Monroe,174.0,1.0,10.0,7.0,156.0,986.0,282.0,559.0,145.0,1.0
,Moore,13.0,0.0,0.0,0.0,13.0,80.0,8.0,58.0,14.0,0.0
,Obion,19.0,0.0,0.0,0.0,19.0,149.0,43.0,96.0,10.0,1.0
,Overton,8.0,0.0,0.0,0.0,8.0,155.0,28.0,113.0,14.0,0.0
,Perry,10.0,0.0,1.0,0.0,9.0,74.0,15.0,53.0,6.0,1.0
,Pickett,9.0,1.0,0.0,0.0,8.0,64.0,17.0,38.0,9.0,0.0
,Putnam,98.0,1.0,15.0,4.0,78.0,664.0,143.0,420.0,101.0,3.0
,Rhea,63.0,1.0,11.0,5.0,46.0,306.0,88.0,178.0,40.0,0.0
,Scott,32.0,0.0,0.0,0.0,32.0,151.0,67.0,63.0,21.0,0.0
,Sevier,194.0,0.0,14.0,8.0,172.0,1017.0,278.0,570.0,169.0,2.0
,Stewart,28.0,0.0,3.0,0.0,25.0,120.0,47.0,57.0,16.0,1.0
,Van Buren,7.0,0.0,1.0,0.0,6.0,69.0,7.0,56.0,6.0,1.0
,Warren,65.0,1.0,8.0,3.0,53.0,327.0,96.0,181.0,50.0,3.0
,Wayne,22.0,0.0,0.0,1.0,21.0,92.0,27.0,52.0,13.0,4.0
,Weakley,30.0,0.0,1.0,0.0,29.0,146.0,64.0,69.0,13.0,0.0
,White,60.0,0.0,3.0,1.0,56.0,312.0,32.0,245.0,35.0,0.0
