State Agencies/Other Agencies,Agency,Unit/Office,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
,,Santa Cruz Mountains,1.0,0.0,0.0,0.0,1.0,115.0,3.0,111.0,1.0,1.0
,,Sierra,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,0.0,0.0
,,Silverado,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0
,,Twin Cities,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0
,Fairview Developmental Center,,5.0,0.0,0.0,0.0,5.0,10.0,3.0,7.0,0.0,0.0
,Highway Patrol:,Alameda County,3.0,0.0,0.0,0.0,3.0,359.0,0.0,29.0,330.0,0.0
,,Alpine County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Amador County,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0,0.0
,,Butte County,2.0,0.0,0.0,0.0,2.0,389.0,2.0,53.0,334.0,0.0
,,Calaveras County,0.0,0.0,0.0,0.0,0.0,78.0,0.0,8.0,70.0,0.0
,,Colusa County,1.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,29.0,0.0
,,Contra Costa County,1.0,0.0,0.0,1.0,0.0,1066.0,0.0,18.0,1048.0,0.0
,,Del Norte County,0.0,0.0,0.0,0.0,0.0,56.0,1.0,0.0,55.0,0.0
,,El Dorado County,1.0,0.0,0.0,0.0,1.0,240.0,0.0,51.0,189.0,0.0
,,Fresno County,0.0,0.0,0.0,0.0,0.0,228.0,0.0,14.0,214.0,0.0
,,Glenn County,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0,30.0,0.0
,,Humboldt County,0.0,0.0,0.0,0.0,0.0,174.0,0.0,15.0,159.0,0.0
,,Imperial County,0.0,0.0,0.0,0.0,0.0,133.0,0.0,9.0,124.0,0.0
,,Inyo County,1.0,0.0,0.0,0.0,1.0,21.0,1.0,4.0,16.0,0.0
,,Kern County,2.0,0.0,0.0,0.0,2.0,353.0,1.0,53.0,299.0,0.0
,,Kings County,1.0,0.0,0.0,0.0,1.0,220.0,0.0,0.0,220.0,0.0
,,Lake County,0.0,0.0,0.0,0.0,0.0,140.0,0.0,18.0,122.0,0.0
,,Lassen County,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,24.0,0.0
,,Los Angeles County,41.0,0.0,1.0,3.0,37.0,526.0,13.0,39.0,474.0,0.0
,,Madera County,0.0,0.0,0.0,0.0,0.0,305.0,0.0,47.0,258.0,0.0
,,Marin County,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,108.0,0.0
,,Mariposa County,0.0,0.0,0.0,0.0,0.0,24.0,0.0,7.0,17.0,0.0
,,Mendocino County,2.0,0.0,0.0,0.0,2.0,102.0,2.0,22.0,78.0,0.0
,,Merced County,0.0,0.0,0.0,0.0,0.0,574.0,0.0,55.0,519.0,0.0
,,Modoc County,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,7.0,0.0
,,Mono County,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
,,Monterey County,2.0,0.0,0.0,0.0,2.0,460.0,0.0,26.0,434.0,0.0
,,Napa County,1.0,0.0,0.0,1.0,0.0,102.0,0.0,12.0,90.0,0.0
,,Nevada County,0.0,0.0,0.0,0.0,0.0,82.0,0.0,27.0,55.0,0.0
,,Orange County,6.0,0.0,0.0,0.0,6.0,46.0,6.0,10.0,30.0,0.0
,,Placer County,1.0,0.0,0.0,0.0,1.0,274.0,3.0,73.0,198.0,0.0
,,Plumas County,0.0,0.0,0.0,0.0,0.0,40.0,0.0,13.0,27.0,0.0
,,Riverside County,11.0,0.0,0.0,0.0,11.0,102.0,11.0,11.0,80.0,0.0
,,Sacramento County,6.0,0.0,0.0,0.0,6.0,5587.0,19.0,412.0,5156.0,0.0
,,San Benito County,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0
,,San Bernardino County,9.0,0.0,0.0,0.0,9.0,58.0,1.0,6.0,51.0,0.0
,,San Diego County,8.0,0.0,0.0,0.0,8.0,125.0,7.0,29.0,89.0,0.0
,,San Francisco County,0.0,0.0,0.0,0.0,0.0,47.0,0.0,9.0,38.0,0.0
,,San Joaquin County,0.0,0.0,0.0,0.0,0.0,1142.0,0.0,258.0,884.0,0.0
,,San Luis Obispo County,3.0,0.0,0.0,0.0,3.0,137.0,0.0,17.0,120.0,0.0
,,San Mateo County,1.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,22.0,0.0
,,Santa Barbara County,3.0,0.0,0.0,0.0,3.0,131.0,0.0,24.0,107.0,0.0
,,Santa Clara County,1.0,0.0,0.0,0.0,1.0,85.0,0.0,12.0,73.0,0.0
,,Santa Cruz County,0.0,0.0,0.0,0.0,0.0,323.0,0.0,54.0,269.0,0.0
,,Shasta County,2.0,0.0,0.0,0.0,2.0,154.0,0.0,37.0,117.0,0.0
,,Sierra County,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0
,,Siskiyou County,3.0,0.0,0.0,0.0,3.0,31.0,0.0,2.0,29.0,0.0
,,Solano County,0.0,0.0,0.0,0.0,0.0,89.0,2.0,0.0,87.0,0.0
,,Sonoma County,2.0,0.0,0.0,1.0,1.0,325.0,0.0,77.0,248.0,0.0
,,Stanislaus County,1.0,0.0,1.0,0.0,0.0,593.0,1.0,13.0,579.0,0.0
,,Sutter County,0.0,0.0,0.0,0.0,0.0,47.0,0.0,8.0,39.0,0.0
,,Tehama County,4.0,0.0,0.0,2.0,2.0,109.0,0.0,7.0,102.0,
,,Trinity County,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0
,,Tulare County,0.0,0.0,0.0,0.0,0.0,1285.0,0.0,293.0,992.0,0.0
,,Tuolumne County,0.0,0.0,0.0,0.0,0.0,155.0,0.0,11.0,144.0,0.0
,,Ventura County,3.0,0.0,0.0,1.0,2.0,50.0,0.0,8.0,42.0,0.0
,,Yolo County,1.0,0.0,0.0,0.0,1.0,61.0,3.0,5.0,53.0,0.0
,,Yuba County,0.0,0.0,0.0,0.0,0.0,216.0,0.0,18.0,198.0,0.0
,Napa State Hospital,,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
,Porterville Developmental Center,,8.0,0.0,0.0,0.0,8.0,3.0,0.0,3.0,0.0,0.0
,Sonoma Developmental Center,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Agencies,East Bay Municipal Utility,,0.0,0.0,0.0,0.0,0.0,18.0,1.0,17.0,0.0,1.0
,East Bay Regional Parks:,Alameda County,3.0,0.0,1.0,1.0,1.0,141.0,9.0,125.0,7.0,6.0
,,Contra Costa County,23.0,3.0,3.0,12.0,5.0,218.0,5.0,209.0,4.0,11.0
,Fontana Unified School District,,24.0,0.0,0.0,8.0,16.0,322.0,96.0,221.0,5.0,2.0
,Grant Joint Union High School,,29.0,0.0,0.0,9.0,20.0,101.0,50.0,49.0,2.0,4.0
,Los Angeles County Metropolitan Transportation Authority,,3.0,0.0,0.0,0.0,3.0,33.0,3.0,30.0,0.0,0.0
,Los Angeles Transportation Services Bureau,,445.0,0.0,1.0,291.0,153.0,700.0,32.0,496.0,172.0,2.0
,Monterey Peninsula Airport,,2.0,0.0,0.0,0.0,2.0,20.0,1.0,11.0,8.0,0.0
,Port of San Diego Harbor,,21.0,0.0,0.0,4.0,17.0,581.0,29.0,549.0,3.0,1.0
,San Bernardino Unified School District,,94.0,0.0,2.0,78.0,14.0,310.0,176.0,105.0,29.0,9.0
,San Francisco Bay Area Rapid Transit:,Alameda County,163.0,0.0,1.0,131.0,31.0,1567.0,11.0,1204.0,352.0,2.0
,,Contra Costa County,51.0,0.0,0.0,44.0,7.0,902.0,5.0,627.0,270.0,2.0
,,San Francisco County,31.0,0.0,0.0,22.0,9.0,200.0,6.0,194.0,0.0,1.0
,,San Mateo County,9.0,0.0,1.0,7.0,1.0,164.0,0.0,138.0,26.0,0.0
,Santa Clara Transit District,,43.0,0.0,0.0,31.0,12.0,85.0,7.0,67.0,11.0,0.0
,Stockton Unified School District,,76.0,0.0,0.0,10.0,66.0,577.0,137.0,429.0,11.0,18.0
,Union Pacific Railroad:,Alameda County,3.0,0.0,0.0,0.0,3.0,259.0,241.0,18.0,0.0,0.0
,,Amador County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Butte County,8.0,0.0,0.0,0.0,8.0,17.0,0.0,17.0,0.0,0.0
,,Calaveras County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Colusa County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Contra Costa County,1.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0
,,El Dorado County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Fresno County,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
,,Glenn County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Humboldt County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Imperial County,1.0,0.0,0.0,0.0,1.0,117.0,115.0,2.0,0.0,0.0
,,Inyo County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Kern County,0.0,0.0,0.0,0.0,0.0,15.0,14.0,1.0,0.0,0.0
,,Kings County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Lassen County,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
,,Los Angeles County,4.0,0.0,0.0,0.0,4.0,169.0,135.0,34.0,0.0,0.0
,,Madera County,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
,,Marin County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Mendocino County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Merced County,1.0,0.0,0.0,0.0,1.0,6.0,1.0,5.0,0.0,0.0
,,Modoc County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Monterey County,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
,,Napa County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Nevada County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Orange County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Placer County,4.0,0.0,0.0,0.0,4.0,14.0,2.0,12.0,0.0,0.0
,,Plumas County,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,,Riverside County,1.0,0.0,0.0,0.0,1.0,196.0,154.0,42.0,0.0,0.0
,,Sacramento County,14.0,0.0,0.0,0.0,14.0,17.0,8.0,9.0,0.0,0.0
,,San Benito County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,San Bernardino County,2.0,0.0,0.0,0.0,2.0,88.0,48.0,40.0,0.0,0.0
,,San Francisco County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,San Joaquin County,16.0,0.0,0.0,0.0,16.0,150.0,130.0,20.0,0.0,0.0
,,San Luis Obispo County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,San Mateo County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Santa Barbara County,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0
,,Santa Clara County,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
,,Santa Cruz County,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,,Shasta County,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0
,,Sierra County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Siskiyou County,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,,Solano County,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
,,Sonoma County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Stanislaus County,2.0,0.0,0.0,0.0,2.0,18.0,1.0,17.0,0.0,0.0
,,Sutter County,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0
,,Tehama County,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,,Trinity County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Tulare County,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,,Ventura County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Yolo County,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
,,Yuba County,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
