Offense charged,Total all ages,Ages under 15,Ages under 18,Ages 18 and over,Under 10,10-12,13-14,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 and over,,
Other assaults,735578.0,46909.0,120419.0,615159.0,1817.0,12819.0,32273.0,22927.0,25672.0,24911.0,23030.0,23318.0,23644.0,25725.0,25983.0,24958.0,24555.0,110695.0,82211.0,75325.0,67718.0,53114.0,29260.0,13753.0,6237.0,5633.0,,
Forgery and counterfeiting,48220.0,213.0,1612.0,46608.0,18.0,38.0,157.0,196.0,393.0,810.0,1630.0,2131.0,2164.0,1990.0,2036.0,2083.0,2063.0,9153.0,6798.0,5718.0,4607.0,3244.0,1771.0,758.0,293.0,169.0,,
Fraud,103621.0,554.0,3667.0,99954.0,35.0,70.0,449.0,576.0,962.0,1575.0,2780.0,3520.0,3754.0,3475.0,3625.0,3486.0,3493.0,16829.0,14118.0,13729.0,11851.0,8969.0,5374.0,2747.0,1325.0,879.0,,
Embezzlement,8256.0,31.0,747.0,7509.0,3.0,8.0,20.0,43.0,229.0,444.0,601.0,579.0,499.0,446.0,443.0,334.0,286.0,1097.0,797.0,767.0,670.0,496.0,266.0,141.0,54.0,33.0,,
"Stolen property; buying, receiving, possessing",73429.0,3257.0,13816.0,59613.0,66.0,499.0,2692.0,2819.0,3634.0,4106.0,4840.0,4258.0,3585.0,3110.0,2815.0,2536.0,2409.0,10099.0,7061.0,6247.0,5459.0,3864.0,1963.0,798.0,334.0,235.0,,
Vandalism,183506.0,29612.0,73446.0,110060.0,1472.0,7493.0,20647.0,14642.0,14935.0,14257.0,11911.0,9692.0,7640.0,7217.0,6180.0,5292.0,4871.0,18017.0,10928.0,8929.0,7704.0,5929.0,3089.0,1443.0,628.0,590.0,,
"Weapons; carrying, possessing, etc.",131682.0,9314.0,29953.0,101729.0,399.0,2245.0,6670.0,5593.0,6907.0,8139.0,8985.0,8159.0,6915.0,6641.0,6141.0,5273.0,4953.0,18612.0,10397.0,7656.0,6268.0,5081.0,3183.0,1789.0,880.0,796.0,,
Prostitution and commercialized vice,18940.0,37.0,251.0,18689.0,6.0,10.0,21.0,30.0,60.0,124.0,280.0,368.0,454.0,540.0,565.0,638.0,637.0,3016.0,2707.0,2599.0,2285.0,1803.0,1224.0,739.0,413.0,421.0,,
Sex offenses (except forcible rape and prostitution),57213.0,5071.0,10450.0,46763.0,232.0,1384.0,3455.0,1809.0,1759.0,1811.0,2151.0,2050.0,1829.0,1781.0,1626.0,1447.0,1408.0,6252.0,5134.0,5462.0,5329.0,4535.0,3081.0,1967.0,1291.0,1420.0,,
Drug abuse violations,1125138.0,17169.0,124201.0,1000937.0,223.0,1772.0,15174.0,20737.0,34467.0,51828.0,72350.0,71194.0,64608.0,57973.0,52440.0,47409.0,44439.0,177653.0,108754.0,90783.0,82104.0,67822.0,38841.0,16319.0,5560.0,2688.0,,
Gambling,8332.0,220.0,1553.0,6779.0,4.0,12.0,204.0,278.0,414.0,641.0,675.0,623.0,501.0,432.0,394.0,317.0,295.0,1022.0,567.0,405.0,389.0,334.0,251.0,232.0,164.0,178.0,,
Offenses against the family and children,66367.0,751.0,2609.0,63758.0,66.0,161.0,524.0,459.0,635.0,764.0,1283.0,1302.0,1405.0,1658.0,1635.0,1730.0,2020.0,10803.0,10580.0,10637.0,9264.0,6323.0,3116.0,1183.0,487.0,332.0,,
Driving under the influence,836671.0,299.0,10233.0,826438.0,153.0,12.0,134.0,386.0,2325.0,7223.0,18800.0,26094.0,29460.0,41342.0,41030.0,39720.0,38776.0,153903.0,102397.0,87594.0,79618.0,70024.0,46718.0,27102.0,13458.0,10402.0,,
Liquor laws,345708.0,4843.0,66676.0,279032.0,80.0,306.0,4457.0,9105.0,18966.0,33762.0,55887.0,60339.0,50430.0,9754.0,6954.0,5333.0,4632.0,16723.0,11260.0,11492.0,13426.0,14194.0,9780.0,5240.0,2154.0,1434.0,,
Drunkenness,378873.0,888.0,9677.0,369196.0,64.0,52.0,772.0,1470.0,2305.0,5014.0,10375.0,11703.0,11912.0,17875.0,16700.0,14939.0,14319.0,56360.0,39089.0,38059.0,42614.0,42322.0,29196.0,14093.0,5905.0,3735.0,,
Disorderly conduct,398203.0,37371.0,102371.0,295832.0,923.0,9158.0,27290.0,20474.0,22653.0,21873.0,18510.0,16247.0,15036.0,19285.0,16794.0,14585.0,13102.0,48730.0,29602.0,26771.0,26638.0,23560.0,14362.0,7083.0,3083.0,2444.0,,
Vagrancy,19943.0,596.0,2072.0,17871.0,12.0,95.0,489.0,528.0,629.0,319.0,935.0,757.0,591.0,637.0,476.0,449.0,420.0,1886.0,1517.0,1912.0,2450.0,2597.0,1736.0,923.0,377.0,208.0,,
All other offenses (except traffic),2271402.0,49492.0,209280.0,2062122.0,1746.0,9082.0,38664.0,40908.0,53210.0,65670.0,81925.0,93898.0,95598.0,98652.0,92957.0,86199.0,83156.0,354755.0,248235.0,230377.0,218622.0,181340.0,107702.0,51363.0,21437.0,15906.0,,
Suspicion,1258.0,59.0,231.0,1027.0,0.0,13.0,46.0,41.0,78.0,53.0,87.0,86.0,60.0,51.0,64.0,52.0,44.0,151.0,108.0,95.0,81.0,69.0,45.0,21.0,6.0,7.0,,
Curfew and loitering law violations,76025.0,19187.0,76025.0,-,344.0,3359.0,15484.0,17090.0,21537.0,18211.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Runaways,36194.0,11801.0,36194.0,-,404.0,2078.0,9319.0,8877.0,9871.0,5645.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
