State,City,Population,Total law enforcement employees,Total officers,Total civilians
,Glencoe,5644.0,11.0,10.0,1.0
,Glenwood,2553.0,4.0,4.0,0.0
,Golden Valley,19865.0,36.0,27.0,9.0
,Goodview,3394.0,4.0,4.0,0.0
,Grand Rapids,8297.0,21.0,17.0,4.0
,Granite Falls,2961.0,5.0,5.0,0.0
,Hallock,1051.0,1.0,1.0,0.0
,Hastings,21839.0,32.0,27.0,5.0
,Hermantown,9247.0,15.0,13.0,2.0
,Hibbing,16198.0,32.0,29.0,3.0
,Hokah,582.0,1.0,1.0,0.0
,Hopkins,16613.0,36.0,23.0,13.0
,Houston,991.0,1.0,1.0,0.0
,Hoyt Lakes,1957.0,5.0,5.0,0.0
,Hutchinson,14050.0,34.0,23.0,11.0
,International Falls,6108.0,14.0,13.0,1.0
,Inver Grove Heights,34060.0,42.0,34.0,8.0
,Jackson,3429.0,6.0,5.0,1.0
,Janesville,2201.0,3.0,3.0,0.0
,Jordan,5550.0,10.0,8.0,2.0
,Kasson,5737.0,9.0,8.0,1.0
,Kimball,691.0,3.0,3.0,0.0
,La Crescent,5106.0,8.0,7.0,1.0
,Lake City,5409.0,11.0,10.0,1.0
,Lake Crystal,2562.0,4.0,4.0,0.0
,Lakefield,1687.0,3.0,3.0,0.0
,Lakes Area,8333.0,15.0,13.0,2.0
,Lakeville,54565.0,62.0,52.0,10.0
,Lester Prairie,1737.0,3.0,3.0,0.0
,Le Sueur,4331.0,8.0,7.0,1.0
,Lewiston,1483.0,2.0,2.0,0.0
,Lino Lakes,20334.0,28.0,25.0,3.0
,Litchfield,6655.0,10.0,9.0,1.0
,Little Falls,8162.0,13.0,11.0,2.0
,Long Prairie,2877.0,6.0,6.0,0.0
,Madison,1605.0,3.0,3.0,0.0
,Mankato,35331.0,62.0,49.0,13.0
,Maple Grove,62145.0,76.0,63.0,13.0
,Mapleton,1633.0,3.0,3.0,0.0
,Maplewood,35444.0,60.0,54.0,6.0
,Marshall,12410.0,24.0,21.0,3.0
,Medina,5033.0,11.0,10.0,1.0
,Melrose,3146.0,6.0,5.0,1.0
,Mendota Heights,11318.0,19.0,17.0,2.0
,Milaca,3073.0,7.0,6.0,1.0
,Minneapolis,371240.0,1084.0,848.0,236.0
,Minnetonka,49751.0,74.0,55.0,19.0
,Minnetrista,8350.0,14.0,11.0,3.0
,Montevideo,5305.0,11.0,10.0,1.0
,Montgomery,3308.0,7.0,6.0,1.0
,Moorhead,35052.0,62.0,49.0,13.0
,Moose Lake,2622.0,4.0,4.0,0.0
,Mora,3521.0,8.0,7.0,1.0
,Morris,5057.0,10.0,8.0,2.0
,Mound,9404.0,16.0,13.0,3.0
,Mounds View,11921.0,21.0,19.0,2.0
,Mountain Iron,2902.0,5.0,5.0,0.0
,Mountain Lake,1982.0,4.0,4.0,0.0
,New Brighton,20644.0,34.0,29.0,5.0
,New Hope,20301.0,36.0,29.0,7.0
,Newport,3606.0,8.0,8.0,0.0
,New Prague,7153.0,11.0,9.0,2.0
,New Richland,1155.0,2.0,2.0,0.0
,New Ulm,13369.0,25.0,22.0,3.0
,North Branch,10886.0,14.0,12.0,2.0
,Northfield,19447.0,26.0,21.0,5.0
,North Mankato,12295.0,13.0,12.0,1.0
,North St. Paul,11201.0,17.0,15.0,2.0
,Oakdale,27306.0,41.0,32.0,9.0
,Oak Park Heights,4097.0,10.0,9.0,1.0
,Olivia,2449.0,5.0,5.0,0.0
,Orono,12212.0,22.0,19.0,3.0
,Ortonville,2003.0,4.0,4.0,0.0
,Osakis,1570.0,4.0,3.0,1.0
,Osseo,2553.0,6.0,5.0,1.0
,Owatonna,24796.0,37.0,34.0,3.0
,Park Rapids,3577.0,10.0,9.0,1.0
,Paynesville,2255.0,5.0,4.0,1.0
,Plainview,3306.0,7.0,7.0,0.0
,Plymouth,70737.0,82.0,69.0,13.0
,Princeton,4885.0,12.0,10.0,2.0
,Prior Lake,23879.0,26.0,23.0,3.0
,Proctor,2771.0,8.0,7.0,1.0
,Ramsey,23617.0,27.0,22.0,5.0
,Red Wing,15705.0,33.0,27.0,6.0
,Redwood Falls,5155.0,13.0,11.0,2.0
,Richfield,33112.0,60.0,45.0,15.0
,Robbinsdale,13211.0,26.0,21.0,5.0
,Rochester,98287.0,177.0,127.0,50.0
,Rogers,6802.0,15.0,13.0,2.0
,Roseau,2827.0,8.0,7.0,1.0
,Rosemount,21393.0,24.0,21.0,3.0
,Roseville,31645.0,56.0,49.0,7.0
,Sartell,13816.0,19.0,17.0,2.0
,Sauk Centre,3906.0,7.0,6.0,1.0
,Sauk Rapids,11768.0,15.0,13.0,2.0
,Savage,28266.0,34.0,29.0,5.0
,Shakopee,35113.0,53.0,47.0,6.0
,Silver Bay,1913.0,5.0,5.0,0.0
,Silver Lake,814.0,2.0,2.0,0.0
,Slayton,1907.0,4.0,4.0,0.0
,Sleepy Eye,3463.0,4.0,4.0,0.0
,South Lake Minnetonka,12066.0,16.0,14.0,2.0
,South St. Paul,19188.0,28.0,26.0,2.0
,Springfield,2124.0,5.0,5.0,0.0
,Spring Grove,1268.0,2.0,2.0,0.0
,Spring Lake Park,6618.0,13.0,11.0,2.0
,St. Anthony,7680.0,24.0,21.0,3.0
,Staples,3082.0,6.0,5.0,1.0
,St. Charles,3567.0,4.0,4.0,0.0
,St. Cloud,67290.0,125.0,96.0,29.0
,St. Francis,7744.0,11.0,9.0,2.0
,Stillwater,18116.0,27.0,23.0,4.0
,St. James,4380.0,8.0,7.0,1.0
,St. Joseph,5926.0,9.0,8.0,1.0
,St. Louis Park,43001.0,68.0,50.0,18.0
,St. Paul,271662.0,800.0,602.0,198.0
,St. Paul Park,5285.0,9.0,9.0,0.0
,St. Peter,10823.0,19.0,14.0,5.0
,Thief River Falls,8440.0,18.0,16.0,2.0
,Tracy,2045.0,4.0,4.0,0.0
,Two Harbors,3435.0,9.0,8.0,1.0
,Virginia,8471.0,21.0,20.0,1.0
,Wabasha,2587.0,5.0,4.0,1.0
,Wadena,3981.0,9.0,8.0,1.0
,Waite Park,6795.0,15.0,12.0,3.0
,Warroad,1663.0,14.0,5.0,9.0
,Waseca,9465.0,16.0,14.0,2.0
,Wayzata,3894.0,12.0,10.0,2.0
,Wells,2442.0,4.0,4.0,0.0
,West Hennepin,5671.0,11.0,9.0,2.0
,West St. Paul,18748.0,32.0,29.0,3.0
,Wheaton,1463.0,3.0,3.0,0.0
,White Bear Lake,23486.0,35.0,28.0,7.0
,Willmar,18012.0,37.0,33.0,4.0
,Windom,4327.0,9.0,8.0,1.0
,Winnebago,1386.0,3.0,3.0,0.0
,Winona,26464.0,43.0,39.0,4.0
,Winsted,2457.0,3.0,3.0,0.0
,Woodbury,55376.0,70.0,59.0,11.0
,Worthington,11026.0,32.0,24.0,8.0
,Wyoming,3985.0,6.0,6.0,0.0
,Zumbrota,3050.0,5.0,5.0,0.0
