City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Eugene,147458.0,426.0,1.0,55.0,181.0,189.0,7804.0,1640.0,5119.0,1045.0,72.0
Fairview,9753.0,17.0,0.0,3.0,11.0,3.0,357.0,75.0,230.0,52.0,2.0
Florence,8250.0,7.0,0.0,1.0,4.0,2.0,362.0,83.0,254.0,25.0,4.0
Forest Grove,20457.0,23.0,0.0,1.0,3.0,19.0,563.0,51.0,469.0,43.0,5.0
Gearhart,1117.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,10.0,1.0,0.0
Gervais,2451.0,14.0,0.0,0.0,1.0,13.0,102.0,9.0,72.0,21.0,3.0
Gladstone,12256.0,26.0,0.0,3.0,12.0,11.0,380.0,48.0,307.0,25.0,6.0
Gold Beach,1909.0,3.0,0.0,0.0,0.0,3.0,35.0,4.0,28.0,3.0,0.0
Grants Pass,30292.0,67.0,3.0,14.0,21.0,29.0,1667.0,185.0,1328.0,154.0,13.0
Gresham,98089.0,470.0,1.0,74.0,170.0,225.0,4332.0,627.0,2671.0,1034.0,45.0
Hermiston,15148.0,67.0,0.0,5.0,12.0,50.0,972.0,163.0,739.0,70.0,5.0
Hillsboro,90439.0,195.0,0.0,39.0,71.0,85.0,2844.0,456.0,2081.0,307.0,32.0
Hines,1464.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0
Hood River,6778.0,11.0,0.0,0.0,3.0,8.0,212.0,24.0,168.0,20.0,2.0
Hubbard,2624.0,1.0,0.0,0.0,0.0,1.0,52.0,9.0,32.0,11.0,1.0
Independence,9211.0,21.0,0.0,2.0,3.0,16.0,235.0,36.0,191.0,8.0,1.0
Jacksonville,2190.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,25.0,2.0,0.0
John Day,1555.0,18.0,0.0,1.0,0.0,17.0,27.0,7.0,18.0,2.0,0.0
Junction City,5378.0,1.0,0.0,0.0,1.0,0.0,28.0,7.0,18.0,3.0,0.0
Keizer,35423.0,74.0,0.0,6.0,7.0,61.0,926.0,122.0,727.0,77.0,4.0
King City,2257.0,5.0,0.0,0.0,4.0,1.0,76.0,14.0,59.0,3.0,2.0
Klamath Falls,19817.0,92.0,3.0,15.0,27.0,47.0,665.0,119.0,494.0,52.0,13.0
La Grande,12288.0,23.0,0.0,3.0,1.0,19.0,444.0,82.0,343.0,19.0,7.0
Lake Oswego,36917.0,31.0,0.0,6.0,8.0,17.0,612.0,110.0,473.0,29.0,30.0
Lakeview,2412.0,23.0,1.0,0.0,0.0,22.0,89.0,20.0,62.0,7.0,1.0
Lebanon,14620.0,49.0,0.0,8.0,16.0,25.0,789.0,126.0,619.0,44.0,5.0
Lincoln City,7996.0,47.0,2.0,7.0,6.0,32.0,496.0,80.0,394.0,22.0,4.0
Madras,5301.0,24.0,0.0,2.0,6.0,16.0,399.0,122.0,240.0,37.0,1.0
Malin,634.0,1.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,1.0,0.0
Manzanita,640.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,17.0,0.0,0.0
McMinnville,30980.0,47.0,0.0,13.0,11.0,23.0,795.0,113.0,629.0,53.0,1.0
Medford,71969.0,265.0,0.0,30.0,44.0,191.0,3270.0,412.0,2662.0,196.0,53.0
Milton-Freewater,6392.0,12.0,0.0,0.0,0.0,12.0,209.0,49.0,151.0,9.0,4.0
Milwaukie,21060.0,42.0,1.0,8.0,11.0,22.0,656.0,90.0,489.0,77.0,8.0
Molalla,7210.0,7.0,0.0,2.0,1.0,4.0,172.0,23.0,138.0,11.0,1.0
Monmouth,9751.0,23.0,0.0,3.0,1.0,19.0,245.0,52.0,175.0,18.0,2.0
Mount Angel,3429.0,8.0,0.0,1.0,1.0,6.0,142.0,32.0,96.0,14.0,1.0
Myrtle Creek,3555.0,2.0,0.0,0.0,1.0,1.0,128.0,6.0,116.0,6.0,1.0
Newberg-Dundee,25209.0,35.0,1.0,10.0,4.0,20.0,622.0,50.0,517.0,55.0,5.0
Newport,9953.0,54.0,0.0,7.0,7.0,40.0,614.0,82.0,496.0,36.0,7.0
North Bend,9892.0,9.0,0.0,0.0,4.0,5.0,301.0,82.0,201.0,18.0,1.0
North Plains,1833.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,1.0,0.0
Oakridge,3127.0,5.0,0.0,1.0,0.0,4.0,114.0,39.0,69.0,6.0,0.0
Ontario,11100.0,128.0,0.0,6.0,10.0,112.0,747.0,98.0,609.0,40.0,4.0
Oregon City,31284.0,58.0,0.0,12.0,26.0,20.0,1048.0,120.0,838.0,90.0,7.0
Pendleton,16620.0,101.0,3.0,25.0,21.0,52.0,1043.0,151.0,815.0,77.0,4.0
Philomath,4206.0,12.0,0.0,0.0,1.0,11.0,150.0,51.0,91.0,8.0,1.0
Phoenix,4416.0,3.0,0.0,1.0,1.0,1.0,129.0,14.0,108.0,7.0,0.0
Portland,538133.0,3701.0,22.0,280.0,1289.0,2110.0,31586.0,4840.0,21978.0,4768.0,331.0
Prairie City,936.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,6.0,0.0,1.0
Prineville,9583.0,86.0,0.0,3.0,0.0,83.0,362.0,84.0,274.0,4.0,6.0
Redmond,24095.0,84.0,0.0,16.0,16.0,52.0,1227.0,250.0,889.0,88.0,18.0
Reedsport,4352.0,3.0,0.0,1.0,0.0,2.0,139.0,20.0,114.0,5.0,0.0
Rogue River,1943.0,1.0,0.0,1.0,0.0,0.0,91.0,21.0,65.0,5.0,0.0
Roseburg,21128.0,44.0,0.0,18.0,16.0,10.0,1021.0,130.0,844.0,47.0,15.0
Salem,154484.0,583.0,3.0,58.0,132.0,390.0,7436.0,915.0,5629.0,892.0,30.0
Sandy,8770.0,9.0,0.0,1.0,1.0,7.0,360.0,50.0,285.0,25.0,2.0
Scappoose,6222.0,8.0,0.0,0.0,1.0,7.0,192.0,15.0,170.0,7.0,0.0
Seaside,6229.0,26.0,0.0,5.0,4.0,17.0,502.0,58.0,416.0,28.0,1.0
Shady Cove,2293.0,2.0,0.0,0.0,1.0,1.0,52.0,8.0,44.0,0.0,0.0
Sherwood,17957.0,7.0,0.0,2.0,2.0,3.0,237.0,30.0,196.0,11.0,3.0
Silverton,9200.0,15.0,0.0,4.0,4.0,7.0,229.0,44.0,175.0,10.0,1.0
Springfield,56201.0,245.0,0.0,10.0,40.0,195.0,3137.0,504.0,2219.0,414.0,23.0
Stayton,7385.0,29.0,0.0,2.0,2.0,25.0,425.0,64.0,328.0,33.0,10.0
St. Helens,12708.0,11.0,0.0,1.0,4.0,6.0,352.0,78.0,252.0,22.0,15.0
Sunriver,,2.0,0.0,2.0,0.0,0.0,89.0,5.0,82.0,2.0,0.0
Sutherlin,7396.0,18.0,0.0,6.0,1.0,11.0,189.0,46.0,130.0,13.0,5.0
Sweet Home,8659.0,9.0,0.0,2.0,2.0,5.0,424.0,120.0,293.0,11.0,3.0
Talent,6150.0,6.0,0.0,2.0,1.0,3.0,124.0,13.0,104.0,7.0,0.0
The Dalles,11900.0,30.0,0.0,3.0,6.0,21.0,624.0,91.0,496.0,37.0,2.0
Tigard,50087.0,103.0,1.0,9.0,43.0,50.0,1725.0,190.0,1445.0,90.0,16.0
Tillamook,4435.0,7.0,0.0,1.0,2.0,4.0,203.0,28.0,168.0,7.0,1.0
Toledo,3398.0,2.0,0.0,0.0,0.0,2.0,108.0,19.0,79.0,10.0,0.0
Troutdale,15212.0,32.0,0.0,6.0,12.0,14.0,582.0,74.0,442.0,66.0,13.0
Tualatin,26712.0,50.0,0.0,5.0,13.0,32.0,890.0,132.0,700.0,58.0,1.0
Turner,1689.0,5.0,0.0,0.0,0.0,5.0,62.0,10.0,50.0,2.0,0.0
Umatilla,5397.0,16.0,0.0,3.0,0.0,13.0,153.0,35.0,105.0,13.0,0.0
Veneta,3927.0,27.0,0.0,1.0,1.0,25.0,197.0,73.0,103.0,21.0,3.0
Vernonia,2319.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,41.0,2.0,2.0
Warrenton,4438.0,1.0,0.0,0.0,1.0,0.0,225.0,33.0,178.0,14.0,0.0
West Linn,25636.0,16.0,0.0,8.0,2.0,6.0,262.0,36.0,210.0,16.0,3.0
Wilsonville,16916.0,22.0,0.0,7.0,10.0,5.0,584.0,45.0,494.0,45.0,3.0
Winston,4803.0,6.0,0.0,0.0,0.0,6.0,144.0,40.0,95.0,9.0,5.0
Woodburn,22399.0,66.0,1.0,7.0,19.0,39.0,862.0,111.0,673.0,78.0,1.0
Yamhill,850.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,11.0,0.0,0.0
