Table 8,,,,,,,,,,,
OKLAHOMA,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2007",,,,,,,,,,,
City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Frederick,4113.0,17.0,0.0,1.0,3.0,13.0,134.0,43.0,84.0,7.0,6.0
Geary,1239.0,7.0,0.0,1.0,0.0,6.0,42.0,13.0,28.0,1.0,0.0
Glenpool,9251.0,18.0,0.0,2.0,1.0,15.0,173.0,44.0,111.0,18.0,0.0
Goodwell,1127.0,2.0,0.0,1.0,0.0,1.0,15.0,7.0,8.0,0.0,0.0
Grove,6141.0,15.0,0.0,1.0,0.0,14.0,161.0,32.0,128.0,1.0,0.0
Guthrie,11074.0,26.0,1.0,5.0,5.0,15.0,277.0,73.0,186.0,18.0,2.0
Guymon,10721.0,47.0,1.0,5.0,6.0,35.0,370.0,69.0,285.0,16.0,2.0
Harrah,5010.0,7.0,0.0,1.0,0.0,6.0,120.0,41.0,77.0,2.0,0.0
Hartshorne,2072.0,5.0,0.0,0.0,0.0,5.0,46.0,17.0,27.0,2.0,0.0
Haskell,1781.0,2.0,1.0,0.0,0.0,1.0,8.0,4.0,3.0,1.0,0.0
Healdton,2772.0,3.0,0.0,1.0,0.0,2.0,73.0,13.0,59.0,1.0,0.0
Heavener2,3274.0,,0.0,3.0,0.0,,67.0,23.0,40.0,4.0,1.0
Henryetta,6090.0,16.0,0.0,3.0,1.0,12.0,175.0,51.0,95.0,29.0,1.0
Hinton,2172.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,13.0,4.0,0.0
Hobart,3741.0,11.0,0.0,1.0,0.0,10.0,51.0,12.0,35.0,4.0,0.0
Holdenville,5546.0,13.0,1.0,2.0,0.0,10.0,140.0,38.0,85.0,17.0,0.0
Hollis,2072.0,5.0,1.0,2.0,0.0,2.0,35.0,9.0,25.0,1.0,1.0
Hominy,3701.0,20.0,0.0,0.0,1.0,19.0,28.0,13.0,9.0,6.0,4.0
Hooker,1725.0,1.0,0.0,0.0,0.0,1.0,18.0,9.0,5.0,4.0,0.0
Hugo,5573.0,12.0,0.0,0.0,4.0,8.0,168.0,52.0,110.0,6.0,1.0
Hulbert,530.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0
Hydro,1034.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,13.0,2.0,1.0
Idabel,6906.0,47.0,3.0,11.0,4.0,29.0,309.0,44.0,249.0,16.0,6.0
Jay,3020.0,5.0,0.0,3.0,0.0,2.0,46.0,15.0,31.0,0.0,0.0
Jenks,14906.0,15.0,0.0,2.0,0.0,13.0,236.0,48.0,170.0,18.0,2.0
Jones,2674.0,2.0,0.0,1.0,0.0,1.0,11.0,2.0,9.0,0.0,0.0
Kingfisher,4515.0,5.0,0.0,1.0,1.0,3.0,88.0,14.0,72.0,2.0,1.0
Kingston,1561.0,2.0,0.0,0.0,1.0,1.0,16.0,10.0,4.0,2.0,0.0
Konawa,1417.0,2.0,0.0,0.0,0.0,2.0,26.0,9.0,13.0,4.0,0.0
Krebs,2137.0,6.0,0.0,0.0,0.0,6.0,42.0,7.0,29.0,6.0,1.0
Lawton,86864.0,1075.0,9.0,75.0,184.0,807.0,4638.0,1555.0,2813.0,270.0,49.0
Lexington,2071.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,33.0,1.0,0.0
Lindsay,2918.0,3.0,0.0,0.0,0.0,3.0,47.0,16.0,25.0,6.0,1.0
Locust Grove,1589.0,6.0,0.0,0.0,0.0,6.0,46.0,8.0,34.0,4.0,0.0
Lone Grove,5239.0,11.0,1.0,0.0,1.0,9.0,123.0,30.0,88.0,5.0,0.0
Luther,1098.0,2.0,0.0,1.0,0.0,1.0,10.0,5.0,3.0,2.0,0.0
Madill,3735.0,13.0,0.0,1.0,2.0,10.0,145.0,33.0,99.0,13.0,1.0
Mangum,2695.0,14.0,0.0,0.0,0.0,14.0,78.0,18.0,58.0,2.0,1.0
Mannford,2787.0,6.0,0.0,1.0,0.0,5.0,41.0,10.0,28.0,3.0,0.0
Marietta,2568.0,16.0,0.0,3.0,2.0,11.0,93.0,25.0,62.0,6.0,0.0
Marlow,4564.0,10.0,0.0,5.0,0.0,5.0,84.0,14.0,66.0,4.0,0.0
Maysville,1304.0,4.0,0.0,1.0,0.0,3.0,18.0,2.0,12.0,4.0,0.0
McAlester,18414.0,52.0,0.0,7.0,11.0,34.0,1111.0,194.0,881.0,36.0,1.0
McLoud,4250.0,12.0,0.0,1.0,2.0,9.0,69.0,25.0,38.0,6.0,0.0
Meeker,1000.0,3.0,0.0,1.0,0.0,2.0,25.0,8.0,15.0,2.0,0.0
Miami,13622.0,72.0,0.0,5.0,3.0,64.0,603.0,151.0,435.0,17.0,4.0
Midwest City,55315.0,257.0,1.0,19.0,54.0,183.0,2365.0,554.0,1645.0,166.0,10.0
Minco,1805.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0
Moore,50548.0,70.0,1.0,9.0,15.0,45.0,1950.0,393.0,1397.0,160.0,5.0
Mooreland,1229.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,14.0,1.0,0.0
Morris,1323.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,7.0,4.0,0.0
Mountain View,816.0,1.0,0.0,0.0,0.0,1.0,10.0,3.0,7.0,0.0,0.0
Muldrow,3216.0,5.0,0.0,0.0,0.0,5.0,72.0,16.0,55.0,1.0,1.0
Muskogee,40113.0,379.0,3.0,39.0,57.0,280.0,1675.0,604.0,981.0,90.0,14.0
Mustang,16960.0,49.0,1.0,2.0,5.0,41.0,537.0,78.0,433.0,26.0,6.0
Newcastle,6880.0,9.0,0.0,0.0,2.0,7.0,183.0,32.0,140.0,11.0,1.0
Newkirk,2128.0,8.0,0.0,0.0,0.0,8.0,83.0,20.0,60.0,3.0,0.0
Nichols Hills,3981.0,1.0,0.0,0.0,0.0,1.0,48.0,8.0,37.0,3.0,0.0
Nicoma Park,2371.0,10.0,0.0,0.0,1.0,9.0,53.0,16.0,33.0,4.0,0.0
Noble,5638.0,3.0,0.0,1.0,0.0,2.0,91.0,34.0,53.0,4.0,2.0
Norman,103721.0,177.0,4.0,35.0,52.0,86.0,3615.0,795.0,2549.0,271.0,2.0
Nowata,4009.0,23.0,0.0,1.0,1.0,21.0,88.0,29.0,49.0,10.0,1.0
Oilton,1125.0,4.0,0.0,0.0,0.0,4.0,12.0,6.0,6.0,0.0,0.0
Okemah,2965.0,14.0,0.0,3.0,3.0,8.0,150.0,38.0,104.0,8.0,2.0
Oklahoma City,542199.0,4612.0,58.0,326.0,1397.0,2831.0,31949.0,8110.0,19228.0,4611.0,173.0
Okmulgee,12805.0,80.0,2.0,5.0,16.0,57.0,516.0,124.0,349.0,43.0,2.0
Oologah,1163.0,2.0,0.0,0.0,0.0,2.0,24.0,9.0,14.0,1.0,0.0
Owasso,25974.0,65.0,0.0,15.0,6.0,44.0,591.0,118.0,437.0,36.0,1.0
Pauls Valley,6175.0,20.0,0.0,4.0,2.0,14.0,416.0,93.0,299.0,24.0,2.0
Pawhuska,3481.0,63.0,0.0,1.0,0.0,62.0,75.0,19.0,49.0,7.0,0.0
Pawnee,2222.0,5.0,0.0,1.0,0.0,4.0,32.0,13.0,17.0,2.0,1.0
Perkins,2251.0,6.0,0.0,2.0,0.0,4.0,45.0,8.0,35.0,2.0,0.0
Perry,5045.0,14.0,0.0,0.0,0.0,14.0,128.0,26.0,93.0,9.0,1.0
Piedmont,5233.0,13.0,0.0,3.0,1.0,9.0,40.0,13.0,27.0,0.0,1.0
Ponca City,24548.0,210.0,1.0,13.0,24.0,172.0,1410.0,391.0,940.0,79.0,28.0
Porum,735.0,1.0,0.0,0.0,0.0,1.0,12.0,4.0,7.0,1.0,0.0
Poteau,8347.0,38.0,0.0,2.0,2.0,34.0,152.0,19.0,106.0,27.0,0.0
Prague,2153.0,3.0,0.0,0.0,0.0,3.0,26.0,10.0,16.0,0.0,0.0
Pryor,9361.0,75.0,0.0,3.0,2.0,70.0,384.0,71.0,274.0,39.0,2.0
Purcell,6026.0,11.0,0.0,3.0,3.0,5.0,256.0,94.0,147.0,15.0,1.0
Ringling,1062.0,6.0,0.0,2.0,1.0,3.0,16.0,4.0,7.0,5.0,0.0
Roland,3216.0,5.0,0.0,0.0,0.0,5.0,25.0,8.0,16.0,1.0,0.0
Rush Springs,1349.0,2.0,0.0,0.0,0.0,2.0,32.0,12.0,17.0,3.0,0.0
Sallisaw,8842.0,48.0,0.0,5.0,3.0,40.0,285.0,71.0,194.0,20.0,1.0
Sand Springs,18362.0,40.0,1.0,7.0,8.0,24.0,664.0,123.0,460.0,81.0,1.0
Sapulpa,20960.0,36.0,1.0,6.0,7.0,22.0,672.0,149.0,448.0,75.0,8.0
Sayre,2743.0,10.0,0.0,1.0,0.0,9.0,77.0,20.0,53.0,4.0,12.0
Seminole,6960.0,29.0,0.0,1.0,0.0,28.0,280.0,56.0,209.0,15.0,2.0
Shawnee,30109.0,232.0,2.0,17.0,30.0,183.0,1734.0,364.0,1219.0,151.0,5.0
Skiatook,6486.0,33.0,0.0,5.0,3.0,25.0,293.0,77.0,197.0,19.0,0.0
Snyder,1430.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
Spencer,3943.0,12.0,0.0,1.0,0.0,11.0,101.0,46.0,44.0,11.0,1.0
Spiro,2336.0,16.0,0.0,0.0,1.0,15.0,51.0,19.0,24.0,8.0,2.0
Stigler,2825.0,12.0,0.0,5.0,1.0,6.0,111.0,15.0,94.0,2.0,1.0
Stillwater,45692.0,115.0,0.0,16.0,15.0,84.0,1243.0,321.0,858.0,64.0,10.0
Stilwell2,3551.0,7.0,0.0,1.0,1.0,5.0,,,,13.0,1.0
Stratford,1496.0,1.0,0.0,0.0,0.0,1.0,15.0,6.0,8.0,1.0,0.0
Stringtown,413.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,5.0,1.0,0.0
Stroud,2777.0,6.0,0.0,0.0,0.0,6.0,87.0,24.0,53.0,10.0,1.0
Sulphur,4924.0,5.0,0.0,0.0,0.0,5.0,103.0,42.0,56.0,5.0,1.0
Tahlequah,16491.0,65.0,2.0,10.0,8.0,45.0,726.0,183.0,483.0,60.0,1.0
Talihina,1250.0,5.0,0.0,0.0,1.0,4.0,45.0,18.0,24.0,3.0,0.0
Tecumseh,6723.0,55.0,1.0,8.0,1.0,45.0,207.0,50.0,148.0,9.0,3.0
Texhoma,936.0,2.0,0.0,0.0,0.0,2.0,9.0,2.0,7.0,0.0,0.0
The Village,9719.0,24.0,0.0,1.0,6.0,17.0,352.0,94.0,234.0,24.0,3.0
Tishomingo,3248.0,10.0,0.0,3.0,0.0,7.0,122.0,64.0,55.0,3.0,0.0
Tonkawa,3080.0,8.0,0.0,4.0,0.0,4.0,103.0,26.0,69.0,8.0,0.0
Tulsa,381469.0,4552.0,55.0,299.0,1023.0,3175.0,24044.0,6843.0,13522.0,3679.0,255.0
Tushka,363.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0
Tuttle,5935.0,2.0,0.0,0.0,0.0,2.0,63.0,17.0,45.0,1.0,2.0
Valliant,752.0,8.0,0.0,1.0,0.0,7.0,38.0,6.0,32.0,0.0,1.0
Vian,1483.0,1.0,0.0,0.0,0.0,1.0,16.0,3.0,11.0,2.0,2.0
Vinita,5982.0,23.0,0.0,1.0,2.0,20.0,212.0,39.0,153.0,20.0,0.0
Wagoner,8043.0,85.0,0.0,2.0,5.0,78.0,405.0,100.0,296.0,9.0,0.0
Walters,2548.0,2.0,0.0,0.0,1.0,1.0,33.0,21.0,12.0,0.0,0.0
Warner,1447.0,1.0,0.0,1.0,0.0,0.0,8.0,2.0,6.0,0.0,1.0
Warr Acres,9384.0,53.0,0.0,4.0,24.0,25.0,502.0,121.0,324.0,57.0,0.0
Watonga,5807.0,7.0,0.0,0.0,0.0,7.0,86.0,25.0,54.0,7.0,0.0
Waukomis,1192.0,4.0,0.0,0.0,0.0,4.0,25.0,9.0,15.0,1.0,0.0
Waurika,1811.0,9.0,0.0,0.0,0.0,9.0,9.0,6.0,3.0,0.0,0.0
Waynoka,901.0,2.0,0.0,0.0,0.0,2.0,26.0,4.0,20.0,2.0,0.0
Weatherford,9951.0,57.0,1.0,3.0,2.0,51.0,409.0,75.0,312.0,22.0,2.0
Weleetka,938.0,2.0,0.0,1.0,0.0,1.0,10.0,3.0,4.0,3.0,0.0
Westville,1687.0,12.0,0.0,0.0,1.0,11.0,64.0,15.0,47.0,2.0,0.0
Wetumka,1422.0,6.0,0.0,0.0,3.0,3.0,51.0,29.0,19.0,3.0,1.0
Wewoka,3368.0,10.0,0.0,0.0,2.0,8.0,121.0,43.0,72.0,6.0,2.0
Wilburton,2896.0,10.0,0.0,0.0,2.0,8.0,67.0,12.0,52.0,3.0,1.0
Wilson,1627.0,21.0,0.0,0.0,0.0,21.0,66.0,29.0,34.0,3.0,2.0
Woodward,12064.0,31.0,0.0,1.0,3.0,27.0,650.0,164.0,473.0,13.0,1.0
Wright City,803.0,3.0,0.0,0.0,0.0,3.0,15.0,3.0,12.0,0.0,1.0
Wynnewood,2311.0,4.0,1.0,0.0,0.0,3.0,47.0,23.0,17.0,7.0,1.0
Yale,1284.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Yukon,22457.0,42.0,1.0,2.0,3.0,36.0,659.0,125.0,504.0,30.0,2.0
1 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,
"2 The FBI determined that the agency's data were overreported.  Consequently, affected data are not included in this table.",,,,,,,,,,,
