Table 46,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Age, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[9,289 agencies; 2017 estimated population 175,386,806]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense charged,"Total all
ages","Ages under
15","Ages
under 18","Ages 18 and
over","Under
10",10-12,13-14,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,"65 and
over",
Violent crime percent distribution1,100.0,2.9,10.5,89.5,*,0.6,2.2,2.0,2.6,3.0,3.4,3.4,3.4,3.5,3.5,3.6,3.6,17.3,13.6,10.7,7.0,5.8,4.7,3.2,1.5,1.1,
Property crime3,795597.0,31866.0,109711.0,685886.0,608.0,6816.0,24442.0,21919.0,26539.0,29387.0,32553.0,29144.0,25584.0,23933.0,23640.0,24398.0,25135.0,126318.0,107039.0,84536.0,55170.0,47701.0,37793.0,24596.0,11211.0,7135.0,
Property crime percent distribution1,100.0,4.0,13.8,86.2,0.1,0.9,3.1,2.8,3.3,3.7,4.1,3.7,3.2,3.0,3.0,3.1,3.2,15.9,13.5,10.6,6.9,6.0,4.8,3.1,1.4,0.9,
Other assaults,629727.0,29179.0,72916.0,556811.0,682.0,8101.0,20396.0,14062.0,15165.0,14510.0,14172.0,15358.0,16544.0,18903.0,19987.0,21189.0,21831.0,106764.0,88270.0,71277.0,48697.0,40643.0,32908.0,21802.0,10488.0,7978.0,
Forgery and counterfeiting,32362.0,122.0,771.0,31591.0,2.0,32.0,88.0,108.0,207.0,334.0,903.0,1333.0,1516.0,1093.0,1083.0,1114.0,1207.0,6115.0,5398.0,4290.0,2667.0,2095.0,1366.0,861.0,362.0,188.0,
Fraud,68407.0,609.0,3062.0,65345.0,3.0,83.0,523.0,555.0,826.0,1072.0,1447.0,2045.0,2227.0,2019.0,2271.0,2204.0,2505.0,12893.0,11058.0,8953.0,5720.0,4679.0,3423.0,2147.0,1041.0,713.0,
Embezzlement,9910.0,38.0,440.0,9470.0,0.0,7.0,31.0,51.0,123.0,228.0,537.0,564.0,556.0,466.0,456.0,425.0,365.0,1731.0,1257.0,1060.0,669.0,586.0,374.0,248.0,109.0,67.0,
"Stolen property; buying, receiving, possessing",57682.0,1459.0,6881.0,50801.0,14.0,176.0,1269.0,1465.0,1901.0,2056.0,2625.0,2355.0,2187.0,2013.0,2080.0,2148.0,2107.0,10589.0,8416.0,6443.0,3812.0,2696.0,1810.0,969.0,376.0,175.0,
Vandalism,114103.0,9332.0,22392.0,91711.0,358.0,2652.0,6322.0,4107.0,4468.0,4485.0,4145.0,4244.0,3980.0,4098.0,4090.0,4071.0,4077.0,18516.0,13903.0,10405.0,6431.0,5117.0,3951.0,2534.0,1252.0,897.0,
"Weapons; carrying, possessing, etc.",98876.0,3375.0,11707.0,87169.0,88.0,871.0,2416.0,2067.0,2801.0,3464.0,4354.0,4430.0,4168.0,4624.0,4606.0,4616.0,4409.0,18656.0,12753.0,9071.0,5381.0,3752.0,2924.0,1846.0,899.0,680.0,
Prostitution and commercialized vice,24853.0,26.0,185.0,24668.0,0.0,5.0,21.0,22.0,51.0,86.0,597.0,902.0,1052.0,1006.0,1114.0,1042.0,1071.0,4964.0,3696.0,2683.0,1979.0,1715.0,1328.0,748.0,429.0,342.0,
Sex offenses (except rape and prostitution),26831.0,2395.0,4727.0,22104.0,81.0,586.0,1728.0,798.0,764.0,770.0,724.0,736.0,669.0,649.0,559.0,622.0,571.0,2968.0,2777.0,2665.0,2036.0,1864.0,1767.0,1493.0,995.0,1009.0,
Drug abuse violations,906754.0,9000.0,56569.0,850185.0,50.0,1357.0,7593.0,8987.0,14935.0,23647.0,40732.0,42558.0,39546.0,36748.0,36694.0,36675.0,36278.0,168755.0,129855.0,98712.0,61533.0,48731.0,36565.0,23001.0,9683.0,4119.0,
Gambling,1789.0,19.0,160.0,1629.0,0.0,1.0,18.0,24.0,48.0,69.0,89.0,96.0,96.0,75.0,74.0,64.0,66.0,296.0,157.0,145.0,122.0,107.0,89.0,65.0,46.0,42.0,
Offenses against the family and children,37793.0,795.0,2272.0,35521.0,50.0,192.0,553.0,493.0,470.0,514.0,617.0,645.0,718.0,884.0,1001.0,1121.0,1334.0,7220.0,6909.0,5602.0,3401.0,2527.0,1699.0,1031.0,463.0,349.0,
Driving under the influence,442122.0,68.0,2981.0,439141.0,8.0,9.0,51.0,156.0,707.0,2050.0,5544.0,8207.0,9989.0,16311.0,17338.0,17814.0,18124.0,82249.0,63207.0,51210.0,38000.0,34401.0,29589.0,23462.0,13399.0,10297.0,
Liquor laws,127086.0,2362.0,18993.0,108093.0,15.0,237.0,2110.0,3124.0,5015.0,8492.0,18596.0,19611.0,16228.0,3084.0,2206.0,1799.0,1663.0,7133.0,6339.0,5878.0,4903.0,5528.0,5866.0,5091.0,2639.0,1529.0,
Drunkenness,252852.0,376.0,2976.0,249876.0,13.0,24.0,339.0,459.0,743.0,1398.0,3846.0,4980.0,5434.0,8308.0,7956.0,7679.0,7663.0,37394.0,33788.0,29624.0,23559.0,24785.0,23470.0,17928.0,8658.0,4804.0,
Disorderly conduct,228822.0,16297.0,40786.0,188036.0,280.0,4163.0,11854.0,8162.0,8481.0,7846.0,7256.0,6895.0,6623.0,8422.0,7657.0,7185.0,7135.0,32910.0,25979.0,21414.0,14708.0,13441.0,11998.0,8820.0,4458.0,3135.0,
Vagrancy,16388.0,118.0,469.0,15919.0,1.0,15.0,102.0,100.0,116.0,135.0,303.0,335.0,327.0,298.0,318.0,348.0,384.0,1929.0,1916.0,2065.0,1585.0,1742.0,1655.0,1538.0,772.0,404.0,
All other offenses (except traffic),1746599.0,23770.0,91518.0,1655081.0,604.0,4517.0,18649.0,17606.0,22793.0,27349.0,38071.0,46416.0,50151.0,54552.0,56514.0,60114.0,62505.0,315816.0,263967.0,214133.0,142557.0,122605.0,100593.0,70423.0,34590.0,22074.0,
Suspicion,541.0,12.0,34.0,507.0,0.0,6.0,6.0,10.0,4.0,8.0,15.0,15.0,10.0,8.0,4.0,24.0,17.0,77.0,84.0,83.0,44.0,41.0,30.0,28.0,8.0,19.0,
Curfew and loitering law violations,21958.0,6533.0,21958.0,-,121.0,1227.0,5185.0,5055.0,5875.0,4495.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"1 Because of rounding, the percentages may not add to 100.0.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 Violent crimes are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault. Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,,,,,,,,,,,,,,
* Less than one-tenth of 1 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,
