Table 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Age, 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[11,936 agencies; 2007 estimated population 225,518,634]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense charged,Total all ages,Ages under 15,Ages under 18,Ages 18 and over,Under 10,10-12,13-14,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 and over,,
Violent crime2,451071.0,20280.0,73427.0,377644.0,541.0,4345.0,15394.0,14077.0,18330.0,20740.0,22603.0,21277.0,19202.0,18877.0,17224.0,16091.0,15622.0,66003.0,45976.0,40883.0,36726.0,27861.0,15574.0,7321.0,3380.0,3024.0,,
Violent crime percent distribution1,100.0,4.5,16.3,83.7,0.1,1.0,3.4,3.1,4.1,4.6,5.0,4.7,4.3,4.2,3.8,3.6,3.5,14.6,10.2,9.1,8.1,6.2,3.5,1.6,0.7,0.7,,
Property crime2,1226945.0,98024.0,319225.0,907720.0,2817.0,21006.0,74201.0,64495.0,75874.0,80832.0,80716.0,65272.0,52925.0,44838.0,39340.0,35051.0,32779.0,137216.0,97593.0,96746.0,89680.0,68414.0,37465.0,16998.0,7049.0,5638.0,,
Property crime percent distribution1,100.0,8.0,26.0,74.0,0.2,1.7,6.0,5.3,6.2,6.6,6.6,5.3,4.3,3.7,3.2,2.9,2.7,11.2,8.0,7.9,7.3,5.6,3.1,1.4,0.6,0.5,,
Other assaults,983964.0,70038.0,181378.0,802586.0,2194.0,17638.0,50206.0,35952.0,39029.0,36359.0,32356.0,32319.0,32468.0,34893.0,34615.0,32942.0,32194.0,142955.0,105901.0,98265.0,88188.0,67702.0,36491.0,16866.0,7634.0,6797.0,,
Forgery and counterfeiting,78005.0,294.0,2353.0,75652.0,26.0,56.0,212.0,281.0,599.0,1179.0,2538.0,3476.0,3393.0,3204.0,3182.0,3296.0,3297.0,15085.0,11365.0,9795.0,7708.0,5052.0,2552.0,1079.0,401.0,229.0,,
Fraud,185229.0,886.0,5690.0,179539.0,56.0,132.0,698.0,867.0,1464.0,2473.0,4473.0,5865.0,6330.0,6217.0,6325.0,6217.0,6476.0,31504.0,27390.0,25795.0,21084.0,15204.0,8838.0,4327.0,2074.0,1420.0,,
Embezzlement,17015.0,49.0,1288.0,15727.0,6.0,12.0,31.0,58.0,396.0,785.0,1200.0,1192.0,1065.0,944.0,875.0,682.0,625.0,2393.0,1721.0,1653.0,1356.0,1037.0,550.0,278.0,101.0,55.0,,
"Stolen property; buying, receiving, possessing",92215.0,4136.0,16889.0,75326.0,79.0,667.0,3390.0,3509.0,4366.0,4878.0,5773.0,5251.0,4481.0,3929.0,3599.0,3270.0,3093.0,13060.0,9157.0,8076.0,6909.0,4785.0,2357.0,929.0,390.0,267.0,,
Vandalism,221040.0,34342.0,84744.0,136296.0,1668.0,8647.0,24027.0,16723.0,17187.0,16492.0,13852.0,11560.0,9127.0,8739.0,7606.0,6486.0,6026.0,22524.0,13942.0,11605.0,10071.0,7568.0,3890.0,1815.0,774.0,711.0,,
"Weapons; carrying, possessing, etc.",142745.0,10577.0,33187.0,109558.0,438.0,2524.0,7615.0,6251.0,7604.0,8755.0,9517.0,8640.0,7320.0,7085.0,6514.0,5610.0,5279.0,20033.0,11322.0,8482.0,7015.0,5603.0,3471.0,1911.0,929.0,827.0,,
Prostitution and commercialized vice,59390.0,147.0,1160.0,58230.0,16.0,14.0,117.0,184.0,315.0,514.0,1890.0,2327.0,2238.0,2309.0,2178.0,2123.0,1955.0,9108.0,7880.0,8597.0,7906.0,5202.0,2528.0,1062.0,462.0,465.0,,
Sex offenses (except forcible rape and prostitution),62756.0,5574.0,11575.0,51181.0,264.0,1525.0,3785.0,2037.0,1983.0,1981.0,2437.0,2331.0,2056.0,1980.0,1817.0,1614.0,1593.0,6935.0,5618.0,6033.0,5821.0,4903.0,3270.0,2024.0,1313.0,1436.0,,
Drug abuse violations,1386394.0,21506.0,147382.0,1239012.0,273.0,2207.0,19026.0,25053.0,40562.0,60261.0,84597.0,84102.0,76405.0,69504.0,63115.0,57285.0,54075.0,217485.0,136643.0,119766.0,110704.0,88743.0,47922.0,19260.0,6390.0,3016.0,,
Gambling,9152.0,226.0,1584.0,7568.0,7.0,12.0,207.0,283.0,428.0,647.0,705.0,664.0,557.0,447.0,415.0,332.0,309.0,1071.0,625.0,489.0,479.0,429.0,329.0,297.0,202.0,218.0,,
Offenses against the family and children,88887.0,1237.0,4205.0,84682.0,112.0,234.0,891.0,804.0,1026.0,1138.0,1796.0,1909.0,2095.0,2405.0,2430.0,2619.0,2963.0,15258.0,14098.0,13837.0,11516.0,7614.0,3701.0,1421.0,603.0,417.0,,
Driving under the influence,1055981.0,398.0,13497.0,1042484.0,196.0,16.0,186.0,537.0,3169.0,9393.0,23954.0,33125.0,37157.0,53215.0,52475.0,50092.0,48405.0,190447.0,126294.0,111407.0,104808.0,91814.0,58702.0,32610.0,15920.0,12059.0,,
Liquor laws,478671.0,9592.0,106537.0,372134.0,115.0,619.0,8858.0,16210.0,30465.0,50270.0,80215.0,84253.0,69117.0,12190.0,8635.0,6551.0,5676.0,20861.0,14151.0,14771.0,17123.0,17226.0,11407.0,5851.0,2462.0,1645.0,,
Drunkenness,451055.0,1400.0,12966.0,438089.0,75.0,82.0,1243.0,2119.0,3118.0,6329.0,12727.0,14163.0,14210.0,21096.0,19512.0,17445.0,16640.0,65982.0,46290.0,46682.0,52731.0,50967.0,33497.0,15716.0,6437.0,3994.0,,
Disorderly conduct,540270.0,57602.0,153293.0,386977.0,1147.0,13136.0,43319.0,31964.0,33452.0,30275.0,24582.0,21580.0,19872.0,24730.0,21372.0,18595.0,16960.0,63268.0,39713.0,36652.0,36016.0,30578.0,17797.0,8519.0,3753.0,2990.0,,
Vagrancy,25631.0,904.0,2924.0,22707.0,15.0,142.0,747.0,766.0,859.0,395.0,1143.0,938.0,770.0,800.0,589.0,575.0,557.0,2450.0,2071.0,2662.0,3237.0,3206.0,2060.0,1011.0,412.0,226.0,,
All other offenses (except traffic),2948031.0,69448.0,284096.0,2663935.0,2244.0,12002.0,55202.0,57709.0,72163.0,84776.0,102335.0,118273.0,120744.0,125274.0,118755.0,111059.0,107666.0,461776.0,329556.0,310342.0,288901.0,231296.0,131986.0,61178.0,25502.0,19292.0,,
Suspicion,1589.0,78.0,303.0,1286.0,0.0,15.0,63.0,55.0,104.0,66.0,108.0,106.0,67.0,68.0,73.0,62.0,52.0,205.0,142.0,123.0,101.0,83.0,55.0,25.0,6.0,10.0,,
Curfew and loitering law violations,109815.0,28949.0,109815.0,-,456.0,4751.0,23742.0,25435.0,30467.0,24964.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Runaways,82459.0,26250.0,82459.0,-,612.0,3789.0,21849.0,20942.0,22793.0,12474.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"1 Because of rounding, the percentages may not add to 100.0.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Violent crimes are offenses of murder and nonnegligent manslaughter, forcible rape, robbery, and aggravated assault.  Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
