Table 19,,,,,,,,,,,,,,,,,,,
"Rate:  Number of Crimes per 100,000 Inhabitants",,,,,,,,,,,,,,,,,,,
Additional Information About Selected Offenses,,,,,,,,,,,,,,,,,,,
"by Population Group, 2017",,,,,,,,,,,,,,,,,,,
,,Rape1,,Robbery,,,,Aggravated assault,,,,Burglary,,,Motor vehicle theft,,,"Number 
of 
agencies","2017
estimated 
population"
"250,000 to 499,999 (Group I subset)",Number of offenses known,9463.0,497.0,15639.0,2348.0,2732.0,16792.0,27150.0,11490.0,20139.0,11205.0,61715.0,33143.0,6711.0,64302.0,10389.0,5063.0,46.0,16082935.0
,Rate,61.0,3.2,97.2,14.6,17.0,104.4,168.8,71.4,125.2,69.7,383.7,206.1,41.7,399.8,64.6,31.5,,
"GROUP II (100,000 to 249,999)",Number of offenses known,14550.0,542.0,16731.0,3665.0,4262.0,16805.0,26062.0,17420.0,27836.0,19259.0,94543.0,59455.0,11910.0,89853.0,16085.0,9185.0,211.0,31429032.0
,Rate,47.5,1.8,53.2,11.7,13.6,53.5,82.9,55.4,88.6,61.3,300.8,189.2,37.9,285.9,51.2,29.2,,
"GROUP III (50,000 to 99,999)",Number of offenses known,11788.0,473.0,10550.0,2687.0,3175.0,13907.0,16894.0,13208.0,22711.0,18907.0,75718.0,53908.0,9443.0,63428.0,10496.0,7158.0,470.0,32858943.0
,Rate,36.9,1.5,32.1,8.2,9.7,42.3,51.4,40.2,69.1,57.5,230.4,164.1,28.7,193.0,31.9,21.8,,
"GROUP IV (25,000 to 49,999)",Number of offenses known,9798.0,465.0,7252.0,1625.0,2068.0,8272.0,12157.0,9784.0,16474.0,15081.0,57225.0,42367.0,7266.0,39762.0,4942.0,4703.0,804.0,28011704.0
,Rate,35.9,1.7,25.9,5.8,7.4,29.5,43.4,34.9,58.8,53.8,204.3,151.2,25.9,141.9,17.6,16.8,,
"GROUP V (10,000 to 24,999)",Number of offenses known,8610.0,364.0,5385.0,1129.0,1468.0,5708.0,9964.0,8222.0,14745.0,16273.0,52313.0,42763.0,6111.0,31915.0,4436.0,4110.0,1673.0,26638355.0
,Rate,33.3,1.4,20.2,4.2,5.5,21.4,37.4,30.9,55.4,61.1,196.4,160.5,22.9,119.8,16.7,15.4,,
"GROUP VI (under 10,000)",Number of offenses known,8217.0,648.0,3165.0,671.0,833.0,3931.0,7324.0,6928.0,12663.0,23039.0,43823.0,36846.0,5507.0,24166.0,3140.0,3983.0,6993.0,21250625.0
,Rate,39.8,3.1,14.9,3.2,3.9,18.5,34.5,32.6,59.6,108.4,206.2,173.4,25.9,113.7,14.8,18.7,,
METROPOLITAN COUNTIES,Number of offenses known,21479.0,852.0,15767.0,2461.0,3292.0,12554.0,32256.0,19504.0,43762.0,35062.0,140531.0,92775.0,14141.0,84954.0,18090.0,16918.0,1783.0,71592146.0
,Rate,31.2,1.2,22.0,3.4,4.6,17.5,45.1,27.2,61.1,49.0,196.3,129.6,19.8,118.7,25.3,23.6,,
NONMETROPOLITAN COUNTIES,Number of offenses known,8200.0,373.0,1128.0,192.0,321.0,929.0,7332.0,4423.0,10398.0,13661.0,50097.0,32201.0,3293.0,17087.0,4107.0,4544.0,2107.0,22977156.0
,Rate,37.5,1.7,4.9,0.8,1.4,4.0,31.9,19.2,45.3,59.5,218.0,140.1,14.3,74.4,17.9,19.8,,
SUBURBAN AREAS2,Number of offenses known,37651.0,1727.0,26662.0,4802.0,6312.0,25246.0,48609.0,33846.0,69342.0,66132.0,231851.0,164479.0,27186.0,151938.0,26841.0,25472.0,7780.0,127025777.0
,Rate,30.7,1.4,21.0,3.8,5.0,19.9,38.3,26.6,54.6,52.1,182.5,129.5,21.4,119.6,21.1,20.1,,
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,,,,,,,
"2 Suburban areas include law enforcement agencies in cities with less than 50,000 inhabitants and county law enforcement agencies that are within a Metropolitan Statistical Area. Suburban areas exclude all metropolitan agencies associated with a principal city. The agencies associated with suburban areas also appear in other groups within this table.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
