Table 10,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2017",,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,
State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,Craighead,51.0,2.0,8.0,2.0,39.0,296.0,5.0,244.0,47.0,4.0
,Crawford,30.0,0.0,1.0,1.0,28.0,299.0,61.0,204.0,34.0,1.0
,Crittenden,143.0,1.0,15.0,9.0,118.0,275.0,83.0,162.0,30.0,3.0
,Faulkner,116.0,2.0,28.0,6.0,80.0,941.0,259.0,576.0,106.0,10.0
,Garland,296.0,0.0,28.0,10.0,258.0,1612.0,676.0,804.0,132.0,0.0
,Grant,46.0,0.0,7.0,0.0,39.0,185.0,55.0,115.0,15.0,4.0
,Jefferson,71.0,4.0,14.0,3.0,50.0,428.0,165.0,208.0,55.0,8.0
,Lincoln,5.0,0.0,1.0,1.0,3.0,66.0,18.0,36.0,12.0,1.0
,Little River,27.0,0.0,2.0,0.0,25.0,122.0,45.0,70.0,7.0,2.0
,Lonoke,85.0,3.0,4.0,3.0,75.0,426.0,83.0,233.0,110.0,4.0
,Madison,39.0,0.0,8.0,4.0,27.0,137.0,56.0,77.0,4.0,1.0
,Miller,24.0,1.0,3.0,2.0,18.0,319.0,112.0,180.0,27.0,2.0
,Perry,41.0,0.0,7.0,1.0,33.0,151.0,28.0,123.0,0.0,0.0
,Pulaski,412.0,3.0,20.0,40.0,349.0,1805.0,460.0,1093.0,252.0,21.0
,Saline,167.0,2.0,30.0,14.0,121.0,838.0,321.0,407.0,110.0,10.0
,Sebastian,62.0,0.0,10.0,1.0,51.0,222.0,77.0,126.0,19.0,3.0
,Washington,198.0,0.0,19.0,1.0,178.0,583.0,186.0,339.0,58.0,10.0
ARKANSAS - Nonmetropolitan Counties,Arkansas,13.0,0.0,1.0,0.0,12.0,108.0,31.0,62.0,15.0,1.0
,Ashley,23.0,1.0,1.0,1.0,20.0,235.0,65.0,158.0,12.0,0.0
,Baxter,73.0,2.0,12.0,1.0,58.0,632.0,80.0,495.0,57.0,10.0
,Boone,199.0,0.0,52.0,1.0,146.0,320.0,81.0,199.0,40.0,6.0
,Bradley,8.0,1.0,1.0,0.0,6.0,32.0,18.0,11.0,3.0,0.0
,Calhoun,15.0,0.0,4.0,0.0,11.0,40.0,16.0,21.0,3.0,0.0
,Carroll,44.0,8.0,3.0,0.0,33.0,191.0,42.0,119.0,30.0,1.0
,Chicot,3.0,0.0,0.0,0.0,3.0,59.0,21.0,38.0,0.0,1.0
,Clark,12.0,0.0,1.0,0.0,11.0,76.0,28.0,41.0,7.0,0.0
,Clay,9.0,0.0,1.0,0.0,8.0,67.0,19.0,45.0,3.0,1.0
,Cleburne,88.0,1.0,18.0,0.0,69.0,336.0,100.0,219.0,17.0,9.0
,Columbia,12.0,0.0,0.0,0.0,12.0,51.0,17.0,25.0,9.0,2.0
,Conway,50.0,0.0,11.0,2.0,37.0,252.0,69.0,159.0,24.0,3.0
,Cross,25.0,0.0,6.0,0.0,19.0,143.0,36.0,98.0,9.0,0.0
,Dallas,2.0,0.0,1.0,0.0,1.0,31.0,16.0,12.0,3.0,0.0
,Drew,21.0,1.0,4.0,1.0,15.0,114.0,35.0,71.0,8.0,3.0
,Franklin,68.0,1.0,11.0,1.0,55.0,203.0,81.0,100.0,22.0,5.0
,Fulton,35.0,0.0,3.0,0.0,32.0,69.0,0.0,65.0,4.0,0.0
,Greene,33.0,0.0,6.0,1.0,26.0,189.0,52.0,115.0,22.0,0.0
,Hempstead,35.0,0.0,2.0,1.0,32.0,189.0,56.0,104.0,29.0,0.0
,Hot Spring,38.0,3.0,2.0,3.0,30.0,205.0,52.0,122.0,31.0,5.0
,Howard,8.0,0.0,3.0,0.0,5.0,42.0,30.0,11.0,1.0,0.0
,Independence,176.0,1.0,29.0,3.0,143.0,477.0,181.0,242.0,54.0,17.0
,Izard,35.0,0.0,9.0,1.0,25.0,260.0,60.0,182.0,18.0,8.0
,Jackson,24.0,1.0,3.0,1.0,19.0,128.0,36.0,74.0,18.0,1.0
,Johnson,37.0,1.0,6.0,2.0,28.0,217.0,56.0,134.0,27.0,6.0
,Lawrence,12.0,0.0,5.0,0.0,7.0,61.0,16.0,42.0,3.0,2.0
,Lee,1.0,0.0,1.0,0.0,0.0,68.0,14.0,42.0,12.0,0.0
,Logan,20.0,0.0,9.0,1.0,10.0,183.0,30.0,128.0,25.0,0.0
,Marion,48.0,0.0,8.0,0.0,40.0,325.0,86.0,223.0,16.0,1.0
,Mississippi,16.0,0.0,4.0,2.0,10.0,254.0,75.0,147.0,32.0,1.0
,Monroe,2.0,0.0,0.0,0.0,2.0,48.0,5.0,36.0,7.0,0.0
,Montgomery,10.0,0.0,4.0,2.0,4.0,85.0,32.0,42.0,11.0,1.0
,Pike,2.0,0.0,1.0,1.0,0.0,53.0,17.0,33.0,3.0,0.0
,Polk,30.0,5.0,6.0,1.0,18.0,96.0,27.0,61.0,8.0,5.0
,Pope,79.0,1.0,8.0,1.0,69.0,379.0,136.0,188.0,55.0,1.0
,Prairie,4.0,0.0,1.0,0.0,3.0,67.0,28.0,35.0,4.0,0.0
,Randolph,33.0,0.0,15.0,0.0,18.0,173.0,43.0,118.0,12.0,1.0
,Scott,22.0,0.0,2.0,0.0,20.0,91.0,41.0,41.0,9.0,2.0
,Searcy,6.0,0.0,2.0,0.0,4.0,52.0,20.0,29.0,3.0,0.0
,Sevier,24.0,0.0,6.0,0.0,18.0,69.0,34.0,33.0,2.0,1.0
,St. Francis,25.0,0.0,7.0,2.0,16.0,272.0,68.0,204.0,0.0,2.0
,Union,49.0,1.0,4.0,5.0,39.0,317.0,108.0,171.0,38.0,0.0
,Van Buren,28.0,0.0,1.0,0.0,27.0,177.0,19.0,121.0,37.0,2.0
,White,146.0,3.0,20.0,1.0,122.0,779.0,218.0,472.0,89.0,3.0
,Woodruff,4.0,0.0,0.0,0.0,4.0,33.0,8.0,21.0,4.0,0.0
,Yell,63.0,3.0,15.0,1.0,44.0,190.0,63.0,100.0,27.0,4.0
CALIFORNIA - Metropolitan Counties,Alameda,675.0,8.0,28.0,227.0,412.0,2202.0,377.0,1156.0,669.0,30.0
,Butte,161.0,5.0,49.0,27.0,80.0,1229.0,616.0,589.0,24.0,0.0
,Contra Costa,318.0,3.0,28.0,110.0,177.0,1525.0,500.0,993.0,32.0,12.0
,El Dorado,206.0,5.0,37.0,19.0,145.0,2003.0,525.0,1446.0,32.0,3.0
,Fresno,1213.0,15.0,38.0,86.0,1074.0,3334.0,1469.0,1249.0,616.0,210.0
,Imperial,137.0,1.0,11.0,6.0,119.0,641.0,218.0,358.0,65.0,14.0
,Kern,2187.0,32.0,138.0,429.0,1588.0,9086.0,2815.0,4316.0,1955.0,341.0
,Kings,165.0,2.0,22.0,13.0,128.0,473.0,165.0,283.0,25.0,2.0
,Los Angeles,6118.0,71.0,327.0,1566.0,4154.0,17336.0,3789.0,9155.0,4392.0,253.0
,Madera,451.0,3.0,23.0,27.0,398.0,1102.0,452.0,606.0,44.0,10.0
,Marin,91.0,1.0,12.0,10.0,68.0,776.0,153.0,615.0,8.0,3.0
,Merced,521.0,7.0,16.0,38.0,460.0,1504.0,554.0,908.0,42.0,13.0
,Monterey,243.0,7.0,31.0,48.0,157.0,1311.0,338.0,927.0,46.0,7.0
,Napa,56.0,0.0,6.0,3.0,47.0,217.0,71.0,143.0,3.0,1.0
,Orange,271.0,0.0,16.0,34.0,221.0,1178.0,203.0,751.0,224.0,3.0
,Placer,302.0,3.0,42.0,33.0,224.0,1447.0,380.0,1026.0,41.0,4.0
,Riverside,775.0,16.0,48.0,161.0,550.0,7700.0,1711.0,4579.0,1410.0,28.0
,Sacramento,2612.0,32.0,154.0,772.0,1654.0,9224.0,2492.0,6545.0,187.0,58.0
,San Benito,51.0,1.0,10.0,6.0,34.0,144.0,50.0,80.0,14.0,1.0
,San Bernardino,862.0,27.0,76.0,160.0,599.0,5076.0,1358.0,2556.0,1162.0,70.0
,San Diego,1486.0,18.0,119.0,232.0,1117.0,4548.0,1075.0,2645.0,828.0,32.0
,San Joaquin,746.0,5.0,25.0,141.0,575.0,2961.0,751.0,2068.0,142.0,27.0
,San Luis Obispo3,,1.0,21.0,16.0,,1116.0,400.0,691.0,25.0,5.0
,San Mateo,311.0,2.0,65.0,70.0,174.0,3109.0,337.0,2411.0,361.0,14.0
,Santa Barbara,272.0,2.0,43.0,24.0,203.0,1499.0,421.0,1054.0,24.0,6.0
,Santa Clara,383.0,2.0,43.0,33.0,305.0,1271.0,229.0,834.0,208.0,1.0
,Santa Cruz,288.0,0.0,41.0,42.0,205.0,1794.0,427.0,1349.0,18.0,9.0
,Shasta,527.0,4.0,48.0,24.0,451.0,944.0,431.0,468.0,45.0,48.0
,Solano,105.0,1.0,9.0,15.0,80.0,368.0,164.0,139.0,65.0,8.0
,Sonoma,636.0,6.0,81.0,60.0,489.0,1149.0,388.0,753.0,8.0,15.0
,Stanislaus,398.0,16.0,26.0,126.0,230.0,1647.0,570.0,1013.0,64.0,11.0
,Sutter,87.0,1.0,9.0,5.0,72.0,600.0,230.0,303.0,67.0,2.0
,Tulare4,362.0,13.0,35.0,68.0,246.0,1883.0,634.0,1246.0,3.0,0.0
,Ventura,176.0,2.0,30.0,26.0,118.0,817.0,194.0,531.0,92.0,8.0
,Yolo,56.0,2.0,4.0,10.0,40.0,282.0,99.0,166.0,17.0,3.0
,Yuba,224.0,2.0,17.0,37.0,168.0,1156.0,433.0,718.0,5.0,16.0
CALIFORNIA - Nonmetropolitan Counties,Alpine,13.0,0.0,0.0,0.0,13.0,29.0,8.0,21.0,0.0,0.0
,Amador,87.0,0.0,7.0,5.0,75.0,356.0,98.0,248.0,10.0,0.0
,Calaveras,200.0,2.0,29.0,17.0,152.0,588.0,214.0,359.0,15.0,0.0
,Colusa,60.0,1.0,9.0,1.0,49.0,151.0,57.0,91.0,3.0,2.0
,Del Norte,113.0,4.0,29.0,12.0,68.0,348.0,189.0,148.0,11.0,18.0
,Glenn,81.0,0.0,5.0,6.0,70.0,235.0,100.0,123.0,12.0,2.0
,Humboldt,273.0,4.0,25.0,51.0,193.0,949.0,362.0,546.0,41.0,15.0
,Inyo,84.0,0.0,6.0,6.0,72.0,170.0,63.0,102.0,5.0,3.0
,Lake,221.0,6.0,26.0,9.0,180.0,558.0,284.0,266.0,8.0,14.0
,Lassen,60.0,1.0,6.0,2.0,51.0,233.0,106.0,124.0,3.0,3.0
,Mariposa,107.0,0.0,9.0,3.0,95.0,269.0,83.0,184.0,2.0,0.0
,Mendocino,254.0,3.0,26.0,21.0,204.0,381.0,185.0,189.0,7.0,11.0
,Modoc,19.0,0.0,0.0,0.0,19.0,43.0,9.0,34.0,0.0,0.0
,Mono,16.0,0.0,1.0,0.0,15.0,58.0,15.0,38.0,5.0,0.0
,Nevada,174.0,3.0,13.0,12.0,146.0,620.0,294.0,304.0,22.0,3.0
,Plumas,146.0,0.0,23.0,7.0,116.0,293.0,140.0,152.0,1.0,6.0
,Sierra,5.0,0.0,0.0,1.0,4.0,24.0,12.0,11.0,1.0,0.0
,Siskiyou,54.0,3.0,4.0,3.0,44.0,241.0,146.0,85.0,10.0,1.0
,Tehama,89.0,8.0,22.0,10.0,49.0,432.0,212.0,206.0,14.0,0.0
,Trinity,75.0,1.0,5.0,8.0,61.0,179.0,84.0,94.0,1.0,1.0
,Tuolumne,173.0,2.0,39.0,13.0,119.0,622.0,322.0,294.0,6.0,6.0
COLORADO - Metropolitan Counties,Adams,549.0,7.0,112.0,80.0,350.0,2895.0,411.0,1587.0,897.0,36.0
,Arapahoe,305.0,2.0,76.0,53.0,174.0,2023.0,360.0,1317.0,346.0,20.0
,Boulder,94.0,3.0,25.0,9.0,57.0,575.0,128.0,395.0,52.0,6.0
,Clear Creek,15.0,0.0,2.0,0.0,13.0,79.0,12.0,58.0,9.0,9.0
,Douglas,292.0,3.0,117.0,16.0,156.0,2410.0,487.0,1695.0,228.0,23.0
,Elbert,22.0,0.0,0.0,0.0,22.0,3.0,0.0,2.0,1.0,0.0
,El Paso,411.0,4.0,90.0,33.0,284.0,2096.0,374.0,1461.0,261.0,25.0
,Gilpin,15.0,1.0,5.0,1.0,8.0,91.0,17.0,65.0,9.0,0.0
,Jefferson,218.0,2.0,45.0,17.0,154.0,2695.0,411.0,2051.0,233.0,13.0
,Larimer,180.0,0.0,27.0,8.0,145.0,939.0,210.0,639.0,90.0,19.0
,Mesa,216.0,2.0,57.0,12.0,145.0,1326.0,274.0,911.0,141.0,23.0
,Pueblo,34.0,1.0,1.0,7.0,25.0,1162.0,186.0,834.0,142.0,3.0
,Teller,25.0,0.0,5.0,1.0,19.0,91.0,23.0,59.0,9.0,2.0
,Weld,150.0,2.0,16.0,5.0,127.0,745.0,182.0,455.0,108.0,9.0
COLORADO - Nonmetropolitan Counties,Alamosa,2.0,0.0,2.0,0.0,0.0,34.0,4.0,27.0,3.0,0.0
,Archuleta,26.0,1.0,0.0,0.0,25.0,113.0,44.0,64.0,5.0,0.0
,Baca,3.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0
,Bent,11.0,0.0,1.0,3.0,7.0,111.0,33.0,68.0,10.0,0.0
,Chaffee,6.0,0.0,0.0,0.0,6.0,74.0,13.0,58.0,3.0,0.0
,Cheyenne,2.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0
,Conejos,4.0,0.0,0.0,0.0,4.0,62.0,62.0,0.0,0.0,1.0
,Crowley,6.0,0.0,1.0,0.0,5.0,60.0,37.0,22.0,1.0,2.0
,Custer,9.0,0.0,0.0,0.0,9.0,101.0,23.0,73.0,5.0,0.0
,Delta,20.0,0.0,15.0,0.0,5.0,221.0,99.0,101.0,21.0,2.0
,Dolores,7.0,0.0,0.0,0.0,7.0,26.0,9.0,15.0,2.0,0.0
,Fremont,42.0,1.0,13.0,0.0,28.0,222.0,60.0,134.0,28.0,3.0
,Garfield,41.0,0.0,20.0,2.0,19.0,199.0,46.0,142.0,11.0,4.0
,Grand,4.0,0.0,0.0,0.0,4.0,42.0,13.0,28.0,1.0,0.0
,Gunnison,5.0,0.0,2.0,0.0,3.0,33.0,4.0,21.0,8.0,0.0
,Hinsdale,1.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0
,Huerfano,15.0,0.0,0.0,2.0,13.0,102.0,21.0,66.0,15.0,3.0
,Jackson,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0
,Kit Carson,2.0,0.0,0.0,0.0,2.0,34.0,10.0,15.0,9.0,0.0
,Lake,8.0,0.0,0.0,1.0,7.0,56.0,17.0,34.0,5.0,2.0
,La Plata,45.0,2.0,12.0,0.0,31.0,190.0,55.0,114.0,21.0,1.0
,Lincoln,2.0,1.0,1.0,0.0,0.0,22.0,7.0,12.0,3.0,0.0
,Logan,6.0,0.0,3.0,0.0,3.0,119.0,36.0,70.0,13.0,4.0
,Mineral,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,Moffat,8.0,0.0,0.0,0.0,8.0,51.0,7.0,36.0,8.0,5.0
,Montezuma,17.0,0.0,1.0,0.0,16.0,161.0,42.0,101.0,18.0,3.0
,Montrose,8.0,0.0,1.0,0.0,7.0,287.0,114.0,141.0,32.0,1.0
,Morgan,21.0,2.0,8.0,0.0,11.0,92.0,25.0,57.0,10.0,1.0
,Otero,6.0,0.0,0.0,0.0,6.0,63.0,18.0,34.0,11.0,1.0
,Phillips,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0
,Pitkin,5.0,0.0,2.0,1.0,2.0,39.0,2.0,34.0,3.0,0.0
,Prowers,12.0,0.0,1.0,0.0,11.0,10.0,4.0,6.0,0.0,0.0
,Rio Blanco,0.0,0.0,0.0,0.0,0.0,18.0,2.0,15.0,1.0,0.0
,Rio Grande,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0
,Routt,1.0,0.0,1.0,0.0,0.0,43.0,8.0,32.0,3.0,0.0
,Saguache,0.0,0.0,0.0,0.0,0.0,21.0,8.0,10.0,3.0,0.0
,San Juan,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0
,Summit,45.0,0.0,16.0,1.0,28.0,261.0,32.0,218.0,11.0,3.0
,Washington,9.0,0.0,4.0,0.0,5.0,99.0,6.0,84.0,9.0,0.0
DELAWARE - Metropolitan Counties,New Castle County Police Department,933.0,5.0,50.0,161.0,717.0,4308.0,951.0,2968.0,389.0,4.0
FLORIDA - Metropolitan Counties,Alachua,617.0,5.0,74.0,104.0,434.0,1939.0,533.0,1278.0,128.0,14.0
,Baker,88.0,2.0,5.0,5.0,76.0,331.0,101.0,208.0,22.0,1.0
,Bay,357.0,4.0,45.0,31.0,277.0,2416.0,492.0,1724.0,200.0,4.0
,Brevard,729.0,10.0,67.0,86.0,566.0,4216.0,844.0,3023.0,349.0,14.0
,Broward,313.0,8.0,27.0,85.0,193.0,813.0,128.0,610.0,75.0,5.0
,Charlotte,360.0,1.0,33.0,23.0,303.0,2051.0,368.0,1573.0,110.0,1.0
,Citrus,399.0,3.0,42.0,40.0,314.0,2037.0,431.0,1472.0,134.0,12.0
,Clay,514.0,4.0,78.0,81.0,351.0,2993.0,543.0,2290.0,160.0,20.0
,Collier,957.0,6.0,77.0,152.0,722.0,3873.0,639.0,3025.0,209.0,15.0
,Escambia,1400.0,19.0,176.0,236.0,969.0,8035.0,1692.0,5879.0,464.0,0.0
,Flagler,228.0,3.0,21.0,28.0,176.0,1616.0,252.0,1272.0,92.0,5.0
,Gadsden,114.0,0.0,19.0,4.0,91.0,407.0,193.0,195.0,19.0,4.0
,Gilchrist,25.0,0.0,0.0,6.0,19.0,70.0,38.0,28.0,4.0,0.0
,Gulf,27.0,0.0,1.0,1.0,25.0,175.0,79.0,90.0,6.0,2.0
,Hernando,457.0,8.0,72.0,61.0,316.0,2939.0,553.0,2190.0,196.0,13.0
,Highlands,250.0,5.0,31.0,29.0,185.0,2040.0,550.0,1397.0,93.0,14.0
,Hillsborough,2037.0,24.0,212.0,351.0,1450.0,13751.0,2496.0,10091.0,1164.0,49.0
,Indian River,355.0,3.0,26.0,34.0,292.0,1902.0,361.0,1422.0,119.0,4.0
,Jefferson,107.0,0.0,5.0,2.0,100.0,180.0,58.0,110.0,12.0,2.0
,Lake,489.0,9.0,74.0,37.0,369.0,2644.0,620.0,1764.0,260.0,17.0
,Lee,1299.0,32.0,174.0,313.0,780.0,6002.0,1339.0,4108.0,555.0,41.0
,Leon,362.0,5.0,36.0,26.0,295.0,1914.0,382.0,1431.0,101.0,6.0
,Manatee,1484.0,16.0,148.0,195.0,1125.0,4850.0,941.0,3594.0,315.0,12.0
,Marion,881.0,12.0,86.0,125.0,658.0,4517.0,1348.0,2643.0,526.0,2.0
,Martin,323.0,1.0,61.0,45.0,216.0,2288.0,480.0,1724.0,84.0,1.0
,Miami-Dade,5957.0,90.0,474.0,1383.0,4010.0,35112.0,4387.0,27223.0,3502.0,44.0
,Nassau,179.0,1.0,16.0,14.0,148.0,904.0,367.0,473.0,64.0,5.0
,Okaloosa,512.0,5.0,68.0,47.0,392.0,2957.0,554.0,2225.0,178.0,2.0
,Orange,4367.0,42.0,429.0,999.0,2897.0,23807.0,4692.0,17036.0,2079.0,0.0
,Osceola,836.0,11.0,91.0,86.0,648.0,4672.0,1067.0,3305.0,300.0,3.0
,Palm Beach,1893.0,21.0,212.0,400.0,1260.0,12337.0,2098.0,9131.0,1108.0,51.0
,Pasco,1377.0,6.0,182.0,196.0,993.0,7375.0,1532.0,5235.0,608.0,44.0
,Pinellas,647.0,5.0,97.0,108.0,437.0,4940.0,766.0,3877.0,297.0,15.0
,Polk,1206.0,11.0,81.0,133.0,981.0,5851.0,1475.0,3790.0,586.0,8.0
,Santa Rosa,234.0,4.0,32.0,20.0,178.0,1562.0,323.0,1158.0,81.0,2.0
,Sarasota,502.0,6.0,26.0,70.0,400.0,4440.0,753.0,3518.0,169.0,5.0
,Seminole,580.0,4.0,89.0,53.0,434.0,3079.0,620.0,2286.0,173.0,7.0
,St. Johns,318.0,3.0,17.0,39.0,259.0,2717.0,524.0,2038.0,155.0,6.0
,St. Lucie,223.0,2.0,40.0,33.0,148.0,1469.0,311.0,1070.0,88.0,6.0
,Sumter,259.0,5.0,22.0,18.0,214.0,966.0,242.0,670.0,54.0,0.0
,Volusia,589.0,7.0,63.0,109.0,410.0,3073.0,657.0,2162.0,254.0,27.0
,Wakulla,88.0,0.0,12.0,2.0,74.0,507.0,174.0,307.0,26.0,3.0
,Walton,151.0,0.0,15.0,8.0,128.0,1111.0,304.0,727.0,80.0,6.0
