Table 10,,,,,,,,,,,
MISSOURI,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2007",,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,
Metropolitan/Nonmetropolitan Counties,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
,Gentry,5.0,0.0,0.0,0.0,5.0,43.0,22.0,16.0,5.0,0.0
,Grundy,8.0,0.0,0.0,0.0,8.0,71.0,40.0,28.0,3.0,2.0
,Harrison,3.0,0.0,0.0,0.0,3.0,55.0,26.0,25.0,4.0,2.0
,Henry,39.0,1.0,2.0,0.0,36.0,261.0,81.0,164.0,16.0,6.0
,Hickory,2.0,0.0,1.0,0.0,1.0,117.0,44.0,58.0,15.0,2.0
,Holt,3.0,0.0,0.0,0.0,3.0,84.0,31.0,43.0,10.0,0.0
,Howell,72.0,0.0,3.0,2.0,67.0,410.0,153.0,228.0,29.0,4.0
,Iron,11.0,0.0,0.0,0.0,11.0,59.0,33.0,21.0,5.0,0.0
,Johnson,23.0,0.0,2.0,0.0,21.0,314.0,101.0,189.0,24.0,0.0
,Knox,7.0,0.0,1.0,0.0,6.0,109.0,25.0,83.0,1.0,1.0
,Laclede,18.0,0.0,1.0,0.0,17.0,389.0,117.0,237.0,35.0,0.0
,Lawrence,13.0,0.0,1.0,1.0,11.0,291.0,99.0,177.0,15.0,1.0
,Lewis,4.0,0.0,0.0,0.0,4.0,67.0,15.0,46.0,6.0,0.0
,Linn,10.0,0.0,1.0,0.0,9.0,56.0,25.0,21.0,10.0,18.0
,Livingston,2.0,0.0,1.0,0.0,1.0,57.0,22.0,26.0,9.0,1.0
,Macon,19.0,0.0,0.0,1.0,18.0,57.0,17.0,36.0,4.0,2.0
,Madison,5.0,0.0,0.0,0.0,5.0,78.0,23.0,51.0,4.0,1.0
,Maries,6.0,0.0,0.0,1.0,5.0,70.0,31.0,33.0,6.0,0.0
,Marion,5.0,0.0,0.0,1.0,4.0,91.0,20.0,69.0,2.0,0.0
,Mercer,5.0,0.0,1.0,0.0,4.0,16.0,12.0,2.0,2.0,2.0
,Miller2,86.0,0.0,5.0,0.0,81.0,221.0,74.0,132.0,15.0,1.0
,Mississippi,27.0,0.0,0.0,1.0,26.0,82.0,21.0,50.0,11.0,0.0
,Monroe,0.0,0.0,0.0,0.0,0.0,54.0,16.0,31.0,7.0,0.0
,Montgomery,10.0,0.0,0.0,0.0,10.0,90.0,42.0,47.0,1.0,0.0
,Morgan,163.0,0.0,2.0,1.0,160.0,228.0,90.0,116.0,22.0,0.0
,New Madrid,45.0,0.0,3.0,4.0,38.0,113.0,27.0,68.0,18.0,1.0
,Nodaway,2.0,0.0,0.0,0.0,2.0,138.0,63.0,61.0,14.0,0.0
,Oregon,18.0,0.0,1.0,0.0,17.0,36.0,6.0,28.0,2.0,0.0
,Ozark,26.0,1.0,2.0,0.0,23.0,132.0,57.0,63.0,12.0,1.0
,Pemiscot,10.0,0.0,2.0,1.0,7.0,131.0,31.0,95.0,5.0,1.0
,Perry,10.0,2.0,0.0,0.0,8.0,69.0,12.0,42.0,15.0,0.0
,Pettis,35.0,2.0,0.0,2.0,31.0,249.0,67.0,180.0,2.0,2.0
,Phelps,85.0,0.0,2.0,1.0,82.0,381.0,117.0,223.0,41.0,1.0
,Pike,15.0,0.0,1.0,1.0,13.0,97.0,46.0,45.0,6.0,0.0
,Pulaski,134.0,3.0,19.0,4.0,108.0,234.0,98.0,109.0,27.0,0.0
,Putnam,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,2.0,0.0
,Ralls,34.0,0.0,2.0,0.0,32.0,115.0,33.0,67.0,15.0,1.0
,Randolph,21.0,0.0,2.0,0.0,19.0,127.0,47.0,76.0,4.0,1.0
,Reynolds,4.0,0.0,1.0,0.0,3.0,31.0,16.0,9.0,6.0,1.0
,Ripley,15.0,0.0,4.0,0.0,11.0,211.0,65.0,124.0,22.0,1.0
,Saline,13.0,0.0,5.0,0.0,8.0,111.0,32.0,70.0,9.0,0.0
,Schuyler,4.0,0.0,1.0,0.0,3.0,10.0,9.0,1.0,0.0,2.0
,Scotland,0.0,0.0,0.0,0.0,0.0,27.0,5.0,21.0,1.0,0.0
,Scott,21.0,0.0,2.0,1.0,18.0,158.0,33.0,110.0,15.0,3.0
,Shannon,5.0,0.0,1.0,0.0,4.0,64.0,10.0,44.0,10.0,1.0
,Shelby,0.0,0.0,0.0,0.0,0.0,63.0,17.0,40.0,6.0,0.0
,Ste. Genevieve,21.0,1.0,2.0,0.0,18.0,160.0,52.0,94.0,14.0,0.0
,St. Francois,60.0,0.0,4.0,1.0,55.0,487.0,130.0,312.0,45.0,4.0
,Stoddard,28.0,0.0,2.0,0.0,26.0,194.0,72.0,110.0,12.0,0.0
,Stone,125.0,1.0,6.0,1.0,117.0,568.0,187.0,334.0,47.0,1.0
,Sullivan,4.0,0.0,1.0,0.0,3.0,65.0,28.0,30.0,7.0,0.0
,Taney,73.0,0.0,4.0,1.0,68.0,463.0,141.0,272.0,50.0,1.0
,Texas,38.0,2.0,1.0,2.0,33.0,216.0,86.0,111.0,19.0,10.0
,Vernon,40.0,0.0,2.0,0.0,38.0,260.0,73.0,160.0,27.0,3.0
,Wayne,11.0,0.0,2.0,0.0,9.0,102.0,45.0,46.0,11.0,0.0
,Worth,10.0,0.0,2.0,0.0,8.0,29.0,13.0,12.0,4.0,0.0
,Wright,40.0,0.0,5.0,1.0,34.0,98.0,49.0,39.0,10.0,0.0
1 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,
"2  Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,
