Table 8,,,,,,,,,,,
MINNESOTA1,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2007",,,,,,,,,,,
City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Columbia Heights,17894.0,,0.0,,47.0,40.0,1077.0,235.0,762.0,80.0,7.0
Coon Rapids,62299.0,,0.0,,23.0,60.0,3096.0,317.0,2663.0,116.0,7.0
Corcoran,5698.0,,0.0,,0.0,2.0,66.0,11.0,50.0,5.0,0.0
Cottage Grove,33288.0,,0.0,,3.0,23.0,797.0,148.0,611.0,38.0,1.0
Crookston,7752.0,,0.0,,0.0,5.0,37.0,15.0,16.0,6.0,1.0
Crosby,2232.0,,0.0,,0.0,9.0,135.0,11.0,124.0,0.0,0.0
Crystal,21325.0,,1.0,,22.0,15.0,743.0,108.0,576.0,59.0,6.0
Dawson,1405.0,,0.0,,0.0,2.0,35.0,4.0,29.0,2.0,0.0
Dayton,4620.0,,0.0,,1.0,2.0,34.0,7.0,9.0,18.0,0.0
Deephaven-Woodland,4129.0,,0.0,,0.0,0.0,25.0,6.0,16.0,3.0,0.0
Detroit Lakes,8111.0,,0.0,,1.0,14.0,401.0,39.0,339.0,23.0,0.0
Dilworth,3600.0,,0.0,,0.0,4.0,76.0,7.0,66.0,3.0,0.0
Duluth,83932.0,,1.0,,111.0,248.0,4292.0,707.0,3358.0,227.0,10.0
Eagan,63718.0,,0.0,,15.0,28.0,1515.0,188.0,1276.0,51.0,5.0
Eagle Lake,2130.0,,0.0,,0.0,2.0,23.0,4.0,18.0,1.0,1.0
East Grand Forks,7896.0,,1.0,,0.0,12.0,252.0,43.0,204.0,5.0,0.0
Eden Prairie,61910.0,,0.0,,13.0,28.0,1475.0,190.0,1254.0,31.0,10.0
Edina,45007.0,,1.0,,6.0,15.0,1120.0,182.0,901.0,37.0,3.0
Elk River,23224.0,,0.0,,4.0,21.0,913.0,127.0,764.0,22.0,6.0
Elmore,677.0,,0.0,,0.0,1.0,10.0,8.0,1.0,1.0,0.0
Ely,3565.0,,0.0,,2.0,0.0,99.0,11.0,83.0,5.0,0.0
Eveleth,3577.0,,1.0,,2.0,14.0,146.0,34.0,101.0,11.0,2.0
Fairmont,10337.0,,0.0,,2.0,6.0,408.0,57.0,334.0,17.0,0.0
Falcon Heights,5417.0,,0.0,,0.0,1.0,190.0,24.0,163.0,3.0,1.0
Faribault,22408.0,,0.0,,8.0,51.0,851.0,154.0,659.0,38.0,14.0
Farmington,19276.0,,0.0,,4.0,3.0,342.0,60.0,273.0,9.0,0.0
Fergus Falls,13842.0,,0.0,,3.0,21.0,434.0,78.0,342.0,14.0,5.0
Floodwood,493.0,,0.0,,0.0,2.0,6.0,0.0,6.0,0.0,0.0
Forest Lake,17984.0,,0.0,,5.0,4.0,563.0,54.0,460.0,49.0,0.0
Fridley,26124.0,,0.0,,49.0,54.0,1517.0,159.0,1210.0,148.0,13.0
Gilbert,1743.0,,0.0,,0.0,0.0,33.0,3.0,27.0,3.0,1.0
Glencoe,5644.0,,0.0,,0.0,6.0,164.0,14.0,146.0,4.0,0.0
Glenwood,2553.0,,0.0,,1.0,1.0,22.0,3.0,18.0,1.0,0.0
Golden Valley,19865.0,,0.0,,11.0,12.0,682.0,141.0,492.0,49.0,2.0
Goodview,3394.0,,0.0,,0.0,1.0,68.0,13.0,51.0,4.0,1.0
Grand Rapids,8297.0,,0.0,,0.0,10.0,320.0,30.0,279.0,11.0,0.0
Granite Falls,2961.0,,0.0,,0.0,2.0,28.0,3.0,23.0,2.0,0.0
Hallock,1051.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hastings,21839.0,,0.0,,2.0,12.0,716.0,113.0,569.0,34.0,10.0
Hermantown,9247.0,,0.0,,2.0,5.0,324.0,53.0,254.0,17.0,0.0
Hibbing,16198.0,,1.0,,2.0,17.0,135.0,43.0,89.0,3.0,0.0
Hilltop,749.0,,0.0,,7.0,6.0,98.0,15.0,74.0,9.0,0.0
Hokah,582.0,,0.0,,0.0,0.0,14.0,2.0,12.0,0.0,0.0
Hopkins,16613.0,,0.0,,12.0,14.0,481.0,117.0,317.0,47.0,0.0
Houston,991.0,,0.0,,0.0,1.0,13.0,0.0,13.0,0.0,0.0
Hutchinson,14050.0,,0.0,,3.0,17.0,415.0,74.0,328.0,13.0,3.0
International Falls,6108.0,,0.0,,0.0,9.0,189.0,30.0,148.0,11.0,3.0
Inver Grove Heights,34060.0,,0.0,,8.0,24.0,853.0,147.0,651.0,55.0,6.0
Jackson,3429.0,,0.0,,0.0,5.0,75.0,19.0,53.0,3.0,1.0
Janesville,2201.0,,0.0,,0.0,0.0,29.0,11.0,17.0,1.0,0.0
Kimball,691.0,,0.0,,0.0,2.0,7.0,1.0,6.0,0.0,0.0
Lake City,5409.0,,0.0,,0.0,2.0,125.0,20.0,103.0,2.0,0.0
Lake Crystal,2562.0,,0.0,,1.0,2.0,43.0,5.0,32.0,6.0,0.0
Lakefield,1687.0,,0.0,,0.0,2.0,12.0,6.0,6.0,0.0,0.0
Lakes Area,8333.0,,0.0,,1.0,16.0,189.0,30.0,148.0,11.0,1.0
Lakeville,54565.0,,0.0,,4.0,9.0,950.0,153.0,763.0,34.0,2.0
Lauderdale,2169.0,,0.0,,1.0,2.0,62.0,14.0,38.0,10.0,1.0
Lester Prairie,1737.0,,0.0,,0.0,2.0,44.0,6.0,36.0,2.0,0.0
Lewiston,1483.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lino Lakes,20334.0,,0.0,,1.0,6.0,240.0,49.0,183.0,8.0,0.0
Litchfield,6655.0,,0.0,,2.0,3.0,183.0,25.0,149.0,9.0,0.0
Little Falls,8162.0,,0.0,,1.0,14.0,242.0,25.0,192.0,25.0,0.0
Long Prairie,2877.0,,0.0,,0.0,1.0,125.0,13.0,110.0,2.0,0.0
Madison,1605.0,,0.0,,0.0,1.0,9.0,1.0,8.0,0.0,0.0
Mankato,35331.0,,1.0,,25.0,57.0,1911.0,296.0,1535.0,80.0,3.0
Maple Grove,62145.0,,0.0,,21.0,22.0,1548.0,278.0,1238.0,32.0,5.0
Mapleton,1633.0,,0.0,,0.0,1.0,44.0,7.0,37.0,0.0,
Maplewood,35444.0,,1.0,,31.0,70.0,2463.0,326.0,1952.0,185.0,19.0
Medina,5033.0,,0.0,,1.0,2.0,114.0,25.0,86.0,3.0,0.0
Melrose,3146.0,,0.0,,0.0,0.0,31.0,2.0,29.0,0.0,0.0
Mendota Heights,11318.0,,0.0,,1.0,8.0,315.0,48.0,250.0,17.0,1.0
Milaca,3073.0,,0.0,,0.0,7.0,177.0,16.0,158.0,3.0,0.0
Minneapolis,371240.0,5580.0,47.0,452.0,2520.0,2561.0,22543.0,6164.0,13203.0,3176.0,217.0
Minnetonka,49751.0,,0.0,,14.0,21.0,1014.0,196.0,776.0,42.0,6.0
Minnetrista,8350.0,,0.0,,0.0,1.0,118.0,25.0,82.0,11.0,0.0
Montevideo,5305.0,,1.0,,0.0,8.0,148.0,28.0,112.0,8.0,2.0
Montgomery,3308.0,,0.0,,0.0,11.0,128.0,25.0,98.0,5.0,0.0
Moorhead,35052.0,,0.0,,7.0,38.0,814.0,132.0,631.0,51.0,6.0
Moose Lake,2622.0,,0.0,,2.0,3.0,64.0,2.0,57.0,5.0,0.0
Mora,3521.0,,0.0,,1.0,3.0,185.0,20.0,157.0,8.0,0.0
Morris,5057.0,,1.0,,1.0,5.0,150.0,27.0,113.0,10.0,0.0
Mound,9404.0,,0.0,,1.0,8.0,207.0,40.0,159.0,8.0,3.0
Mounds View,11921.0,,0.0,,5.0,18.0,417.0,70.0,310.0,37.0,2.0
Mountain Lake,1982.0,,0.0,,0.0,1.0,11.0,4.0,7.0,0.0,0.0
New Brighton,20644.0,,0.0,,10.0,21.0,631.0,72.0,506.0,53.0,7.0
New Hope,20301.0,,0.0,,15.0,17.0,693.0,109.0,546.0,38.0,7.0
Newport,3606.0,,0.0,,2.0,6.0,160.0,38.0,116.0,6.0,0.0
New Prague,7153.0,,0.0,,0.0,4.0,212.0,16.0,194.0,2.0,1.0
New Richland,1155.0,,0.0,,0.0,0.0,28.0,6.0,21.0,1.0,0.0
New Ulm,13369.0,,0.0,,1.0,8.0,241.0,39.0,193.0,9.0,0.0
North Branch,10886.0,,0.0,,0.0,7.0,287.0,27.0,248.0,12.0,1.0
Northfield,19447.0,,0.0,,3.0,5.0,557.0,121.0,420.0,16.0,0.0
North Mankato,12295.0,,0.0,,0.0,0.0,198.0,10.0,173.0,15.0,4.0
North St. Paul,11201.0,,0.0,,4.0,12.0,458.0,52.0,375.0,31.0,4.0
Oakdale,27306.0,,1.0,,10.0,55.0,1255.0,138.0,1021.0,96.0,24.0
Oak Park Heights,4097.0,,0.0,,0.0,4.0,226.0,16.0,195.0,15.0,0.0
Olivia,2449.0,,0.0,,0.0,11.0,112.0,19.0,85.0,8.0,0.0
Orono,12212.0,,0.0,,0.0,3.0,122.0,19.0,92.0,11.0,1.0
Ortonville,2003.0,,0.0,,0.0,0.0,19.0,3.0,16.0,0.0,0.0
Osakis,1570.0,,0.0,,0.0,1.0,51.0,9.0,39.0,3.0,0.0
Osseo,2553.0,,0.0,,0.0,2.0,17.0,3.0,7.0,7.0,0.0
Owatonna,24796.0,,0.0,,7.0,17.0,695.0,164.0,502.0,29.0,4.0
Park Rapids,3577.0,,0.0,,0.0,9.0,298.0,52.0,217.0,29.0,1.0
Paynesville,2255.0,,0.0,,0.0,2.0,83.0,21.0,59.0,3.0,0.0
Plymouth,70737.0,,0.0,,9.0,32.0,1359.0,304.0,995.0,60.0,10.0
Princeton,4885.0,,0.0,,0.0,2.0,263.0,15.0,243.0,5.0,1.0
Prior Lake,23879.0,,0.0,,2.0,22.0,530.0,79.0,418.0,33.0,4.0
Proctor,2771.0,,0.0,,0.0,4.0,128.0,7.0,116.0,5.0,1.0
Ramsey,23617.0,,1.0,,1.0,12.0,706.0,67.0,606.0,33.0,4.0
Red Wing,15705.0,,0.0,,3.0,23.0,659.0,121.0,506.0,32.0,10.0
Redwood Falls,5155.0,,0.0,,0.0,21.0,219.0,35.0,172.0,12.0,1.0
Richfield,33112.0,,2.0,,55.0,51.0,1174.0,192.0,898.0,84.0,6.0
Richmond,1264.0,,0.0,,0.0,0.0,2.0,1.0,1.0,0.0,0.0
Robbinsdale,13211.0,,0.0,,20.0,16.0,509.0,91.0,368.0,50.0,1.0
Rochester,98287.0,,2.0,,76.0,140.0,2556.0,460.0,1928.0,168.0,37.0
Rogers,6802.0,,0.0,,0.0,3.0,94.0,2.0,88.0,4.0,0.0
Roseau,2827.0,,0.0,,0.0,1.0,70.0,9.0,58.0,3.0,0.0
Rosemount,21393.0,,0.0,,4.0,6.0,414.0,72.0,326.0,16.0,1.0
Roseville,31645.0,,0.0,,14.0,26.0,1574.0,217.0,1231.0,126.0,5.0
Sartell,13816.0,,0.0,,0.0,8.0,258.0,31.0,220.0,7.0,1.0
Sauk Centre,3906.0,,0.0,,0.0,1.0,152.0,14.0,132.0,6.0,0.0
Sauk Rapids,11768.0,,0.0,,3.0,4.0,126.0,15.0,93.0,18.0,1.0
Savage,28266.0,,1.0,,11.0,22.0,882.0,166.0,673.0,43.0,9.0
Shakopee,35113.0,,0.0,,6.0,41.0,896.0,151.0,698.0,47.0,2.0
Silver Lake,814.0,,0.0,,0.0,1.0,14.0,4.0,10.0,0.0,0.0
Slayton,1907.0,,0.0,,1.0,0.0,40.0,12.0,26.0,2.0,0.0
Sleepy Eye,3463.0,,0.0,,0.0,0.0,24.0,3.0,20.0,1.0,0.0
South Eastern Faribault,1151.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Lake Minnetonka,12066.0,,0.0,,2.0,7.0,163.0,37.0,121.0,5.0,0.0
Springfield,2124.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spring Lake Park,6618.0,,0.0,,8.0,12.0,354.0,48.0,278.0,28.0,0.0
St. Anthony,7680.0,,1.0,,3.0,3.0,323.0,43.0,271.0,9.0,3.0
Staples,3082.0,,0.0,,0.0,0.0,105.0,10.0,90.0,5.0,0.0
St. Charles,3567.0,,0.0,,0.0,3.0,35.0,3.0,31.0,1.0,0.0
St. Cloud,67290.0,,1.0,,48.0,145.0,2943.0,352.0,2466.0,125.0,9.0
St. Francis,7744.0,,0.0,,2.0,14.0,224.0,35.0,172.0,17.0,3.0
Stillwater,18116.0,,0.0,,0.0,18.0,414.0,60.0,336.0,18.0,4.0
St. James,4380.0,,0.0,,0.0,4.0,120.0,17.0,97.0,6.0,2.0
St. Joseph,5926.0,,0.0,,0.0,1.0,84.0,11.0,69.0,4.0,0.0
St. Louis Park,43001.0,,0.0,,40.0,32.0,1515.0,273.0,1155.0,87.0,7.0
St. Paul,271662.0,2327.0,14.0,173.0,777.0,1363.0,11118.0,2696.0,6346.0,2076.0,164.0
St. Paul Park,5285.0,,0.0,,1.0,8.0,156.0,31.0,115.0,10.0,0.0
St. Peter,10823.0,,0.0,,3.0,12.0,350.0,41.0,296.0,13.0,4.0
Thief River Falls,8440.0,,0.0,,0.0,6.0,218.0,33.0,172.0,13.0,1.0
Two Harbors,3435.0,,0.0,,0.0,0.0,44.0,11.0,31.0,2.0,0.0
Virginia,8471.0,,0.0,,4.0,27.0,662.0,126.0,508.0,28.0,3.0
Wabasha,2587.0,,0.0,,0.0,2.0,107.0,3.0,101.0,3.0,0.0
Wadena,3981.0,,0.0,,0.0,9.0,95.0,1.0,93.0,1.0,0.0
Waite Park,6795.0,,0.0,,4.0,12.0,507.0,44.0,454.0,9.0,6.0
Warroad,1663.0,,0.0,,0.0,0.0,67.0,5.0,61.0,1.0,0.0
Waseca,9465.0,,0.0,,1.0,11.0,254.0,20.0,225.0,9.0,0.0
Wayzata,3894.0,,0.0,,0.0,1.0,153.0,33.0,113.0,7.0,1.0
Wells,2442.0,,0.0,,0.0,0.0,22.0,2.0,20.0,0.0,0.0
West Hennepin,5671.0,,0.0,,1.0,2.0,72.0,22.0,46.0,4.0,3.0
West St. Paul,18748.0,,0.0,,25.0,21.0,1029.0,77.0,883.0,69.0,0.0
Wheaton,1463.0,,0.0,,0.0,2.0,25.0,3.0,22.0,0.0,0.0
White Bear Lake,23486.0,,0.0,,9.0,51.0,969.0,205.0,688.0,76.0,11.0
Willmar,18012.0,,0.0,,8.0,15.0,675.0,90.0,552.0,33.0,3.0
Windom,4327.0,,0.0,,0.0,7.0,131.0,34.0,93.0,4.0,0.0
Winnebago,1386.0,,0.0,,0.0,2.0,28.0,13.0,13.0,2.0,0.0
Winona,26464.0,,0.0,,6.0,14.0,574.0,112.0,430.0,32.0,2.0
Winsted,2457.0,,0.0,,0.0,4.0,51.0,11.0,37.0,3.0,0.0
Woodbury,55376.0,,0.0,,8.0,21.0,1417.0,277.0,1074.0,66.0,4.0
Worthington,11026.0,,0.0,,1.0,20.0,261.0,97.0,154.0,10.0,2.0
Wyoming,3985.0,,0.0,,0.0,2.0,89.0,11.0,75.0,3.0,0.0
Zumbrota,3050.0,,0.0,,0.0,2.0,73.0,7.0,60.0,6.0,0.0
"1 The data collection methodology for the offense of forcible rape used by the Minnesota state UCR Program (with the exception of Minneapolis and St. Paul, Minnesota) does not comply with national UCR Program guidelines.  Consequently, their figures for forcible rape and violent crime (of which forcible rape is a part) are not published in this table.",,,,,,,,,,,
2 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,
