Table 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by State, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2017
estimated 
population"
MICHIGAN,Under 18,16474.0,1094.0,4206.0,16.0,133.0,282.0,663.0,634.0,3167.0,361.0,44.0,2620.0,30.0,220.0,25.0,243.0,535.0,289.0,2.0,133.0,2126.0,3.0,1.0,200.0,1137.0,5.0,534.0,0.0,2752.0,0.0,319.0,614.0,9789634.0
,Total all ages,244417.0,11798.0,24692.0,261.0,750.0,1306.0,9481.0,3190.0,19983.0,1280.0,239.0,27788.0,650.0,3931.0,1174.0,1806.0,2815.0,4590.0,233.0,626.0,33090.0,42.0,2766.0,26558.0,8729.0,349.0,5989.0,139.0,86333.0,0.0,319.0,,
MINNESOTA,Under 18,20871.0,969.0,4981.0,12.0,122.0,384.0,451.0,475.0,4071.0,399.0,36.0,2403.0,32.0,196.0,1.0,329.0,931.0,433.0,2.0,178.0,1893.0,0.0,14.0,176.0,1816.0,0.0,2053.0,0.0,3595.0,0.0,869.0,374.0,5379142.0
,Total all ages,143702.0,5769.0,26025.0,120.0,632.0,1176.0,3841.0,2298.0,22105.0,1521.0,101.0,14363.0,1465.0,2664.0,23.0,1995.0,3056.0,2208.0,359.0,1055.0,19281.0,16.0,569.0,19171.0,7535.0,2.0,8665.0,42.0,28570.0,0.0,869.0,,
MISSISSIPPI,Under 18,3485.0,138.0,836.0,5.0,7.0,75.0,51.0,180.0,600.0,50.0,6.0,449.0,2.0,9.0,4.0,76.0,70.0,84.0,0.0,16.0,285.0,1.0,254.0,55.0,33.0,22.0,363.0,12.0,684.0,2.0,90.0,64.0,1385928.0
,Total all ages,78239.0,1492.0,8677.0,109.0,58.0,403.0,922.0,1249.0,7034.0,350.0,44.0,6393.0,333.0,854.0,383.0,815.0,678.0,1110.0,25.0,198.0,10268.0,67.0,2298.0,7642.0,971.0,3888.0,4070.0,105.0,27846.0,36.0,90.0,,
MISSOURI,Under 18,17518.0,906.0,3790.0,25.0,125.0,265.0,491.0,550.0,2955.0,251.0,34.0,2885.0,16.0,73.0,16.0,256.0,847.0,277.0,6.0,265.0,2266.0,1.0,88.0,147.0,707.0,12.0,1176.0,4.0,3136.0,0.0,644.0,361.0,5626134.0
,Total all ages,228042.0,9371.0,31387.0,342.0,551.0,1553.0,6925.0,3815.0,24973.0,2473.0,126.0,21141.0,1239.0,1950.0,290.0,2876.0,3868.0,3537.0,368.0,1242.0,39979.0,96.0,2548.0,18386.0,4061.0,306.0,7059.0,1096.0,76597.0,1.0,644.0,,
MONTANA,Under 18,4313.0,113.0,881.0,0.0,11.0,15.0,87.0,48.0,778.0,46.0,9.0,612.0,3.0,5.0,0.0,6.0,246.0,17.0,0.0,23.0,385.0,0.0,40.0,44.0,575.0,0.0,398.0,0.0,659.0,0.0,306.0,100.0,1037591.0
,Total all ages,30824.0,1262.0,4965.0,19.0,47.0,91.0,1105.0,275.0,4401.0,252.0,37.0,4390.0,106.0,254.0,30.0,98.0,931.0,85.0,9.0,102.0,2872.0,0.0,253.0,4344.0,2023.0,0.0,2475.0,10.0,6309.0,0.0,306.0,,
NEBRASKA,Under 18,599.0,27.0,83.0,0.0,2.0,0.0,25.0,10.0,58.0,15.0,0.0,87.0,0.0,1.0,0.0,2.0,34.0,4.0,0.0,3.0,87.0,0.0,1.0,19.0,90.0,12.0,38.0,0.0,95.0,0.0,16.0,54.0,233437.0
,Total all ages,5708.0,161.0,523.0,1.0,12.0,5.0,143.0,53.0,424.0,44.0,2.0,617.0,18.0,67.0,3.0,35.0,95.0,65.0,1.0,28.0,843.0,0.0,76.0,785.0,416.0,178.0,282.0,0.0,1499.0,0.0,16.0,,
NEVADA,Under 18,7672.0,924.0,1159.0,4.0,54.0,319.0,547.0,337.0,700.0,108.0,14.0,1720.0,40.0,31.0,2.0,166.0,217.0,171.0,44.0,47.0,741.0,0.0,6.0,50.0,372.0,4.0,194.0,64.0,1304.0,4.0,412.0,51.0,2680733.0
,Total all ages,112004.0,6506.0,8946.0,157.0,321.0,1388.0,4640.0,2572.0,5658.0,671.0,45.0,15438.0,488.0,1404.0,201.0,1681.0,1365.0,1885.0,2532.0,695.0,8923.0,9.0,702.0,9470.0,1950.0,241.0,1353.0,1648.0,45968.0,187.0,412.0,,
NEW HAMPSHIRE,Under 18,3529.0,67.0,373.0,1.0,0.0,17.0,49.0,39.0,300.0,23.0,11.0,557.0,5.0,19.0,6.0,33.0,194.0,5.0,0.0,24.0,507.0,0.0,10.0,36.0,371.0,313.0,133.0,0.0,865.0,0.0,11.0,176.0,1292643.0
,Total all ages,47516.0,896.0,3642.0,8.0,52.0,168.0,668.0,319.0,3143.0,152.0,28.0,5306.0,292.0,787.0,120.0,503.0,1247.0,139.0,79.0,99.0,7656.0,12.0,202.0,4805.0,2489.0,4210.0,1001.0,82.0,13938.0,0.0,11.0,,
NEW JERSEY,Under 18,15950.0,1123.0,2709.0,6.0,62.0,510.0,545.0,478.0,2093.0,89.0,49.0,1312.0,39.0,48.0,12.0,456.0,658.0,566.0,9.0,157.0,3535.0,30.0,27.0,76.0,682.0,0.0,1281.0,25.0,2613.0,0.0,592.0,490.0,8521517.0
,Total all ages,281631.0,8577.0,24807.0,149.0,333.0,2472.0,5623.0,3910.0,20274.0,494.0,129.0,20175.0,1020.0,3478.0,269.0,2511.0,3297.0,3838.0,900.0,916.0,61989.0,158.0,8915.0,21574.0,2876.0,0.0,11629.0,299.0,103811.0,0.0,592.0,,
NEW MEXICO,Under 18,1303.0,172.0,220.0,0.0,3.0,21.0,148.0,46.0,154.0,19.0,1.0,249.0,2.0,3.0,1.0,51.0,35.0,14.0,1.0,2.0,99.0,0.0,11.0,25.0,31.0,28.0,41.0,0.0,318.0,0.0,0.0,23.0,823584.0
,Total all ages,40552.0,2708.0,4340.0,25.0,43.0,344.0,2296.0,613.0,3546.0,170.0,11.0,6223.0,138.0,230.0,74.0,1165.0,684.0,179.0,35.0,31.0,2377.0,0.0,680.0,3283.0,473.0,1578.0,973.0,64.0,15300.0,17.0,0.0,,
NEW YORK6,Under 18,18426.0,1508.0,4873.0,22.0,180.0,623.0,683.0,877.0,3542.0,358.0,96.0,2413.0,82.0,179.0,3.0,417.0,1880.0,330.0,6.0,322.0,3344.0,14.0,24.0,82.0,198.0,0.0,504.0,9.0,2238.0,0.0,0.0,510.0,10121830.0
,Total all ages,259257.0,12440.0,43759.0,264.0,970.0,3090.0,8116.0,5200.0,36562.0,1713.0,284.0,27397.0,2616.0,4086.0,48.0,3183.0,13559.0,3468.0,672.0,1662.0,69904.0,102.0,550.0,27136.0,1450.0,0.0,4867.0,618.0,41740.0,0.0,0.0,,
NORTH CAROLINA,Under 18,15757.0,947.0,4335.0,31.0,18.0,465.0,433.0,1271.0,2822.0,214.0,28.0,2896.0,37.0,174.0,20.0,392.0,629.0,546.0,6.0,90.0,1519.0,2.0,18.0,190.0,278.0,0.0,1173.0,0.0,2487.0,0.0,18.0,213.0,6457952.0
,Total all ages,240365.0,11630.0,34918.0,464.0,229.0,2571.0,8366.0,7836.0,25826.0,1066.0,190.0,31024.0,1326.0,6720.0,1185.0,3356.0,3958.0,5147.0,374.0,806.0,25902.0,61.0,4294.0,30277.0,1926.0,0.0,5425.0,5.0,72013.0,0.0,18.0,,
NORTH DAKOTA,Under 18,4581.0,69.0,653.0,0.0,12.0,8.0,49.0,59.0,528.0,61.0,5.0,439.0,5.0,16.0,7.0,26.0,145.0,29.0,2.0,42.0,476.0,0.0,171.0,37.0,554.0,4.0,706.0,0.0,1093.0,0.0,107.0,106.0,749938.0
,Total all ages,39944.0,855.0,3787.0,6.0,61.0,69.0,719.0,352.0,3128.0,291.0,16.0,2943.0,156.0,421.0,53.0,311.0,479.0,313.0,38.0,120.0,5646.0,1.0,654.0,6318.0,3086.0,384.0,2492.0,7.0,11772.0,1.0,107.0,,
OHIO,Under 18,22865.0,870.0,4203.0,16.0,78.0,348.0,428.0,728.0,3180.0,222.0,73.0,4341.0,33.0,139.0,2.0,454.0,960.0,327.0,4.0,137.0,1973.0,2.0,212.0,64.0,617.0,27.0,1745.0,0.0,6212.0,1.0,542.0,453.0,9362266.0
,Total all ages,224423.0,8084.0,33068.0,224.0,406.0,1987.0,5467.0,4115.0,27904.0,764.0,285.0,31736.0,918.0,2179.0,21.0,2800.0,3454.0,3681.0,1122.0,516.0,37022.0,4.0,1714.0,15032.0,5196.0,4327.0,12296.0,208.0,60497.0,6.0,542.0,,
OKLAHOMA,Under 18,8750.0,479.0,2064.0,16.0,26.0,138.0,299.0,398.0,1532.0,106.0,28.0,920.0,11.0,35.0,25.0,301.0,289.0,145.0,0.0,42.0,1280.0,3.0,20.0,72.0,111.0,211.0,538.0,0.0,1342.0,0.0,862.0,389.0,3789847.0
,Total all ages,106731.0,4820.0,14352.0,161.0,179.0,719.0,3761.0,2267.0,11226.0,713.0,146.0,8226.0,607.0,1489.0,408.0,2843.0,1270.0,2207.0,15.0,458.0,20024.0,51.0,539.0,9599.0,1394.0,12799.0,2096.0,58.0,22612.0,2.0,862.0,,
OREGON,Under 18,8955.0,349.0,1833.0,8.0,24.0,106.0,211.0,151.0,1486.0,141.0,55.0,1045.0,12.0,44.0,2.0,25.0,678.0,107.0,2.0,68.0,1796.0,0.0,0.0,97.0,777.0,0.0,592.0,0.0,1089.0,0.0,439.0,143.0,3745046.0
,Total all ages,124851.0,3687.0,17578.0,65.0,166.0,696.0,2760.0,1376.0,14118.0,1883.0,201.0,10263.0,648.0,1868.0,49.0,587.0,3976.0,2077.0,364.0,436.0,15682.0,0.0,333.0,13273.0,3658.0,18.0,6594.0,22.0,43299.0,0.0,439.0,,
PENNSYLVANIA,Under 18,43800.0,3049.0,5821.0,19.0,238.0,1071.0,1721.0,952.0,4355.0,426.0,88.0,5184.0,64.0,799.0,20.0,336.0,1779.0,848.0,3.0,495.0,3524.0,0.0,51.0,349.0,2426.0,191.0,8290.0,38.0,3810.0,0.0,6723.0,1383.0,12552431.0
,Total all ages,372570.0,20385.0,50437.0,464.0,1171.0,4891.0,13859.0,6123.0,41549.0,2409.0,356.0,42271.0,2414.0,7703.0,478.0,2392.0,7196.0,5056.0,1755.0,2211.0,63306.0,53.0,2034.0,45128.0,9446.0,20941.0,35630.0,298.0,46713.0,0.0,6723.0,,
RHODE ISLAND,Under 18,2218.0,109.0,373.0,1.0,16.0,38.0,54.0,87.0,251.0,20.0,15.0,406.0,3.0,16.0,3.0,37.0,188.0,105.0,0.0,20.0,111.0,0.0,27.0,5.0,68.0,0.0,422.0,0.0,314.0,0.0,11.0,41.0,943094.0
,Total all ages,22707.0,864.0,2458.0,10.0,77.0,150.0,627.0,533.0,1773.0,126.0,26.0,3638.0,74.0,425.0,102.0,287.0,932.0,379.0,71.0,76.0,1792.0,9.0,62.0,1788.0,394.0,0.0,1979.0,1.0,7365.0,0.0,11.0,,
SOUTH CAROLINA,Under 18,12279.0,616.0,2881.0,17.0,69.0,214.0,316.0,537.0,2184.0,143.0,17.0,2162.0,13.0,68.0,17.0,143.0,451.0,435.0,5.0,56.0,2090.0,0.0,8.0,93.0,297.0,69.0,1318.0,0.0,1525.0,0.0,32.0,346.0,3920047.0
,Total all ages,153573.0,6500.0,23848.0,253.0,378.0,1133.0,4736.0,3149.0,19592.0,1006.0,101.0,14146.0,1138.0,3200.0,358.0,1952.0,2552.0,2247.0,381.0,295.0,32266.0,39.0,1139.0,15446.0,4239.0,6113.0,8330.0,484.0,28868.0,0.0,32.0,,
SOUTH DAKOTA,Under 18,6656.0,131.0,809.0,1.0,8.0,13.0,109.0,108.0,591.0,106.0,4.0,544.0,5.0,53.0,2.0,49.0,211.0,74.0,0.0,28.0,979.0,0.0,653.0,88.0,804.0,220.0,576.0,1.0,1247.0,11.0,171.0,75.0,729800.0
,Total all ages,63625.0,1748.0,3283.0,16.0,79.0,88.0,1565.0,445.0,2512.0,311.0,15.0,4931.0,102.0,731.0,37.0,225.0,624.0,334.0,33.0,92.0,8900.0,1.0,2361.0,8164.0,4999.0,6939.0,3596.0,565.0,15720.0,69.0,171.0,,
TENNESSEE,Under 18,22282.0,1459.0,4399.0,30.0,49.0,422.0,958.0,754.0,3020.0,573.0,52.0,4118.0,45.0,131.0,16.0,133.0,1017.0,408.0,0.0,133.0,2591.0,12.0,47.0,109.0,532.0,129.0,1793.0,0.0,3996.0,0.0,1214.0,449.0,6505139.0
,Total all ages,350912.0,14682.0,38394.0,358.0,351.0,1839.0,12134.0,5143.0,29649.0,3422.0,180.0,32076.0,1802.0,5336.0,664.0,1496.0,4571.0,3081.0,955.0,621.0,47826.0,148.0,4289.0,19495.0,3836.0,15073.0,6749.0,5.0,148599.0,0.0,1214.0,,
